από	from	από	from	ADP	PROPN
με	with	με	with	ADP	PROPN
που	которое	που	который	PRO;ACC;NEUT;SG;3	PRO;NOM
που	которая	που	который	PRO;ACC;NEUT;SG;3	PRO;NOM
που	которые	που	который	PRO;ACC;NEUT;SG;3	PRO;NOM
που	который	που	который	PRO;ACC;NEUT;SG;3	PRO;NOM
για	for	για	for	ADP	PROPN
κατηγορία	категории	κατηγορία	категория	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
τους	их	μου	они	PRO;GEN;MASC;PL;3	PRO;ACC;PL;3
ήταν	был	είμαι	быть	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IPFV;MASC;IND;SG;PST;FIN;ACT
ήταν	было	είμαι	быть	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
ήταν	была	είμαι	быть	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IPFV;FEM;IND;SG;PST;FIN;ACT
ένα	одна	ένας	один	NUM;NOM;NEUT;SG	DET;NOM;FEM;SG
ένα	one	ένας	one	NUM;NOM;NEUT;SG	PROPN
ένα	одно	ένας	один	NUM;NOM;NEUT;SG	DET;NOM;NEUT;SG
ότι	это	ότι	это	CONJ	PRO;INAN;NOM;NEUT;SG
ότι	that	ότι	that	CONJ	PROPN
μια	одна	ένας	один	NUM;NOM;FEM;SG	DET;NOM;FEM;SG
μια	one	ένας	one	NUM;NOM;FEM;SG	PROPN
μια	одно	ένας	один	NUM;NOM;FEM;SG	DET;NOM;NEUT;SG
θα	воля	θα	воля	PART	N;INAN;NOM;FEM;SG
θα	будет	θα	быть	PART	V;IPFV;IND;SG;3;PRS;FIN;ACT
θα	уилл	θα	уилл	PART	N;ANIM;NOM;MASC;SG
μετά	после	μετά	после	ADV	ADP
μετά	after	μετά	after	ADV	PROPN
όπως	нравится	όπως	нравиться	ADV	V;IPFV;IND;SG;3;PRS;FIN;MID
όπως	like	όπως	like	ADV	PROPN
όπως	как	όπως	как	ADV	CONJ
αυτό	this	αυτός	this	PRO;NOM;NEUT;SG;3	PROPN
αυτό	эта	αυτός	этот	PRO;NOM;NEUT;SG;3	DET;NOM;FEM;SG
αυτό	этот	αυτός	этот	PRO;NOM;NEUT;SG;3	DET;NOM;MASC;SG
αυτό	that	αυτός	that	PRO;NOM;NEUT;SG;3	PROPN
αυτή	she	αυτός	she	PRO;NOM;FEM;SG;3	PROPN
όταν	when	όταν	when	CONJ	PROPN
μία	одна	ένας	один	NUM;NOM;FEM;SG	DET;NOM;FEM;SG
μία	one	ένας	one	NUM;NOM;FEM;SG	PROPN
μία	одно	ένας	один	NUM;NOM;FEM;SG	DET;NOM;NEUT;SG
μπορεί	могу	μπορώ	мочь	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
μπορεί	можно	μπορώ	можно	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
μπορεί	can	μπορώ	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
ομάδα	спасатели	ομάδα	спасатель	N;ACC;FEM;SG	N;ANIM;NOM;MASC;PL
ομάδα	команда	ομάδα	команда	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
ομάδα	отряд	ομάδα	отряд	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
ομάδα	взвод	ομάδα	взвод	N;ACC;FEM;SG	N;INAN;NOM;MASC;SG
ομάδα	группа	ομάδα	группа	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
ομάδα	группы	ομάδα	группа	N;ACC;FEM;SG	N;INAN;NOM;FEM;PL
ομάδα	group	ομάδα	group	N;ACC;FEM;SG	PROPN
ομάδα	команда	ομάδα	команда	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
ομάδα	team	ομάδα	team	N;ACC;FEM;SG	PROPN
θέση	позиция	θέση	позиция	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
θέση	должность	θέση	должность	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
θέση	положение	θέση	положение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
χρόνια	хроническая	χρόνος	хронический	N;NOM;NEUT;PL	ADJ;NOM;FEM;SG
χρόνια	хронические	χρόνος	хронический	N;NOM;NEUT;PL	ADJ;NOM;PL
χρόνια	хронической	χρόνος	хронический	N;NOM;NEUT;PL	ADJ;INS;FEM;SG
χρόνια	годы	χρόνος	год	N;NOM;NEUT;PL	N;INAN;ACC;MASC;PL
χρόνια	лет	χρόνος	год	N;NOM;NEUT;PL	N;INAN;GEN;MASC;PL
χρόνια	years	χρόνος	years	N;NOM;NEUT;PL	PROPN
πρώτη	первый	πρώτος	первый	NUM;NOM;FEM;SG	ADJ;NOM;MASC;SG
πρώτη	сначала	πρώτος	сначала	NUM;NOM;FEM;SG	ADV
πρώτη	первое	πρώτος	первый	NUM;NOM;FEM;SG	ADJ;NOM;NEUT;SG
πρώτη	первая	πρώτος	первый	NUM;NOM;FEM;SG	ADJ;NOM;FEM;SG
πρώτη	first	πρώτος	first	NUM;NOM;FEM;SG	PROPN
ένας	one	ένας	one	DET;NOM;INDF;MASC;SG	PROPN
ένας	один	ένας	один	DET;NOM;INDF;MASC;SG	NUM;NOM;MASC
