през	through	през	through	ADP	
като	come	като	come	CONJ	ADV
като	like	като	like	CONJ	
след	dopo	след	dopo	ADP	ADV
след	after	след	after	ADP	
това	this	този	this	PRO;NOM;NEUT;SG	
това	questo	този	questo	PRO;NOM;NEUT;SG	DET;MASC;SG
това	questa	този	questo	PRO;NOM;NEUT;SG	DET;FEM;SG
български	bulgari	български	bulgaro	ADJ;INDF;MASC;SG	N;MASC;PL
българия	bulgaria	българия	bulgario	PROPN;INDF;FEM;SG	ADJ;FEM;SG
която	che	който	che	PRO;NOM;FEM;SG	DET
което	che	който	che	PRO;NOM;NEUT;SG	DET
външни	esterno	външен	esterno	ADJ;INDF;PL	ADJ;MASC;SG
външни	esterna	външен	esterno	ADJ;INDF;PL	ADJ;FEM;SG
много	molte	много	molto	ADV;INDF;PL	DET;FEM;PL
много	tanti	много	tanto	ADV;INDF;PL	PRO;MASC;PL
много	molti	много	molto	ADV;INDF;PL	PRO;MASC;PL
много	tantissimi	много	tanto	ADV;INDF;PL	ADJ;AB;MASC;PL
един	una	един	uno	NUM;INDF;MASC;SG	DET;INDF;FEM;SG
един	one	един	ona	NUM;INDF;MASC;SG	N;SG
един	uno	един	uno	NUM;INDF;MASC;SG	PRO;MASC;SG
около	intorno	около	intorno	ADP	ADV
около	attorno	около	attorno	ADP	ADV
около	around	около	around	ADP	N
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	N;FEM;SG
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	N;FEM;SG
софия	sophia	софия	sophiare	PROPN;INDF;FEM;SG	N;FEM;SG
други	altro	друг	altro	ADJ;INDF;PL	PRO;MASC;SG
други	altre	друг	altro	ADJ;INDF;PL	DET;FEM;PL
други	altri	друг	altro	ADJ;INDF;PL	PRO;MASC;PL
други	altre	друг	altro	ADJ;INDF;PL	DET;FEM;PL
други	altri	друг	altro	ADJ;INDF;PL	PRO;MASC;PL
още	still	още	still	ADV	
още	altro	още	altro	ADV	PRO;MASC;SG
още	more	още	more	ADV	N;SG
само	only	само	only	ADV	
само	just	само	just	ADV	
под	under	под	undere	ADP	N;MASC
когато	when	когато	when	ADV	
вид	digita	вид	digitare	N;INDF;MASC;SG	V;IMP;SG;2;PRS;FIN
една	edna	един	edna	NUM;INDF;FEM;SG	N;FEM;SG
една	una	един	uno	NUM;INDF;FEM;SG	DET;INDF;FEM;SG
една	one	един	ona	NUM;INDF;FEM;SG	N;SG
една	uno	един	uno	NUM;INDF;FEM;SG	PRO;MASC;SG
всички	tutto	всеки	tutto	PRO;NOM;PL	PRO;MASC;SG
всички	tutte	всеки	tutto	PRO;NOM;PL	DET;FEM;PL
всички	tutti	всеки	tutto	PRO;NOM;PL	PRO;MASC;PL
всички	tutti	всеки	tutto	PRO;NOM;PL	PRO;MASC;PL
семейство	familiari	семейство	familiare	N;INDF;NEUT;SG	N;PL
семейство	familiare	семейство	familiare	N;INDF;NEUT;SG	ADJ;SG
македония	macedonia	македония	macedonia	PROPN;INDF;FEM;SG	N;FEM;SG
сащ	usa	сащ	usare	PROPN;INDF;MASC;PL	V;IND;SG;3;PRS;FIN
над	over	над	over	ADP	N
над	oltre	над	oltre	ADP	ADV
над	sopra	над	sopra	ADP	ADV
срещу	contrari	срещу	contrario	ADP	ADJ;MASC;PL
срещу	against	срещу	against	ADP	
тези	questi	този	questo	DET;PL	PRO;MASC;PL
тези	quelli	този	quello	DET;PL	PRO;MASC;PL
тези	quelle	този	quello	DET;PL	PRO;FEM;PL
души	anime	души	anima	N;INDF	ADJ;FEM;PL
мини	minnie	мина	minnia	N;INDF;FEM;PL	N;FEM;SG
намира	ritrovamenti	намирам-(се)	ritrovamento	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
намира	reperti	намирам-(се)	reperto	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
късно	ritardo	късно	ritardo	ADV	N;MASC;SG
късно	late	късно	lato	ADV	N
късно	tardo	късно	tardo	ADV	ADJ;MASC;SG
май	may	май	may	PROPN;INDF;MASC;SG	N
май	maggio	май	maggio	PROPN;INDF;MASC;SG	N;MASC;SG
май	può	май	potere	PROPN;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
няколко	pochi	няколко	poco	PRO;INDF	DET;MASC;PL
няколко	poche	няколко	poco	PRO;INDF	DET;FEM;PL
няколко	diversi	няколко	diverso	PRO;INDF	DET;MASC;PL
роден	born	родя-(се)	borno	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;MASC;SG
роден	nati	родя-(се)	nascere	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
беседа	conversazioni	бесед	conversazione	N;INDF;FEM;SG	N;FEM;PL
преди	prima	преди	prima	ADP	ADV
преди	before	преди	before	ADP	
някои	alcune	някой	alcuno	PRO;NOM;PL	DET;FEM;PL
някои	some	някой	some	PRO;NOM;PL	
две	two	два	two	NUM;INDF;FEM;PL	
заедно	together	заедно	together	ADV	N
фон	von	фон	von	N;INDF;MASC;SG	PROPN
фон	antecedenti	фон	antecedente	N;INDF;MASC;SG	N;MASC;PL
фон	background	фон	background	N;INDF;MASC;SG	ADJ;MASC;SG
американски	americani	американски	americano	ADJ;INDF;MASC;SG	N;MASC;PL
чрез	via	чрез	via	ADP	ADV
чрез	through	чрез	through	ADP	
различни	differente	различен	differente	ADJ;INDF;PL	ADJ;SG
различни	diversa	различен	diverso	ADJ;INDF;PL	DET;FEM;SG
различни	diverso	различен	diverso	ADJ;INDF;PL	ADJ;MASC;SG
различни	diversi	различен	diverso	ADJ;INDF;PL	DET;MASC;PL
различни	vario	различен	vario	ADJ;INDF;PL	ADJ;MASC;SG
работи	lavoro	работя	lavoro	V;IPFV;IMP;SG;2;FIN	N;MASC;SG
работи	lavori	работя	lavoro	V;IPFV;IMP;SG;2;FIN	N;MASC;PL
работи	lavora	работя	lavorare	V;IPFV;IMP;SG;2;FIN	V;IND;SG;3;PRS;FIN
работи	funziona	работя	funzionare	V;IPFV;IMP;SG;2;FIN	V;IND;SG;3;PRS;FIN
работи	opere	работя	opera	V;IPFV;IMP;SG;2;FIN	N;FEM;PL
работи	works	работя	works	V;IPFV;IMP;SG;2;FIN	N
иван	ivan	иван	ivan	PROPN;INDF;MASC;SG	PROPN
център	centra	център	centra	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
повече	altro	повече	altro	ADV;INDF;PL	PRO;MASC;SG
повече	more	повече	more	ADV;INDF;PL	N;SG
три	three	три	tareo	NUM;INDF;PL	N
страна	laterale	страна	laterale	N;INDF;FEM;SG	ADJ;SG
въпреки	nonostante	въпреки	nonostante	ADP	ADV
въпреки	malgrado	въпреки	malgrado	ADP	ADV
бил	bill	съм	bill	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	N
малко	piccolo	малко	piccolo	ADV;INDF;PL	ADJ;MASC;SG
малко	piccola	малко	piccolo	ADV;INDF;PL	ADJ;FEM;SG
малко	little	малко	littla	ADV;INDF;PL	N
хора	gente	хора	gente	N;INDF	N;FEM;SG
хора	persone	хора	persona	N;INDF	N;FEM;PL
германия	germania	германия	germania	PROPN;INDF;FEM;SG	N;FEM;SG
могат	possono	мога	potere	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
могат	can	мога	can	V;IPFV;IND;PL;3;PRS;FIN;ACT	
могат	può	мога	potere	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
син	blu	син	blu	N;INDF;MASC;SG	ADJ;SG
син	azzurri	син	azzurro	N;INDF;MASC;SG	N;MASC;PL
син	azzurro	син	azzurro	N;INDF;MASC;SG	ADJ;MASC;SG
награда	ricompense	награда	ricompensa	N;INDF;FEM;SG	N;FEM;PL
георги	georgi	георга	georgere	PROPN;INDF;MASC;SG	N;MASC;SG
георги	georgij	георга	georgij	PROPN;INDF;MASC;SG	N;MASC;SG
голяма	large	голям	large	ADJ;INDF;FEM;SG	N;MASC;SG
голяма	grandi	голям	grande	ADJ;INDF;FEM;SG	ADJ;PL
голяма	grandi	голям	grande	ADJ;INDF;FEM;SG	ADJ;PL
голяма	big	голям	big	ADJ;INDF;FEM;SG	N
италия	italy	италия	italy	PROPN;INDF;FEM;SG	N
италия	italia	италия	italiare	PROPN;INDF;FEM;SG	ADJ;FEM;SG
край	end	край	end	ADP	N;MASC
край	fine	край	fine	ADP	N;FEM;SG
използва	utilizzi	използвам	utilizzare	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;2;PRS;FIN
днес	today	днес	today	ADV	N;MASC
франция	francia	франция	francia	PROPN;INDF;FEM;SG	N;FEM;SG
национален	national	национален	nationale	ADJ;INDF;MASC;SG	N
гърция	grecia	гърция	grecia	PROPN;INDF;FEM;SG	N;FEM;SG
вижте	vedi	видя-(се)	vedere	V;PFV;IMP;PL;2;FIN	V;IMP;SG;2;PRS;FIN
русия	russia	русия	russia	PROPN;INDF;FEM;SG	N;FEM;SG
английски	inglese	английски	inglese	ADJ;INDF;MASC;SG	N;SG
английски	inglesi	английски	inglese	ADJ;INDF;MASC;SG	N;PL
английски	english	английски	english	ADJ;INDF;MASC;SG	N
едно	una	един	uno	NUM;INDF;NEUT;SG	DET;INDF;FEM;SG
едно	one	един	ona	NUM;INDF;NEUT;SG	N;SG
едно	uno	един	uno	NUM;INDF;NEUT;SG	PRO;MASC;SG
първи	primi	първи	primo	ADJ;INDF;MASC;SG	ADJ;MASC;PL
първи	prima	първи	prima	ADJ;INDF;MASC;SG	ADV
отново	again	отново	again	ADV	
нея	her	аз	her	PRO;ACC;FEM;SG;3	ADJ;SG
били	billy	съм	billy	V;IPFV;INDF;IND;PL;V.PTCP;ACT	N;MASC
били	billie	съм	billio	V;IPFV;INDF;IND;PL;V.PTCP;ACT	N;FEM;SG
света	sveta	свят	svetare	N;DEF;MASC;SG	ADJ;FEM;SG
александър	aleksandar	александър	aleksandare	PROPN;INDF;MASC;SG	N;MASC;SG
александър	alessandro	александър	alessandro	PROPN;INDF;MASC;SG	N;MASC;SG
умира	morente	умирам	morente	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;SG
южна	sud	южен	sud	ADJ;INDF;FEM;SG	N;MASC;SG
южна	southern	южен	soutvern	ADJ;INDF;FEM;SG	N
южна	meridionali	южен	meridionale	ADJ;INDF;FEM;SG	ADJ;PL
южна	sud	южен	sud	ADJ;INDF;FEM;SG	N;MASC;SG
южна	south	южен	south	ADJ;INDF;FEM;SG	N;MASC
европа	europa	европа	europa	PROPN;INDF;FEM;SG	N;FEM;SG
димитър	dimităr	димитър	dimităr	PROPN;INDF;MASC;SG	ADJ;SG
всеки	chiunque	всеки	chiunque	PRO;NOM;MASC;SG	PRO;SG
всеки	tutti	всеки	tutto	PRO;NOM;MASC;SG	PRO;MASC;PL
всеки	ogni	всеки	ogni	PRO;NOM;MASC;SG	DET;SG
всеки	ciascuno	всеки	ciascuno	PRO;NOM;MASC;SG	PRO;MASC;SG
всеки	ognuno	всеки	ognuno	PRO;NOM;MASC;SG	PRO;MASC;SG
всеки	ogni	всеки	ogni	PRO;NOM;MASC;SG	DET;SG
всеки	ciascuna	всеки	ciascuno	PRO;NOM;MASC;SG	DET;FEM;SG
нова	novità	нов	novità	ADJ;INDF;FEM;SG	N;FEM
нова	nuovi	нов	nuovo	ADJ;INDF;FEM;SG	ADJ;MASC;PL
нова	nuove	нов	nuovo	ADJ;INDF;FEM;SG	ADJ;FEM;PL
докато	fino	докато	fino	CONJ	ADV
официален	funzionario	официален	funzionario	ADJ;INDF;MASC;SG	N;MASC;SG
официален	ufficiali	официален	ufficiale	ADJ;INDF;MASC;SG	N;MASC;PL
официален	official	официален	official	ADJ;INDF;MASC;SG	N;FEM;SG
официален	formali	официален	formale	ADJ;INDF;MASC;SG	ADJ;PL
северна	north	северен	north	ADJ;INDF;FEM;SG	N;MASC
северна	nord	северен	nord	ADJ;INDF;FEM;SG	N;MASC;SG
северна	northern	северен	northern	ADJ;INDF;FEM;SG	N
времето	meteo	време	meteo	N;DEF;NEUT;SG	ADJ;MASC;SG
българска	bulgari	български	bulgaro	ADJ;INDF;FEM;SG	N;MASC;PL
освен	eccetto	освен	eccetto	ADP	
освен	tranne	освен	tranne	ADP	
данни	data	данна	dare	N;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
страница	pagine	страница	pagina	N;INDF;FEM;SG	N;FEM;PL
родени	born	родя-(се)	borno	V;PFV;INDF;PL;V.PTCP;PASS	N;MASC;SG
родени	nato	родя-(се)	nascere	V;PFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
родени	nata	родя-(се)	nascere	V;PFV;INDF;PL;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
родени	nasce	родя-(се)	nascere	V;PFV;INDF;PL;V.PTCP;PASS	V;IND;SG;3;PRS;FIN
играе	giocate	играя	giocare	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;PL;PST;V.PTCP
тук	here	там	vero	ADV	
император	imperatori	император	imperatore	N;INDF;MASC;SG	N;MASC;PL
руски	russi	руски	russo	ADJ;INDF;MASC;SG	N;MASC;PL
