başrolde	بطولة	başrol	بُطُولَة	N;ESS;SG;3	N;NOM;INDF;SG
kumaş	قماش	kumaş	قِمَاش		N;NOM;INDF;SG
kumaş	القماش	kumaş	قِمَاش		N;NOM;DEF;SG
kumaş	النسيج	kumaş	نَسِيج		N;NOM;DEF;SG
kumaş	قماش	kumaş	قِمَاش		N;NOM;INDF;SG
kumaş	نسيج	kumaş	نَسِيج		
kumaş	القماش	kumaş	قِمَاش		N;NOM;DEF;SG
kumaş	الاقمشة	kumaş	قِمَاش		N;NOM;DEF;SG
reaksiyon	تفاعل	reaksiyon	تَفَاعُل		N;NOM;INDF;SG
odak	ركز	odak	رَكَّز		V;PFV;MASC;SG;3;ACT
odak	التركيز	odak	تَركِيز		N;NOM;DEF;SG
odak	تركيز	odak	تَركِيز		N;NOM;INDF;SG
düsseldorf	دوسلدورف	düsseldorf	دوسلدورف	PROPN;NOM;SG;3	
verlag	verla	verlag	هُضَيِشّ		
sınav	امتحانات	sınav	اِمتِحَان	N;NOM;SG;3	N;NOM;INDF;PL
sınav	الامتحانات	sınav	اِمتِحَان	N;NOM;SG;3	N;NOM;DEF;PL
sınav	اختبر	sınav	اِختَبَر	N;NOM;SG;3	
tarama	المسح	tarama	مُسَحِّ		N;NOM;DEF;SG
tarama	تصفح	tarama	تَصَفُّح		N;NOM;INDF;SG
tarama	مسح	tarama	مسح		N;NOM;INDF;SG
tarama	المسح	tarama	مُسَحِّ		N;NOM;DEF;SG
tüyleri	ريش	tüy	ريش	ADJ;NOM;PL;3	
tüyleri	الريش	tüy	رِيش	ADJ;NOM;PL;3	N;NOM;DEF;SG
donetsk	دونيتسك	donetsk	دونيتسك	PROPN;NOM;SG;3	
nathan	ناثان	nathan	نَاثَّان	PROPN;NOM;SG;3	
kenneth	كينيث	kenneth	كينيث		
fisher	فيشر	fishe	فيشر		
satürn	ساترن	satürn	ساترن		
satürn	زحل	satürn	زَحل		
sorunlu	اشكالية	sorunlu	إِشكَالِيّ		N;NOM;INDF;SG
sorunlu	المضطربة	sorunlu	مُضطَرَب		ADJ;NOM;DEF;FEM;SG
karesi	مربعة	kare	مُرَبَّع		ADJ;NOM;INDF;FEM;SG
karesi	مربع	kare	مُرَبَّع		ADJ;NOM;INDF;MASC;SG
karesi	المربع	kare	مُرَبَّع		N;NOM;DEF;SG
karesi	ميدان	kare	مَيدَان		N;NOM;INDF;SG
komisyon	اللجان	komisyon	لَجنَة		N;NOM;DEF;PL
komisyon	لجان	komisyon	لَجنَة		N;NOM;INDF;PL
komisyon	اللجنة	komisyon	لَجنَة		N;NOM;DEF;SG
komisyon	عمولة	komisyon	عُمُولَة		N;NOM;INDF;SG
komisyon	السمسرة	komisyon	سُمسُرَة		N;NOM;DEF;SG
favori	مفضل	favori	مُفَضِّل		ADJ;NOM;INDF;MASC;SG
favori	المفضلة	favori	مُفضَلّ		N;NOM;DEF;SG
favori	المفضل	favori	مُفَضِّل		ADJ;NOM;DEF;MASC;SG
favori	مفضلة	favori	مُفضَلّ		ADJ;NOM;INDF;FEM;SG
favori	مفضل	favori	مُفَضِّل		ADJ;NOM;INDF;MASC;SG
favori	المفضلة	favori	مُفضَلّ		N;NOM;DEF;SG
favori	المفضل	favori	مُفَضِّل		ADJ;NOM;DEF;MASC;SG
şef	شيف	şef	شيف		
şef	الشيف	şef	شِيف		
şef	رئيس	şef	رَئِيس		N;NOM;INDF;SG
şef	الرئيس	şef	رَئِيس		N;NOM;DEF;SG
şef	الزعيم	şef	زَعِيم		N;NOM;DEF;SG
vergisi	ضريبي	vergi	ضَرِيبِيّ	N;NOM;SG;3	ADJ;NOM;INDF;MASC;SG
vergisi	ضرائب	vergi	ضَرِيبَة	N;NOM;SG;3	N;NOM;INDF;PL
vergisi	الضرائب	vergi	ضَرِيبَة	N;NOM;SG;3	N;NOM;DEF;PL
telgraf	البرقية	telgraf	بَرقِيّ		N;NOM;DEF;SG
telgraf	برقية	telgraf	بَرقِيَّة		N;NOM;INDF;SG
telgraf	التلغراف	telgraf	التلغراف		N;NOM;DEF;SG
parsons	بارسونز	parsons	بارسونز		
herkül	هرقل	herkül	هرقل		
arayan	المتصل	ara	مُتَّصِل	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;DEF;SG
ilim	معرفة	ilim	مَعرِفَة		N;NOM;INDF;SG
ilim	المعرفة	ilim	مَعرِفَة		N;NOM;DEF;SG
ilim	المعارف	ilim	مَعرِفَة		N;NOM;DEF;PL
bond	السند	bond	سَنَد		N;NOM;DEF;SG
bond	بوند	bond	بوند		
yuri	يوري	yuri	أَورَى		
gözde	مفضلة	gözde	مُفضَلّ		ADJ;NOM;INDF;FEM;SG
gözde	مفضل	gözde	مُفَضِّل		ADJ;NOM;INDF;MASC;SG
gözde	المفضلة	gözde	مُفضَلّ		N;NOM;DEF;SG
gözde	المفضل	gözde	مُفَضِّل		ADJ;NOM;DEF;MASC;SG
tecrübe	خبرة	tecrübe	خِبرَة		N;NOM;INDF;SG
tecrübe	التجربة	tecrübe	تَجرِبَة		N;NOM;DEF;SG
tecrübe	الخبرة	tecrübe	خِبرَة		N;NOM;DEF;SG
tecrübe	الخبرات	tecrübe	خِبرَة		N;NOM;DEF;PL
tecrübe	تجربة	tecrübe	تَجرِبَة		N;NOM;INDF;SG
lahana	ملفوف	lahana	مَلفُوف	N;NOM;SG;3	ADJ;NOM;INDF;MASC;SG
nokia	نوكيا	nokia	نَوكِيّ		
çiçekler	الزهور	çiçek	زَهر	N;NOM;PL;3	N;NOM;DEF;SG
çiçekler	زهور	çiçek	زُهُور	N;NOM;PL;3	
çiçekler	الازهار	çiçek	اِزهَار	N;NOM;PL;3	N;NOM;DEF;SG
çiçekler	ازهار	çiçek	ازهار	N;NOM;PL;3	
gridcolor	gridco	gridco	مَكبَثَاس		
stark	ستارك	stark	ستارك		
soğutma	تبريد	soğut	تَبرِيد		N;NOM;INDF;SG
soğutma	التبريد	soğut	تَبرِيد		N;NOM;DEF;SG
soğutma	تبريد	soğut	تَبرِيد		N;NOM;INDF;SG
soğutma	التبريد	soğut	تَبرِيد		N;NOM;DEF;SG
nereye	اين	nere	أَينَ	PRO;DAT;SG;3	DET
nereye	حيث	nere	حَيثُ	PRO;DAT;SG;3	CONJ
step	خطوة	step	خَطوَة		N;NOM;INDF;SG
step	الخطوة	step	خَطوَة		N;NOM;DEF;SG
dale	دايل	dale	دايل		
inanılmaz	مدهش	inan	مدهش	V;IPFV;IND;NEG;V.PTCP;PASS	
damar	عروق	damar	عروق		
damar	وريد	damar	وَرِيد		
damar	الوريد	damar	وَرِيد		N;NOM;DEF;SG
damar	الوعائية	damar	وِعَائِيّ		
rumen	روماني	rumen	رُومَانِيّ		ADJ;NOM;INDF;MASC;SG
rumen	الروماني	rumen	رُومَانِيّ		ADJ;NOM;DEF;MASC;SG
rumen	رومانيا	rumen	رُومَانِيَا		
rumen	الرومانية	rumen	رُومَانِيّ		ADJ;NOM;DEF;FEM;SG
erbil	اربيل	erbil	أَربِيل		
riley	رايلي	riley	رايلي		
riley	رايلى	riley	رايلى		
göreceli	النسبي	gör	نِسبِيّ		ADJ;NOM;DEF;MASC;SG
göreceli	نسبيا	gör	نِسبِيّ		ADJ;ACC;INDF;MASC;SG
göreceli	نسبية	gör	نِسبِيّ		ADJ;NOM;INDF;FEM;SG
göreceli	نسبي	gör	نِسبِيّ		ADJ;NOM;INDF;MASC;SG
mercan	المرجانية	mercan	مَرجَانِيّ		N;NOM;DEF;SG
mercan	كورال	mercan	كُورَال		
mercan	مرجانية	mercan	مَرجَانِيّ		ADJ;NOM;INDF;FEM;SG
lang	لانغ	lang	لانغ		
lang	لانج	lang	لانج		
feminist	النسوية	feminist	نَسَوِيّ		ADJ;NOM;DEF;FEM;SG
doğumu	ميلاد	doğum	ميلاد	N;ACC;SG;3	N;NOM;INDF;SG
doğumu	الميلاد	doğum	مِيلَاد	N;ACC;SG;3	N;NOM;DEF;SG
doğumu	الولادة	doğum	وِلَادَة	N;ACC;SG;3	N;NOM;DEF;SG
doğumu	ولادة	doğum	وِلَادَة	N;ACC;SG;3	N;NOM;INDF;SG
