astronomie	astronomii	astronomie	astronomia	N;FEM;SG	
tombé	upadły	tomber	upaść	V;MASC;SG;PST;V.PTCP	V;PFV;FEM;IND;PL;PST;FIN;ACT
engagés	zatrudniony	engager	zatrudnić	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
engagés	wynajęty	engager	wynająć	V;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP
engagés	wynajął	engager	wynająć	V;MASC;PL;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
engagés	zatrudniona	engager	zatrudnić	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
engagés	zaręczony	engager	zaręczyć	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
engagés	zaręczona	engager	zaręczyć	V;MASC;PL;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
engagés	zaręczyny	engager	zaręczyna	V;MASC;PL;PST;V.PTCP	N;NOM;FEM;PL
engagés	popełnił	engager	popełnić	V;MASC;PL;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
engagés	zaangażowana	engager	zaangażować	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG
engagés	zaangażowany	engager	zaangażować	V;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;SG
sarthe	sarthe	sarthe	sartha	N;FEM;SG	
istanbul	stambule	istanbul	stambuł	PROPN	N;NOM;MASC;SG
témoignages	świadectwa	témoignage	świadectwo	N;MASC;PL	N;NOM;NEUT;SG
proposée	proponowane	proposer	proponować	V;FEM;SG;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
proposée	proponowana	proposer	proponować	V;FEM;SG;PST;V.PTCP	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
proposée	proponowany	proposer	proponować	V;FEM;SG;PST;V.PTCP	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
laurence	laurence	laurence	laurenka	N;FEM;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
łódź	łodzi	łódź	łódź	N;MASC;SG	
łódź	łódź	łódź	łódź	N;MASC;SG	
sorties	wyjścia	sortir	wyjście	V;FEM;PL;PST;V.PTCP	N;NOM;NEUT;SG
baptisé	ochrzczony	baptiser	ochrzcić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
baptisé	ochrzczony	baptiser	ochrzcić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
baptisé	ochrzczony	baptiser	ochrzcić	V;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
mons	mons	monsteur	mons	PROPN	PROPN;NOM;MASC;SG
sean	sean	sean	sean	PROPN	PROPN;NOM;MASC;SG
sean	seana	sean	seana	PROPN	N;ACC;MASC;SG
dégâts	zniszczenia	dégât	zniszczyć	N;MASC;PL	N;NOM;NEUT;SG
dégâts	uszkodzenie	dégât	uszkodzić	N;MASC;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
dégâts	szkody	dégât	szkoda	N;MASC;PL	
dégâts	uszkodzenia	dégât	uszkodzenie	N;MASC;PL	N;NOM;NEUT;SG
dégâts	szkody	dégât	szkoda	N;MASC;PL	
dégâts	odszkodowanie	dégât	odszkodowanie	N;MASC;PL	N;NOM;NEUT;SG
wolf	wolf	wolf	wolf	PROPN	
wolf	wilka	wolf	wilka	PROPN	N;ACC;MASC;SG
wolf	wilk	wolf	wilk	PROPN	N;NOM;MASC;SG
notable	znaczące	notable	znaczący	ADJ;MASC;SG	
doublage	dubbing	doublage	dubbing	N;MASC;SG	
secrète	sekret	secret	sekret	ADJ;FEM;SG	N;NOM;MASC;SG
secrète	secret	secret	secret	ADJ;FEM;SG	
secrète	tajne	secret	tajny	ADJ;FEM;SG	
secrète	tajemnica	secret	tajemnica	ADJ;FEM;SG	N;NOM;FEM;SG
louisiane	luizjany	louisian	luizjany	N;FEM;SG	
professionnelles	zawodowe	professionnel	zawodowy	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
professionnelles	profesjonalne	professionnel	profesjonalny	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
professionnelles	profesjonalna	professionnel	profesjonalny	ADJ;FEM;PL	ADJ;NOM;FEM;SG
professionnelles	profesjonalny	professionnel	profesjonalny	ADJ;FEM;PL	ADJ;NOM;MASC;SG
professionnelles	profesjonalnie	professionnel	profesjonalnie	ADJ;FEM;PL	ADV
médiéval	średniowiecza	médiéval	średniowieczy	ADJ;MASC;SG	N;NOM;NEUT;SG
prime	premia	prime	premia	N;FEM;SG	
prime	premie	prime	prema	N;FEM;SG	N;NOM;MASC;PL
prime	prime	prime	primy	N;FEM;SG	
prime	premia	prime	premia	N;FEM;SG	
prime	premium	prime	premium	N;FEM;SG	
prime	premii	prime	premia	N;FEM;SG	
sonore	dźwięki	sonore	dźwięk	ADJ;MASC;SG	N;NOM;MASC;PL
sonore	sound	sonore	sounda	ADJ;MASC;SG	
sonore	dźwięk	sonore	dźwięk	ADJ;MASC;SG	N;ACC;MASC;SG
classées	sklasyfikowane	classer	sklasyfikować	V;FEM;PL;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
classées	tajne	classer	tajny	V;FEM;PL;PST;V.PTCP	
classées	tajna	classer	tajny	V;FEM;PL;PST;V.PTCP	N;NOM;FEM;SG
classées	tajny	classer	tajny	V;FEM;PL;PST;V.PTCP	ADJ;NOM;MASC;SG
classées	ranking	classer	ranking	V;FEM;PL;PST;V.PTCP	N;NOM;MASC;SG
classées	rankingu	classer	ranking	V;FEM;PL;PST;V.PTCP	N;DAT;MASC;SG
oracle	oracle	oracle	oracle	N;MASC;SG	
age	age	age	age	N;MASC;SG	
melbourne	melbourne	melbourne	melbourne	PROPN	PROPN;NOM;MASC;SG
polémique	kontrowersji	polémique	kontrowersja	ADJ;FEM;SG	
sauvages	wild	sauvage	wild	ADJ;MASC;PL	
sauvages	dziki	sauvage	dzik	ADJ;MASC;PL	N;NOM;MASC;SG
sauvages	dziko	sauvage	dziko	ADJ;MASC;PL	
sauvages	dzika	sauvage	dziki	ADJ;MASC;PL	
sauvages	dzikie	sauvage	dziki	ADJ;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
vivants	żyjący	vivant	żyć	ADJ;MASC;PL	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
vivants	żywe	vivant	żywy	ADJ;MASC;PL	
vivants	żywe	vivant	żywy	ADJ;MASC;PL	
vivants	żywy	vivant	żywy	ADJ;MASC;PL	
vivants	żyje	vivant	żyć	ADJ;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
vivants	żywa	vivant	żywy	ADJ;MASC;PL	ADJ;NOM;FEM;SG
