que	att	que	att	CONJ	PART
del	del	del	del	ADP;MASC;SG	N;NOM;INDF;MASC+FEM;SG
los	de	él	de	PRO;ACC;MASC;PL;3	PRO;NOM;DEF;PL
los	den	él	den	PRO;ACC;MASC;PL;3	PRO;DEF;MASC+FEM;SG
las	de	él	de	PRO;ACC;FEM;PL;3	PRO;NOM;DEF;PL
las	den	él	den	PRO;ACC;FEM;PL;3	PRO;DEF;MASC+FEM;SG
una	en	uno	en	DET;INDF;FEM;SG	NUM;NOM;INDF;MASC+FEM;SG
una	ett	uno	en	DET;INDF;FEM;SG	NUM;NOM;INDF;NEUT;SG
una	one	uno	one	DET;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
como	hur	como	hur	CONJ	ADV
como	gilla	como	gilla	CONJ	V;IMP;FIN;ACT
como	gillar	como	gilla	CONJ	V;IND;PRS;FIN;ACT
como	like	como	like	CONJ	V;IMP;FIN;ACT
fue	var	ser	var	V;IND;SG;3;PST;FIN	PRO;INDF;MASC+FEM;SG
más	more	más	more	ADV	
más	fler	más	mången	ADV	PRO;INDF;PL
sus	deras	su	de	DET;PL;3	PRO;DEF
sus	sina	su	sig	DET;PL;3	PRO;DEF;PL
sus	hans	su	han	DET;PL;3	PRO;DEF
sus	ditt	su	du	DET;PL;3	PRO;DEF;NEUT;SG
sus	din	su	du	DET;PL;3	PRO;DEF;MASC+FEM;SG
sus	dina	su	du	DET;PL;3	PRO;DEF;PL
sus	its	su	its	DET;PL;3	N;NOM;INDF;MASC+FEM;SG
sus	dess	su	den	DET;PL;3	PRO;DEF
también	oxå	también	oxå	ADV	N;NOM;INDF;MASC+FEM;SG
también	too	también	too	ADV	N;NOM;INDF;NEUT;SG
entre	entre	entre	entre	ADP	N;NOM;INDF;MASC+FEM;SG
este	östra	este	östra	PRO;MASC;SG	ADJ;NOM;DEF;SG
este	österut	este	österut	PRO;MASC;SG	ADV
este	öst	este	öst	PRO;MASC;SG	N
este	öster	este	öster	PRO;MASC;SG	N;NOM;INDF;MASC+FEM;SG
años	years	año	years	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
años	år	año	år	N;MASC;PL	N;NOM;INDF;NEUT;SG
dos	dos	dos	dos	NUM;PL	N;NOM;INDF;MASC+FEM;SG
son	are	ser	are	V;IND;PL;3;PRS;FIN	N;NOM;INDF;MASC+FEM;SG
sobre	ungefär	sobre	ungefär	ADP	ADV
sobre	kuvertet	sobre	kuvert	ADP	N;NOM;DEF;NEUT;SG
sobre	kuvert	sobre	kuvert	ADP	N;NOM;INDF;NEUT;SG
desde	sedan	desde	sedan	ADP	ADV
enlaces	anknyter	enlace	anknyta	N;MASC;PL	V;IND;PRS;FIN;ACT
hasta	jämn	hasta	jämn	ADP	ADJ;NOM;INDF;MASC+FEM;SG
hasta	även	hasta	även	ADP	ADV
hasta	tills	hasta	tills	ADP	ADV
externos	extern	externo	exter	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
externos	externt	externo	extern	ADJ;MASC;PL	ADV
externos	externa	externo	ext	ADJ;MASC;PL	N;NOM;DEF;MASC+FEM;PL
ser	ser	ser	se	V;NFIN	V;IND;PRS;FIN;ACT
sin	synd	sin	synd	ADP	N;NOM;INDF;MASC+FEM;SG
sin	synden	sin	synd	ADP	N;NOM;DEF;MASC+FEM;SG
sin	synda	sin	synda	ADP	V;IMP;FIN;ACT
donde	var	donde	var	PRO	PRO;INDF;MASC+FEM;SG
donde	där	donde	där	PRO	ADV
donde	vart	donde	var	PRO	N;NOM;INDF;NEUT;SG
san	san	san	san	N;MASC;SG	PROPN;NOM
era	var	ser	var	V;IND;SG;3;IPFV;FIN	PRO;INDF;MASC+FEM;SG
nacional	nationella	nacional	nationell	ADJ;SG	ADJ;NOM;PL
nacional	national	nacional	national	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
nacional	nacional	nacional	nacional	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
primera	först	primero	först	ADJ;FEM;SG	ADV
cuando	när	cuando	när	CONJ	ADV
nombre	namnge	nombre	namnge	N;MASC;SG	V;IMP;FIN;ACT
después	after	después	after	ADV	N;NOM;INDF;MASC+FEM;SG
después	efter	después	efter	ADV	ADP
españa	spanien	españa	spani	N;FEM;SG	PROPN;NOM
otros	annan	otro	annan	PRO;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
otros	övrig	otro	övrig	PRO;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
otros	övriga	otro	övrig	PRO;MASC;PL	ADJ;NOM;PL
otros	övrigt	otro	övrigt	PRO;MASC;PL	ADJ;NOM;INDF;NEUT;SG
otros	annat	otro	annan	PRO;MASC;PL	PRO;INDF;NEUT;SG
otros	övriga	otro	övrig	PRO;MASC;PL	ADJ;NOM;PL
gran	big	gran	big	ADJ;SG	N;NOM;INDF;NEUT;SG
gran	stora	gran	stor	ADJ;SG	ADJ;NOM;PL
gran	jättebra	gran	jättebra	ADJ;SG	N;NOM;INDF;NEUT;SG
gran	toppen	gran	topp	ADJ;SG	N;NOM;DEF;MASC+FEM;SG
gran	gran	gran	gran	ADJ;SG	N;NOM;INDF;MASC+FEM;SG
gran	grand	gran	grand	ADJ;SG	N;NOM;INDF;NEUT;SG
unidos	united	unido	united	ADJ;MASC;PL;V.PTCP	N;NOM;INDF;MASC+FEM;SG
unidos	enad	unido	enad	ADJ;MASC;PL;V.PTCP	ADJ;NOM;INDF;MASC+FEM;SG
unidos	enade	unido	enade	ADJ;MASC;PL;V.PTCP	N;NOM;INDF;MASC+FEM;SG
puede	kan	poder	kunna	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
puede	can	poder	can	V;IND;SG;3;PRS;FIN	N;NOM;INDF;MASC+FEM;SG
estado	statliga	estado	statlig	N;MASC;SG	ADJ;NOM;PL
estado	statligt	estado	statlig	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG
estado	villkor	estado	villkor	N;MASC;SG	N;NOM;INDF;NEUT;PL
uno	uno	uno	uno	PRO;MASC;SG	PROPN;NOM
uno	en	uno	en	PRO;MASC;SG	NUM;NOM;INDF;MASC+FEM;SG
uno	ett	uno	en	PRO;MASC;SG	NUM;NOM;INDF;NEUT;SG
uno	one	uno	one	PRO;MASC;SG	N;NOM;INDF;MASC+FEM;SG
lugar	placera	lugar	placera	N;MASC;SG	V;IMP;FIN;ACT
primer	först	primero	först	ADJ;MASC;SG	ADV
había	had	haber	had	V;IND;SG;3;IPFV;FIN	V;IMP;FIN;ACT
había	hadde	haber	ha	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
había	hade	haber	ha	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
había	haft	haber	ha	V;IND;SG;3;IPFV;FIN	V;V.CVB;ACT
mismo	samma	mismo	samma	ADJ;MASC;SG	DET;INDF
mismo	detsamma	mismo	densamma	ADJ;MASC;SG	PRO;DEF;NEUT;SG
nueva	nyhet	nuevo	nyhet	ADJ;FEM;SG	N;NOM;INDF;MASC+FEM;SG
nueva	nya	nuevo	ny	ADJ;FEM;SG	ADJ;NOM;PL
fueron	var	ser	var	V;IND;PL;3;PST;FIN	PRO;INDF;MASC+FEM;SG
eran	var	ser	var	V;IND;PL;3;IPFV;FIN	PRO;INDF;MASC+FEM;SG
cual	vilka	cual	vilken	PRO;SG	PRO;INDF;PL
cual	vilken	cual	vilken	PRO;SG	PRO;INDF;MASC+FEM;SG
cual	som	cual	som	PRO;SG	CONJ
universidad	college	universidad	college	N;FEM;SG	PROPN;NOM
forma	bilda	forma	bilda	N;FEM;SG	V;IMP;FIN;ACT
tres	tres	tres	tres	NUM;PL	N;NOM;INDF;NEUT;SG
tres	three	tres	three	NUM;PL	N;NOM;INDF;MASC+FEM;SG
grupo	gruppera	grupo	gruppera	N;MASC;SG	V;IMP;FIN;ACT
general	allmän	general	allmän	N;SG	ADJ;NOM;INDF;MASC+FEM;SG
general	allmänna	general	allmän	N;SG	ADJ;NOM;PL
general	allmänt	general	allmän	N;SG	ADV
guerra	kriga	guerra	krig	N;FEM;SG	V;IMP;FIN;ACT
guerra	war	guerra	war	N;FEM;SG	V;IMP;FIN;ACT
aunque	fastän	aunque	fastän	CONJ	ADV
tras	efteråt	tras	efteråt	ADP	ADV
tras	after	tras	after	ADP	N;NOM;INDF;MASC+FEM;SG
familia	familjer	familia	familj	N;FEM;SG	N;NOM;INDF;MASC+FEM;PL
todo	everything	todo	everything	PRO;MASC;SG	N;NOM;INDF;MASC+FEM;SG
todo	allt	todo	all	PRO;MASC;SG	PRO;INDF;NEUT;SG
todo	allt	todo	all	PRO;MASC;SG	PRO;INDF;NEUT;SG
todo	alla	todo	all	PRO;MASC;SG	PRO;INDF;PL
sur	sydlig	sur	sydlig	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
sur	södra	sur	södra	N;MASC;SG	ADJ;NOM;DEF;SG
sur	syd	sur	syd	N;MASC;SG	PROPN;NOM
sur	söderut	sur	söderut	N;MASC;SG	ADV
sur	södra	sur	södra	N;MASC;SG	ADJ;NOM;DEF;SG
mayor	majoren	mayor	major	ADJ;SG	N;NOM;DEF;MASC+FEM;SG
