que	tu	que	tu	PRO	INTJ
a	os	o	o	DET	PRO;ACC;MASC;PL;3
o	os	o	o	DET	PRO;ACC;MASC;PL;3
non	não	non	não	PART	INTJ
non	don	non	don	PART	PROPN;MASC;SG
un	um	un	um	DET	NUM
un	uma	un	um	DET	NUM
un	one	un	one	DET	N;MASC;SG
os	os	o	o	DET	PRO;ACC;MASC;PL;3
unha	um	un	um	DET	NUM
unha	uma	un	um	DET	NUM
unha	one	un	one	DET	N;MASC;SG
se	tu	se	tu	CONJ	INTJ
se	você	se	você	CONJ	PRO;NOM;SG;3
se	vc	se	vc	CONJ	PRO;NOM;MASC;SG;3
por	porque	por	porque	ADP	CONJ
por	porquê	por	porquê	ADP	ADV
do	os	do	o	PROPN	PRO;ACC;MASC;PL;3
do	do	do	do	PROPN	N;MASC;SG
do	de	do	de	PROPN	ADP
do	da	do	da	PROPN	INTJ
da	os	da	o	V	PRO;ACC;MASC;PL;3
da	do	da	do	V	N;MASC;SG
da	de	da	de	V	ADP
da	da	da	da	V	INTJ
as	os	o	o	DET	PRO;ACC;MASC;PL;3
como	como	como	como	PRO	ADV
como	like	como	like	PRO	N;MASC;SG
como	curta	como	curto	PRO	ADJ;FEM;SG
como	como	como	como	PRO	ADV
máis	more	máis	more	ADV	N;MASC;SG
máis	most	máis	most	ADV	N;MASC;SG
máis	than	máis	than	ADV	N;MASC;SG
no	os	no	o	V	PRO;ACC;MASC;PL;3
ben	boa	ben	bom	ADV	ADJ;FEM;SG
ben	bom	ben	bom	ADV	ADJ;MASC;SG
ben	ok	ben	ok	ADV	N;FEM;SG
ben	certo	ben	certo	ADV	ADJ;MASC;SG
ben	direito	ben	direito	ADV	N;MASC;SG
ben	direita	ben	direita	ADV	N;FEM;SG
ben	todas	ben	todo	ADV	DET;FEM;PL
ben	tudo	ben	tudo	ADV	PRO;MASC;SG
ben	todos	ben	todo	ADV	PRO;MASC;PL
na	os	na	o	N	PRO;ACC;MASC;PL;3
ao	os	ao	o	PROPN	PRO;ACC;MASC;PL;3
son	são	ser	ser	V	V;IND;PL;3;PRS;FIN
son	estão	ser	estar	V	V;IND;PL;3;PRS;FIN
son	are	ser	are	V	N;MASC;SG
son	eles	ser	eles	V	PRO;NOM;MASC;PL;3
son	elas	ser	ele	V	PRO;NOM;FEM;PL;3
á	os	á	o	N	PRO;ACC;MASC;PL;3
hai	ai	haber	ai	V	INTJ
hai	ali	haber	ali	V	ADV
hai	aí	haber	aí	V	ADV
hai	lá	haber	lá	V	ADV
hai	são	haber	ser	V	V;IND;PL;3;PRS;FIN
hai	estão	haber	estar	V	V;IND;PL;3;PRS;FIN
hai	are	haber	are	V	N;MASC;SG
todo	tudo	todo	tudo	DET	PRO;MASC;SG
todo	todos	todo	todo	DET	PRO;MASC;PL
todo	everything	todo	everything	DET	N;MASC;SG
todo	tudo	todo	tudo	DET	PRO;MASC;SG
cando	quando	cando	quando	PRO	ADV
cando	when	cando	when	PRO	N;MASC;SG
cando	tu	cando	tu	PRO	INTJ
xa	ja	xa	ja	ADV	INTJ
xa	tu	xa	tu	ADV	INTJ
xa	você	xa	você	ADV	PRO;NOM;SG;3
xa	vc	xa	vc	ADV	PRO;NOM;MASC;SG;3
