oklahoma	οκλαχόμα	oklahoma	οκλαχόμα		PROPN;NOM;FEM;SG
sjæl	σόουλ	sjæl	σόουλ	N;INDF;MASC+FEM;SG	
grafisk	γραφικό	grafisk	γραφικός	ADV	ADJ;NOM;NEUT;SG
grafisk	γραφικός	grafisk	γραφικός	ADV	ADJ;NOM;MASC;SG
grafisk	γραφικό	grafisk	γραφικός	ADV	ADJ;NOM;NEUT;SG
flot	κούκλος	flot	κούκλος	ADJ;INDF;SG	N;NOM;MASC;SG
bella	μπέλα	bella	μπέλα	N;INDF;MASC+FEM;SG	
bella	bella	bella	bella	N;INDF;MASC+FEM;SG	
bella	μπέλλα	bella	μπέλλα	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
sierra	sierra	sierra	sierra		
sierra	σιέρρα	sierra	σιέρρα		PROPN;NOM;FEM;SG
sierra	σιέρα	sierra	σιέρα		PROPN;NOM;FEM;SG
frigivet	απελευθερώνεται	frigiv	απελευθερώνω	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
nazistiske	ναζί	nazistisk	ναζί	ADJ;PL	N;NOM;MASC;PL
aktion	action	aktion	action	N;INDF;MASC+FEM;SG	
tung	βαρύ	tung	βαρύς	ADJ;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
tung	βαριά	tung	βαριός	ADJ;INDF;MASC+FEM;SG	ADV
tung	τουνγκ	tung	τουνγκ	ADJ;INDF;MASC+FEM;SG	
trænet	εκπαιδευμένοι	træne	εκπαιδεύω	V;INDF;SG;PST;V.PTCP	V;PFV;NOM;MASC;PL;V.PTCP;PASS
byzantinske	βυζαντινή	byzantinsk	βυζαντινός	ADJ;PL	ADJ;NOM;FEM;SG
forventet	αναμένεται	forvente	αναμένω	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
forventet	αναμενόμενα	forvente	αναμενόμενος	V;INDF;SG;PST;V.PTCP	ADV
forventet	αναμενόμενη	forvente	αναμενόμενος	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
forventet	αναμενόμενο	forvente	αναμενόμενο	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
harrison	χάρισον	harrison	χάρισον		
harrison	harrison	harrison	harrison		
gaza	γάζα	gaza	γάζα	PROPN	N;NOM;FEM;SG
grey	γκρίζο	grey	γκρίζο		N;NOM;NEUT;SG
grey	γκρέι	grey	γκρέι		
grey	γκρι	grey	γκρι		N;NOM;SG
grey	γκρίζα	grey	γκρίζα		N;NOM;NEUT;PL
grey	grey	grey	grey		
pyrénées	pyrénées	pyrknée	pyrénées	N;GEN;INDF;MASC+FEM;PL	
aires	άιρες	aires	άιρα	PROPN	PROPN;NOM;FEM;PL
raf	ραφ	raf	ραφ	PROPN	N
kirk	kirk	kirk	kirk		
kirk	κερκ	kirk	κερκ		
lodret	κάθετα	loder	κάθετα	ADJ;INDF;SG	ADV
lodret	κατακόρυφα	loder	κατακόρυφο	ADJ;INDF;SG	ADV
lodret	κατακόρυφο	loder	κατακόρυφο	ADJ;INDF;SG	N;NOM;NEUT;SG
lodret	κάθετο	loder	κάθετος	ADJ;INDF;SG	N;NOM;NEUT;SG
lodret	κατακόρυφη	loder	κατακόρυφο	ADJ;INDF;SG	N;NOM;FEM;SG
lodret	κατακόρυφα	loder	κατακόρυφο	ADJ;INDF;SG	ADV
essays	δοκίμια	essay	δοκίμιο	N;INDF;NEUT;SG	N;NOM;NEUT;PL
racing	αγωνιστική	racing	αγωνιστικός		N;NOM;FEM;SG
racing	αγωνιστικά	racing	αγωνιστικά		ADV
jamie	jamie	jamie	jamie		
jamie	τζέιμι	jamie	τζέιμι		
kontrollerede	ελεγχόμενη	kontrollere	ελεγχόμενος	V;PL;PST;V.PTCP	V;PFV;NOM;FEM;SG;V.PTCP;PASS
kontrollerede	ελέγχεται	kontrollere	ελέγχω	V;PL;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
kontrollerede	ελεγχόμενο	kontrollere	ελεγχόμενο	V;PL;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
kontrollerede	ελεγχόμενες	kontrollere	ελεγχόμενος	V;PL;PST;V.PTCP	ADJ;NOM;FEM;PL
hunter	χάντερ	hunte	χάντερ	N;INDF;MASC+FEM;PL	
hunter	κυνηγός	hunte	κυνηγός	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
hunter	hunter	hunte	hunter	N;INDF;MASC+FEM;PL	
dramatiske	δραματικά	dramatisk	δραματικά	ADJ;PL	ADV
dramatiske	δραματικός	dramatisk	δραματικός	ADJ;PL	ADJ;NOM;MASC;SG
dramatiske	δραματικό	dramatisk	δραματικός	ADJ;PL	ADJ;NOM;NEUT;SG
dramatiske	δραματική	dramatisk	δραματικός	ADJ;PL	ADJ;NOM;FEM;SG
farlig	επικίνδυνες	farlig	επικίνδυνας	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
farlig	επικίνδυνα	farlig	επικίνδυνα	ADJ;INDF;MASC+FEM;SG	ADV
farlig	επικίνδυνων	farlig	επικίνδυνα	ADJ;INDF;MASC+FEM;SG	N;GEN;FEM;PL
farlig	επικίνδυνα	farlig	επικίνδυνα	ADJ;INDF;MASC+FEM;SG	ADV
plantage	φυτείες	plantage	φυτεία	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
kontroversielle	αμφιλεγόμενο	kontroversiel	αμφιλεγόμενο	ADJ;PL	ADJ;NOM;NEUT;SG
kontroversielle	αμφιλεγόμενη	kontroversiel	αμφιλεγόμενος	ADJ;PL	ADJ;NOM;FEM;SG
kontroversielle	επίμαχο	kontroversiel	επίμαχος	ADJ;PL	N;NOM;NEUT;SG
kvæg	βόδια	kvæg	βόδιος	N;INDF;NEUT;SG	N;NOM;NEUT;PL
kvæg	βοοειδή	kvæg	βοοειδή	N;INDF;NEUT;SG	N;NOM;NEUT;PL
catherine	κατρίν	catherin	κατρίν	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
catherine	catherine	catherin	catherine	N;INDF;MASC+FEM;SG	
catherine	κάθριν	catherin	κάθριν	N;INDF;MASC+FEM;SG	
catherine	κατερίνα	catherin	κατερίνα	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
revolutionære	επαναστάτης	revolutionær	επαναστάτης	ADJ;PL	N;NOM;MASC;SG
revolutionære	επαναστατική	revolutionær	επαναστατικός	ADJ;PL	ADJ;NOM;FEM;SG
revolutionære	επαναστατικό	revolutionær	επαναστατικό	ADJ;PL	ADJ;NOM;NEUT;SG
revolutionære	επαναστάτες	revolutionær	επαναστάτης	ADJ;PL	N;NOM;MASC;PL
redigering	μοντάζ	redigering	μοντάζ	N;INDF;MASC+FEM;SG	
woman	γυναικα	woman	γυναικα		N;NOM;FEM;SG
woman	γυναίκα	woman	γυναίκα		N;NOM;FEM;SG
philippe	philippe	philippe	philippe		
philippe	φιλίπ	philippe	φιλίπ		PROPN;NOM;MASC;SG
udenlandsk	ξένα	udenlandsk	ξένος	ADJ;INDF;SG	ADJ;NOM;NEUT;PL
them	τους	them	μου		PRO;GEN;MASC;PL;3
heaven	παράδεισος	heaven	παράδεισος		N;NOM;MASC;SG
heaven	παράδεισο	heaven	παράδεισος		N;ACC;MASC;SG
istanbul	κων	istanbul	κων	PROPN	N
istanbul	κωνσταντινούπολη	istanbul	κωνσταντινούπολη	PROPN	PROPN;ACC;FEM;SG
istanbul	ιστανμπούλ	istanbul	ιστανμπούλ	PROPN	PROPN;NOM;NEUT;SG
download	κατέβασμα	download	κατέβασμα	V;IMP	N;NOM;NEUT;SG
download	λήψη	download	λήψη	V;IMP	N;ACC;FEM;SG
download	κατεβάστε	download	κατεβάστε	V;IMP	V;IPFV;IND;PL;2;PRS;FIN;ACT
vidnesbyrd	μαρτυρίες	vidnesbyrd	μαρτυρία	N;INDF;NEUT;SG	N;NOM;FEM;PL
montgomery	μοντγκόμερι	montgomery	μοντγκόμερι	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
edmund	έντμουντ	edmund	έντμουντ	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
edmund	έντμοντ	edmund	έντμοντ	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
moses	μωυσής	moses	μωυσός	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
jagerfly	μαχητικά	jagerfly	μαχητικά	N;INDF;MASC+FEM;SG	ADV
jagerfly	αγωνιστές	jagerfly	αγωνιστής	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
jagerfly	μαχητές	jagerfly	μαχητός	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
pacific	ειρηνικός	pacific	ειρηνικός		ADJ;NOM;MASC;SG
pacific	ειρηνικού	pacific	ειρηνικός		ADJ;GEN;NEUT;SG
pacific	πασίφικ	pacific	πασίφικ		
pacific	ειρηνικό	pacific	ειρηνικός		ADJ;NOM;NEUT;SG
pommern	πομερανία	pommer	πομερανία	N;INDF;MASC+FEM;SG	PROPN;ACC;FEM;SG
engel	έιντζελ	engel	έιντζελ	N;INDF;MASC+FEM;SG	
engel	angel	engel	angel	N;INDF;MASC+FEM;SG	
myter	μύθο	myte	μύθος	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
myter	μύθος	myte	μύθος	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
frivillig	προαιρετικά	frivillig	προαιρετικά	ADJ;INDF;MASC+FEM;SG	ADV
frivillig	προαιρετικές	frivillig	προαιρετικός	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
frivillig	εθελοντικά	frivillig	εθελοντικά	ADJ;INDF;MASC+FEM;SG	ADV
frivillig	εθελοντής	frivillig	εθελοντής	ADJ;INDF;MASC+FEM;SG	N;NOM;MASC;SG
frivillig	εθελόντρια	frivillig	εθελόντρια	ADJ;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
frost	φροστ	frost	φροστ	N;INDF;MASC+FEM;SG	
sting	ράμματα	sting	ράμμα	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
asiatiske	ασιάτης	asiatisk	ασιάτης	ADJ;PL	N;NOM;MASC;SG
asiatiske	ασιάτες	asiatisk	ασιάτης	ADJ;PL	N;NOM;MASC;PL
asiatiske	ασιατική	asiatisk	ασιατικός	ADJ;PL	ADJ;NOM;FEM;SG
asiatiske	ασιατικό	asiatisk	ασιατικός	ADJ;PL	ADJ;NOM;NEUT;SG
sweet	γλυκό	swe	γλυκό		N;NOM;NEUT;SG
sweet	γλυκά	swe	γλυκά		N;NOM;NEUT;PL
sweet	γλυκιά	swe	γλυκιά		N;NOM;FEM;SG
sweet	γλυκός	swe	γλυκός		ADJ;NOM;MASC;SG
ler	γέλια	le	γέλιο	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
ler	γελάει	le	γελώ	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
ler	γελά	le	γελά	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
ler	κλέι	le	κλέι	N;INDF;MASC+FEM;SG	
jagten	hunt	jagt	hunt	N;DEF;MASC+FEM;SG	
jagten	χαντ	jagt	χαντ	N;DEF;MASC+FEM;SG	PROPN;NOM;MASC;SG
