loại	tasteaza	loại	tastează	N	V;IND;SG;3;IPFV;FIN
một	una	một	unul	NUM	PRO;FEM;SG;3
một	unul	một	unul	NUM	PRO;MASC;SG;3
năm	cinci	năm	cinci	N	NUM;PL
của	dumneavoastra	của	dumneavoastra	ADP	
của	ta	của	tău	ADP	DET;FEM;SG;1
các	ai	các	avea	DET	V;SG;2
các	te	các	tu	DET	PRO;ACC;SG;2
các	tu	các	tu	DET	PRO;NOM;SG;2
này	asta	này	acesta	PROPN	PRO;FEM;SG;3
này	aceasta	này	acesta	PROPN	PRO;FEM;SG;3
này	hei	này	hei	PROPN	
thích	placut	thích	placut	V	N;INDF;MASC;SG
thích	ca	thích	ca	V	ADV
thích	like	thích	like	V	
thích	aprecierile	thích	apreciere	V	N;DEF;FEM;PL
thích	aprecieri	thích	apreciere	V	N;INDF;FEM;PL
học	studii	học	studiu	V	N;INDF;FEM;PL
học	studiul	học	studiu	V	N;DEF;MASC;SG
học	studiu	học	studiu	V	N;INDF;MASC;SG
học	scoala	học	scoală	V	N;DEF;FEM;SG
học	scoala	học	scoală	V	N;DEF;FEM;SG
học	scoala	học	scoală	V	N;DEF;FEM;SG
học	scoala	học	scoală	V	N;DEF;FEM;SG
học	scoala	học	scoală	V	N;DEF;FEM;SG
học	invatare	học	invatare	V	N;INDF;FEM;SG
người	man	người	man	N	
thực	real	thực	real	V	ADJ;INDF;MASC;SG
thực	reale	thực	real	V	ADJ;INDF;FEM;PL
thực	reala	thực	reală	V	ADJ;DEF;FEM;SG
thực	autentic	thực	autentic	V	ADV
thực	autentice	thực	autentic	V	ADJ;INDF;FEM;PL
thực	autentica	thực	autentic	V	ADJ;DEF;FEM;SG
liên	lien	liên	lien		N;INDF;MASC;SG
tham	comune	tham	comun	V	ADJ;INDF;FEM;PL
tham	joint	tham	joint	V	N;INDF;MASC;SG
tham	tham	tham	tham	V	
kết	sfarsit	kết	sfarsi	N	
kết	sfarsit	kết	sfarsi	N	
đầu	primii	đầu	prim	N	NUM;DEF;MASC;PL
đầu	prima	đầu	prim	N	NUM;DEF;FEM;SG
đầu	primul	đầu	prim	N	NUM;DEF;MASC;SG
ngoài	afara	ngoài	afara	N	ADV
ngoài	afara	ngoài	afara	N	ADV
ngoài	exterioare	ngoài	exterior	N	ADJ;INDF;FEM;PL
thành	thành	thành	thành	V	
thành	cheng	thành	cheng	V	PROPN
thành	cetatea	thành	cetate	V	N;DEF;FEM;SG
thành	cetate	thành	cetate	V	
khoa	stiinte	khoa	stiinte		N;INDF;FEM;PL
khoa	stiinta	khoa	stiintă		N;DEF;FEM;SG
khoa	stiinta	khoa	stiintă		N;DEF;FEM;SG
khoa	facultatea	khoa	facultate		N;DEF;FEM;SG
khoa	facultate	khoa	facultate		N;INDF;FEM;SG
cho	cho	cho	cho	V	N;INDF;MASC;SG
cho	pentru	cho	pentru	V	ADP;ACC
cho	dati	cho	da	V	
cho	da	cho	da	V	ADV
không	nu	không	nu	;NEG	PART;NEG
thuộc	apartine	thuộc	apartine	V	
tiên	tiên	tiên	tiên	N	
hoa	unita	hoa	unita	N	ADJ;DEF;FEM;SG
hoa	unite	hoa	unit	N	ADJ;INDF;FEM;PL
hoa	unit	hoa	unit	N	ADJ;INDF;MASC;SG
những	acestea	những	acesta	DET	PRO;FEM;PL;3
những	astea	những	acesta	DET	PRO;FEM;PL;3
những	acelea	những	acela	DET	PRO;FEM;PL;3
những	alea	những	acela	DET	PRO;FEM;PL;3
những	au	những	avea	DET	V;PL;3
những	ei	những	el	DET	PRO;MASC;PL;3
những	ele	những	el	DET	PRO;FEM;PL;3
nam	masculi	nam	mascul	N	ADJ;INDF;MASC;PL
nam	masculin	nam	masculin	N	ADJ;INDF;MASC;SG
nam	nan	nam	nan	N	
nam	nam	nam	nam	N	
công	publice	công	public	N	ADJ;INDF;FEM;PL
công	public	công	public	N	ADJ;INDF;MASC;SG
công	publica	công	publica	N	V;IND;SG;3;IPFV;FIN
chính	chiar	chính	chiar	PART	ADV
chính	proprie	chính	propriu	PART	ADJ;INDF;FEM;SG
chính	proprii	chính	propriu	PART	ADJ;INDF;PL
chính	primare	chính	primar	PART	ADJ;INDF;FEM;PL
chính	primara	chính	primar	PART	ADJ;DEF;FEM;SG
chính	primar	chính	primar	PART	N;INDF;MASC;SG
