les	os	le	o	DET;DEF;PL	PRO;ACC;MASC;PL;3
est	oriente	être	oriente	V;IND;SG;3;PRS;FIN	N;MASC;SG
est	leste	être	leste	V;IND;SG;3;PRS;FIN	N;MASC;SG
est	east	être	east	V;IND;SG;3;PRS;FIN	N;MASC;SG
une	um	un	um	DET;INDF;FEM;SG	NUM
une	uma	un	um	DET;INDF;FEM;SG	NUM
une	one	un	one	DET;INDF;FEM;SG	N;MASC;SG
qui	oms	qui	oms	PRO	N;FEM;SG
qui	who	qui	who	PRO	N;MASC;SG
que	essa	que	esse	CONJ	PRO;FEM;SG
que	isso	que	isso	CONJ	PRO;MASC;SG
que	que	que	que	CONJ	PRO;MASC;SG
son	sound	son	sound	DET;MASC;SG	N;MASC;SG
son	som	son	som	DET;MASC;SG	N;MASC;SG
son	his	son	his	DET;MASC;SG	N;MASC;SG
plus	plus	plus	plus	ADV	N;MASC;SG
plus	more	plus	more	ADV	N;MASC;SG
pas	não	pas	não	ADV;NEG	INTJ
sont	sao	être	sao	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
sont	are	être	are	V;IND;PL;3;PRS;FIN	N;MASC;SG
elle	she	elle	she	PRO;FEM;SG;3	N;MASC;SG
elle	elle	elle	elle	PRO;FEM;SG;3	N;FEM;SG
été	verão	être	ver	V;MASC;SG;PST;V.PTCP	V;IND;PL;3;FUT;FIN
été	summer	être	summer	V;MASC;SG;PST;V.PTCP	N;MASC;SG
avancement	progressos	avancement	progresso	N;MASC;SG	N;MASC;PL
comme	like	comme	like	ADP	N;MASC;SG
comme	curta	comme	curto	ADP	ADJ;FEM;SG
comme	como	comme	como	ADP	ADV
cette	esta	ce	este	DET;FEM;SG	PRO;FEM;SG
cette	isso	ce	isso	DET;FEM;SG	PRO;MASC;SG
cette	isto	ce	isto	DET;FEM;SG	PRO;MASC;SG
cette	essa	ce	esse	DET;FEM;SG	PRO;FEM;SG
pop	pops	pop	pop	N;FEM;SG	N;MASC;PL
deux	two	deux	two	NUM	N;MASC;SG
ses	seu	son	seu	DET;MASC;PL	DET;MASC;SG
ses	his	son	his	DET;MASC;PL	N;MASC;SG
ses	sua	son	seu	DET;MASC;PL	DET;FEM;SG
ses	ses	son	ses	DET;MASC;PL	N;MASC;SG
ses	seu	son	seu	DET;MASC;PL	DET;MASC;SG
ses	sua	son	seu	DET;MASC;PL	DET;FEM;SG
naissance	nascido	naissance	nascer	N;FEM;SG	V;MASC;SG;V.PTCP
naissance	nascida	naissance	nascer	N;FEM;SG	V;FEM;SG;V.PTCP
naissance	nasceu	naissance	nascer	N;FEM;SG	V;IND;SG;3;PST;FIN
saint	santo	saint	santo	PROPN	N;MASC;SG
saint	santo	saint	santo	PROPN	N;MASC;SG
saint	saint	saint	saint	PROPN	N;MASC;SG
saint	santa	saint	santo	PROPN	N;FEM;SG
après	after	après	after	ADP	N;MASC;SG
après	depois	après	depois	ADP	ADV
fait	feitos	faire	fazer	V;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
fait	made	faire	made	V;MASC;SG;PST;V.PTCP	N;MASC;SG
sous	under	sous	under	ADP	N;MASC;SG
même	mesma	même	mesmo	ADV	ADJ;FEM;SG
même	mesmos	même	mesmo	ADV	ADJ;MASC;PL
nom	apelidos	nom	apelido	N;MASC;SG	N;MASC;PL
français	français	français	françal	ADJ;MASC;SG	N;MASC;SG
français	french	français	french	ADJ;MASC;SG	N;MASC;SG
français	franceses	français	francês	ADJ;MASC;SG	N;MASC;PL
français	francês	français	francês	ADJ;MASC;SG	N;MASC;SG
ont	tenha	avoir	ter	V;IND;PL;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
ont	ter	avoir	ter	V;IND;PL;3;PRS;FIN	V;NFIN
paris	paris	pari	pari	N;MASC;PL	PROPN;MASC;SG
cet	este	ce	este	PRO;SG;3	DET;MASC;SG
cet	esse	ce	esse	PRO;SG;3	DET;MASC;SG
autres	outro	autre	outro	PRO;PL	PRO;MASC;SG
autres	outra	autre	outro	PRO;PL	PRO;FEM;SG
décès	óbitos	décès	óbito	N;MASC;SG	N;MASC;PL
décès	mortes	décès	morte	N;MASC;SG	N;FEM;PL
était	era	être	ser	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
était	tava	être	tavo	V;IND;SG;3;IPFV;FIN	V;IND;SG;1;IPFV;FIN
était	foi	être	foi	V;IND;SG;3;IPFV;FIN	ADV
commune	comum	commune	comum	N;FEM;SG	ADJ;MASC;SG
commune	frequentes	commune	frequente	N;FEM;SG	ADJ;MASC;PL
commune	frequente	commune	frequente	N;FEM;SG	ADJ;MASC;SG
jean	jean	jean	jean	PROPN	N;MASC;SG
jean	john	jean	john	PROPN	PROPN;MASC;SG
jean	joão	jean	joão	PROPN	N;MASC;SG
jean	joao	jean	joao	PROPN	N;MASC;SG
leur	suas	lui	seu	PRO;PL;3	DET;FEM;PL
cest	cest	cest	cest		N;MASC;PL
peut	may	pouvoir	may	V;IND;SG;3;PRS;FIN	N;MASC;SG
peut	maio	pouvoir	maio	V;IND;SG;3;PRS;FIN	N;MASC;SG
peut	podem	pouvoir	poder	V;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
peut	lata	pouvoir	lata	V;IND;SG;3;PRS;FIN	N;FEM;SG
peut	can	pouvoir	can	V;IND;SG;3;PRS;FIN	N;MASC;SG
depuis	since	depuis	since	ADP	N;MASC;SG
depuis	do	depuis	do	ADP	N;MASC;SG
depuis	da	depuis	da	ADP	INTJ
première	estréia	premier	estréia	ADJ;FEM;SG	N;FEM;SG
première	estreia	premier	estreia	ADJ;FEM;SG	N;FEM;SG
première	primeiros	premier	primeiro	ADJ;FEM;SG	ADJ;MASC;PL
première	primeiramente	premier	primeiramente	ADJ;FEM;SG	ADV
première	primeiro	premier	primeiro	ADJ;FEM;SG	ADV
ans	ans	an	am	N;MASC;PL	N;FEM;SG
ans	years	an	years	N;MASC;PL	N;MASC;SG
externes	externas	externe	externo	ADJ;MASC;PL	N;FEM;PL
externes	externo	externe	externo	ADJ;MASC;PL	ADJ;MASC;SG
externes	externa	externe	externo	ADJ;MASC;PL	N;FEM;SG
premier	premier	premier	premier	ADJ;MASC;SG	N;MASC;SG
premier	primeiros	premier	primeiro	ADJ;MASC;SG	ADJ;MASC;PL
premier	primeiramente	premier	primeiramente	ADJ;MASC;SG	ADV
premier	primeiro	premier	primeiro	ADJ;MASC;SG	ADV
ces	estes	ce	este	PRO;PL;3	DET;MASC;PL
ces	esses	ce	esse	PRO;PL;3	DET;MASC;PL
fut	estava	être	estar	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
fut	era	être	ser	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
fut	tava	être	tavo	V;IND;SG;3;PST;FIN	V;IND;SG;1;IPFV;FIN
fut	foi	être	foi	V;IND;SG;3;PST;FIN	ADV
film	filmes	film	filme	N;MASC;SG	N;MASC;PL
film	películas	film	película	N;MASC;SG	N;FEM;PL
voir	vista	voir	vista	V;NFIN	N;FEM;SG
pays	pais	pays	pai	N;MASC;SG	N;MASC;PL
pays	países	pays	país	N;MASC;SG	N;MASC;PL
grand	large	grand	large	ADJ;MASC;SG	N;MASC;SG
grand	grandes	grand	grande	ADJ;MASC;SG	N;MASC;PL
grand	big	grand	big	ADJ;MASC;SG	N;MASC;SG
grand	grandes	grand	grande	ADJ;MASC;SG	N;MASC;PL
grand	grand	grand	grand	ADJ;MASC;SG	N;MASC;SG
tout	everything	tout	everything	PRO;MASC;SG	N;MASC;SG
tout	todas	tout	todo	PRO;MASC;SG	DET;FEM;PL
tout	todos	tout	todo	PRO;MASC;SG	PRO;MASC;PL
lors	durante	lors	durante	ADV	ADP
groupe	agrupar	groupe	agrupar	N;MASC;SG	V;NFIN
nord	setentrional	nord	setentrional	N;MASC;SG	ADJ;MASC;SG
années	years	année	years	N;FEM;PL	N;MASC;SG
bien	boa	bien	bom	ADV	ADJ;FEM;SG
bien	bom	bien	bom	ADV	ADJ;MASC;SG
liste	listar	liste	listar	N;FEM;SG	V;NFIN
puis	então	puis	então	CONJ	ADV
puis	depois	puis	depois	CONJ	ADV
avant	front	avant	front	ADP	N;MASC;SG
avant	fachada	avant	fachada	ADP	N;FEM;SG
avant	frente	avant	frente	ADP	ADV
avant	antes	avant	antes	ADP	ADV
non	não	non	não	ADV	INTJ
trois	three	trois	three	NUM	N;MASC;SG
guerre	guerras	guerre	guerra	N;FEM;SG	N;FEM;PL
fin	terminar	fin	terminar	N;FEM;SG	V;NFIN
vers	vers	vers	vers	ADP	N;MASC;SG
plusieurs	varios	plusieurs	vario	PRO;PL	N;MASC;PL
plusieurs	múltiplas	plusieurs	múltiplo	PRO;PL	ADJ;FEM;PL
plusieurs	múltiplos	plusieurs	múltiplo	PRO;PL	ADJ;MASC;PL
plusieurs	múltipla	plusieurs	múltiplo	PRO;PL	N;FEM;SG
plusieurs	múltiplo	plusieurs	múltiplo	PRO;PL	N;MASC;SG
faire	make	faire	make	V;NFIN	N;FEM;SG
faire	faire	faire	faire	V;NFIN	N;MASC;SG
mars	marchar	mars	marchar	N;MASC;SG	V;NFIN
série	series	série	ser	N;FEM;SG	N;MASC;PL
série	séries	série	série	N;FEM;SG	N;FEM;PL
mai	pode	mai	poder	N;MASC;SG	V;IND;SG;3;PRS;FIN
mort	morreram	mourir	morrer	V;MASC;SG;PST;V.PTCP	V;IND;PL;3;FIN
mort	death	mourir	death	V;MASC;SG;PST;V.PTCP	N;MASC;SG
mort	morte	mourir	morte	V;MASC;SG;PST;V.PTCP	N;FEM;SG
mort	mort	mourir	mort	V;MASC;SG;PST;V.PTCP	N;MASC;SG
mort	morta	mourir	morto	V;MASC;SG;PST;V.PTCP	N;FEM;SG
mort	mortos	mourir	morto	V;MASC;SG;PST;V.PTCP	N;MASC;PL
mort	dead	mourir	dead	V;MASC;SG;PST;V.PTCP	N;MASC;SG
française	french	français	french	ADJ;FEM;SG	N;MASC;SG
française	franceses	français	francês	ADJ;FEM;SG	N;MASC;PL
française	francês	français	francês	ADJ;FEM;SG	N;MASC;SG
pierre	pedras	pierre	pedra	N;FEM;SG	N;FEM;PL
fois	vezes	fois	vez	N;FEM;SG	N;MASC;PL
fois	tempos	fois	tempo	N;FEM;SG	N;MASC;PL
fois	times	fois	time	N;FEM;SG	N;MASC;PL
autre	autre	autre	autre	PRO;SG	N;MASC;SG
autre	outros	autre	outro	PRO;SG	PRO;MASC;PL
autre	outras	autre	outro	PRO;SG	PRO;FEM;PL
état	estaduais	état	estadual	N;MASC;SG	N;MASC;PL
état	estadual	état	estadual	N;MASC;SG	ADJ;MASC;SG
église	igrejas	église	igreja	N;FEM;SG	N;FEM;PL
général	generalidades	général	generalidade	N;MASC;SG	N;MASC;PL
général	gerais	général	geral	N;MASC;SG	N;MASC;PL
tous	todas	tout	todo	PRO;MASC;PL	DET;FEM;PL
tous	tudo	tout	tudo	PRO;MASC;PL	PRO;MASC;SG
politique	política	politique	política	ADJ;MASC;SG	N;FEM;SG
politique	politica	politique	politica	ADJ;MASC;SG	N;FEM;SG
politique	política	politique	política	ADJ;MASC;SG	N;FEM;SG
album	álbuns	album	álbum	N;MASC;SG	N;MASC;PL
avait	tive	avoir	ter	V;IND;SG;3;IPFV;FIN	V;IND;SG;1;PST;FIN
avait	tinha	avoir	ter	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
avait	teve	avoir	ter	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
prix	preços	prix	preço	N;MASC;SG	N;MASC;PL
prix	preços	prix	preço	N;MASC;SG	N;MASC;PL
nouvelle	novas	nouveau	novo	ADJ;FEM;SG	ADJ;FEM;PL
nouvelle	novos	nouveau	novo	ADJ;FEM;SG	ADJ;MASC;PL
nouvelle	novidade	nouveau	novidade	ADJ;FEM;SG	N;FEM;SG
grande	large	grand	large	ADJ;FEM;SG	N;MASC;SG
grande	grandes	grand	grande	ADJ;FEM;SG	N;MASC;PL
grande	big	grand	big	ADJ;FEM;SG	N;MASC;SG
grande	grandes	grand	grande	ADJ;FEM;SG	N;MASC;PL
peu	poucas	peu	pouco	ADV	PRO;FEM;PL
peu	poucos	peu	pouco	ADV	PRO;MASC;PL
peu	pequeno	peu	pequeno	ADV	ADJ;MASC;SG
peu	pequena	peu	pequeno	ADV	ADJ;FEM;SG
peu	little	peu	little	ADV	N;MASC;SG
américain	americano	américain	americano	ADJ;MASC;SG	N;MASC;SG
américain	americanos	américain	americano	ADJ;MASC;SG	N;MASC;PL
américain	american	américain	american	ADJ;MASC;SG	N;MASC;SG
américain	americana	américain	americana	ADJ;MASC;SG	N;FEM;SG
début	comece	début	começar	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
début	comecem	début	começar	N;MASC;SG	V;SBJV;PL;3;PRS;FIN
début	iniciar	début	iniciar	N;MASC;SG	V;NFIN
début	começa	début	começar	N;MASC;SG	V;IND;SG;3;PRS;FIN
début	começar	début	começar	N;MASC;SG	V;NFIN
début	começando	début	começar	N;MASC;SG	V;V.MSDR
début	iniciando	début	iniciar	N;MASC;SG	V;V.MSDR
ligne	rema	ligne	rema	N;FEM;SG	INTJ
nationale	national	national	national	ADJ;FEM;SG	N;MASC;SG
nationale	nacionais	national	nacional	ADJ;FEM;SG	N;MASC;PL
nationale	nationale	national	nationale	ADJ;FEM;SG	N;MASC;SG
encore	bis	encore	bis	ADV	N;MASC;SG
encore	encore	encore	encore	ADV	N;MASC;SG
unis	unidas	unir	unida	V;MASC;PL;PST;V.PTCP	N;FEM;PL
unis	unida	unir	unida	V;MASC;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
unis	united	unir	united	V;MASC;PL;PST;V.PTCP	N;MASC;SG
unis	unidos	unir	unido	V;MASC;PL;PST;V.PTCP	N;MASC;PL
jeux	gaming	jeu	gaming	N;MASC;PL	N;MASC;SG
ouest	ocidentais	ouest	ocidental	N;MASC;SG	N;MASC;PL
nouveau	novas	nouveau	novo	ADJ;MASC;SG	ADJ;FEM;PL
nouveau	novos	nouveau	novo	ADJ;MASC;SG	ADJ;MASC;PL
nouveau	novidade	nouveau	novidade	ADJ;MASC;SG	N;FEM;SG
vous	tu	vous	tu	PRO;PL;2	INTJ
vous	você	vous	você	PRO;PL;2	PRO;NOM;SG;3
vous	vc	vous	vc	PRO;PL;2	PRO;NOM;MASC;SG;3
centre	centralizar	centre	centralizar	N;MASC;SG	V;NFIN
centre	centrar	centre	centrar	N;MASC;SG	V;NFIN
centre	centrar	centre	centrar	N;MASC;SG	V;NFIN
centre	centralizar	centre	centralizar	N;MASC;SG	V;NFIN
cours	cursos	cours	curso	N;MASC;SG	N;MASC;PL
louis	luiz	loui	luiz	N;MASC;SG	PROPN;MASC;SG
quelques	algum	quelque	algum	PRO;PL	DET;MASC;SG
coupe	cortando	coupe	cortar	N;FEM;SG	V;V.MSDR
coupe	cortar	coupe	cortar	N;FEM;SG	V;NFIN
coupe	desmancha	coupe	desmancha	N;FEM;SG	V;IND;SG;3;PRS;FIN
coupe	corta	coupe	cortar	N;FEM;SG	V;IND;SG;3;PRS;FIN
coupe	cortar	coupe	cortar	N;FEM;SG	V;NFIN
connexes	relacionados	connexe	relacionar	ADJ;MASC;PL	V;MASC;PL;V.PTCP
connexes	relacionada	connexe	relacionar	ADJ;MASC;PL	V;FEM;SG;V.PTCP
connexes	relacionadas	connexe	relacionar	ADJ;MASC;PL	V;FEM;PL;V.PTCP
connexes	relacionado	connexe	relacionar	ADJ;MASC;PL	V;MASC;SG;V.PTCP
homme	homens	homme	homem	N;MASC;SG	N;MASC;PL
national	national	national	national	ADJ;MASC;SG	N;MASC;SG
national	nacionais	national	nacional	ADJ;MASC;SG	N;MASC;PL
quatre	four	quatre	four	NUM	N;MASC;SG
cas	casos	cas	caso	N;MASC;SG	N;MASC;PL
cas	processos	cas	processo	N;MASC;SG	N;MASC;PL
genre	curta	genre	curto	N;MASC;SG	ADJ;FEM;SG
genre	como	genre	como	N;MASC;SG	ADV
musique	músicas	musique	música	N;FEM;SG	N;FEM;PL
fils	fios	fils	fio	N;MASC;SG	N;MASC;PL
fils	sons	fils	som	N;MASC;SG	N;MASC;PL
fils	filhos	fils	filho	N;MASC;SG	N;MASC;PL
fils	fios	fils	fio	N;MASC;SG	N;MASC;PL
parti	partido	partir	partido	V;MASC;SG;PST;V.PTCP	N;MASC;SG
parti	party	partir	party	V;MASC;SG;PST;V.PTCP	N;MASC;SG
parti	festa	partir	festa	V;MASC;SG;PST;V.PTCP	N;FEM;SG
parti	gone	partir	gone	V;MASC;SG;PST;V.PTCP	N;MASC;SG
mise	mise	mettre	mise	V;FEM;SG;PST;V.PTCP	N;MASC;SG
mise	aposta	mettre	aposta	V;FEM;SG;PST;V.PTCP	N;FEM;SG
forme	formar	forme	formar	N;FEM;SG	V;NFIN
ancien	antiga	ancien	antigo	ADJ;MASC;SG	N;FEM;SG
ancien	antigos	ancien	antigo	ADJ;MASC;SG	ADJ;MASC;PL
ancien	antiguidade	ancien	antiguidade	ADJ;MASC;SG	N;FEM;SG
ancien	ancião	ancien	ancião	ADJ;MASC;SG	N;MASC;SG
ancien	antiga	ancien	antigo	ADJ;MASC;SG	N;FEM;SG
ancien	velhos	ancien	velho	ADJ;MASC;SG	N;MASC;PL
ancien	elder	ancien	elder	ADJ;MASC;SG	N;MASC;SG
ancien	ancião	ancien	ancião	ADJ;MASC;SG	N;MASC;SG
origine	origens	origine	origem	N;FEM;SG	N;FEM;PL
ordre	encomendar	ordre	encomendar	N;MASC;SG	V;NFIN
école	escolas	école	escola	N;FEM;SG	N;FEM;PL
carrière	carreiras	carrière	carreira	N;FEM;SG	N;FEM;PL
part	compartilhem	part	compartilher	N;FEM;SG	V;SBJV;PL;3;PRS;FIN
part	compartilhar	part	compartilhar	N;FEM;SG	V;NFIN
part	partilhar	part	partilhar	N;FEM;SG	V;NFIN
part	compartilhe	part	compartilhe	N;FEM;SG	V;SBJV;SG;3;PRS;FIN
deuxième	second	deuxième	second	ADJ;MASC;SG	N;MASC;SG
deuxième	segundo	deuxième	segundo	ADJ;MASC;SG	ADV
située	localizados	situer	localizar	V;FEM;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
ayant	ter	avoir	ter	V;PRS;V.PTCP	V;NFIN
ayant	tendo	avoir	ter	V;PRS;V.PTCP	V;V.MSDR
trouve	achados	trouver	achado	V;IND;SG;3;PRS;FIN	N;MASC;PL
durant	durant	durant	durant	ADP	N;MASC;SG
rapport	denunciar	rapport	denunciar	N;MASC;SG	V;NFIN
rapport	relatar	rapport	relatar	N;MASC;SG	V;NFIN
canton	guangzhou	canton	guangzhar	N;MASC;SG	V;IND;SG;3;PST;FIN
dernier	últimas	dernier	último	ADJ;MASC;SG	ADJ;FEM;PL
dernier	last	dernier	last	ADJ;MASC;SG	N;MASC;SG
dernier	últimos	dernier	último	ADJ;MASC;SG	ADJ;MASC;PL
dernier	últimos	dernier	último	ADJ;MASC;SG	ADJ;MASC;PL
dernier	últimas	dernier	último	ADJ;MASC;SG	ADJ;FEM;PL
type	digite	type	digitir	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
compte	conte	compte	conte	N;MASC;SG	V;SBJV;SG;3;PRS;FIN
armée	militares	armée	militar	N;FEM;SG	N;MASC;PL
eau	águas	eau	água	N;FEM;SG	N;FEM;PL
discuter	papo	discuter	papo	V;NFIN	N;MASC;SG
discuter	chat	discuter	chat	V;NFIN	N;MASC;SG
discuter	conversa	discuter	conversa	V;NFIN	N;FEM;SG
car	porque	car	porque	CONJ	CONJ
car	pq	car	pq	CONJ	
john	john	john	john	PROPN	PROPN;MASC;SG
john	joão	john	joão	PROPN	N;MASC;SG
john	joao	john	joao	PROPN	N;MASC;SG
international	international	international	international	ADJ;MASC;SG	N;MASC;SG
international	internacionais	international	internacional	ADJ;MASC;SG	ADJ;MASC;PL
conseil	conselhos	conseil	conselho	N;MASC;SG	N;MASC;PL
françois	francisco	françois	francisco	PROPN	N;MASC;SG
