năm	pet	năm	pet	N	NUM
của	tvoje	của	tvoj	ADP	DET;NOM;FEM;PL;1
của	vaš	của	vaš	ADP	DET;NOM;MASC;SG;1
của	tvoj	của	tvoj	ADP	DET;NOM;MASC;SG;1
của	vaše	của	vaš	ADP	DET;NOM;FEM;SG;1
của	tvoja	của	tvoj	ADP	DET;NOM;FEM;SG;1
của	vaša	của	vaš	ADP	DET;NOM;FEM;SG;1
các	ti	các	ti	DET	PRO;NOM;SG;2
này	ovo	này	ovaj	PROPN	DET;NOM;NEUT;SG
thích	kao	thích	kao	V	CONJ
học	studiranje	học	studiranje	V	N;NOM;NEUT;SG
học	učenje	học	učenje	V	N;NOM;NEUT;SG
học	studij	học	studij	V	N;NOM;MASC;SG
học	studija	học	studij	V	N;GEN;MASC;SG
học	skola	học	skola	V	N;NOM;FEM;SG
học	školski	học	školski	V	ADJ;NOM;DEF;MASC;SG
học	školska	học	školski	V	ADJ;NOM;DEF;FEM;SG
học	škola	học	škola	V	N;NOM;FEM;SG
học	učenje	học	učenje	V	N;NOM;NEUT;SG
thực	real	thực	real	V	PROPN;NOM;MASC;SG
thực	pravi	thực	prav	V	ADJ;NOM;DEF;MASC;SG
thực	zapravo	thực	zapravo	V	ADV
thực	autentično	thực	autentičan	V	ADV
thực	stvarno	thực	stvarno	V	ADV
liên	lien	liên	lien		ADP
tham	joint	tham	joint	V	N;NOM;MASC;SG
tham	zajedničke	tham	zajednički	V	ADJ;NOM;DEF;FEM;PL
đầu	prvo	đầu	prvo	N	ADV
đầu	prvi	đầu	prvi	N	ADJ;NOM;MASC;SG
ngoài	vani	ngoài	vani	N	ADV
ngoài	izvana	ngoài	izvana	N	ADV
ngoài	vanjski	ngoài	vanjski	N	ADJ;NOM;DEF;MASC;SG
ngoài	vanjska	ngoài	vanjski	N	ADJ;NOM;DEF;FEM;SG
thành	cheng	thành	cheng	V	N;NOM;MASC;SG
thành	citadela	thành	citadel	V	N;NOM;FEM;SG
khoa	nauka	khoa	nauk		N;NOM;FEM;SG
khoa	znanost	khoa	znanost		N;NOM;FEM;SG
khoa	znanosti	khoa	znanost		N;NOM;FEM;PL
khoa	fakultet	khoa	fakultet		N;NOM;MASC;SG
khoa	fakulteta	khoa	fakultet		N;GEN;MASC;SG
khoa	nastavnici	khoa	nastavnik		N;NOM;MASC;PL
cho	cho	cho	cho	V	N;NOM;MASC;SG
cho	za	cho	za	V	ADP;ACC
cho	daj	cho	dati	V	INTJ
hoa	ujedinjeni	hoa	ujediniti	N	ADJ;NOM;DEF;MASC;PL;V.PTCP
ngày	danima	ngày	danima	N	ADJ;INS;DEF;MASC;PL
những	oni	những	oni	DET	PRO;NOM;MASC;PL;3
nam	muško	nam	muški	N	ADJ;NOM;DEF;NEUT;SG
nam	muški	nam	muški	N	ADJ;NOM;DEF;MASC;SG
nam	južno	nam	južno	N	ADV
công	napadni	công	napadan	N	ADV
công	javni	công	javan	N	ADJ;NOM;DEF;MASC;SG
công	javna	công	javan	N	ADJ;NOM;DEF;FEM;SG
công	javno	công	javno	N	ADV
chính	čak	chính	čak	PART	ADV
chính	vlastiti	chính	vlastit	PART	ADJ;NOM;DEF;MASC;SG
chính	posjedovati	chính	posjedovati	PART	V;NFIN
chính	primarno	chính	primarno	PART	ADV
chính	primarna	chính	primaran	PART	ADJ;NOM;DEF;FEM;SG
chính	primarni	chính	primaran	PART	ADJ;NOM;DEF;MASC;SG
chính	main	chính	main	PART	ADP
chính	glavni	chính	glavni	PART	ADJ;NOM;DEF;MASC;SG
chính	glavno	chính	glavni	PART	ADJ;NOM;NEUT;SG
chính	glavna	chính	glavni	PART	ADJ;NOM;DEF;FEM;SG
động	dinamičan	động	dinamičan	V	ADJ;NOM;INDF;MASC;SG
động	automatski	động	automatski	V	ADV
động	automatsko	động	automatski	V	ADV
động	automatski	động	automatski	V	ADV
khi	kada	khi	kada	N	ADV
khi	kad	khi	kad	N	ADV
đến	dolaska	đến	dolazak	PART	N;ANIM;ACC;MASC;SG
đến	dolazak	đến	dolazak	PART	N;NOM;MASC;SG
đến	stiglo	đến	stići	PART	V;NEUT;SG;PST;V.PTCP;ACT
đến	stigao	đến	stići	PART	V;MASC;SG;PST;V.PTCP;ACT
đến	stigli	đến	stići	PART	V;MASC;PL;PST;V.PTCP;ACT
đến	stigla	đến	stići	PART	V;FEM;SG;PST;V.PTCP;ACT
đến	dođi	đến	doći	PART	V;IMP;SG;2;FIN
đến	dolazim	đến	dolaziti	PART	V;IND;SG;1;PRS;FIN
đến	dolazi	đến	dolaziti	PART	V;IND;SG;3;PRS;FIN
theo	theo	theo	theo	V	PROPN;NOM;MASC;SG
theo	teo	theo	teo	V	PROPN;NOM;MASC;SG
theo	nakon	theo	nakon	V	ADP;GEN
