til	za	til	za	ADV	
for	za	for	za	ADP	
han	hana	han	hana	PRO;NOM;MASC+FEM;SG;3	N;NOM;FEM;SG
han	han	han	han	PRO;NOM;MASC+FEM;SG;3	N;NOM;MASC;SG
fra	iz	fra	iz	ADV	ADP;GEN
fra	od	fra	od	ADV	ADP;GEN
har	got	have	got	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
ikke	ni	ikke	biti	ADV	V;IND;SG;3;NEG;PRS;FIN
ikke	ne	ikke	ne	ADV	PART
også	tudi	også	tudi	ADV	PART
også	preveč	også	preveč	ADV	DET
efter	po	efter	po	ADV	N;NOM;MASC;SG
sig	povej	sig	povedati	PRO;ACC;3;REFL	V;PFV;IMP;SG;2;FIN
kan	maj	kunne	maj	V;IND;PRS;FIN;ACT	
kan	maja	kunne	maj	V;IND;PRS;FIN;ACT	N;GEN;MASC;SG
kan	lahko	kunne	lahko	V;IND;PRS;FIN;ACT	ADV
score	zadetek	score	zadetek	V;NFIN;ACT	N;NOM;MASC;SG
score	rezultat	score	rezultat	V;NFIN;ACT	N;NOM;MASC;SG
hvor	kjer	hvor	kjer	ADV	CONJ
under	pod	under	pod	ADV	
hans	hans	hans	hans	DET;3	PROPN;NOM;MASC;SG
over	konec	over	konec	ADV	N;NOM;MASC;SG
første	najprej	første	najprej	ADJ	ADV;RL
henvisninger	sklicevanje	henvisning	sklicevanje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
dansk	danske	dansk	danski	ADJ;INDF;SG	ADJ;NOM;FEM;PL
dansk	danski	dansk	danski	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
dansk	dansk	dansk	dansk	ADJ;INDF;SG	
mod	proti	mod	proti	N;INDF;NEUT;SG	ADP;DAT
mod	zoper	mod	zoper	N;INDF;NEUT;SG	ADP;ACC
andre	drugi	anden	drug	PRO;PL	ADJ;NOM;MASC;SG
andre	drugo	anden	drug	PRO;PL	ADJ;NOM;NEUT;SG
andre	druga	anden	drug	PRO;PL	ADJ;NOM;FEM;SG
andre	druge	anden	drug	PRO;PL	ADJ;NOM;FEM;PL
andre	drugi	anden	drug	PRO;PL	ADJ;NOM;MASC;SG
andre	drugih	anden	drug	PRO;PL	ADJ;GEN;MASC;PL
andre	druge	anden	drug	PRO;PL	ADJ;NOM;FEM;PL
denne	to	denne	ta	PRO;MASC+FEM;SG	DET;NOM;NEUT;SG
denne	ta	denne	ta	PRO;MASC+FEM;SG	DET;NOM;MASC;SG
denne	tole	denne	tale	PRO;MASC+FEM;SG	
denne	tega	denne	ta	PRO;MASC+FEM;SG	DET;GEN;NEUT;SG
fik	got	få	got	V;IND;PST;FIN;ACT	N;NOM;MASC;SG
del	delno	del	delno	N;INDF;MASC+FEM;SG	ADV
del	deli	del	del	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
del	delimo	del	deliti	N;INDF;MASC+FEM;SG	V;IPFV;IND;PL;1;PRS;FIN
del	delim	del	del	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;1;PRS;FIN
født	rojen	føde	rojen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
født	rojena	føde	rojen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
født	rojene	føde	rojen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
født	rojeni	føde	rojen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
flere	večkratno	mange	večkraten	ADJ;CMPR;PL	ADV
flere	večkratni	mange	večkraten	ADJ;CMPR;PL	ADJ;NOM;MASC;SG
flere	več	mange	več	ADJ;CMPR;PL	DET
flere	bolj	mange	bolj	ADJ;CMPR;PL	ADV;CMPR
dette	to	denne	ta	PRO;NEUT;SG	DET;NOM;NEUT;SG
dette	ta	denne	ta	PRO;NEUT;SG	DET;NOM;MASC;SG
dette	tole	denne	tale	PRO;NEUT;SG	
dette	tega	denne	ta	PRO;NEUT;SG	DET;GEN;NEUT;SG
deres	njuna	deres	njun	DET;3	DET;NOM;FEM;SG;3
deres	njuna	deres	njun	DET;3	DET;NOM;FEM;SG;3
alle	vsi	al	ves	ADJ;PL	DET;NOM;MASC;PL
alle	vsem	al	ves	ADJ;PL	DET;DAT;MASC;PL
alle	vse	al	ves	ADJ;PL	DET;NOM;NEUT;SG
alle	vseh	al	ves	ADJ;PL	DET;GEN;MASC;PL
alle	vsi	al	ves	ADJ;PL	DET;NOM;MASC;PL
danmark	dansko	danmark	danski		ADJ;NOM;NEUT;SG
danmark	danski	danmark	danski		ADJ;NOM;DEF;MASC;SG
danmark	danska	danmark	danska		ADJ;NOM;FEM;SG
mange	mnogi	mange	mnog	ADJ;PL	DET;NOM;MASC;PL
mange	veliko	mange	veliko	ADJ;PL	DET
team	ekipno	team	ekipno	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
kunne	lahko	kunne	lahko	V;IND;PST;FIN;ACT	ADV
danske	dansko	dansk	danski	ADJ;PL	ADJ;NOM;NEUT;SG
danske	danski	dansk	danski	ADJ;PL	ADJ;NOM;DEF;MASC;SG
kun	le	kun	le	ADV	PART
kun	samo	kun	samo	ADV	PART
tidligere	predhodno	tidligere	predhodno	ADV;CMPR	ADV
tidligere	nekdanje	tidligere	nekdanji	ADV;CMPR	ADJ;NOM;FEM;PL
tidligere	nekdanja	tidligere	nekdanji	ADV;CMPR	ADJ;NOM;FEM;SG
tidligere	nekdanji	tidligere	nekdanji	ADV;CMPR	ADJ;NOM;MASC;SG
tidligere	predhodna	tidligere	predhoden	ADV;CMPR	ADJ;NOM;FEM;SG
tidligere	prejšnja	tidligere	prejšnji	ADV;CMPR	ADJ;NOM;FEM;SG
tidligere	predhodni	tidligere	predhoden	ADV;CMPR	ADJ;NOM;MASC;SG
tidligere	prejšnji	tidligere	prejšnji	ADV;CMPR	ADJ;NOM;MASC;SG
tidligere	predhodno	tidligere	predhodno	ADV;CMPR	ADV
siden	stran	siden	stran	ADV	N;NOM;FEM;SG
skal	shell	skulle	sheti	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
skal	lupino	skulle	lupina	V;IND;PRS;FIN;ACT	N;ACC;FEM;SG
skal	lupina	skulle	lupina	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
skal	školjka	skulle	školjka	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
have	garden	have	garden	V;NFIN;ACT	
have	vrt	have	vrt	V;NFIN;ACT	N;NOM;MASC;SG
mere	več	mere	več	ADV;CMPR	DET
store	velika	stor	velik	ADJ;PL	ADJ;NOM;FEM;SG
store	velika	stor	velik	ADJ;PL	ADJ;NOM;FEM;SG
store	veliki	stor	velik	ADJ;PL	ADJ;NOM;DEF;MASC;SG
store	velik	stor	velik	ADJ;PL	ADJ;NOM;INDF;MASC;SG
meget	zelo	meget	zelo	ADJ;INDF;SG	ADV
meget	much	meget	much	ADJ;INDF;SG	N;NOM;MASC;SG
meget	veliko	meget	veliko	ADJ;INDF;SG	DET
bliver	bivanje	blive	bivanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
samme	ista	samme	isti	ADJ	DET;NOM;FEM;SG
samme	enaka	samme	enak	ADJ	DET;NOM;FEM;SG
samme	enako	samme	enako	ADJ	ADV
samme	isto	samme	isti	ADJ	DET;NOM;NEUT;SG
vil	will	ville	will	V;IND;PRS;FIN;ACT	
vil	bo	ville	biti	V;IND;PRS;FIN;ACT	V;IND;SG;3;POS;FUT;FIN
vil	volja	ville	volja	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
seed	semenski	seed	semenski		ADJ;NOM;MASC;SG
seed	seme	seed	seme		N;NOM;NEUT;SG
seed	semena	seed	seme		N;NOM;NEUT;PL
ham	njega	han	on	PRO;ACC;MASC+FEM;SG;3	PRO;GEN;MASC;SG;3
omkring	okoli	omkring	okoli	ADV	ADP;GEN
omkring	okrog	omkring	okrog	ADV	ADP;GEN
blevet	bil	blive	biti	V;INDF;SG;PST;V.PTCP	V;MASC;SG;V.PTCP
blevet	bila	blive	biti	V;INDF;SG;PST;V.PTCP	V;FEM;SG;V.PTCP
selv	celo	selv	celo	PRO	PART
københavn	københavnu	københavn	krbenhaven	PROPN	ADJ;DAT;MASC;SG
kom	pridi	komme	pridi	V;IND;PST;FIN;ACT	V;PFV;IMP;SG;2;FIN
and	duck	and	duck		N;NOM;MASC;SG
and	račka	and	raček		N;NOM;FEM;SG
and	raca	and	rac		N;NOM;FEM;SG
tre	tre	tre	trije	NUM	
tre	three	tre	three	NUM	
byen	city	by	city	N;DEF;MASC+FEM;SG	PROPN;NOM;MASC;SG
disse	teh	denne	ta	PRO;PL	DET;GEN;MASC;PL
disse	te	denne	ta	PRO;PL	DET;NOM;FEM;PL
disse	tele	denne	tel	PRO;PL	
nogle	nekatere	nogen	nekateri	PRO;PL	DET;NOM;FEM;PL
nogle	nekaterim	nogen	nekateri	PRO;PL	DET;DAT;MASC;PL
nogle	nekateri	nogen	nekateri	PRO;PL	DET;NOM;MASC;PL
nogle	nekaj	nogen	nekaj	PRO;PL	PRO;ACC;NEUT;SG
nogle	neki	nogen	nek	PRO;PL	DET;NOM;MASC;SG
maj	maj	maj	maj	N;INDF;MASC+FEM;SG	
andet	drugi	anden	drug	PRO;NEUT;SG	ADJ;NOM;MASC;SG
andet	drugo	anden	drug	PRO;NEUT;SG	ADJ;NOM;NEUT;SG
andet	druga	anden	drug	PRO;NEUT;SG	ADJ;NOM;FEM;SG
andet	druge	anden	drug	PRO;NEUT;SG	ADJ;NOM;FEM;PL
dag	day	dag	day	N;INDF;MASC+FEM;SG	
tilbage	zadaj	tilbage	zadaj	ADV	
tilbage	hrbet	tilbage	hrbet	ADV	N;NOM;MASC;SG
kommune	komune	kommune	komun	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
død	mrtev	død	mrtev	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
dem	njimi	de	on	PRO;ACC;PL;3	PRO;DAT;MASC;PL;3
dem	njih	de	on	PRO;ACC;PL;3	PRO;GEN;MASC;PL;3
forskellige	drugačna	forskellig	drugačen	ADJ;PL	ADJ;NOM;FEM;SG
forskellige	drugačen	forskellig	drugačen	ADJ;PL	ADJ;NOM;INDF;MASC;SG
forskellige	drugačno	forskellig	drugačen	ADJ;PL	ADJ;NOM;NEUT;SG
nye	novo	ny	nov	ADJ;PL	ADJ;NOM;NEUT;SG
nye	nov	ny	nov	ADJ;PL	ADJ;NOM;INDF;MASC;SG
nye	novi	ny	nov	ADJ;PL	ADJ;NOM;DEF;MASC;SG
nye	nova	ny	nov	ADJ;PL	ADJ;NOM;FEM;SG
både	čolni	både	čoln	ADV	N;NOM;MASC;PL
både	obe	både	oba	ADV	DET;NOM;FEM;DU
både	oba	både	oba	ADV	DET;NOM;MASC;DU
gennem	via	gennem	via	ADV	N;NOM;MASC;SG
gennem	skoz	gennem	skoz	ADV	
gennem	skozi	gennem	skozi	ADV	ADP;ACC
