kategória	categoría	kategória	categoría		N
hogy	a	hogy	o	CONJ	DET
hogy	para	hogy	para	CONJ	ADP
hogy	que	hogy	que	CONJ	PRO
nem	non	nem	non	ADV	PART
volt	que	van	que	V;INDF;IND;SG;3;PST;FIN;ACT	PRO
volt	era	van	ser	V;INDF;IND;SG;3;PST;FIN;ACT	V
volt	estaba	van	estar	V;INDF;IND;SG;3;PST;FIN;ACT	V
csak	único	csak	único	ADV	ADJ
csak	única	csak	único	ADV	ADJ
csak	de	csak	de	ADV	ADP
még	nin	még	nin	ADV	CONJ
még	mesmo	még	mesmo	ADV	DET
még	segue	még	seguir	ADV	V
van	que	van	que	V;INDF;IND;SG;3;PRS;FIN;ACT	PRO
település	da	település	da	N;NOM;SG	V
között	os	között	o	ADP	DET
között	as	között	o	ADP	DET
között	os	között	o	ADP	DET
mint	como	mint	como	CONJ	PRO
mint	como	mint	como	CONJ	PRO
mint	así	mint	así	CONJ	ADV
után	despois	után	despois	ADP	ADV
után	logo	után	logo	ADP	ADV
további	máis	további	máis	N;NOM;SG	ADV
további	lonxe	további	lonxe	N;NOM;SG	ADV
további	adicional	további	adicional	N;NOM;SG	ADJ
további	máis	további	máis	N;NOM;SG	ADV
így	así	így	así	CONJ	ADV
így	que	így	que	CONJ	PRO
így	entón	így	entón	CONJ	ADV
így	tan	így	tan	CONJ	ADV
több	máis	több	máis	DET;INDF	ADV
lett	a	lesz	o	V;INDF;IND;SG;3;PST;FIN;ACT	DET
lett	nunha	lesz	nunha	V;INDF;IND;SG;3;PST;FIN;ACT	N
lett	nun	lesz	nun	V;INDF;IND;SG;3;PST;FIN;ACT	PROPN
lett	en	lesz	en	V;INDF;IND;SG;3;PST;FIN;ACT	ADP
lett	se	lesz	se	V;INDF;IND;SG;3;PST;FIN;ACT	CONJ
ezt	esta	ez	este	PRO;ACC;SG;3	DET
ezt	este	ez	este	PRO;ACC;SG;3	DET
akkor	e	akkor	e	ADV	CONJ
azonban	porén	azonban	porén	CONJ	ADV
azonban	con	azonban	con	CONJ	ADP
azonban	todo	azonban	todo	CONJ	DET
azonban	sen	azonban	sen	CONJ	ADP
azonban	embargo	azonban	embargo	CONJ	N
azonban	aínda	azonban	aínda	CONJ	ADV
amerikai	americanos	amerikai	americano	ADJ;NOM;SG	N
német	alemaña	német	alemaña	ADJ;NOM;SG	PROPN
német	alemáns	német	alemán	ADJ;NOM;SG	N
francia	franceses	francia	francese		N
francia	francés	francia	francés		N
francia	francesa	francia	francesar		ADJ
francia	francesas	francia	francesa		ADJ
január	de	január	de	N;NOM;SG	ADP
május	poden	május	poder	N;NOM;SG	V
május	pode	május	poder	N;NOM;SG	V
május	que	május	que	N;NOM;SG	PRO
május	podo	május	podar	N;NOM;SG	V
kell	que	kell	que	V;INDF;IND;SG;3;PRS;FIN;ACT	PRO
kell	preciso	kell	preciso	V;INDF;IND;SG;3;PRS;FIN;ACT	ADJ
kell	precisa	kell	preciso	V;INDF;IND;SG;3;PRS;FIN;ACT	ADJ
kell	necesidades	kell	necesidade	V;INDF;IND;SG;3;PRS;FIN;ACT	N
kell	que	kell	que	V;INDF;IND;SG;3;PRS;FIN;ACT	PRO
ahol	onde	ahol	onde	ADV	PRO
csapat	de	csapat	de	N;NOM;SG	ADP
más	diferentes	más	diferente	PRO;NOM;SG;3	ADJ
más	distintas	más	distinto	PRO;NOM;SG;3	ADJ
más	distinto	más	distinto	PRO;NOM;SG;3	ADJ
más	distintos	más	distinto	PRO;NOM;SG;3	ADJ
más	diferente	más	diferente	PRO;NOM;SG;3	ADJ
más	outra	más	outro	PRO;NOM;SG;3	DET
más	outros	más	outro	PRO;NOM;SG;3	DET
más	outro	más	outro	PRO;NOM;SG;3	DET
más	outras	más	outro	PRO;NOM;SG;3	DET
március	de	március	de	N;NOM;SG	ADP
augusztus	de	augusztus	de	N;NOM;SG	ADP
minden	todo	minden	todo	PRO;NOM;SG;3	DET
minden	o	minden	o	PRO;NOM;SG;3	DET
minden	todo	minden	todo	PRO;NOM;SG;3	DET
minden	todos	minden	todo	PRO;NOM;SG;3	DET
minden	todas	minden	todo	PRO;NOM;SG;3	DET
minden	os	minden	o	PRO;NOM;SG;3	DET
minden	as	minden	o	PRO;NOM;SG;3	DET
minden	todos	minden	todo	PRO;NOM;SG;3	DET
minden	cada	minden	cada	PRO;NOM;SG;3	DET
minden	todas	minden	todo	PRO;NOM;SG;3	DET
lehet	non	lesz	non	V;INDF;POT;SG;3;PRS;FIN;ACT	PART
sem	nin	sem	nin	ADV	CONJ
sem	non	sem	non	ADV	PART
július	de	július	de	N;NOM;SG	ADP
