den	az	den	az	PRO;DEF;MASC+FEM;SG	
med	med	med	med	ADP	PROPN;NOM;SG
med	with	med	with	ADP	
som	like	som	lik	CONJ	
som	tetszik	som	tetszik	CONJ	V;INDF;IND;SG;3;PRS;FIN;ACT
som	ami	som	ami	CONJ	PRO;NOM;SG;3
som	melyik	som	melyik	CONJ	
som	mely	som	mely	CONJ	
som	amely	som	amely	CONJ	PRO;NOM;SG;3
runt	körül	runt	körül	ADV	ADP
runt	kör	runt	kör	ADV	N;NOM;SG
runt	kerek	runt	kér	ADV	
runt	forduló	runt	forduló	ADV	N;NOM;SG
månaden	havi	månad	havi	N;NOM;DEF;MASC+FEM;SG	
månaden	havonta	månad	havon	N;NOM;DEF;MASC+FEM;SG	
ligger	hazugság	ligga	hazugság	V;IND;PRS;FIN;ACT	N;NOM;SG
ligger	hazugságok	ligga	hazugság	V;IND;PRS;FIN;ACT	N;NOM;PL
ligger	található	ligga	található	V;IND;PRS;FIN;ACT	ADJ;NOM;SG
att	ez	att	ez	PART	PRO;NOM;SG;3
ett	egy	en	egy	NUM;NOM;INDF;NEUT;SG	DET;INDF
över	vége	över	vég	ADP	N;NOM;SG
över	át	över	át	ADP	ADV
för	for	för	for	ADP	
inga	inga	ingen	inga	PRO;INDF;PL	N;NOM;SG
delen	részben	del	részben	N;NOM;DEF;MASC+FEM;SG	ADV
underarter	alfaj	underart	alfaj	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	
listade	felsorolt	lisa	fel+sorol	ADJ;NOM;PL;PST;V.PTCP	
landet	országban	land	ország	N;NOM;DEF;NEUT;SG	N;IN+ESS;SG
meter	méter	meter	méter	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
meter	méter	meter	méter	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
meter	méter	meter	méter	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
meter	méter	meter	méter	N;NOM;INDF;MASC+FEM;PL	N;NOM;SG
meter	mérő	meter	mérő	N;NOM;INDF;MASC+FEM;PL	
meter	hajógyárak	meter	hajógyár	N;NOM;INDF;MASC+FEM;PL	
huvudstaden	capitol	huvudstad	capitol	N;NOM;DEF;MASC+FEM;SG	
havet	tengeren	hav	tenger	N;NOM;DEF;NEUT;SG	
havet	tengeri	hav	tengeri	N;NOM;DEF;NEUT;SG	
havet	óceán	hav	óceán	N;NOM;DEF;NEUT;SG	
havet	ocean	hav	ocean	N;NOM;DEF;NEUT;SG	
kallaste	leghidegebb	kalla	leghideg	ADJ;NOM;DEF;RL	N;IN+ESS;SG
