del	del	del	del	ADP;MASC;SG	PROPN;ANIM;NOM;MASC;SG
los	na	él	na	PRO;ACC;MASC;PL;3	ADP;ESS
los	the	él	the	PRO;ACC;MASC;PL;3	
con	so	con	s	ADP	ADP;INS
las	na	él	na	PRO;ACC;FEM;PL;3	ADP;ESS
las	the	él	the	PRO;ACC;FEM;PL;3	
una	jedno	uno	jeden	DET;INDF;FEM;SG	NUM;NOM;NEUT;SG
una	jedným	uno	jeden	DET;INDF;FEM;SG	NUM;INS;MASC;SG
una	one	uno	ona	DET;INDF;FEM;SG	
una	jeden	uno	jeden	DET;INDF;FEM;SG	NUM;ANIM;NOM;MASC;SG
una	jedna	uno	jeden	DET;INDF;FEM;SG	NUM;NOM;FEM;SG
categoría	kategórie	categoría	kategória	N;FEM;SG	N;NOM;FEM;PL
para	za	para	za	ADP	
como	ako	como	ako	CONJ	ADV
como	jak	como	jak	CONJ	INTJ
como	jako	como	jako	CONJ	
como	ako	como	ako	CONJ	ADV
como	like	como	lika	CONJ	N;ANIM;VOC;MASC;SG
fue	bola	ser	byť	V;IND;SG;3;PST;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
fue	bol	ser	byť	V;IND;SG;3;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
fue	bolo	ser	byť	V;IND;SG;3;PST;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
más	viacej	más	viaci	ADV	NUM;NOM;NEUT;SG
más	ďalšie	más	ďalší	ADV	ADJ;NOM;NEUT;SG
más	viac	más	viac	ADV	NUM;NOM;NEUT;SG
sus	ich	su	on	DET;PL;3	PRO;NOM;MASC;PL;3
sus	jeho	su	jeho	DET;PL;3	DET;NOM;NEUT;SG;3
sus	tvoje	su	tvoj	DET;PL;3	DET;NOM;NEUT;SG;2
sus	váš	su	tvoj	DET;PL;3	DET;INAN;NOM;MASC;SG;2
sus	vaša	su	tvoj	DET;PL;3	DET;NOM;FEM;SG;2
sus	vaše	su	váš	DET;PL;3	DET;NOM;NEUT;SG;2
sus	tvoja	su	tvoj	DET;PL;3	DET;NOM;FEM;SG;2
sus	tvoj	su	tvoj	DET;PL;3	DET;ANIM;NOM;MASC;SG;2
sus	jej	su	ona	DET;PL;3	PRO;DAT;FEM;SG;3
sus	jeho	su	jeho	DET;PL;3	DET;NOM;NEUT;SG;3
sus	svoje	su	svoj	DET;PL;3	DET;ACC;NEUT;SG;REFL
sus	its	su	its	DET;PL;3	
sus	ids	su	ids	DET;PL;3	
también	aj	también	aj	ADV	PART
también	tiež	también	tiež	ADV	PART
también	taky	también	tak	ADV	N;INAN;NOM;MASC;SG
también	too	también	too	ADV	INTJ
entre	entre	entre	entre	ADP	
este	to	este	to	PRO;MASC;SG	DET;NOM;NEUT;SG
este	táto	este	táto	PRO;MASC;SG	DET;NOM;FEM;SG
este	tento	este	tento	PRO;MASC;SG	DET;INAN;NOM;MASC;SG
este	toto	este	toto	PRO;MASC;SG	DET;NOM;NEUT;SG
este	túto	este	táto	PRO;MASC;SG	DET;ACC;FEM;SG
este	východná	este	východný	PRO;MASC;SG	ADJ;NOM;FEM;SG
este	východ	este	východ	PRO;MASC;SG	N;INAN;NOM;MASC;SG
este	východné	este	východný	PRO;MASC;SG	ADJ;NOM;NEUT;SG
este	východný	este	východný	PRO;MASC;SG	ADJ;ANIM;NOM;MASC;SG
este	východne	este	východne	PRO;MASC;SG	ADV
dos	dos	dos	dos	NUM;PL	PROPN;ANIM;NOM;MASC;SG
dos	two	dos	two	NUM;PL	
dos	dvojka	dos	dvojka	NUM;PL	N;NOM;FEM;SG
son	sú	ser	byť	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
sobre	približne	sobre	približne	ADP	ADV
sobre	obálku	sobre	obálka	ADP	N;ACC;FEM;SG
sobre	obálke	sobre	obálka	ADP	N;DAT;FEM;SG
sobre	obálky	sobre	obálka	ADP	N;NOM;FEM;PL
sobre	obálka	sobre	obálka	ADP	N;NOM;FEM;SG
desde	odkedy	desde	odkedy	ADP	ADV
desde	keďže	desde	keďže	ADP	CONJ
desde	zo	desde	z	ADP	ADP;GEN
esta	to	este	to	PRO;FEM;SG	DET;NOM;NEUT;SG
esta	táto	este	táto	PRO;FEM;SG	DET;NOM;FEM;SG
esta	tento	este	tento	PRO;FEM;SG	DET;INAN;NOM;MASC;SG
esta	toto	este	toto	PRO;FEM;SG	DET;NOM;NEUT;SG
esta	túto	este	táto	PRO;FEM;SG	DET;ACC;FEM;SG
hasta	dokonca	hasta	dokonca	ADP	PART
hasta	aj	hasta	aj	ADP	PART
hasta	kým	hasta	kým	ADP	CONJ
hasta	dokiaľ	hasta	dokiaľ	ADP	CONJ
externos	externý	externo	externý	ADJ;MASC;PL	ADJ;ANIM;NOM;MASC;SG
externos	vonkajšie	externo	vonkajší	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
externos	vonkajší	externo	vonkajší	ADJ;MASC;PL	ADJ;INAN;NOM;MASC;SG
externos	externé	externo	externý	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
externos	vonkajšia	externo	vonkajší	ADJ;MASC;PL	ADJ;NOM;FEM;SG
ciudad	city	ciudad	cit	N;FEM;SG	N;INAN;NOM;MASC;PL
ciudad	mestské	ciudad	mestský	N;FEM;SG	ADJ;NOM;NEUT;SG
ser	bytia	ser	byť	V;NFIN	N;NOM;NEUT;SG
ser	bytosť	ser	bytosť	V;NFIN	N;NOM;FEM;SG
ser	ser	ser	ser	V;NFIN	INTJ
parte	party	parte	part	N;FEM;SG	N;NOM;FEM;PL
parte	párty	parte	párt	N;FEM;SG	N;INAN;NOM;MASC;PL
durante	pocas	durante	pocas	ADP	N;NOM;MASC;SG
sin	hriechu	sin	hriech	ADP	N;INAN;GEN;MASC;SG
sin	sin	sin	sin	ADP	
sin	hriech	sin	hriech	ADP	N;INAN;NOM;MASC;SG
donde	kde	donde	kde	PRO	ADV
donde	kam	donde	kam	PRO	ADV
san	san	san	san	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
san	svätá	san	svätý	N;MASC;SG	ADJ;NOM;FEM;SG
san	svätý	san	svätý	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
san	saint	san	saint	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
era	bola	ser	byť	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
era	bol	ser	byť	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
era	bolo	ser	byť	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
