die	os	die	o	DET;DEF	PRO;ACC;MASC;PL;3
van	apelidos	van	apelido		N;MASC;PL
van	apelido	van	apelido		N;MASC;SG
van	sobrenome	van	sobrenome		N;MASC;SG
van	do	van	do		N;MASC;SG
van	de	van	de		ADP
van	da	van	da		INTJ
het	got	het	got	V;PRS	N;MASC;SG
het	tem	het	ter	V;PRS	V;IND;SG;3;PRS;FIN
wat	essa	wat	esse	PRO	PRO;FEM;SG
wat	isso	wat	isso	PRO	PRO;MASC;SG
was	estava	is	estar	V;PST;FIN	V;IND;SG;3;IPFV;FIN
was	era	is	ser	V;PST;FIN	V;IND;SG;3;IPFV;FIN
was	tava	is	tavo	V;PST;FIN	V;IND;SG;1;IPFV;FIN
was	foi	is	foi	V;PST;FIN	ADV
was	estavam	is	estar	V;PST;FIN	V;IND;PL;3;IPFV;FIN
was	eram	is	ser	V;PST;FIN	V;IND;PL;3;IPFV;FIN
nie	não	nie	não	PART	INTJ
dit	este	dit	este	PRO;NOM;SG;3	DET;MASC;SG
dit	esta	dit	este	PRO;NOM;SG;3	PRO;FEM;SG
dit	isso	dit	isso	PRO;NOM;SG;3	PRO;MASC;SG
dit	isto	dit	isto	PRO;NOM;SG;3	PRO;MASC;SG
dit	essa	dit	esse	PRO;NOM;SG;3	PRO;FEM;SG
dit	esse	dit	esse	PRO;NOM;SG;3	DET;MASC;SG
deur	porta	deur	porta	ADP	N;FEM;SG
dat	essa	dat	esse	CONJ	PRO;FEM;SG
dat	isso	dat	isso	CONJ	PRO;MASC;SG
dat	que	dat	que	CONJ	PRO;MASC;SG
hulle	eles	hulle	eles	PRO;PL;3	PRO;NOM;MASC;PL;3
suid	sul	suid	sul		N;MASC;SG
suid	south	suid	south		N;MASC;SG
uit	fora	uit	fora	ADP	ADV
uit	out	uit	out	ADP	N;MASC;SG
eerste	primeiramente	eerste	primeiramente	ADJ;NOM	ADV
eerste	primeiro	eerste	primeiro	ADJ;NOM	ADV
kan	pode	kan	poder	V;PRS	V;IND;SG;3;PRS;FIN
kan	podem	kan	poder	V;PRS	V;IND;PL;3;PRS;FIN
kan	lata	kan	lata	V;PRS	N;FEM;SG
kan	can	kan	can	V;PRS	N;MASC;SG
hierdie	esta	hierdie	este	DET	PRO;FEM;SG
hierdie	isso	hierdie	isso	DET	PRO;MASC;SG
hierdie	isto	hierdie	isto	DET	PRO;MASC;SG
hierdie	essa	hierdie	esse	DET	PRO;FEM;SG
soos	like	soos	like	CONJ	N;MASC;SG
soos	curta	soos	curto	CONJ	ADJ;FEM;SG
soos	como	soos	como	CONJ	ADV
afrika	áfrica	afrika	áfrico	PROPN;SG	N;FEM;SG
afrika	africana	afrika	africano	PROPN;SG	N;FEM;SG
afrika	africanos	afrika	africano	PROPN;SG	N;MASC;PL
afrika	africano	afrika	africano	PROPN;SG	N;MASC;SG
oor	orelha	oor	orelha	ADP	N;FEM;SG
oor	ouvidos	oor	ouvir	ADP	V;MASC;PL;V.PTCP
oor	orelhas	oor	orelha	ADP	N;FEM;PL
oor	ouvido	oor	ouvir	ADP	V;MASC;SG;V.PTCP
oor	remanescente	oor	remanescente	ADP	ADJ;MASC;SG
oor	restante	oor	restante	ADP	N;MASC;SG
oor	restantes	oor	restante	ADP	N;MASC;PL
oor	permanecendo	oor	permanecer	ADP	V;V.MSDR
een	one	een	one	NUM	N;MASC;SG
gebruik	uso	gebruik	uso	V;PRS	N;MASC;SG
gebruik	utilização	gebruik	utilização	V;PRS	N;FEM;SG
gebruik	uso	gebruik	uso	V;PRS	N;MASC;SG
gebruik	utilização	gebruik	utilização	V;PRS	N;FEM;SG
afrikaanse	africana	afrikaans	africano	N;PL	N;FEM;SG
afrikaanse	africano	afrikaans	africano	N;PL	N;MASC;SG
groot	ótima	groot	bom	V;PRS	ADJ;FEM;SG
groot	grande	groot	grande	V;PRS	ADJ;MASC;SG
groot	ótimo	groot	bom	V;PRS	ADJ;MASC;SG
meer	lago	baie	lago	DET	N;MASC;SG
meer	mais	baie	mais	DET	ADV
meer	more	baie	more	DET	N;MASC;SG
onder	abaixo	onder	abaixo	ADP	ADV
onder	fundo	onder	fundo	ADP	N;MASC;SG
onder	bottom	onder	bottom	ADP	N;MASC;SG
twee	two	twee	two	NUM	N;MASC;SG
kerk	kerk	kerk	kerk		N;MASC;SG
kerk	igrejas	kerk	igreja		N;FEM;PL
kerk	igreja	kerk	igreja		N;FEM;SG
duimnael	miniatura	duimnael	miniatura	V;PRS	N;FEM;SG
