پیامی	messenger	پیامی	messenger	ADJ	PROPN;NOM;FEM;SG
پِیانا	ūdeni	پِیانا	ūdens	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
پِیانا	ūdenī	پِیانا	ūdens	PROPN;NOM;MASC;SG;3	N;ESS;MASC;SG
پِیانا	ūdens	پِیانا	ūdens	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پِیپ	limfātisko	پِیپ	limfātiska	PROPN;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
پِیپ	strutas	پِیپ	strusties	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
پِیپا	aptaukošanās	پِیپا	aptaukošanās	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
پِیپا	dibens	پِیپا	dibens	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
پِیپا	barelu	پِیپا	barels	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
پِیت	laimi	پِیت	laime	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
پِیت	laime	پِیت	laime	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
پِیت	laimes	پِیت	laime	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
پِیت	mīlestība	پِیت	mīlestība	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
پِیت	mīli	پِیت	mīlēt	PROPN;NOM;MASC;SG;3	V;IMP;SG;2;POS;FIN;ACT
پِیت	love	پِیت	love	PROPN;NOM;MASC;SG;3	
پِیت	mīla	پِیت	mīlēt	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
پِیت	mīlu	پِیت	mīlēt	PROPN;NOM;MASC;SG;3	V;FH;IND;SG;1;POS;PRS;FIN;ACT
پِیت	dzeltens	پِیت	dzeltens	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
پِیت	dzeltena	پِیت	dzeltena	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
پِیت	dzeltenas	پِیت	dzeltena	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
پِیت	dzeltenais	پِیت	dzeltens	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
