der	het	der	het	DET;NOM;DEF;MASC;SG	PRO;3
die	het	der	het	DET;NOM;DEF;FEM;SG	PRO;3
den	het	der	het	DET;ACC;DEF;MASC;SG	PRO;3
das	het	der	het	PRO;NOM;NEUT;SG	PRO;3
das	de	der	de	PRO;NOM;NEUT;SG	DET;DEF
das	das	der	das	PRO;NOM;NEUT;SG	N;MASC+FEM;SG
des	des	der	des	DET;GEN;DEF;NEUT;SG	ADV
mit	gebruiken	mit	gebruiken	ADP	V;NFIN
mit	mit	mit	mit	ADP	N;MASC+FEM;SG
ein	one	ein	oon	ADV	
ein	één	ein	één	ADV	NUM
ein	een	ein	een	ADV	DET;INDF
ein	eén	ein	eén	ADV	N;MASC+FEM;SG
ein	ein	ein	ein	ADV	N;MASC+FEM;SG
dem	het	der	het	PRO;DAT;NEUT;SG	PRO;3
dem	de	der	de	PRO;DAT;NEUT;SG	DET;DEF
eine	one	ein	oon	DET;NOM;INDF;FEM;SG	
eine	één	ein	één	DET;NOM;INDF;FEM;SG	NUM
eine	eén	ein	eén	DET;NOM;INDF;FEM;SG	N;MASC+FEM;SG
wurde	werden	werden	worden	V;IND;SG;3;PST;FIN;PASS	V;PL;PST;FIN
nicht	niet	nicht	niet	PART;NEG	ADV
nach	after	nach	after	ADP	
bei	bei	bei	bei	ADP	N;MASC+FEM;SG
aus	aus	aus	aus	ADP	N;MASC+FEM;SG
aus	eruit	aus	eruit	ADP	ADV
aus	out	aus	out	ADP	
sie	jij	sie	jij	PRO;NOM;FEM;SG;3	PRO;NOM;2
sie	jou	sie	jou	PRO;NOM;FEM;SG;3	PRO;ACC;2
cest	cest	cest	cest		
bis	hangende	bis	hangen	ADP	V;V.PTCP
bis	afwachting	bis	afwachting	ADP	N;MASC+FEM;SG
bis	bib	bis	bib	ADP	N;MASC+FEM;SG
bis	bis	bis	bis	ADP	N;MASC+FEM;SG
ich	ich	ich	ich	PRO;NOM;SG;1	N;MASC+FEM;SG
einer	one	ein	oon	PRO;NOM;INDF;MASC;SG	
einer	één	ein	één	PRO;NOM;INDF;MASC;SG	NUM
einer	een	ein	een	PRO;NOM;INDF;MASC;SG	DET;INDF
einer	eén	ein	eén	PRO;NOM;INDF;MASC;SG	N;MASC+FEM;SG
werden	will	werden	will	V;NFIN;PASS	
oder	oder	oder	oder	CONJ	N;MASC+FEM;SG
wird	will	werden	will	V;IND;SG;3;PRS;FIN;PASS	
wird	zullen	werden	zullen	V;IND;SG;3;PRS;FIN;PASS	V;PL;PRS;FIN
score	scoren	scoren	scoren	PROPN	V;NFIN
score	score	scoren	score	PROPN	N;MASC+FEM;SG
zur	zur	zur	zur		N;MASC+FEM;SG
einen	one	ein	oon	PRO;ACC;INDF;MASC;SG	
einen	één	ein	één	PRO;ACC;INDF;MASC;SG	NUM
einen	een	ein	een	PRO;ACC;INDF;MASC;SG	DET;INDF
einen	eén	ein	eén	PRO;ACC;INDF;MASC;SG	N;MASC+FEM;SG
dass	dat	dass	dat	CONJ	PRO;3
über	ongeveer	über	ongeveer	ADP	ADV
über	hierboven	über	hierboven	ADP	N;PL
wie	hoe	wie	hoe	ADP	ADV
wie	zoals	wie	zoals	ADP	CONJ
wie	like	wie	lik	ADP	
nur	enkel	nur	enkel	ADV	PRO
nur	nur	nur	nur	ADV	N;MASC+FEM;SG
nur	gewoon	nur	gewoon	ADV	ADJ
noch	noch	noch	noch	ADV	CONJ
unter	unter	unter	unter	ADP	N;MASC+FEM;SG
unter	under	unter	under	ADP	
hat	hoed	haben	hoed	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
hat	pet	haben	pet	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
hat	hat	haben	hat	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
hat	muts	haben	muts	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
artikel	artikel	artikel	artikel	ADJ	N;NEUT;SG
artikel	items	artikel	item	ADJ	N;PL
artikel	artikelen	artikel	artikel	ADJ	N;PL
artikel	artikels	artikel	artikel	ADJ	N;PL
man	man	man	man	PRO;NOM;INDF;SG	N;MASC+FEM;SG
vor	front	vor	front	ADP	
vor	voorkant	vor	voorkant	ADP	N;MASC+FEM;SG
vor	voorzijde	vor	voorzijde	ADP	N;MASC+FEM;SG
vor	pre	vor	pre	ADP	N;MASC+FEM;SG
vor	prior	vor	prior	ADP	N;MASC+FEM;SG
vor	voorafgaande	vor	voorafgaan	ADP	V;V.PTCP
vor	voordat	vor	voordat	ADP	CONJ
wurden	werd	werden	worden	V;IND;PL;3;PST;FIN;PASS	V;SG;PST;FIN
sein	zijn	sein	zijn	DET;NOM;MASC;SG	V;PL;PRS;FIN
vom	van	vom	van		ADP
vom	uit	vom	uit		ADP
vom	vanaf	vom	vanaf		ADP
vom	vom	vom	vom		N;MASC+FEM;SG
kann	mogen	können	mogen	V;IND;SG;3;PRS;FIN	V;PL;PRS;FIN
kann	may	können	may	V;IND;SG;3;PRS;FIN	
kann	mei	können	mei	V;IND;SG;3;PRS;FIN	PROPN;MASC+FEM;SG
kann	kan	können	kunnen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
kann	kunnen	können	kunnen	V;IND;SG;3;PRS;FIN	V;PL;PRS;FIN
seine	zijn	sein	zijn	DET;NOM;FEM;SG	V;PL;PRS;FIN
seine	its	sein	its	DET;NOM;FEM;SG	
seine	seine	sein	seine	DET;NOM;FEM;SG	N;MASC+FEM;SG
wenn	wanneer	wenn	wanneer	CONJ	ADV
zwei	two	zwei	two	NUM	
seiner	zijn	sein	zijn	DET;NOM;MASC;SG	V;PL;PRS;FIN
seiner	its	sein	its	DET;NOM;MASC;SG	
jahre	jaar	jahren	jaar	ADV	N;NEUT;SG
jahre	jaar	jahren	jaar	ADV	N;NEUT;SG
jahre	jaren	jahren	jaar	ADV	N;PL
mai	mogen	mai	mogen	PROPN;NOM;MASC;SG	V;PL;PRS;FIN
mai	may	mai	may	PROPN;NOM;MASC;SG	
mai	mei	mai	mei	PROPN;NOM;MASC;SG	PROPN;MASC+FEM;SG
mai	mag	mai	mogen	PROPN;NOM;MASC;SG	V;SG;PRS;FIN
mai	moge	mai	mogen	PROPN;NOM;MASC;SG	V;SG;PRS;FIN
mai	mai	mai	mai	PROPN;NOM;MASC;SG	N;MASC+FEM;SG
