घोटाले	skandal	घोटाला	skandal	N;NOM;MASC;SG;3	
रनों	koşar	रन	koş	N;ACC;MASC;PL;3	
रनों	yönetiyor	रन	yönet	N;ACC;MASC;PL;3	V;PROG;IND;SG;3;POS;INFM;PRS
ब्रह्मपुत्र	brahmaputra	ब्रह्मपुत्र	brahmaputra	PROPN;NOM;FEM;SG;3	
उत्कीर्ण	gravür	उत्कीर्ण	gravür	N;NOM;MASC;SG;3	
आटा	un	आटा	un	N;NOM;MASC;SG;3	
आटा	hamur	आटा	hamur	N;NOM;MASC;SG;3	
आटा	hamuru	आटा	hamur	N;NOM;MASC;SG;3	
आटा	para	आटा	para	N;NOM;MASC;SG;3	
सभ्यताओं	medeniyetler	सभ्यता	medeniyet	N;ACC;FEM;PL;3	N;NOM;PL;3
जासूस	detektif	जासूस	detektif	N;NOM;MASC;SG;3	
जासूस	dedektif	जासूस	dedek	N;NOM;MASC;SG;3	
जासूस	casus	जासूस	casus	N;NOM;MASC;SG;3	
जासूस	dedektifler	जासूस	dedektif	N;NOM;MASC;SG;3	V;PFV;IND;PL;3;POS;PST
नमस्कार	merhaba	नमस्कार	merhaba	PROPN;NOM;MASC;SG;3	
नमस्कार	selam	नमस्कार	selam	PROPN;NOM;MASC;SG;3	
नमस्कार	hello	नमस्कार	hello	PROPN;NOM;MASC;SG;3	
निर्मल	şeffaf	निर्मल	şeffaf	PROPN;NOM;MASC;SG;3	
मोटरसाइकिल	motorsiklet	मोटरसाइकिल	motorsiklet	N;NOM;FEM;SG;3	
मोटरसाइकिल	motorsiklet	मोटरसाइकिल	motorsiklet	N;NOM;FEM;SG;3	
मोटरसाइकिल	motor	मोटरसाइकिल	motor	N;NOM;FEM;SG;3	
पुनरावृत्ति	tekrar	पुनरावृत्ति	tekrar	N;NOM;FEM;SG;3	
गल्फ	körfez	गल्फ	körfez	PROPN;NOM;MASC;SG;3	
अंटार्कटिक	antarktika	अंटार्कटिक	antarktika	PROPN;NOM;MASC;SG;3	
अंटार्कटिक	antarktika	अंटार्कटिक	antarktika	PROPN;NOM;MASC;SG;3	
खतरों	tehlikeler	खतरा	tehlike	N;ACC;MASC;PL;3	N;NOM;PL;3
डैनी	danny	डैनी	danny	PROPN;NOM;MASC;SG;3	
बेड़े	filo	बेड़ा	filo	N;NOM;MASC;SG;3	
किशोरावस्था	genç	किशोरावस्था	genç	N;NOM;FEM;SG;3	
किशोरावस्था	ergen	किशोरावस्था	ergen	N;NOM;FEM;SG;3	
किशोरावस्था	ergenlik	किशोरावस्था	ergenlik	N;NOM;FEM;SG;3	
पंद्रह	fifteen	पंद्रह	fifte	NUM	
पंद्रह	onbeş	पंद्रह	onbeş	NUM	
महंगा	pahalı	महंगा	pahalı	ADJ;NOM;MASC;SG	
महंगा	pahalıdır	महंगा	pahalı	ADJ;NOM;MASC;SG	
प्रबंधित	yönetilen	प्रबंधित	yönet	N;NOM;MASC;SG;3	V;PFV;IND;POS;PRS;V.PTCP;PASS
मनोरंजक	eğlenceli	मनोरंजक	eğlenceli	N;NOM;MASC;SG;3	ADJ
मनोरंजक	eğlendirici	मनोरंजक	eğlendirici	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;POS;PRS;PASS
सजाया	dekore	सजा	dekore	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;SG;3
एडम	adem	एडम	adem	PROPN;NOM;MASC;SG;3	
एडम	adam	एडम	adam	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
अनगिनत	sonsuz	अनगिनत	sonsuz	ADP	
अनगिनत	sayısız	अनगिनत	sayısız	ADP	
अनगिनत	sayısız	अनगिनत	sayısız	ADP	
सुन्नी	sünni	सुन्नी	sün	N;NOM;MASC;SG;3	
डिवाइस	cihaz	डिवाइस	cihaz	N;NOM;MASC;SG;3	
डिवाइस	aygıt	डिवाइस	aygıt	N;NOM;MASC;SG;3	
डिवाइस	aygıt	डिवाइस	aygıt	N;NOM;MASC;SG;3	
डिवाइस	cihazlar	डिवाइस	cihaz	N;NOM;MASC;SG;3	N;NOM;PL;3
डिवाइस	aygıtlar	डिवाइस	aygıt	N;NOM;MASC;SG;3	N;NOM;PL;3
लियोन	leon	लियोन	leon	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
ऑब्जेक्ट	cisim	ऑब्जेक्ट	cisim	N;NOM;MASC;SG;3	
ऑब्जेक्ट	obje	ऑब्जेक्ट	obje	N;NOM;MASC;SG;3	
ऑब्जेक्ट	nesne	ऑब्जेक्ट	nesne	N;NOM;MASC;SG;3	
ऑब्जेक्ट	itiraz	ऑब्जेक्ट	itiraz	N;NOM;MASC;SG;3	
ऑब्जेक्ट	nesneler	ऑब्जेक्ट	nesne	N;NOM;MASC;SG;3	N;NOM;PL;3
ऑब्जेक्ट	nesne	ऑब्जेक्ट	nesne	N;NOM;MASC;SG;3	
ऑब्जेक्ट	nesneleri	ऑब्जेक्ट	nesne	N;NOM;MASC;SG;3	N;ACC;PL;3
पेंटिंग	tablo	पेंटिंग	tablo	N;NOM;FEM;SG;3	
पेंटिंग	resim	पेंटिंग	resim	N;NOM;FEM;SG;3	
पेंटिंग	boyama	पेंटिंग	boya	N;NOM;FEM;SG;3	
सूचियाँ	liste	सूची	lis	N;NOM;FEM;PL;3	
सूचियाँ	listeleri	सूची	liste	N;NOM;FEM;PL;3	N;ACC;PL;3
एमटीवी	mtv	एमटीवी	i	PROPN;NOM;MASC;SG;3	
एवरेस्ट	everest	एवरेस्ट	everest	PROPN;NOM;MASC;SG;3	
आतंकवादियों	militanlar	आतंकवादी	militan	N;ACC;MASC;PL;3	N;NOM;PL;3
आतंकवादियों	teröristler	आतंकवादी	terörist	N;ACC;MASC;PL;3	N;NOM;PL;3
आतंकवादियों	terörist	आतंकवादी	terörist	N;ACC;MASC;PL;3	
स्विफ्ट	swift	स्विफ्ट	swift	PROPN;NOM;MASC;SG;3	
सांचे	kalıp	सांच	kal	N;NOM;MASC;SG;3	
सांचे	küf	सांच	küf	N;NOM;MASC;SG;3	
क्षितिज	ufuk	क्षितिज	ufuk	N;NOM;MASC;SG;3	
दोहरा	ikili	दोहरा	ikili	ADJ;NOM;MASC;SG	
दोहरा	çifte	दोहरा	çift	ADJ;NOM;MASC;SG	
दोहरा	çift	दोहरा	çift	ADJ;NOM;MASC;SG	
दोहरा	duble	दोहरा	duble	ADJ;NOM;MASC;SG	
रैली	jamboree	रैली	jamboree	N;NOM;FEM;SG;3	
संविदा	antlaşma	संविदा	antlaşma	N;NOM;MASC;SG;3	
संविदा	sözleşme	संविदा	sözleşme	N;NOM;MASC;SG;3	
संविदा	kontrat	संविदा	kontrat	N;NOM;MASC;SG;3	
शोधकर्ता	araştırmacı	शोधकर्ता	araştır	N;NOM;MASC;PL;3	
नेटस्केप	netscape	नेटस्केप	netscape	N;NOM;MASC;SG;3	
रॉबिन	robin	रॉबिन	robin	PROPN;NOM;MASC;SG;3	
बैंगनी	patlıcan	बैंगनी	patlıcan		N;NOM;SG;3
व्यू	kapıcı	व्यू	kapıcı	PROPN;NOM;MASC;SG;3	
प्रक्षेपास्त्र	roket	प्रक्षेपास्त्र	roket	N;NOM;MASC;SG;3	
प्रक्षेपास्त्र	füze	प्रक्षेपास्त्र	füz	N;NOM;MASC;SG;3	
बीजिंग	pekin	बीजिंग	pekin	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
स्वैच्छिक	gönüllü	स्वैच्छिक	gönüllü	PROPN;NOM	
फोटोग्राफी	fotoğraf	फोटोग्राफी	fotoğraf	N;NOM;FEM;SG;3	
कैलिफ़ोर्निया	kaliforniya	कैलिफ़ोर्निया	kaliforniya	PROPN;NOM;MASC;SG;3	N;ACC;SG;3
कैलिफ़ोर्निया	california	कैलिफ़ोर्निया	california	PROPN;NOM;MASC;SG;3	
धड़	gövde	धड़	gövde	N;NOM;MASC;SG;3	
कैलगरी	calgary	कैलगरी	calgary	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
