algeriet	algeria	algeri	algeri	N;DEF;NEUT;SG	PROPN;NOM;SG
mus	hiiret	mus	hiiri	N;INDF;MASC+FEM;SG	N;NOM;PL
mus	hiirillä	mus	hiiri	N;INDF;MASC+FEM;SG	N;AT+ESS
;PL
mus	hiiriä	mus	hiiri	N;INDF;MASC+FEM;SG	N;PRT;PL
über	über	über	über	V;IND;PST;FIN;ACT	INTJ
cleveland	cleveland	cleveland	cleveland		N;NOM;SG
jer	jer	I	jer	PRO;ACC;MASC+FEM;PL;2	N;NOM;SG
ingrid	ingrid	ingrid	ingrid	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
vanskelig	vaikeat	vanskelig	vaikea	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
holmes	holmes	holme	holmes	V;NFIN;PASS	N;NOM;SG
anbefalede	suositeltava	anbefale	suositeltava	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
anbefalede	suositus	anbefale	suositus	V;IND;PST;FIN;ACT	N;NOM;SG
anbefalede	suositellaan	anbefale	suositella	V;IND;PST;FIN;ACT	V;IND;PRS;FIN;PASS
anbefalede	suositeltu	anbefale	suositella	V;IND;PST;FIN;ACT	V;NOM;SG;V.PTCP;PASS
marker	fields	mark	fields	N;INDF;MASC+FEM;PL	N;NOM;SG
marker	merkkaa	mark	merkka	N;INDF;MASC+FEM;PL	V;IMP;SG;2;FIN;ACT
marker	merkitse	mark	merkitä	N;INDF;MASC+FEM;PL	V;IMP;SG;2;FIN;ACT
marker	merkki	mark	merkki	N;INDF;MASC+FEM;PL	N;NOM;SG
marker	mark	mark	mark	N;INDF;MASC+FEM;PL	PROPN;NOM;SG
ted	ted	ted	ted		PROPN;NOM;SG
ted	tedin	ted	teddä		N;GEN;SG
tree	puu	tree	puu		N;NOM;SG
tree	puuta	tree	puu		N;PRT;SG
tree	puun	tree	puu		N;GEN;SG
tree	tre	tree	tre		INTJ
porto	porto	porto	porto		PROPN;NOM;SG
porto	porto	porto	porto		PROPN;NOM;SG
enkel	yksinkertaiset	enkel	yksinkertainen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
balkan	balkanin	balkan	balkan		N;GEN;SG
balkan	balkanin	balkan	balkan		N;GEN;SG
tilbagevendende	toistuva	tilbagevendende	toistua	V;PRS;V.PTCP	ADJ;NOM;SG
tilbagevendende	toistuva	tilbagevendende	toistua	V;PRS;V.PTCP	ADJ;NOM;SG
svaret	vastaa	svar	vastata	N;DEF;NEUT;SG	V;IMP;SG;2;FIN;ACT
svaret	vastata	svar	vastata	N;DEF;NEUT;SG	V;SG;NFIN;ACT
edgar	edgar	edgar	edgar		N;NOM;SG
angels	enkelit	angels	enkeli	N;INDF;MASC+FEM;SG	N;NOM;PL
angels	enkeleitä	angels	enkeli	N;INDF;MASC+FEM;SG	N;PRT;PL
dæk	rengas	dæk	rengas	N;INDF;NEUT;PL	N;NOM;SG
dæk	renkaan	dæk	rengas	N;INDF;NEUT;PL	N;GEN;SG
dæk	väsy	dæk	väsy	N;INDF;NEUT;PL	ADJ;NOM;SG
dæk	kannella	dæk	kannella	N;INDF;NEUT;PL	N;AT+ESS
;SG
dæk	kannen	dæk	kansi	N;INDF;NEUT;PL	N;GEN;SG
dæk	kansi	dæk	kansi	N;INDF;NEUT;PL	N;NOM;SG
dæk	kansi	dæk	kansi	N;INDF;NEUT;PL	N;NOM;SG
dæk	kattaa	dæk	kattaa	N;INDF;NEUT;PL	V;IND;SG;3;PRS;FIN;ACT
dæk	kannen	dæk	kansi	N;INDF;NEUT;PL	N;GEN;SG
dæk	suojaa	dæk	suoja	N;INDF;NEUT;PL	V;IMP;SG;2;FIN;ACT
dæk	rengas	dæk	rengas	N;INDF;NEUT;PL	N;NOM;SG
dæk	renkaan	dæk	rengas	N;INDF;NEUT;PL	N;GEN;SG
nhl	nhl	nhl	nhl	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
drømme	unta	drøm	uni	N;INDF;MASC+FEM;PL	N;PRT;SG
drømme	uni	drøm	uni	N;INDF;MASC+FEM;PL	N;NOM;SG
drømme	haaveilla	drøm	haaveilla	N;INDF;MASC+FEM;PL	V;SG;NFIN;ACT
drømme	dream	drøm	dream	N;INDF;MASC+FEM;PL	
drømme	unelma	drøm	unelma	N;INDF;MASC+FEM;PL	N;NOM;SG
drømme	unta	drøm	uni	N;INDF;MASC+FEM;PL	N;PRT;SG
drømme	haaveilla	drøm	haaveilla	N;INDF;MASC+FEM;PL	V;SG;NFIN;ACT
kanten	edge	kant	edge	N;DEF;MASC+FEM;SG	
neil	neilin	neil	neili		PROPN;GEN;SG
neil	neil	neil	neil		PROPN;NOM;SG
duo	duo	duo	duoda		N;NOM;SG
hjulpet	auttoivat	hjælpe	auttaa	V;INDF;SG;PST;V.PTCP	V;IND;PL;3;PST;FIN;ACT
registrerede	rekisteröity	registrere	rekisteröidä	V;PL;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
registrerede	kirjattu	registrere	kirjata	V;PL;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
registrerede	rekisteröityä	registrere	rekisteröityä	V;PL;PST;V.PTCP	V;PRT;SG;V.PTCP;PASS
eyes	silmiä	eyes	silmä		N;PRT;PL
eyes	katse	eyes	katse		N;NOM;SG
eyes	silmät	eyes	silmä		N;NOM;PL
