اتھاہ	diep	اتھاہ	diep		ADV
اب	nou	اب	nou	PRO;NOM	ADV
اب	now	اب	now	PRO;NOM	
اب	tans	اب	tans	PRO;NOM	ADV
اب	vader	اب	vader	PRO;NOM	N;SG
اِبا	weiering	اِبا	weiering		N;SG
ابّا	vader	ابّا	vader	PROPN;NOM;MASC;SG;3	N;SG
ابّا	abba	ابّا	abba	PROPN;NOM;MASC;SG;3	
ابّا	pa	ابّا	pa	PROPN;NOM;MASC;SG;3	V;PRS
اِباحت	toelating	اِباحت	toelating	PROPN;NOM;MASC;SG;3	N;SG
اِباحت	toestemming	اِباحت	toestemming	PROPN;NOM;MASC;SG;3	N;SG
اِباحت	vryheid	اِباحت	vryheid	PROPN;NOM;MASC;SG;3	N;SG
اِباحت	liberty	اِباحت	liberty	PROPN;NOM;MASC;SG;3	PROPN;SG
اِباحت	lisensie	اِباحت	lisensie	PROPN;NOM;MASC;SG;3	N;SG
ابازیر	spices	ابازیر	spices	PROPN;NOM;MASC;SG;3	
اباطیل	lies	اباطیل	lies	PROPN;NOM;MASC;SG;3	
اُبال	woede	اُبال	woede	PROPN;NOM;MASC;SG;3	N;SG
اُبال	woede	اُبال	woede	PROPN;NOM;MASC;SG;3	N;SG
اُبال	rage	اُبال	rag	PROPN;NOM;MASC;SG;3	
اِبتدا	oorsprong	اِبتدا	oorsprong	PROPN;NOM;MASC;SG;3	N;SG
اِبتدا	bronne	اِبتدا	bron	PROPN;NOM;MASC;SG;3	N;PL
اِبتدا	bron	اِبتدا	bron	PROPN;NOM;MASC;SG;3	N;SG
اِبتدا	geboorte	اِبتدا	geboorte	PROPN;NOM;MASC;SG;3	N;SG
اِبتدا	start	اِبتدا	start	PROPN;NOM;MASC;SG;3	
اِبتدا	begin	اِبتدا	begin	PROPN;NOM;MASC;SG;3	V;PRS
اِبتداع	innovasie	اِبتداع	innovasie	PROPN;NOM;MASC;SG;3	N;SG
اِبتداع	uitvinding	اِبتداع	uitvinding	PROPN;NOM;MASC;SG;3	N;SG
اِبتداع	skepping	اِبتداع	skepping	PROPN;NOM;MASC;SG;3	N;SG
اِبتدائی	aanvanklike	اِبتدائی	aanvanklik	N;NOM;MASC;SG;3	ADJ;NOM
اِبتدائی	voorlopige	اِبتدائی	voorlopig	N;NOM;MASC;SG;3	ADJ;NOM
اِبتدائی	elementêre	اِبتدائی	elementêre	N;NOM;MASC;SG;3	ADJ;NOM
اِبتدائی	primêr	اِبتدائی	primêr	N;NOM;MASC;SG;3	ADJ;NOM
اِبتدائی	primary	اِبتدائی	primary	N;NOM;MASC;SG;3	
اِبتدائی	primêre	اِبتدائی	primêr	N;NOM;MASC;SG;3	ADJ;NOM
اِبتدائی	belangrikste	اِبتدائی	belangrik	N;NOM;MASC;SG;3	
اِبتدائیات	basiese	اِبتدائیات	basies	N;NOM;MASC;PL;3	ADJ;NOM
اِبتدائیات	fundamentals	اِبتدائیات	fundamentals	N;NOM;MASC;PL;3	
اِبتدائیّہ	preface	اِبتدائیّہ	preface	PROPN;NOM;MASC;SG;3	
ابتر	verstrooide	ابتر	verstrooi	ADJ	
ابتر	bederf	ابتر	bederf	ADJ	V;PRS
ابتر	confused	ابتر	confused	ADJ	
ابتر	verward	ابتر	verward	ADJ	
ابتری	disorder	ابتری	disorder	ADJ	
ابتری	verwarring	ابتری	verwarring	ADJ	
ابتری	disorder	ابتری	disorder	ADJ	
ابتری	verwarring	ابتری	verwarring	ADJ	
ابتری	agteruitgang	ابتری	agteruitgang	ADJ	N;SG
اِبتسام	smile	اِبتسام	smile	PROPN;NOM;MASC;SG;3	
اِبتسام	glimlag	اِبتسام	glimlag	PROPN;NOM;MASC;SG;3	N;SG
اِبتغا	begeerte	اِبتغا	begeerte	PROPN;NOM;MASC;SG;3	N;SG
اِبتغا	aanvraag	اِبتغا	aanvraag	PROPN;NOM;MASC;SG;3	V;PRS
