что	מה	что	מה	PRO;NOM	ADV
как	איך	как	איך	CONJ	ADV
как	כיצד	как	כיצד	CONJ	ADV
как	כמו	как	כמו	CONJ	ADP
как	אוהב	как	אהב	CONJ	V;MASC;SG;V.PTCP;ACT
как	כאילו	как	כאילו	CONJ	CONJ
его	שלו	он	של	PRO;ACC;MASC;SG;3	
его	בו	он	ב	PRO;ACC;MASC;SG;3	ADP
также	וגם	также	וגם	ADV	
время	הזמן	время	הזמן	N;INAN;NOM;NEUT;SG	
время	טיים	время	טיים	N;INAN;NOM;NEUT;SG	PROPN
была	היה	быть	היה	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;MASC;SG;3;POS;PST
была	הייתה	быть	היה	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;FEM;SG;3;POS;PST
была	היתה	быть	היה	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;FEM;SG;3;POS;PST
место	ספוט	место	ספוט	N;INAN;NOM;NEUT;SG	PROPN
место	המקום	место	המקום	N;INAN;NOM;NEUT;SG	
район	שכונת	район	שכונה	N;INAN;NOM;MASC;SG	PROPN
район	השכונה	район	השכונה	N;INAN;NOM;MASC;SG	
район	האזור	район	האזור	N;INAN;NOM;MASC;SG	PROPN
вид	מין	вид	מין	N;INAN;NOM;MASC;SG	
вид	מינים	вид	מין	N;INAN;NOM;MASC;SG	N;MASC;PL
вид	זן	вид	זן	N;INAN;NOM;MASC;SG	
вид	צפי	вид	None	N;INAN;NOM;MASC;SG	
вид	צפה	вид	צפה	N;INAN;NOM;MASC;SG	PROPN
вид	הצג	вид	הצג	N;INAN;NOM;MASC;SG	
только	בלבד	только	בלבד	PART	ADV
только	רק	только	רק	PART	ADV
только	פשוט	только	פשוט	PART	
только	רק	только	רק	PART	ADV
язык	לשון	язык	לשון	N;INAN;NOM;MASC;SG	
районе	שכונת	район	שכונה	N;INAN;ESS;MASC;SG	PROPN
районе	השכונה	район	השכונה	N;INAN;ESS;MASC;SG	
код	קוד	код	קוד	N;INAN;NOM;MASC;SG	
мая	מיי	май	מיי	N;INAN;GEN;MASC;SG	
мая	מאי	май	מאי	N;INAN;GEN;MASC;SG	PROPN
дата	תאריך	дата	תאריך	N;INAN;NOM;FEM;SG	PROPN
дата	התאריך	дата	התאריך	N;INAN;NOM;FEM;SG	ADV
дата	דייט	дата	דייט	N;INAN;NOM;FEM;SG	PROPN
ноября	נובמבר	ноябрь	נובמבר	N;INAN;GEN;MASC;SG	PROPN
ноября	בנובמבר	ноябрь	בנובמבר	N;INAN;GEN;MASC;SG	ADV
деревня	הכפר	деревня	הכפר	N;INAN;NOM;FEM;SG	
января	ינואר	январь	ינואר	N;INAN;GEN;MASC;SG	PROPN
января	בינואר	январь	בינואר	N;INAN;GEN;MASC;SG	
марта	מרטה	март	מרטה	N;INAN;GEN;MASC;SG	PROPN
марта	מרתה	март	מרתה	N;INAN;GEN;MASC;SG	PROPN
марта	מרתה	март	מרתה	N;INAN;GEN;MASC;SG	PROPN
марта	מרץ	март	מרץ	N;INAN;GEN;MASC;SG	PROPN
марта	במרץ	март	במרץ	N;INAN;GEN;MASC;SG	PROPN
все	הכול	все	הכול	PRO;INAN;NOM;NEUT;SG	
все	הכל	все	הכיל	PRO;INAN;NOM;NEUT;SG	N
все	כולם	все	None	PRO;INAN;NOM;NEUT;SG	N;MASC;PL
все	הכל	все	הכיל	PRO;INAN;NOM;NEUT;SG	N
все	כל	все	כול	PRO;INAN;NOM;NEUT;SG	DET;PSSD
все	כולם	все	None	PRO;INAN;NOM;NEUT;SG	N;MASC;PL
августа	אוגוסט	август	אוגוסט	N;INAN;GEN;MASC;SG	PROPN
августа	אוגוסטה	август	אוגוסטה	N;INAN;GEN;MASC;SG	PROPN
том	טום	то	טום	PRO;INAN;NOM;NEUT;SG	PROPN
том	תום	то	תום	PRO;INAN;NOM;NEUT;SG	PROPN
октября	באוקטובר	октябрь	באוקטובר	N;INAN;GEN;MASC;SG	PROPN
октября	אוקטובר	октябрь	אוקטובר	N;INAN;GEN;MASC;SG	PROPN
октября	באוקטובר	октябрь	באוקטובר	N;INAN;GEN;MASC;SG	PROPN
сентября	ספטמבר	сентябрь	ספטמבר	N;INAN;GEN;MASC;SG	PROPN
июня	יוני	июнь	יוני	N;INAN;GEN;MASC;SG	PROPN
апреля	אפריל	апрель	אפריל	N;INAN;GEN;MASC;SG	PROPN
который	אשר	который	אשר	PRO;NOM	CONJ
который	איזה	который	איזה	PRO;NOM	
название	השם	название	השם	N;INAN;NOM;NEUT;SG	
название	שם	название	שם	N;INAN;NOM;NEUT;SG	ADV
человек	האדם	человек	האדם	N;ANIM;NOM;MASC;SG	
человек	אנוש	человек	אנוש	N;ANIM;NOM;MASC;SG	
человек	אנושי	человек	אנושי	N;ANIM;NOM;MASC;SG	ADJ;MASC;SG
человек	בנאדם	человек	בנאדם	N;ANIM;NOM;MASC;SG	ADV
смерти	מיתות	смерть	מיתות	N;INAN;GEN;FEM;SG	N;FEM;PL
лет	שנה	год	שנה	N;INAN;GEN;MASC;PL	N;FEM;SG
февраля	בפברואר	февраль	בפברואר	N;INAN;GEN;MASC;SG	ADV
февраля	פברואר	февраль	פברואר	N;INAN;GEN;MASC;SG	PROPN
февраля	פברואר	февраль	פברואר	N;INAN;GEN;MASC;SG	PROPN
того	טוגו	то	טוגו	PRO;INAN;GEN;NEUT;SG	PROPN
города	העיר	город	העיר	N;INAN;NOM;MASC;PL	V;MASC;SG;3;PST;ACT
города	עיר	город	עיר	N;INAN;NOM;MASC;PL	N;FEM;SG
города	סיטי	город	סיטי	N;INAN;NOM;MASC;PL	N;FEM;SG
города	הערים	город	הערים	N;INAN;NOM;MASC;PL	V;MASC;SG;3;PST;ACT
может	אולי	мочь	אולי	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	יכולת	мочь	יכולת	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
может	יכול	мочь	None	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP
может	יכולה	мочь	יכול	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP
может	יכול	мочь	None	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP
войны	מלחמה	война	מלחמה	N;INAN;NOM;FEM;PL	N;FEM;SG
войны	המלחמה	война	המלחם	N;INAN;NOM;FEM;PL	PROPN
можно	יכולה	можно	יכול	ADV	V;FEM;SG;V.PTCP
можно	יכול	можно	None	ADV	V;MASC;SG;V.PTCP
когда	מתי	когда	מתי	CONJ	ADV
однако	אולם	однако	אולם	ADV	CONJ
которые	אשר	который	אשר	PRO;NOM	CONJ
которые	איזה	который	איזה	PRO;NOM	
село	הכפר	село	הכפר	N;INAN;NOM;NEUT;SG	
стал	הפכו	стать	הפך	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PL;3;PST
статья	המאמר	статья	המאמר	N;INAN;NOM;FEM;SG	PROPN
род	רוד	род	רוד	N;ANIM;NOM;MASC;SG	PROPN
один	לבדי	один	לבדי	NUM;NOM;MASC	
один	לבדו	один	לבד	NUM;NOM;MASC	
один	לבד	один	לבד	NUM;NOM;MASC	
один	אודין	один	אודין	NUM;NOM;MASC	PROPN
реки	ריבר	река	ריבר	N;INAN;NOM;FEM;PL	PROPN
реки	הנהר	река	הנהר	N;INAN;NOM;FEM;PL	
