funkcjonowanie	العمليات	funkcjonowanie	عَمَلِيَّة	N;NOM;NEUT;SG	N;NOM;DEF;PL
białoruś	بيلاروس	białoruś	بِيلَارُوس		
socjalistyczna	الاشتراكي	socjalistyczny	اِشتِرَاكِيّ	ADJ;NOM;FEM;SG	N;NOM;DEF;SG
socjalistyczna	الاشتراكية	socjalistyczny	اِشتِرَاكِيَّة	ADJ;NOM;FEM;SG	N;NOM;DEF;SG
czołg	تانك	czołg	تَانك	N;ACC;MASC;SG	
czołg	دبابة	czołg	دَبَّابَة	N;ACC;MASC;SG	N;NOM;INDF;SG
czołg	الدبابة	czołg	دَبَّابَة	N;ACC;MASC;SG	N;NOM;DEF;SG
czołg	خزان	czołg	خَزَّان	N;ACC;MASC;SG	N;NOM;INDF;SG
egzemplarze	نسخ	egzemplarz	نُسخَة	N;NOM;MASC;PL	N;NOM;INDF;SG
słowackiej	السلوفاكية	słowacki	سلُوفَاكِيَّة	ADJ;GEN;FEM;SG	N;NOM;DEF;SG
słowackiej	سلوفاكيا	słowacki	سلُوفَاكِيَا	ADJ;GEN;FEM;SG	
widział	راى	widzieć	رَأي	V;IPFV;MASC;IND;SG;PST;FIN;ACT	
widział	شاف	widzieć	شاف	V;IPFV;MASC;IND;SG;PST;FIN;ACT	
widział	رايت	widzieć	رَاي	V;IPFV;MASC;IND;SG;PST;FIN;ACT	
widział	شفت	widzieć	شَفّ	V;IPFV;MASC;IND;SG;PST;FIN;ACT	
patrol	الدورية	patrol	دَورِيّ	N;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
patrol	الدوريات	patrol	دَورِيّ	N;NOM;MASC;SG	ADJ;NOM;DEF;FEM;PL
patrol	دوريات	patrol	دَورِيّ	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;PL
litera	خطاب	liter	خطاب	N;NOM;FEM;SG	
control	التحكم	control	تَحَكُّم		N;NOM;DEF;SG
control	السيطرة	control	سَيطَرَة		N;NOM;DEF;SG
control	سيطرة	control	سَيطَرَة		N;NOM;INDF;SG
control	تحكم	control	حَكَم		
chóru	الجوقة	chór	جُوقَة		N;NOM;DEF;SG
chóru	الكورس	chór	الكورس		N;NOM;DEF;SG
