של	shel	של	shel	PART;GEN	N;MASC;SG
את	tu	את	tu	PART;ACC	DET;SG;2
את	te	את	tú	PART;ACC	PRO;SG;2
את	tú	את	tú	PART;ACC	PRO;NOM;SG;2
את	usted	את	tú	PART;ACC	PRO;SG;2;FORM
את	vos	את	vo	PART;ACC	PRO;SG;2
על	acerca	על	acerca	ADP	ADV
גם	tambien	גם	tambien	ADV	
גם	too	גם	too	ADV	N
גם	tambien	גם	tambien	ADV	
זה	que	זה	que	PRO;MASC;SG;3	CONJ
היה	fue	היה	ser	V;MASC;SG;3;POS;PST	V;IND;SG;3;PST;FIN
היה	estaba	היה	estar	V;MASC;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
היה	era	היה	ser	V;MASC;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
שיחה	llamada	שיחה	llamado	N;FEM;SG	ADJ;FEM;SG;V.PTCP
שיחה	llame	שיחה	llamar	N;FEM;SG	V;IMP;SG;3;FIN
שיחה	llamar	שיחה	llamar	N;FEM;SG	V;NFIN
שיחה	llama	שיחה	llamar	N;FEM;SG	V;IND;SG;3;PRS;FIN
לאחר	despues	לאחר	despue	ADP	
לאחר	after	לאחר	after	ADP	N
לאחר	después	לאחר	después	ADP	ADV
בין	bean	בין	bean	ADP	N
בין	frijol	בין	frijol	ADP	N;MASC;SG
בין	inter	בין	inter	ADP	N
כל	todas	כול	todo	DET;PSSD	PRO;FEM;PL
כל	all	כול	all	DET;PSSD	N
כל	todo	כול	todo	DET;PSSD	PRO;MASC;SG
כל	todos	כול	todo	DET;PSSD	PRO;MASC;PL
כל	cualquiera	כול	cualquiera	DET;PSSD	PRO;SG
יותר	more	יותר	more	ADV	
ישראל	israel	ישראל	israel	PROPN	N;SG
ישראל	israelí	ישראל	israelí	PROPN	ADJ;SG
עד	asta	עד	aste	ADP	
שם	ahi	שם	ahi	ADV	INTJ
שם	nombre	שם	nombre	ADV	N;MASC;SG
שם	name	שם	name	ADV	N
שם	denominación	שם	denominación	ADV	N;FEM;SG
הייתה	fue	היה	ser	V;FEM;SG;3;POS;PST	V;IND;SG;3;PST;FIN
הייתה	estaba	היה	estar	V;FEM;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
הייתה	era	היה	ser	V;FEM;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
אשר	asher	אשר	asher	CONJ	PROPN
אשר	aser	אשר	aser	CONJ	V;IMP;NFIN
אשר	escher	אשר	escher	CONJ	N;MASC;SG
אשר	usher	אשר	usher	CONJ	N
אשר	cuáles	אשר	cuál	CONJ	PRO;PL
אשר	cuál	אשר	cuál	CONJ	PRO;SG
אשר	cual	אשר	cual	CONJ	PRO;SG
אשר	confirmar	אשר	confirmar	CONJ	V;NFIN
אשר	confirma	אשר	confirmar	CONJ	V;IND;SG;3;PRS;FIN
אשר	confirme	אשר	confirmar	CONJ	V;IMP;SG;3;FIN
אשר	confirmo	אשר	confirmar	CONJ	V;IND;SG;1;PRS;FIN
כמו	gustar	כמו	gustar	ADP	V;NFIN
כמו	like	כמו	like	ADP	N
כמו	como	כמו	como	ADP	CONJ
אחד	una	אחד	uno	NUM;MASC;SG	DET;INDF;FEM;SG
אחד	one	אחד	one	NUM;MASC;SG	N
אחד	uno	אחד	uno	NUM;MASC;SG	PRO;MASC;SG
שמאל	izquierdo	שמאל	izquierdo	N;MASC;SG	ADJ;MASC;SG
חיצוניים	externa	חיצוני	externo	ADJ;MASC;PL	ADJ;FEM;SG
חיצוניים	externo	חיצוני	externo	ADJ;MASC;PL	ADJ;MASC;SG
חיצוניים	exterior	חיצוני	exterior	ADJ;MASC;PL	ADJ;SG
הברית	alliance	הברית	alliance	PROPN	N;SG
הברית	alianza	הברית	alianza	PROPN	N;FEM;SG
בו	él	ב	él	ADP	PRO;MASC;SG;3
בו	bu	ב	bu	ADP	N
בו	boo	ב	boo	ADP	N
היו	eran	היה	ser	V;PL;3;POS;PST	V;IND;PL;3;IPFV;FIN
