から	от	から	от	CONJ	ADP
日本	япония	日本	япония	PROPN	N;INDF;FEM;SG
日本	nippon	日本	nippon	PROPN	PROPN
この	това	この	този	DET	PRO;NOM;NEUT;SG
まで	докато	まで	докато	ADP	CONJ
まで	тил	まで	тил	ADP	N;INDF;MASC;SG
また	също	また	също	CONJ	ADV
もの	неща	もの	някой	N	DET;INDF;PL
もの	нещата	もの	някой	N	PRO;NOM;DEF;PL
大学	university	大学	university	N	PROPN;INDF;MASC;SG
放送	излъчване	放送	излъчване	V	N;INDF;NEUT;SG
放送	излъчване	放送	излъчване	V	N;INDF;NEUT;SG
放送	излъчването	放送	излъчване	V	N;DEF;NEUT;SG
東京	токио	東京	токио	PROPN	PROPN;INDF;MASC;SG
削除	изтрит	削除	изтрия	V	N;INDF;MASC;SG
削除	изтриването	削除	изтриване	V	N;DEF;NEUT;SG
削除	заличаване	削除	заличаване	V	N;INDF;NEUT;SG
削除	премахване	削除	премахване	V	N;INDF;NEUT;SG
削除	изтриване	削除	изтриване	V	N;INDF;NEUT;SG
現在	текущ	現在	текущ	N	ADJ;INDF;MASC;SG
現在	текуща	現在	текущ	N	ADJ;INDF;FEM;SG
現在	текущи	現在	текущ	N	ADJ;INDF;PL
現在	понастоящем	現在	понастоящем	N	V;IPFV;IND;PL;1;PRS;FIN;ACT
現在	присъстващи	現在	присъствам	N	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
アメリカ	америка	アメリカ	америка	PROPN	PROPN;INDF;FEM;SG
作品	работи	作品	работя	N	V;IPFV;IMP;SG;2;FIN
映画	филмова	映画	филмов	N	ADJ;INDF;FEM;SG
鉄道	железопътен	鉄道	железопътен	N	ADJ;INDF;MASC;SG
使用	използване	使用	използване	V	N;INDF;NEUT;SG
使用	употреба	使用	употреба	V	N;INDF;FEM;SG
出演	изяви	出演	изява	V	N;INDF;FEM;PL
出演	появата	出演	поява	V	N;DEF;FEM;SG
出演	появяване	出演	появяване	V	N;INDF;NEUT;SG
出演	поява	出演	поява	V	N;INDF;FEM;SG
出演	гипс	出演	гипс	V	N;INDF;MASC;SG
開始	начало	開始	начало	V	N;INDF;NEUT;SG
開始	старт	開始	старт	V	N;INDF;MASC;SG
開始	стартиране	開始	стартиране	V	N;INDF;NEUT;SG
開始	започване	開始	започване	V	N;INDF;NEUT;SG
のみ	само	のみ	само	ADP	ADV
のみ	единствено	のみ	единствено	ADP	ADV
活動	дейности	活動	дейност	V	N;INDF;FEM;PL
活動	занимания	活動	занимание	V	N;INDF;NEUT;PL
研究	изследвания	研究	изследване	V	N;INDF;NEUT;PL
研究	проучвания	研究	проучване	V	N;INDF;NEUT;PL
研究	проучване	研究	проучване	V	N;INDF;NEUT;SG
研究	проучвания	研究	проучване	V	N;INDF;NEUT;PL
研究	изследване	研究	изследване	V	N;INDF;NEUT;SG
研究	изследвания	研究	изследване	V	N;INDF;NEUT;PL
会話	разговор	会話	разговор	V	N;INDF;MASC;SG
