של	шел	של	шел	PART;GEN	N;INDF;MASC;SG
את	си	את	съм	PART;ACC	V;IPFV;IND;SG;2;PRS;FIN;ACT
את	ти	את	аз	PART;ACC	PRO;NOM;SG;2
את	ви	את	аз	PART;ACC	PRO;ACC;SG;2
זה	че	זה	че	PRO;MASC;SG;3	CONJ
היה	бе	היה	съм	V;MASC;SG;3;POS;PST	V;IPFV;IND;SG;3;PST;FIN;ACT
שיחה	разговори	שיחה	разговор	N;FEM;SG	N;INDF;MASC;PL
בין	бийн	בין	бийн	ADP	PROPN;INDF;MASC;SG
בין	inter	בין	inter	ADP	PROPN;INDF;MASC;SG
בין	интер	בין	интер	ADP	PROPN;INDF;MASC;SG
כל	всички	כול	всеки	DET;PSSD	PRO;NOM;PL
כל	всичко	כול	всеки	DET;PSSD	PRO;NOM;NEUT;SG
כי	защото	כי	защото	CONJ	ADV
ישראל	израел	ישראל	израел	PROPN	PROPN;INDF;MASC;SG
עד	тил	עד	тил	ADP	N;INDF;MASC;SG
עד	докато	עד	докато	ADP	CONJ
שם	името	שם	име	ADV	N;DEF;NEUT;SG
שם	наименование	שם	наименование	ADV	N;INDF;NEUT;SG
שם	име	שם	име	ADV	N;INDF;NEUT;SG
בית	домашен	בית	домашен	N;MASC;SG	ADJ;INDF;MASC;SG
בית	вкъщи	בית	вкъщи	N;MASC;SG	ADV
הייתה	бе	היה	съм	V;FEM;SG;3;POS;PST	V;IPFV;IND;SG;3;PST;FIN;ACT
אשר	ашър	אשר	ашър	CONJ	N;INDF;MASC;SG
אשר	ешер	אשר	ешер	CONJ	N;INDF;MASC;SG
אשר	ъшър	אשר	ъшър	CONJ	PROPN;INDF;MASC;SG
אשר	разпоредител	אשר	разпоредител	CONJ	N;INDF;MASC;SG
אשר	което	אשר	който	CONJ	PRO;NOM;NEUT;SG
אשר	която	אשר	който	CONJ	PRO;NOM;FEM;SG
אשר	потвърждение	אשר	потвърждение	CONJ	N;INDF;NEUT;SG
אשר	потвърждавам	אשר	потвърждавам	CONJ	V;IPFV;IND;SG;1;PRS;FIN;ACT
אשר	потвърждаване	אשר	потвърждаване	CONJ	N;INDF;NEUT;SG
אשר	потвърди	אשר	потвърдя	CONJ	V;PFV;IND;SG;3;PST;FIN;ACT
כמו	като	כמו	като	ADP	CONJ
כמו	like	כמו	like	ADP	PROPN;INDF;MASC;SG
שמאל	ляво	שמאל	ляв	N;MASC;SG	ADV
שמאל	наляво	שמאל	наляво	N;MASC;SG	ADV
חיצוניים	външна	חיצוני	външен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
חיצוניים	външно	חיצוני	външен	ADJ;MASC;PL	ADV
חיצוניים	външен	חיצוני	външен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
הברית	алианса	הברית	алианс	PROPN	N;DEF;MASC;SG
הברית	алианс	הברית	алианс	PROPN	N;INDF;MASC;SG
הברית	съюз	הברית	съюз	PROPN	N;INDF;MASC;SG
בו	него	ב	аз	ADP	PRO;ACC;MASC;SG;3
בו	бу	ב	съм	ADP	N;INDF;MASC;SG
היו	бяха	היה	съм	V;PL;3;POS;PST	V;IPFV;IND;PL;3;PST;FIN;ACT
כאשר	когато	כאשר	когато	CONJ	ADV
כאשר	кога	כאשר	кога	CONJ	ADV
בן	бен	בן	бен	PROPN	PROPN;INDF;MASC;SG
בן	синко	בן	синко	PROPN	INTJ
בן	сине	בן	син	PROPN	PART
בן	син	בן	син	PROPN	N;INDF;MASC;SG
שלו	неговият	של	мой		DET;DEF;MASC;SG;3
שלו	неговата	של	мой		DET;DEF;FEM;SG;3
שלו	му	של	мой		PRO;DAT;MASC;SG;3
שלו	неговия	של	мой		DET;DEF;MASC;SG;3
שני	второ	שני	втори	NUM;MASC;PL	ADV
שני	втора	שני	втори	NUM;MASC;PL	ADJ;INDF;FEM;SG
שני	втори	שני	втори	NUM;MASC;PL	ADJ;INDF;MASC;SG
שני	шани	שני	шана	NUM;MASC;PL	N;INDF;MASC;SG
שני	понеделник	שני	понеделник	NUM;MASC;PL	N;INDF;MASC;SG
לו	лю	ל	лю		PROPN;INDF;MASC;SG
לו	лу	ל	лу		PROPN;INDF;MASC;SG
מה	какво	מה	какъв	ADV	DET;NEUT;SG
העולם	свят	העולם	свят		N;INDF;MASC;SG
העולם	света	העולם	свят		N;DEF;MASC;SG
העיר	град	העיר	град	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	градът	העיר	град	V;MASC;SG;3;PST;ACT	N;DEF;MASC;SG
העיר	градче	העיר	градче	V;MASC;SG;3;PST;ACT	N;INDF;NEUT;SG
העיר	град	העיר	град	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	градът	העיר	град	V;MASC;SG;3;PST;ACT	N;DEF;MASC;SG
העיר	сити	העיר	сит	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
העיר	city	העיר	city	V;MASC;SG;3;PST;ACT	PROPN;INDF;MASC;SG
כן	да	כן	да	ADV	INTJ
כן	да	כן	да	ADV	INTJ
אף	нос	אף	нос	CONJ	N;INDF;MASC;SG
אף	носа	אף	нос	CONJ	N;DEF;MASC;SG
אף	носът	אף	нос	CONJ	N;DEF;MASC;SG
אף	еф	אף	еф	CONJ	PROPN;INDF;MASC;SG
רבים	mnogo	רב	mnogo	V;MASC;PL;V.PTCP;ACT	PROPN;INDF;NEUT;SG
רבים	много	רב	много	V;MASC;PL;V.PTCP;ACT	ADV;INDF;PL
בה	нея	ב	аз		PRO;ACC;FEM;SG;3
אביב	авив	אביב	авив	N;MASC;SG	PROPN;INDF;MASC;SG
אביב	пролетно	אביב	пролетно	N;MASC;SG	ADV
במאי	май	במאי	май	N;MASC;SG	PROPN;INDF;MASC;SG
שנה	години	שנה	година	N;FEM;SG	N;INDF;FEM;PL
שנה	годините	שנה	година	N;FEM;SG	N;DEF;FEM;PL
נולד	родени	נולד	родя-(се)	V;MASC;SG;3;PST;MID	V;PFV;INDF;PL;V.PTCP;PASS
נולד	роден	נולד	родя-(се)	V;MASC;SG;3;PST;MID	V;PFV;INDF;MASC;SG;V.PTCP;PASS
נולד	родена	נולד	родя-(се)	V;MASC;SG;3;PST;MID	V;PFV;INDF;FEM;SG;V.PTCP;PASS
הערות	мнение	הערה	мнение	N;FEM;PL	N;INDF;NEUT;SG
חלק	гладко	חלק	гладко	N;MASC;SG	ADV
חלק	плавно	חלק	плавно	N;MASC;SG	ADV
חלק	гладък	חלק	гладък	N;MASC;SG	ADJ;INDF;MASC;SG
חלק	гладки	חלק	гладка	N;MASC;SG	ADJ;INDF;PL
ביולי	юли	ביולי	юли	PROPN	N;INDF;MASC;SG
באוקטובר	октомври	באוקטובר	октомври	PROPN	N;INDF;MASC;SG
באוקטובר	ост	באוקטובר	ост	PROPN	N;INDF;FEM;SG
באוקטובר	октомври	באוקטובר	октомври	PROPN	N;INDF;MASC;SG
החל	започване	None	започване	ADP	N;INDF;NEUT;SG
הרב	хърб	הרב	хърб		PROPN;INDF;MASC;SG
הרב	билка	הרב	билка		N;INDF;FEM;SG
הרב	биле	הרב	съм		N;INDF;NEUT;SG
מן	манна	מן	манна	ADP	N;INDF;FEM;SG
בינואר	януари	בינואר	януари		N;INDF;MASC;SG
במרץ	март	במרץ	март	PROPN	N;INDF;MASC;SG
ראש	ръш	ראש	ръш	N;MASC;SG	PROPN;INDF;MASC;SG
חיים	живот	חיים	живот	PROPN	N;INDF;MASC;SG
חיים	живота	חיים	живот	PROPN	N;DEF;MASC;SG
חיים	life	חיים	life	PROPN	PROPN;INDF;MASC;SG
חיים	лайф	חיים	лайф	PROPN	N;INDF;MASC;SG
חיים	животът	חיים	живот	PROPN	N;DEF;MASC;SG
חיים	хайм	חיים	хайм	PROPN	PROPN;INDF;MASC;SG
חיים	хаим	חיים	хаим	PROPN	N;INDF;MASC;SG
המאה	век	המאה	век		N;INDF;MASC;SG
המאה	вековен	המאה	вековен		ADJ;INDF;MASC;SG
המאה	века	המאה	век		N;DEF;MASC;SG
בנובמבר	ноември	בנובמבר	ноември	ADV	N;INDF;MASC;SG
בדצמבר	декември	בדצמבר	декември	PROPN	N;INDF;MASC;SG
לי	лии	ל	лия		N;INDF;NEUT;SG
לי	лий	ל	лий		PROPN;INDF;MASC;SG
בבית	дом	בבית	дом		N;INDF;MASC;SG
בבית	домашен	בבית	домашен		ADJ;INDF;MASC;SG
בבית	вкъщи	בבית	вкъщи		ADV
בפברואר	февруари	בפברואר	февруари	ADV	N;INDF;MASC;SG
אלו	тези	אלו	този	PRO;PL;3	DET;PL
אחר	друго	אחר	друг	ADP	ADV
אחר	друг	אחר	друг	ADP	ADJ;INDF;MASC;SG
אחר	други	אחר	друг	ADP	ADJ;INDF;PL
בני	бени	בני	бен	PROPN	N;INDF;MASC;SG
בני	синко	בני	синко	PROPN	INTJ
בני	сине	בני	син	PROPN	PART
בני	син	בני	син	PROPN	N;INDF;MASC;SG
שונים	различна	שונה	различен	ADJ;MASC;PL	ADJ;INDF;FEM;SG
שונים	различно	שונה	различно	ADJ;MASC;PL	ADV
שונים	различен	שונה	различен	ADJ;MASC;PL	ADJ;INDF;MASC;SG
רב	рав	רב	рав		PROPN;INDF;MASC;SG
אדם	човешка	אדם	човешки	N;MASC;SG	ADJ;INDF;FEM;SG
אדם	човешко	אדם	човешки	N;MASC;SG	ADV
אדם	човешки	אדם	човешки	N;MASC;SG	ADJ;INDF;MASC;SG
אדם	човече	אדם	човече	N;MASC;SG	ADV
כלל	правилото	כלל	правило	ADV	N;DEF;NEUT;SG
כלל	правило	כלל	правило	ADV	N;INDF;NEUT;SG
דבר	говори	דבר	говоря	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
דבר	поговорим	דבר	поговоря	N;MASC;SG	V;PFV;IND;PL;1;PRS;FIN;ACT
דבר	говори	דבר	говоря	N;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
אחרים	друго	אחר	друг	ADJ;MASC;PL	ADV
אחרים	друг	אחר	друг	ADJ;MASC;PL	ADJ;INDF;MASC;SG
לה	нея	ל	аз		PRO;ACC;FEM;SG;3
זכה	уон	זכה	уон	V;MASC;SG;3;PST;ACT	N;INDF;MASC;SG
יום	хюм	יום	хюм	N;MASC;SG	PROPN;INDF;MASC;SG
