nie	no	nie	no	PART;NEG	ADV;NEG
był	fou	być	ser	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
center	centra	center	centrar		V;IND;SG;3;PRS;FIN
center	centre	center	centre		N;MASC;SG
tym	aquesta	to	aquest	PRO;INS;NEUT;SG	DET;FEM;SG
tym	aquest	to	aquest	PRO;INS;NEUT;SG	DET;MASC;SG
pod	arres	pod	arre	ADP	
cest	cest	cest	cest		N
jak	com	jak	com	ADV	CONJ
jak	like	jak	like	ADV	
też	també	też	també	PART	ADV
miejsce	spot	miejsce	spot	N;NOM;NEUT;SG	
miejsce	place	miejsce	place	N;NOM;NEUT;SG	
polski	polski	polski	polski	ADJ;NOM;MASC;SG	PROPN
zewnętrzne	externs	zewnętrzny	extern	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
także	també	także	també	PART	ADV
cet	cet	cet	cet		
team	equip	team	equip		N;MASC;SG
który	qual	który	qual	DET;NOM;MASC;SG	PRO;SG
jednak	tanmateix	jednak	tanmateix	PART	ADV
również	també	również	també	PART	ADV
jej	her	on	her	PRO;GEN;FEM;SG;3	PROPN
lat	lat	rok	lat	N;GEN;MASC;PL	
brak	absència	brak	absència	V;IND;PRS;FIN	N;FEM;SG
brak	desaparegut	brak	desaparegut	V;IND;PRS;FIN	ADJ;MASC;SG;V.PTCP
brak	desapareguda	brak	desaparegut	V;IND;PRS;FIN	ADJ;FEM;SG;V.PTCP
podczas	mentre	podczas	mentre	ADP	CONJ
była	fou	być	ser	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
które	qual	który	qual	DET;ACC;MASC;SG	PRO;SG
września	setembre	wrzesień	setembre		N
ich	ich	on	ich	PRO;GEN;MASC;PL;3	
świata	world	świat	world	N;GEN;MASC;SG	
gdzie	on	gdzie	on	ADV	PRO
tylko	només	tylko	només	PART	ADV
tylko	només	tylko	només	PART	ADV
maja	maig	mieć	maig		N
maja	maja	mieć	maja		
miasta	ciutats	miasto	ciutat	N;GEN;NEUT;SG	N;FEM;PL
zobacz	veure	zobaczyć	veure	V;PFV;IMP;SG;2;FIN;ACT	
zobacz	vista	zobaczyć	vista	V;PFV;IMP;SG;2;FIN;ACT	N;FEM;SG
zobacz	visualitza	zobaczyć	visualitzar	V;PFV;IMP;SG;2;FIN;ACT	V;IND;SG;3;PRS;FIN
zobacz	visualització	zobaczyć	visualització	V;PFV;IMP;SG;2;FIN;ACT	N;FEM;SG
gmina	municipi	gmina	municipi		N;MASC;SG
nad	nad	nad	nad	ADP	PROPN
polsce	polònia	polska	polònia	ADV	ADJ;FEM;SG
już	ja	już	ja	PART	ADV
grudnia	desembre	grudzień	desembre		N
marca	març	marza	març		N
marca	march	marza	march		PROPN
może	maig	móc	maig	V;IPFV;IND;SG;3;PRS;FIN;ACT	N
może	potser	móc	potser	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
było	fou	być	ser	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
rok	rok	rok	rok	N;NOM;MASC;SG	PROPN
kwietnia	abril	kwiecia	abril		N
listopada	nov	listopada	nov	N;GEN;MASC;SG	
lipca	juliol	lipiec	juliol		N
lutego	febrer	luty	febrer		N
lutego	feb	luty	feb		
były	antiga	być	antic	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;FEM;SG
były	eren	być	ser	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
przed	abans	przed	abans	ADP	ADV
pierwszy	primers	pierwszy	primer	ADJ;NOM;MASC;SG	ADJ;MASC;PL
która	qual	który	qual	DET;NOM;FEM;SG	PRO;SG
wojny	guerra	wojna	guerra	N;GEN;FEM;SG	
wojny	guerres	wojna	guerra	N;GEN;FEM;SG	N;FEM;PL
można	can	można	can	V;IND;PRS;FIN	
data	data	datać	data		N;FEM;SG
data	dades	datać	dada		N;FEM;PL
warszawa	varsòvia	warszawa	varsòvia		ADJ;FEM;SG
nazwa	nom	nazwa	nom	N;NOM;FEM;SG	
kraju	país	kraj	país	N;GEN;MASC;SG	
część	part	część	part	N;NOM;FEM;SG	
innych	altres	inny	altre	ADJ;GEN;MASC;PL	PRO;PL
śmierci	mort	śmierć	mort	N;GEN;FEM;SG	ADJ;MASC;SG;V.PTCP
między	inter	między	inter	ADP	N;MASC;SG
