les	را	le	را	DET;DEF;PL	PART
est	شرق	être	شرق	V;IND;SG;3;PRS;FIN	N;SG
est	شرقی	être	شرقی	V;IND;SG;3;PRS;FIN	N;SG
une	یکی	un	یک	DET;INDF;FEM;SG	NUM
une	یگانه	un	یگانه	DET;INDF;FEM;SG	N;SG
une	یک	un	یک	DET;INDF;FEM;SG	NUM
qui	که	qui	که	PRO	CONJ
son	صوت	son	صوت	DET;MASC;SG	N;SG
son	صدا	son	صدا	DET;MASC;SG	N;SG
son	او	son	او	DET;MASC;SG	PRO;SG;3
son	its	son	its	DET;MASC;SG	
plus	پلاس	plus	پلاس	ADV	N;SG
plus	بیشتر	plus	بیش	ADV	ADJ;CMPR
sont	هستند	être	هست	V;IND;PL;3;PRS;FIN	V;PL;3;PRS
sont	are	être	are	V;IND;PL;3;PRS;FIN	
elle	اون	elle	None	PRO;FEM;SG;3	
été	تابستان	être	تابستان	V;MASC;SG;PST;V.PTCP	N;SG
été	سامر	être	سامر	V;MASC;SG;PST;V.PTCP	N;SG
été	تابستون	être	تابستون	V;MASC;SG;PST;V.PTCP	N;SG
été	تابستانی	être	تابستانی	V;MASC;SG;PST;V.PTCP	N;SG
comme	شبیه	comme	شبیه	ADP	ADJ
comme	لایک	comme	لایک	ADP	N;SG
comme	مثل	comme	مثل	ADP	ADV
comme	like	comme	like	ADP	
comme	مانند	comme	مانند	ADP	ADV
deux	دوتا	deux	دوتا	NUM	N;SG
ses	او	son	او	DET;MASC;PL	PRO;SG;3
ses	ses	son	ses	DET;MASC;PL	N;SG
ses	its	son	its	DET;MASC;PL	
naissance	متولد	naissance	متولد	N;FEM;SG	ADJ
naissance	b	naissance	b	N;FEM;SG	INTJ
aussi	همچنین	aussi	همچنین	ADV	CONJ
saint	مقدس	saint	مقدس	PROPN	ADJ
saint	قدیس	saint	قدیس	PROPN	N;SG
saint	سن	saint	سن	PROPN	N;SG
notes	نوت	note	نوت	N;FEM;PL	N;SG
même	حتى	même	حتى	ADV	
même	وحتی	même	وحتی	ADV	CONJ
même	همون	même	همون	ADV	
être	بودن	être	بودن	V;NFIN	N;SG
français	français	français	français	ADJ;MASC;SG	N;SG
français	فرنچ	français	فرنچ	ADJ;MASC;SG	N;SG
français	فرانسه	français	فرانسه	ADJ;MASC;SG	N;SG
français	فرانسوی	français	فرانسوی	ADJ;MASC;SG	N;SG
paris	paris	pari	paris	N;MASC;PL	N;SG
paris	پاریسی	pari	پاریسی	N;MASC;PL	N;SG
paris	پاریس	pari	پاریس	N;MASC;PL	N;SG
cet	این	ce	این	PRO;SG;3	DET
autres	دیگر	autre	دیگر	PRO;PL	ADV
autres	غیره	autre	غیره	PRO;PL	N;SG
autres	دیگر	autre	دیگر	PRO;PL	ADV
était	بود	être	بود#باش	V;IND;SG;3;IPFV;FIN	V;SG;3;PST
commune	معمولی	commune	معمولی	N;FEM;SG	ADJ
commune	مشترک	commune	مشترک	N;FEM;SG	ADJ
jean	ژان	jean	ژان	PROPN	N;SG
jean	جان	jean	جان	PROPN	N;SG
jean	یوحنا	jean	یوحنا	PROPN	N;SG
peut	می	pouvoir	می	V;IND;SG;3;PRS;FIN	
peut	مه	pouvoir	مه	V;IND;SG;3;PRS;FIN	N;SG
peut	تا	pouvoir	تا	V;IND;SG;3;PRS;FIN	ADP
première	پریمیر	premier	پریمیر	ADJ;FEM;SG	N;SG
première	افتتاحیه	premier	افتتاحیه	ADJ;FEM;SG	N;SG
première	ابتدا	premier	ابتدا	ADJ;FEM;SG	N;SG
ans	ans	an	ans	N;MASC;PL	
ans	سال	an	سال	N;MASC;PL	N;SG
premier	ابتدا	premier	ابتدا	ADJ;MASC;SG	N;SG
ces	اینا	ce	اینا	PRO;PL;3	
fut	بود	être	بود#باش	V;IND;SG;3;PST;FIN	V;SG;3;PST
film	فیلمش	film	فیلمش	N;MASC;SG	
film	سینمایی	film	سینمایی	N;MASC;SG	ADJ
film	film	film	film	N;MASC;SG	
voir	see	voir	see	V;NFIN	
voir	دیدن	voir	دیدن	V;NFIN	N;SG
voir	نما	voir	نما	V;NFIN	
voir	نمای	voir	None	V;NFIN	N;SG
pays	کشورها	pays	کشور	N;MASC;SG	N;PL
ils	اونا	il	آن	PRO;MASC;PL;3	N;PL
ils	اونها	il	اون	PRO;MASC;PL;3	N;PL
ils	آنها	il	آن	PRO;MASC;PL;3	PRO;PL
grand	بیگ	grand	بیگ	ADJ;MASC;SG	N;SG
grand	b	grand	b	ADJ;MASC;SG	N;SG
grand	بزرگی	grand	بزرگی	ADJ;MASC;SG	N;SG
grand	عالیه	grand	عالیه	ADJ;MASC;SG	N;SG
grand	گرند	grand	گشت#گرد	ADJ;MASC;SG	N;SG
grand	گراند	grand	گراند#گران	ADJ;MASC;SG	N;SG
groupe	b	groupe	b	N;MASC;SG	INTJ
également	همچنین	également	همچنین	ADV	CONJ
années	سال	année	سال	N;FEM;PL	N;SG
bien	خوبی	bien	خوبی	ADV	N;SG
bien	good	bien	good	ADV	
bien	خوبش	bien	خوبش	ADV	
puis	پس	puis	پس	CONJ	ADV
avant	جبهه	avant	جبهه	ADP	N;SG
avant	جلو	avant	جلو	ADP	N;SG
articles	مقاله	article	مقاله	N;MASC;PL	N;SG
sans	بى	sans	بى	ADP	
sans	sans	sans	sans	ADP	
vers	vers	vers	vers	ADP	N;SG
temps	time	temps	time	N;MASC;SG	
plusieurs	بسیار	plusieurs	بسیار	PRO;PL	ADV
plusieurs	چندین	plusieurs	چندین	PRO;PL	ADJ
plusieurs	چندگانه	plusieurs	چندگانه	PRO;PL	ADJ
plusieurs	چندین	plusieurs	چندین	PRO;PL	ADJ
faire	make	faire	make	V;NFIN	
faire	را	faire	را	V;NFIN	PART
faire	faire	faire	faire	V;NFIN	
série	سریالهای	série	سریال	N;FEM;SG	N;PL
mai	می	mai	می	N;MASC;SG	
mai	تا	mai	تا	N;MASC;SG	ADP
mai	مای	mai	ما	N;MASC;SG	
mort	درگذشت	mourir	در#گذشت#گذر	V;MASC;SG;PST;V.PTCP	N;SG
mort	مرگ	mourir	مرگ	V;MASC;SG;PST;V.PTCP	N;SG
mort	مورت	mourir	مورت	V;MASC;SG;PST;V.PTCP	N;SG
mort	مرت	mourir	مرت	V;MASC;SG;PST;V.PTCP	N;SG
mort	مرده	mourir	مرده	V;MASC;SG;PST;V.PTCP	N;SG
mort	مردن	mourir	مردن	V;MASC;SG;PST;V.PTCP	N;SG
mort	مُرده	mourir	مُرده	V;MASC;SG;PST;V.PTCP	ADJ
mort	مردگان	mourir	مرده	V;MASC;SG;PST;V.PTCP	N;PL
juin	june	juin	june	N;MASC;SG	
française	فرنچ	français	فرنچ	ADJ;FEM;SG	N;SG
française	فرانسه	français	فرانسه	ADJ;FEM;SG	N;SG
française	فرانسوی	français	فرانسوی	ADJ;FEM;SG	N;SG
avoir	داشتن	avoir	داشتن	V;NFIN	N;SG
fois	زمانهای	fois	زمان	N;FEM;SG	N;PL
fois	times	fois	times	N;FEM;SG	
fois	دفعات	fois	دفعه	N;FEM;SG	N;PL
autre	autre	autre	autre	PRO;SG	N;SG
autre	دیگر	autre	دیگر	PRO;SG	ADV
autre	غیره	autre	غیره	PRO;SG	N;SG
état	شرایط	état	شرایط	N;MASC;SG	N;PL
général	عمومی	général	عمومی	N;MASC;SG	ADJ
politique	سیاست	politique	سیاست	ADJ;MASC;SG	N;SG
politique	سیاست	politique	سیاست	ADJ;MASC;SG	N;SG
todo	todo	todo	todo	PROPN	
avait	had	avoir	had	V;IND;SG;3;IPFV;FIN	
prix	قیمتها	prix	قیمت	N;MASC;SG	N;PL
nouvelle	تازه	nouveau	تازه	ADJ;FEM;SG	ADV
nouvelle	نیو	nouveau	نیو	ADJ;FEM;SG	N;SG
grande	بیگ	grand	بیگ	ADJ;FEM;SG	N;SG
grande	b	grand	b	ADJ;FEM;SG	N;SG
grande	بزرگی	grand	بزرگی	ADJ;FEM;SG	N;SG
grande	عالیه	grand	عالیه	ADJ;FEM;SG	N;SG
grande	گرانده	grand	گراند#گران	ADJ;FEM;SG	N;SG
grande	گراند	grand	گراند#گران	ADJ;FEM;SG	N;SG
peu	چند	peu	چند	ADV	ADJ
peu	اندکی	peu	اندکی	ADV	ADJ
peu	کوچک	peu	کوچک	ADV	ADJ
peu	کم	peu	کم	ADV	ADJ
peu	لیتل	peu	لیتل	ADV	N;SG
peu	کوچولو	peu	کوچولو	ADV	N;SG
américain	امریکایی	américain	None	ADJ;MASC;SG	N;SG
américain	امریکن	américain	None	ADJ;MASC;SG	N;SG
américain	آمریکن	américain	آمریکن	ADJ;MASC;SG	N;SG
nationale	نشنال	national	نشنال	ADJ;FEM;SG	N;SG
nationale	ناسیونال	national	ناسیونال	ADJ;FEM;SG	N;SG
vie	vie	vie	vie	N;FEM;SG	
unis	یونایتد	unir	یونایت#یونا	V;MASC;PL;PST;V.PTCP	N;SG
unis	متحد	unir	None	V;MASC;PL;PST;V.PTCP	N;SG
jeux	بازی	jeu	بازی	N;MASC;PL	N;SG
moins	منهای	moins	منهای	ADV	N;SG
moins	مینوس	moins	مینوس	ADV	N;SG
moins	کمتر	moins	کم	ADV	ADJ;CMPR
moins	less	moins	less	ADV	N;SG
ouest	غربی	ouest	غربی	N;MASC;SG	ADJ
ouest	غربی	ouest	غربی	N;MASC;SG	ADJ
nouveau	تازه	nouveau	تازه	ADJ;MASC;SG	ADV
nouveau	نیو	nouveau	نیو	ADJ;MASC;SG	N;SG
vous	تو	vous	تو	PRO;PL;2	PRO;SG;2
cours	cours	cours	cours	N;MASC;SG	
partir	رها	partir	رها	V;NFIN	N;SG
partir	برار	partir	برار	V;NFIN	
partir	ترک	partir	ترک	V;NFIN	N;SG
quelques	بعضیها	quelque	بعضی	PRO;PL	N;PL
connexes	مرتبط	connexe	مرتبط	ADJ;MASC;PL	N;SG
homme	مردانی	homme	مردانی	N;MASC;SG	N;PL
homme	مردها	homme	مرد	N;MASC;SG	N;PL
homme	مردان	homme	مرد	N;MASC;SG	N;PL
national	نشنال	national	نشنال	ADJ;MASC;SG	N;SG
société	گروهان	société	گروه	N;FEM;SG	N;PL
cas	موارد	cas	مورد	N;MASC;SG	N;PL
genre	شبیه	genre	شبیه	N;MASC;SG	ADJ
genre	مثل	genre	مثل	N;MASC;SG	ADV
genre	like	genre	like	N;MASC;SG	
genre	مانند	genre	مانند	N;MASC;SG	ADV
fils	پسران	fils	پسر	N;MASC;SG	N;PL
fils	فرزندان	fils	فرزند	N;MASC;SG	N;PL
parti	مهمانی	partir	مهمان	V;MASC;SG;PST;V.PTCP	N;SG
parti	پارتی	partir	پارت	V;MASC;SG;PST;V.PTCP	N;SG
parti	مهمونی	partir	مهمونی	V;MASC;SG;PST;V.PTCP	N;SG
parti	حزب	partir	حزب	V;MASC;SG;PST;V.PTCP	N;SG
parti	جشن	partir	جشن	V;MASC;SG;PST;V.PTCP	N;SG
parti	رفتن	partir	رفتن	V;MASC;SG;PST;V.PTCP	N;SG
mise	mise	mettre	mise	V;FEM;SG;PST;V.PTCP	N;SG
mise	شرط	mettre	شرط	V;FEM;SG;PST;V.PTCP	N;SG
devient	گردد	devenir	گشت#گرد	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS
ancien	کهن	ancien	کهن	ADJ;MASC;SG	N;SG
ancien	باستانی	ancien	باستانی	ADJ;MASC;SG	N;SG
ancien	باستان	ancien	باستان	ADJ;MASC;SG	N;SG
ancien	پیر	ancien	پیر	ADJ;MASC;SG	N;SG
ancien	قدیمی	ancien	قدیمی	ADJ;MASC;SG	N;SG
ancien	قدمت	ancien	قدمت	ADJ;MASC;SG	N;SG
ancien	پیشین	ancien	پیشین	ADJ;MASC;SG	N;SG
château	کسل	château	کسل	N;MASC;SG	ADJ
école	مدارس	école	None	N;FEM;SG	N;PL
deuxième	ثانیه	deuxième	ثانیه	ADJ;MASC;SG	N;SG
points	نقطه	point	نقطه	N;MASC;PL	N;SG
points	امتیاز	point	امتیاز	N;MASC;PL	N;SG
ayant	داشتن	avoir	داشتن	V;PRS;V.PTCP	N;SG
trouve	بفهمد	trouver	فهمید#فهم	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS
trouve	بیابد	trouver	آمد#آ	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS
durant	دورانت	durant	دورانت	ADP	N;SG
dernier	آخری	dernier	آخری	ADJ;MASC;SG	N;SG
dernier	لست	dernier	لست	ADJ;MASC;SG	ADP
période	دورهای	période	دور	N;FEM;SG	N;PL
discuter	گپ	discuter	گپ	V;NFIN	N;SG
discuter	گپی	discuter	گذی	V;NFIN	N;SG
car	چون	car	چون	CONJ	CONJ
chaque	هرکدوم	chaque	هرکدوم	DET;FEM;SG	N;SG
chaque	هریک	chaque	هریک	DET;FEM;SG	N;SG
john	جان	john	جان	PROPN	N;SG
john	یوحنا	john	یوحنا	PROPN	N;SG
international	اینترنشنال	international	اینترنشنال	ADJ;MASC;SG	N;SG
international	بینالمللی	international	بینالمللی	ADJ;MASC;SG	N;SG
international	جهانی	international	جهانی	ADJ;MASC;SG	N;SG
françois	فرنسیس	françois	فرنسیس	PROPN	N;SG
françois	فرانسیس	françois	فرانسیس	PROPN	N;SG
françois	فرانسوا	françois	فرانسوا	PROPN	N;SG
cela	این	cela	این	PRO;SG	DET
cela	که	cela	که	PRO;SG	CONJ
demande	بپرس	demande	بپرس	N;FEM;SG	V;IMP;SG;2
toujours	always	toujours	always	ADV	
doit	باید	devoir	بایست#باید	V;IND;SG;3;PRS;FIN	V;NFIN
certains	بعضیها	certain	بعضی	PRO;MASC;PL	N;PL
près	نزدیکی	près	نزدیک	ADV	N;SG
près	نزدیک	près	نزدیک	ADV	ADP
meilleur	best	meilleur	best	ADJ;MASC;SG	N;SG
droit	حقوق	droit	حق	N;MASC;SG	N;PL
mois	ماهها	mois	ماه	N;MASC;SG	N;PL
mois	ماههای	mois	ماه	N;MASC;SG	N;PL
service	خدمات	service	خدمت	N;MASC;SG	N;PL
dit	میگه	dire	میگه	V;MASC;SG;PST;V.PTCP	
dit	میگوید	dire	گفت#گو	V;MASC;SG;PST;V.PTCP	V;SG;3;PRS
elles	اونا	il	آن	PRO;FEM;PL;3	N;PL
elles	اونها	il	اون	PRO;FEM;PL;3	N;PL
elles	آنها	il	آن	PRO;FEM;PL;3	PRO;PL
petit	small	petit	small	ADJ;MASC;SG	
petit	کوچکی	petit	کوچک	ADJ;MASC;SG	N;SG
petit	اسمال	petit	اسمال	ADJ;MASC;SG	N;SG
petit	لیتل	petit	لیتل	ADJ;MASC;SG	N;SG
petit	کوچولو	petit	کوچولو	ADJ;MASC;SG	N;SG
olympiques	المپیک	olympique	المپیک	ADJ;MASC;PL	N;SG
olympiques	المپیک	olympique	المپیک	ADJ;MASC;PL	N;SG
top	بالا	top	بالا	N;MASC;SG	ADV;ESS
mondiale	جهان	mondial	جهان	ADJ;FEM;SG	N;SG
mondiale	دنیا	mondial	دنیا	ADJ;FEM;SG	N;SG
mondiale	جهانی	mondial	جهانی	ADJ;FEM;SG	N;SG
mondiale	سراسری	mondial	سراسری	ADJ;FEM;SG	N;SG
mondiale	جهانی	mondial	جهانی	ADJ;FEM;SG	N;SG
mondiale	گلوبال	mondial	گلوبال	ADJ;FEM;SG	N;SG
ensemble	همای	ensemble	هما	ADV	N;SG
théâtre	تئاتر	théâtre	None	N;MASC;SG	N;PL
théâtre	سینماها	théâtre	سینما	N;MASC;SG	N;PL
théâtre	تئاتر	théâtre	None	N;MASC;SG	N;PL
toute	همه	tout	همه	DET;FEM;SG	PRO
étaient	بودند	être	بود	V;IND;PL;3;IPFV;FIN	V;PL;3;PST
troisième	سومی	troisième	None	ADJ;MASC;SG	N;SG
nombreux	بسیار	nombreux	بسیار	ADJ;MASC;PL	ADV
nombreux	بیشماری	nombreux	بیشماری	ADJ;MASC;PL	N;SG
cependant	هرچند	cependant	هرچند	ADV	CONJ
reste	بمان	rester	None	V;IND;SG;3;PRS;FIN	V;IMP;SG;2
reste	بمانی	rester	بمانی	V;IND;SG;3;PRS;FIN	V;IMP;2
reste	ماندن	rester	ماندن	V;IND;SG;3;PRS;FIN	N;SG
reste	بمانم	rester	ممتم	V;IND;SG;3;PRS;FIN	V;SBJV;SG;1;PRS
reste	بمانید	rester	None	V;IND;SG;3;PRS;FIN	V;SBJV;PL;2;PRS
seconde	ثانیه	second	ثانیه	ADJ;FEM;SG	N;SG
roman	روم	roman	None	N;MASC;SG	
jours	روزگار	jour	روزگار	N;MASC;PL	N;SG
hui	امروز	hui	امروز		ADV
historique	تاریخچه	historique	تاریخچه	ADJ;MASC;SG	N;SG
historique	تاریخ	historique	تاریخ	ADJ;MASC;SG	N;SG
sera	ویل	être	ویل	V;IND;SG;3;FUT;FIN	N;SG
permet	اجازۀ	permettre	اجازۀ	V;IND;SG;3;PRS;FIN	N;SG
âge	age	âge	age	N;MASC;SG	
officiel	officiel	officiel	officiel	ADJ;MASC;SG	N;SG
membres	عضو	membre	عضو	N;MASC;PL	N;SG
membres	عضوی	membre	عضو	N;MASC;PL	N;SG
membres	عضویت	membre	عضویت	N;MASC;PL	N;SG
espèce	گونههای	espèce	گونه	N;FEM;SG	N;PL
michel	میکائیل	michel	میکائیل	PROPN	N;SG
michel	مایکل	michel	مایکل	PROPN	N;SG
femme	زنانی	femme	None	N;FEM;SG	N;PL
femme	زنها	femme	None	N;FEM;SG	N;PL
femme	زنان	femme	زن	N;FEM;SG	N;PL
femme	wife	femme	wife	N;FEM;SG	
cinq	فایو	cinq	فایو	NUM	N;SG
bas	low	bas	low	ADJ;MASC;SG	N;SG
bas	باس	bas	باس	ADJ;MASC;SG	N;SG
bas	b	bas	b	ADJ;MASC;SG	N;SG
allemagne	آلمان	allemagne	آلمان	PROPN	N;SG
compétition	رقابتهای	compétition	رقابت	N;FEM;SG	N;PL
compétition	رقابتها	compétition	رقابت	N;FEM;SG	N;PL
wikipédia	ویکیپدیا	wikipédia	ویکیپدیا	V;MASC;SG;PST;V.PTCP	N;SG
wikipédia	ویکیپدیای	wikipédia	ویکیپدیا	V;MASC;SG;PST;V.PTCP	N;SG
britannique	بریتانیایی	britannique	بریتانی	ADJ;MASC;SG	N;SG
britannique	بریتانیا	britannique	None	ADJ;MASC;SG	N;SG
porte	در	porte	در	N;FEM;SG	ADP
hommes	ذکور	homme	None	N;MASC;PL	N;SG
italie	ایتالیا	italie	ایتالیا	PROPN	N;SG
corps	تفنگداران	corps	تفنگدار	N;MASC;SG	N;PL
demi	نیم	demi	نیم	ADJ;MASC;SG	N;SG
demi	نیمی	demi	نیم	ADJ;MASC;SG	N;SG
demi	نصف	demi	None	ADJ;MASC;SG	N;SG
demi	دمی	demi	دم	ADJ;MASC;SG	N;SG
personnes	مردم	personne	مردم	N;FEM;PL	N;SG
nommé	نامدار	nommer	نامدار	V;MASC;SG;PST;V.PTCP	N;SG
nommé	معین	nommer	معین	V;MASC;SG;PST;V.PTCP	N;SG
finale	نهایی	finale	نهایی	N;FEM;SG	ADJ
finale	آخرین	finale	آخرین	N;FEM;SG	ADJ;RL
jeune	جوان	jeune	جوان	ADJ;MASC;SG	N;SG
jeune	یانگ	jeune	یانگ	ADJ;MASC;SG	N;SG
jeune	جوون	jeune	جوون	ADJ;MASC;SG	N;SG
jeune	یونگ	jeune	یونگ	ADJ;MASC;SG	N;SG
york	یورک	york	یورک	PROPN	N;SG
long	لانگ	long	لانگ	ADJ;MASC;SG	N;SG
militaire	ارتش	militaire	ارتش	ADJ;MASC;SG	N;SG
militaire	نظامی	militaire	نظام	ADJ;MASC;SG	N;SG
militaire	ارتشی	militaire	ارتشی	ADJ;MASC;SG	N;SG
