категорія	kategorii	категорія	kategorie	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
від	vid	від	vid	ADP;GEN	N;NOM;MASC;SG;POS
для	pro	для	pro	ADP;GEN	ADP;ACC
для	za	для	za	ADP;GEN	ADP;ACC
його	jeho	він	jeho	PRO;ACC;MASC;SG;3	DET;3
його	jeho	він	jeho	PRO;ACC;MASC;SG;3	DET;3
його	její	він	jeho	PRO;ACC;MASC;SG;3	DET;NOM;FEM;SG;3
його	jeho	він	jeho	PRO;ACC;MASC;SG;3	DET;3
його	nej	він	nej	PRO;ACC;MASC;SG;3	N;NOM;MASC;SG;POS
був	byla	бути	být	V;IPFV;MASC;IND;SG;PST;FIN	V;POS;PST;V.PTCP;ACT
було	byla	бути	být	V;IPFV;NEUT;IND;SG;PST;FIN	V;POS;PST;V.PTCP;ACT
він	wien	він	wien	PRO;NOM;MASC;SG;3	PROPN;INAN;NOM;MASC;SG;POS
він	vídeň	він	vídeň	PRO;NOM;MASC;SG;3	PROPN;NOM;FEM;SG;POS
під	vespod	під	vespod	ADP;ACC	N;NOM;FEM;SG;POS
після	po	після	po	ADP;GEN	
після	poté	після	poté	ADP;GEN	ADV
час	krát	час	krát	N;INAN;NOM;MASC;SG	ADV
час	časy	час	čas	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;PL;POS
час	times	час	times	N;INAN;NOM;MASC;SG	PROPN;INAN;MASC;PL;POS
час	dob	час	doba	N;INAN;NOM;MASC;SG	N;GEN;FEM;PL;POS
області	plochy	область	plocha	N;INAN;GEN;FEM;SG	N;NOM;FEM;PL;POS
області	oblasti	область	oblast	N;INAN;GEN;FEM;SG	N;NOM;FEM;PL;POS
які	kterou	який	který	DET;NOM;PL	DET;ACC;FEM;SG
які	který	який	který	DET;NOM;PL	DET;NOM;MASC;SG
які	což	який	což	DET;NOM;PL	PRO;NOM
які	která	який	který	DET;NOM;PL	DET;NOM;FEM;SG
які	které	який	který	DET;NOM;PL	DET;NOM;NEUT;PL
при	pri	при	pri	ADP;ESS	PROPN;FEM;POS
який	kterou	який	který	DET;NOM;MASC;SG	DET;ACC;FEM;SG
який	který	який	který	DET;NOM;MASC;SG	DET;NOM;MASC;SG
який	což	який	což	DET;NOM;MASC;SG	PRO;NOM
який	která	який	který	DET;NOM;MASC;SG	DET;NOM;FEM;SG
який	které	який	který	DET;NOM;MASC;SG	DET;NOM;NEUT;PL
була	byla	бути	být	V;IPFV;FEM;IND;SG;PST;FIN	V;POS;PST;V.PTCP;ACT
осіб	osob	особа	osoba	N;ANIM;ACC;FEM;PL	N;GEN;FEM;PL;POS
осіб	osoby	особа	osoba	N;ANIM;ACC;FEM;PL	N;NOM;FEM;PL;POS
осіб	osobám	особа	osoba	N;ANIM;ACC;FEM;PL	N;DAT;FEM;PL;POS
міста	velkoměsta	місто	velkoměsto	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL;POS
міста	měst	місто	město	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;PL;POS
міста	města	місто	město	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL;POS
див	viz	див.	viz		V;PFV;IMP;SG;2;POS;FIN
село	selo	село	selo	N;INAN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;POS
через	prostřednictvím	через	prostřednictví	ADP;ACC	N;INS;NEUT;SG;POS
через	via	через	via	ADP;ACC	PROPN;FEM;SG;POS
через	splatné	через	splatný	ADP;ACC	ADJ;NOM;MASC;PL;POS
через	skrz	через	skrz	ADP;ACC	
через	prostřednictvím	через	prostřednictví	ADP;ACC	N;INS;NEUT;SG;POS
села	vesnic	село	vesnice	N;INAN;NOM;NEUT;SG	N;GEN;FEM;PL;POS
села	sela	село	sela	N;INAN;NOM;NEUT;SG	PROPN;NOM;FEM;SG;POS
так	jo	так	jo	INTJ	PART
так	ano	так	ano	INTJ	PART
тому	tudíž	тому	tudíž	ADV	CONJ
тому	proto	тому	proto	ADV	CONJ
рік	rick	рік	rick	N;INAN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
рік	ricka	рік	ricko	N;INAN;NOM;MASC;SG	N;ANIM;ACC;MASC;SG;POS
рік	roku	рік	rok	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
рік	roce	рік	rok	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG;POS
відстань	vzdálenosti	відстань	vzdálenost	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
ради	radu	рада	rada	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG;POS
ради	rada	рада	rada	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG;POS
сша	usa	сШа	usa	PROPN;INAN;GEN	PROPN;INAN;MASC;PL;POS
область	oblasti	область	oblast	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
того	togo	те	tengo	PRO;INAN;GEN;NEUT;SG	PROPN;NOM;NEUT;SG;POS
яка	co	який	co	DET;NOM;FEM;SG	PRO;INAN;NOM
яка	kterou	який	který	DET;NOM;FEM;SG	DET;ACC;FEM;SG
яка	který	який	který	DET;NOM;FEM;SG	DET;NOM;MASC;SG
яка	což	який	což	DET;NOM;FEM;SG	PRO;NOM
яка	která	який	který	DET;NOM;FEM;SG	DET;NOM;FEM;SG
яка	které	який	který	DET;NOM;FEM;SG	DET;NOM;NEUT;PL
сайті	web	сайт	web	N;INAN;DAT;MASC;SG	N;INAN;NOM;MASC;SG;POS
близько	uzavřít	близько	uzavřít	ADV	V;POS;NFIN
близько	zavřít	близько	zavřít	ADV	V;POS;NFIN
близько	poblíž	близько	poblíž	ADV	ADP;GEN
війни	války	війна	válka	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
війни	válek	війна	válka	N;INAN;NOM;FEM;SG	N;GEN;FEM;PL;POS
між	mezi	між	mezi	ADP;INS	ADP;ACC
роки	roků	рік	rok	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL;POS
роки	let	рік	rok	N;INAN;NOM;MASC;PL	N;GEN;NEUT;PL;POS
обговорення	projednat	обговорення	projednat	N;INAN;NOM;NEUT;SG	V;PFV;POS;NFIN
обговорення	diskutovat	обговорення	diskutovat	N;INAN;NOM;NEUT;SG	V;IPFV;POS;NFIN
обговорення	prodiskutovat	обговорення	prodiskutovat	N;INAN;NOM;NEUT;SG	V;IPFV;POS;NFIN
обговорення	probrat	обговорення	probrat	N;INAN;NOM;NEUT;SG	V;POS;NFIN
коли	když	коли	když	ADV	CONJ
коли	kdy	коли	kdy	ADV	ADV
лише	jedině	лише	jedině	PART	ADV;POS
лише	pouze	лише	pouze	PART	ADV
вересня	září	вересень	září	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG;POS
березня	březen	березень	březen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
березня	pochodovat	березень	pochodovat	N;INAN;GEN;MASC;SG	V;IPFV;POS;NFIN
березня	pochod	березень	pochod	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
місце	lokace	місце	lokace	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
місце	sedadla	місце	sedadlo	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL;POS
україні	ukrajina	україна	ukrajina	PROPN;INAN;DAT;FEM;SG	PROPN;NOM;FEM;SG;POS
україні	ukrajiny	україна	ukrajina	PROPN;INAN;DAT;FEM;SG	PROPN;NOM;FEM;SG;POS
серпня	srpen	серпень	srpen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
серпня	august	серпень	august	N;INAN;GEN;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
січня	lednu	січень	leden	N;INAN;GEN;MASC;SG	N;INAN;DAT;MASC;SG;POS
січня	leden	січень	leden	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
травня	májový	травень	májový	N;INAN;GEN;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
травня	máj	травень	máj	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
травня	květen	травень	květen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
грудня	prosinec	грудень	prosinec	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
грудня	prosinci	грудень	prosinec	N;INAN;GEN;MASC;SG	N;INAN;DAT;MASC;SG;POS
інших	ostatní	інший	ostatní	DET;GEN;PL	ADJ;ANIM;NOM;MASC;PL;POS
інших	jiná	інший	jiný	DET;GEN;PL	ADJ;NOM;FEM;SG;POS
інших	jiné	інший	jiný	DET;GEN;PL	ADJ;NOM;NEUT;SG;POS
інших	jiný	інший	jiný	DET;GEN;PL	ADJ;ANIM;NOM;MASC;SG;POS
інших	ostatní	інший	ostatní	DET;GEN;PL	ADJ;ANIM;NOM;MASC;PL;POS
інших	jiní	інший	jiný	DET;GEN;PL	ADJ;ANIM;NOM;MASC;PL;POS
інших	jiné	інший	jiný	DET;GEN;PL	ADJ;NOM;NEUT;SG;POS
жовтня	říjen	жовтень	říjen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
жовтня	říjen	жовтень	říjen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
серед	mezi	серед	mezi	ADP;GEN	ADP;ACC
один	jednu	один	jeden	NUM;NOM;MASC	NUM;ACC;FEM;SG
липня	červenec	липень	červenec	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
участь	účast	участь	účast	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG;POS
участь	zúčastněných	участь	zúčastněný	N;INAN;ACC;FEM;SG	ADJ;ANIM;GEN;MASC;PL;POS
участь	zapojení	участь	zapojení	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG;POS
участь	účast	участь	účast	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG;POS
участь	účasti	участь	účast	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG;POS
вид	laskavá	вид	laskavý	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
вид	laskavý	вид	laskavý	N;INAN;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
вид	laskavé	вид	laskavý	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
вид	druhy	вид	druh	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;PL;POS
вид	zobrazit	вид	zobrazit	N;INAN;NOM;MASC;SG	V;PFV;POS;NFIN
можна	může	можна	moci	ADV	V;IND;SG;3;POS;PRS;FIN;ACT
можна	mohou	можна	moci	ADV	V;IND;PL;3;POS;PRS;FIN;ACT
червня	červen	червень	červen	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
життя	life	життя	life	N;INAN;NOM;NEUT;SG	PROPN;INAN;NOM;MASC;SG;POS
життя	životní	життя	životní	N;INAN;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
срср	sssr	срср	sssr	PROPN;INAN;NOM;FEM;SG	PROPN;INAN;MASC;POS
квітня	duben	квітень	duben	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
листопада	listopad	листопад	listopad	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
лютого	únor	лютий	únor	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
лютого	únor	лютий	únor	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG;POS
центр	operační	центр	operační	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
центр	ops	центр	ops	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;POS
центр	center	центр	centrum	N;INAN;NOM;MASC;SG	N;NOM;NEUT;PL;POS
центр	centre	центр	centre	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG;POS
захід	west	захід	west	N;INAN;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
захід	západní	захід	západní	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
тільки	jedině	тільки	jedině	PART	ADV;POS
тільки	pouze	тільки	pouze	PART	ADV
франції	francii	франція	francie	PROPN;INAN;GEN;FEM;SG	PROPN;ACC;FEM;SG;POS
франції	francie	франція	francie	PROPN;INAN;GEN;FEM;SG	PROPN;NOM;FEM;SG;POS
століття	staletí	століття	století	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL;POS
рада	radu	рада	rada	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
рада	rady	рада	rada	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
схід	východní	схід	východní	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
статті	článků	стаття	článek	N;INAN;NOM;FEM;PL	N;INAN;GEN;MASC;PL;POS
склад	slabiku	склад	slabika	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG;POS
міні	mini	міні	mini		N;INAN;NOM;MASC;SG;POS
особи	osob	особа	osoba	N;ANIM;NOM;FEM;PL	N;GEN;FEM;PL;POS
особи	osobám	особа	osoba	N;ANIM;NOM;FEM;PL	N;DAT;FEM;PL;POS
особи	člověk	особа	člověk	N;ANIM;NOM;FEM;PL	N;ANIM;NOM;MASC;SG;POS
особи	osoba	особа	osoba	N;ANIM;NOM;FEM;PL	N;NOM;FEM;SG;POS
особи	osobu	особа	osoba	N;ANIM;NOM;FEM;PL	N;ACC;FEM;SG;POS
над	over	над	over	ADP;ACC	N;MASC;SG;POS
над	konec	над	konec	ADP;ACC	N;INAN;NOM;MASC;SG;POS
історія	dějiny	історія	dějiny	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL;POS
історія	historii	історія	historie	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG;POS
зображення	obrázků	зображення	obrázek	N;INAN;NOM;NEUT;SG	N;INAN;GEN;MASC;PL;POS
зображення	obrázky	зображення	obrázek	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;PL;POS
зображення	obrazy	зображення	obraz	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;PL;POS
зображення	fotky	зображення	fotka	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL;POS
зображення	obrázků	зображення	obrázek	N;INAN;NOM;NEUT;SG	N;INAN;GEN;MASC;PL;POS
зображення	obrázky	зображення	obrázek	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;PL;POS
пункти	položek	пункт	položka	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL;POS
пункти	bodů	пункт	bod	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL;POS
пункти	opce	пункт	opce	N;INAN;NOM;MASC;PL	N;NOM;FEM;SG;POS
сайт	stránky	сайт	stránka	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL;POS
інші	ostatní	інший	ostatní	DET;NOM;PL	ADJ;ANIM;NOM;MASC;PL;POS
інші	jiná	інший	jiný	DET;NOM;PL	ADJ;NOM;FEM;SG;POS
інші	jiné	інший	jiný	DET;NOM;PL	ADJ;NOM;NEUT;SG;POS
інші	jiný	інший	jiný	DET;NOM;PL	ADJ;ANIM;NOM;MASC;SG;POS
інші	ostatní	інший	ostatní	DET;NOM;PL	ADJ;ANIM;NOM;MASC;PL;POS
інші	jiní	інший	jiný	DET;NOM;PL	ADJ;ANIM;NOM;MASC;PL;POS
інші	jiné	інший	jiný	DET;NOM;PL	ADJ;NOM;NEUT;SG;POS
проти	versus	проти	versus	ADV	ADP;NOM
проти	proti	проти	proti	ADV	ADP;DAT
