kategória	категории	kategória	категория	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
roku	год	rok	год	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
ako	как	ako	как	ADV	CONJ
ako	нравится	ako	нравиться	ADV	V;IPFV;IND;SG;3;PRS;FIN;MID
ako	like	ako	like	ADV	PROPN
ako	как	ako	как	ADV	CONJ
bol	бол	byť	бол	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	INTJ
bol	была	byť	быть	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN;ACT
pozri	видишь	pozrieť	видеть	V;PFV;IMP;SG;2;POS;FIN	V;IPFV;IND;SG;2;PRS;FIN;ACT
pozri	см	pozrieť	сантиметр	V;PFV;IMP;SG;2;POS;FIN	ADV
pozri	смотрите	pozrieť	смотреть	V;PFV;IMP;SG;2;POS;FIN	V;IPFV;IMP;PL;2;FIN;ACT
pozri	смотри	pozrieť	смотреть	V;PFV;IMP;SG;2;POS;FIN	V;IPFV;IMP;SG;2;FIN;ACT
pozri	посмотрите	pozrieť	смотреть	V;PFV;IMP;SG;2;POS;FIN	V;PFV;IMP;PL;2;FIN;ACT
obce	коммун	obec	коммун	N;NOM;FEM;PL	N;INAN;GEN;FEM;PL
obce	муниципалитетов	obec	муниципалитет	N;NOM;FEM;PL	N;INAN;GEN;MASC;PL
obce	деревень	obec	деревня	N;NOM;FEM;PL	N;INAN;GEN;FEM;PL
mba	мба	mba	мба		N;INAN;NOM;MASC;SG
obyvateľov	обитатели	obyvateľ	обитатель	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL
obyvateľov	жители	obyvateľ	житель	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL
obyvateľov	жителей	obyvateľ	житель	N;ANIM;ACC;MASC;PL	N;ANIM;GEN;MASC;PL
obyvateľov	резиденты	obyvateľ	резидент	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL
obyvateľov	жители	obyvateľ	житель	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL
obec	коммуне	obec	коммун	N;NOM;FEM;SG	N;INAN;DAT;FEM;SG
obec	деревне	obec	деревня	N;NOM;FEM;SG	N;INAN;DAT;FEM;SG
pre	for	pre	for	ADP;ACC	PROPN
jeho	его	jeho	он	DET;NOM;NEUT;SG;3	PRO;ACC;MASC;SG;3
ktorá	которое	ktorý	который	DET;NOM;FEM;SG	PRO;NOM
ktorá	которая	ktorý	который	DET;NOM;FEM;SG	PRO;NOM
ktorá	которые	ktorý	который	DET;NOM;FEM;SG	PRO;NOM
ktorá	который	ktorý	который	DET;NOM;FEM;SG	PRO;NOM
bod	point	bod	point	N;INAN;NOM;MASC;SG	PROPN
