din	від	din	від	ADP;ACC	ADP;GEN
care	хто	care	хто	PRO;3	PRO;ANIM;NOM;MASC;SG
care	who	care	who	PRO;3	
care	какой	care	какой	PRO;3	
care	який	care	який	PRO;3	DET;NOM;MASC;SG
care	які	care	який	PRO;3	DET;NOM;PL
care	яке	care	який	PRO;3	DET;NOM;NEUT;SG
care	яка	care	який	PRO;3	DET;NOM;FEM;SG
fost	був	fi	бути	V;MASC;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
fost	було	fi	бути	V;MASC;SG;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN
fost	були	fi	бути	V;MASC;SG;V.PTCP	V;IPFV;IND;PL;PST;FIN
mai	май	mai	май	ADV	
pentru	для	pentru	для	ADP;ACC	ADP;GEN
lui	lui	el	lui	PRO;3	
lui	його	el	він	PRO;3	PRO;ACC;MASC;SG;3
sunt	надаються	fi	надаватися	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN
după	після	după	після	ADP;ACC	ADP;GEN
ale	ale	al	ale	DET;FEM;PL	
ale	ель	al	ель	DET;FEM;PL	
lea	леа	lea	ле		PROPN;ANIM;NOM;FEM;SG
prin	крізь	prin	крізь	ADP;ACC	
prin	наскрізь	prin	наскрізь	ADP;ACC	ADV
prin	передивився	prin	передивитися	ADP;ACC	V;PFV;MASC;IND;SG;PST;FIN
regiunea	ділянку	regiune	ділянка	N;DEF;FEM;SG	N;INAN;ACC;FEM;SG
regiunea	регіон	regiune	регіон	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
mare	чудово	mare	чудово	ADJ;INDF;MASC;SG	ADV
mare	великі	mare	великий	ADJ;INDF;MASC;SG	ADJ;NOM;PL
mare	біг	mare	бігти	ADJ;INDF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN
mare	море	mare	море	ADJ;INDF;MASC;SG	N;INAN;NOM;NEUT;SG
anul	рік	an	рік	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
comună	спільними	comun	спільний	ADJ;INDF;FEM;SG	ADJ;INS;PL
comună	поширені	comun	поширений	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;PL;V.PTCP;PASS
comună	спільне	comun	спільний	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
comună	загальні	comun	загальний	ADJ;INDF;FEM;SG	ADJ;NOM;PL
comună	common	comun	common	ADJ;INDF;FEM;SG	
externe	зовнішнє	extern	зовнішній	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
externe	зовнішній	extern	зовнішній	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
externe	зовнішня	extern	зовнішній	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
vezi	див	vedea	див.	V;IND;SG;2;PRS;FIN	
vezi	бачите	vedea	бачити	V;IND;SG;2;PRS;FIN	V;IPFV;IND;PL;2;PRS;FIN
vezi	бачу	vedea	бачити	V;IND;SG;2;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN
cod	код	cod	код		N;INAN;NOM;MASC;SG
populație	населення	populație	населення	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
bucurești	бухарест	bucuresc	бухарест	PROPN	PROPN;INAN;NOM;MASC;SG
bucurești	bucurești	bucuresc	bucurești	PROPN	
fiind	проводиться	fi	проводитися	V;V.MSDR	V;IPFV;IND;SG;3;PRS;FIN
fiind	будучи	fi	бути	V;V.MSDR	V;IPFV;PRS;V.CVB
fiind	буття	fi	буття	V;V.MSDR	N;INAN;NOM;NEUT;SG
românia	румунії	românia	румунія	PROPN	PROPN;INAN;GEN;FEM;SG
românia	румунія	românia	румунія	PROPN	PROPN;INAN;NOM;FEM;SG
jpg	jpg	jpg	jpg	N	
lista	перелік	listă	перелік	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
lista	list	listă	list	N;DEF;FEM;SG	
lista	список	listă	список	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
ucraina	україна	ucraina	україна	PROPN	PROPN;INAN;NOM;FEM;SG
ucraina	україні	ucraina	україна	PROPN	PROPN;INAN;DAT;FEM;SG
ani	ані	an	ані	N;INDF;MASC;PL	INTJ
avea	мали	avea	мати	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;PL;PST;FIN
avea	мав	avea	мати	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN
între	поміж	între	поміж	ADP;ACC	
între	між	între	між	ADP;ACC	ADP;INS
până	доки	până	доки	ADP;ACC	ADV
până	till	până	till	ADP;ACC	
până	поки	până	поки	ADP;ACC	ADV
până	доки	până	доки	ADP;ACC	ADV
până	до	până	до	ADP;ACC	ADP;GEN
până	поки	până	поки	ADP;ACC	ADV
comuna	муніципалітет	comună	муніципалітет	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
comuna	край	comună	край	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
comuna	спільними	comună	спільний	N;DEF;FEM;SG	ADJ;INS;PL
comuna	поширені	comună	поширений	N;DEF;FEM;SG	ADJ;PFV;NOM;PL;V.PTCP;PASS
comuna	спільне	comună	спільний	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
comuna	загальні	comună	загальний	N;DEF;FEM;SG	ADJ;NOM;PL
comuna	common	comună	common	N;DEF;FEM;SG	
poate	maybe	poate	maybe	ADV	
două	двійка	doi	двійка	NUM;FEM;PL	N;INAN;NOM;FEM;SG
rege	кінг	rege	кінг	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
sub	under	sub	under	ADP;ACC	
alte	інший	alt	інший	DET;FEM;PL;3	DET;NOM;MASC;SG
alte	інша	alt	інший	DET;FEM;PL;3	DET;NOM;FEM;SG
alte	інші	alt	інший	DET;FEM;PL;3	DET;NOM;PL
alte	інше	alt	інший	DET;FEM;PL;3	DET;NOM;NEUT;SG
alte	інших	alt	інший	DET;FEM;PL;3	DET;GEN;PL
când	коли	când	коли	ADV	ADV
regiune	ділянку	regiune	ділянка	N;INDF;FEM;SG	N;INAN;ACC;FEM;SG
regiune	регіон	regiune	регіон	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
anii	роки	an	рік	N;DEF;MASC;PL	N;INAN;NOM;MASC;PL
parte	частина	parte	частина	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
județul	графство	județ	графство	N;DEF;MASC;SG	N;INAN;NOM;NEUT;SG
județul	повіт	județ	повіт	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
județul	жупанія	județ	жупанія	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
centura	пасок	centură	пасік	N;DEF;FEM;SG	N;INAN;GEN;FEM;PL
centura	пояс	centură	пояс	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
dinastia	династія	dinastie	династія	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
septembrie	вересні	septembrie	вересень	N;INDF;MASC;SG	ADV
despre	приблизно	despre	приблизно	ADP;ACC	ADV
despre	інфо	despre	інфо	ADP;ACC	
despre	щодо	despre	щодо	ADP;ACC	ADP;GEN
unde	де	unde	де	ADV	ADV
unde	where	unde	where	ADV	
unde	куди	unde	куди	ADV	ADV
majoritatea	найцікавіше	majoritate	найцікавіше	N;DEF;FEM;SG	ADV;RL
majoritatea	більшість	majoritate	більшість	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
majoritatea	більшість	majoritate	більшість	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
majoritatea	більшістю	majoritate	більшість	N;DEF;FEM;SG	N;INAN;INS;FEM;SG
densitate	щільність	densitate	щільність	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
densitate	щільності	densitate	щільність	N;INDF;FEM;SG	N;INAN;GEN;FEM;SG
limbă	язик	limbă	язик	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
limbă	язика	limbă	язик	N;INDF;FEM;SG	N;INAN;GEN;MASC;SG
limbă	мова	limbă	мова	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
limbă	мови	limbă	мова	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
limbă	мову	limbă	мова	N;INDF;FEM;SG	N;INAN;ACC;FEM;SG
iunie	червні	iunie	червень	N;INDF;MASC;SG	ADV
multe	багато	mult	багато	PRO;FEM;PL;3	ADV
multe	багатьох	mult	багато	PRO;FEM;PL;3	DET;ACC
prima	перше	prim	перше	NUM;DEF;FEM;SG	ADV
prima	перша	prim	перший	NUM;DEF;FEM;SG	ADJ;NOM;FEM;SG
prima	перший	prim	перший	NUM;DEF;FEM;SG	ADJ;NOM;MASC;SG
octombrie	жовтні	octombrie	жовтень	N;INDF;MASC;SG	ADV
august	серпні	august	серпень	N;INDF;MASC;SG	ADV
sat	сб	sat	сб	N;INDF;MASC;SG	
sat	сидячи	sat	сидіти	N;INDF;MASC;SG	V;IPFV;PRS;V.CVB
sat	сіли	sat	сісти	N;INDF;MASC;SG	V;PFV;IND;PL;PST;FIN
sat	сидів	sat	сидіти	N;INDF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN
sat	sat	sat	sat	N;INDF;MASC;SG	
martie	березні	martie	березень	N;INDF;MASC;SG	ADV
biserica	церква	biserică	церква	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
biserica	костел	biserică	костел	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
decembrie	грудні	decembrie	грудний	N;INDF;MASC;SG	ADV
toate	усі	tot	увесь	PRO;FEM;PL;3	DET;NOM;PL
toate	всі	tot	весь	PRO;FEM;PL;3	DET;NOM;PL
toate	все	tot	все	PRO;FEM;PL;3	PRO;INAN;NOM;NEUT;SG
toate	всіх	tot	всі	PRO;FEM;PL;3	PRO;ANIM;ACC
ianuarie	січні	ianuarie	січень	N;INDF;MASC;SG	ADV
latns	latns	latns	latns		
latd	latd	latd	latd		
longd	longd	longd	longd		
adresă	адреса	adresa	адреса	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
adresă	звертайтеся	adresa	звертатися	N;INDF;FEM;SG	V;IPFV;IMP;PL;2;FIN
adresă	адресу	adresa	адреса	N;INDF;FEM;SG	N;INAN;ACC;FEM;SG
cum	як	cum	як	ADV	CONJ
imagine	picture	imagine	picture	N;INDF;FEM;SG	
imagine	зображення	imagine	зображення	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
imagine	картинка	imagine	картинка	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
imagine	фото	imagine	фото	N;INDF;FEM;SG	
imagine	зображення	imagine	зображення	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
statul	стан	stat	стан	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
statul	держава	stat	держава	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
lor	їхньому	lui	їхній	DET;3	PRO;DAT;SG;3
avut	мали	avea	мати	V;MASC;SG;V.PTCP	V;IPFV;IND;PL;PST;FIN
familia	сімейство	familie	сімейство	N;DEF;FEM;SG	N;INAN;NOM;NEUT;SG
