per	za	per	za	ADP	
les	les	el	les	DET;DEF;FEM;PL	N;INAN;NOM;MASC;SG
els	na	el	na	DET;DEF;MASC;PL	ADP;ESS
els	the	el	the	DET;DEF;MASC;PL	
amb	so	amb	s	ADP	ADP;INS
com	jako	com	jako	CONJ	
com	ako	com	ako	CONJ	ADV
com	like	com	lika	CONJ	N;ANIM;VOC;MASC;SG
més	viacej	més	viaci	ADV	NUM;NOM;NEUT;SG
més	ďalšie	més	ďalší	ADV	ADJ;NOM;NEUT;SG
més	viac	més	viac	ADV	NUM;NOM;NEUT;SG
seu	veliteľstvo	seu	veliteľstvo	DET;MASC;SG;3	N;NOM;NEUT;SG
seu	štáb	seu	štáb	DET;MASC;SG;3	N;INAN;NOM;MASC;SG
seu	sídlo	seu	sídlo	DET;MASC;SG;3	N;NOM;NEUT;SG
seu	ústredie	seu	ústredie	DET;MASC;SG;3	N;NOM;NEUT;SG
van	dodávka	anar	dodávka	V;IND;PL;3;PRS;FIN	N;NOM;FEM;SG
van	van	anar	van	V;IND;PL;3;PRS;FIN	PROPN;ANIM;NOM;MASC;SG
van	dodávku	anar	dodávka	V;IND;PL;3;PRS;FIN	N;ACC;FEM;SG
era	éra	ser	éra	V;IND;SG;3;IPFV;FIN	N;NOM;FEM;SG
era	era	ser	era	V;IND;SG;3;IPFV;FIN	
text	textový	text	textový	N;MASC;SG	ADJ;INAN;NOM;MASC;SG
també	aj	també	aj	ADV	PART
també	tiež	també	tiež	ADV	PART
fou	bola	ser	byť	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
fou	bol	ser	byť	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
fou	bolo	ser	byť	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;SG;POS;PST;V.PTCP
població	obyvateľstva	població	obyvateľstvo	N;FEM;SG	N;NOM;NEUT;PL
població	populácie	població	populácia	N;FEM;SG	N;NOM;FEM;PL
altres	iný	altre	iný	PRO;PL	DET;ANIM;NOM;MASC;SG
altres	ďalšie	altre	ďalší	PRO;PL	ADJ;NOM;NEUT;SG
altres	iná	altre	iný	PRO;PL	DET;NOM;FEM;SG
altres	iné	altre	iný	PRO;PL	DET;NOM;NEUT;SG
altres	ostatné	altre	ostatný	PRO;PL	ADJ;NOM;NEUT;SG
altres	iný	altre	iný	PRO;PL	DET;ANIM;NOM;MASC;SG
altres	ostatný	altre	ostatný	PRO;PL	ADJ;ANIM;NOM;MASC;SG
altres	iní	altre	iný	PRO;PL	DET;ANIM;NOM;MASC;PL
altres	iné	altre	iný	PRO;PL	DET;NOM;NEUT;SG
altres	ostatné	altre	ostatný	PRO;PL	ADJ;NOM;NEUT;SG
estat	štátu	ser	štát	V;MASC;SG;PST;V.PTCP	N;INAN;GEN;MASC;SG
estat	štátne	ser	štátny	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
estat	štát	ser	štát	V;MASC;SG;PST;V.PTCP	N;INAN;NOM;MASC;SG
estat	štátna	ser	štátny	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
estat	bola	ser	byť	V;MASC;SG;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
estat	bol	ser	byť	V;MASC;SG;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
després	po	després	po	ADV	ADP;ESS
són	sú	ser	byť	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN
fins	do	fins	do	ADV	ADP;GEN
fins	kým	fins	kým	ADV	CONJ
fins	dokiaľ	fins	dokiaľ	ADV	CONJ
des	des	des	des	ADP	
eren	boli	ser	byť	V;IND;PL;3;IPFV;FIN	V;IPFV;MASC;PL;POS;PST;V.PTCP
persones	ludi	persona	ludia	N;FEM;PL	INTJ
persones	people	persona	peopeľ	N;FEM;PL	PROPN;ANIM;VOC;MASC;SG
from	zo	from	z		ADP;GEN
from	od	from	od		ADP;GEN
part	časť	part	časť		N;NOM;FEM;SG
part	čast	part	čast		N;NOM;FEM;SG
part	súčasť	part	súčasť		N;NOM;FEM;SG
cap	žiadny	cap	žiaden		N;ANIM;NOM;MASC;SG
cap	žiaden	cap	žiaden		DET;ANIM;NOM;MASC;SG
cap	žiadne	cap	žiadny		DET;NOM;NEUT;SG
cap	žiadna	cap	žiaden		DET;NOM;FEM;SG
sobre	obálku	sobre	obálka	ADP	N;ACC;FEM;SG
sobre	obálke	sobre	obálka	ADP	N;DAT;FEM;SG
sobre	obálky	sobre	obálka	ADP	N;NOM;FEM;PL
sobre	obálka	sobre	obálka	ADP	N;NOM;FEM;SG
gran	skvele	gran	skvele	ADJ;SG	ADV
gran	super	gran	super	ADJ;SG	INTJ
durant	pocas	durant	pocas	ADP	N;NOM;MASC;SG
durant	durant	durant	durant	ADP	PROPN;ANIM;NOM;MASC;SG
tot	všetko	tot	všetok	PRO;MASC;SG	DET;NOM;NEUT;SG
tot	vsetko	tot	vsetko	PRO;MASC;SG	N;NOM;MASC;SG
dos	two	dos	two	NUM;MASC;PL	
dos	dvojka	dos	dvojka	NUM;MASC;PL	N;NOM;FEM;SG
externs	externý	extern	externý	ADJ;MASC;PL	ADJ;ANIM;NOM;MASC;SG
externs	vonkajšie	extern	vonkajší	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
externs	vonkajší	extern	vonkajší	ADJ;MASC;PL	ADJ;INAN;NOM;MASC;SG
externs	externé	extern	externý	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
externs	vonkajšia	extern	vonkajší	ADJ;MASC;PL	ADJ;NOM;FEM;SG
família	rodinná	família	rodinný	N;FEM;SG	ADJ;NOM;FEM;SG
ciutat	city	ciutat	cit	N;FEM;SG	N;INAN;NOM;MASC;PL
ciutat	mestské	ciutat	mestský	N;FEM;SG	ADJ;NOM;NEUT;SG
quan	ked	quan	ked	CONJ	PART
quan	kedy	quan	kedy	CONJ	ADV
qual	ktorú	qual	ktorý	PRO;SG	DET;ACC;FEM;SG
qual	ktoré	qual	ktorý	PRO;SG	DET;NOM;NEUT;SG
qual	ktorá	qual	ktorý	PRO;SG	DET;NOM;FEM;SG
qual	ktorý	qual	ktorý	PRO;SG	DET;ANIM;NOM;MASC;SG
molt	veľ	molt	veľ	ADV	
molt	velmi	molt	velmi	ADV	PROPN;ANIM;NOM;MASC;SG
tenia	pásomnica	tenir	pásomnica	V;IND;SG;3;IPFV;FIN	N;NOM;FEM;SG
nord	severný	nord	severný	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
nord	severné	nord	severný	N;MASC;SG	ADJ;NOM;NEUT;SG
