von	from	von	from	ADP	PROPN
das	this	der	this	PRO;NOM;NEUT;SG	PROPN
das	эта	der	этот	PRO;NOM;NEUT;SG	DET;NOM;FEM;SG
das	этот	der	этот	PRO;NOM;NEUT;SG	DET;NOM;MASC;SG
das	that	der	that	PRO;NOM;NEUT;SG	PROPN
das	дас	der	дас	PRO;NOM;NEUT;SG	INTJ
des	des	der	des	DET;GEN;DEF;NEUT;SG	PROPN
mit	использование	mit	использование	ADP	N;INAN;NOM;NEUT;SG
mit	используя	mit	использовать	ADP	V;IPFV;PRS;V.CVB;ACT
mit	with	mit	with	ADP	PROPN
mit	mit	mit	mit	ADP	PROPN
für	for	für	for	ADP	PROPN
ein	одна	ein	один	ADV	DET;NOM;FEM;SG
ein	one	ein	one	ADV	PROPN
ein	одно	ein	один	ADV	DET;NOM;NEUT;SG
ein	один	ein	один	ADV	NUM;NOM;MASC
ein	эйн	ein	эйн	ADV	INTJ
als	бас	als	бас	ADP	N;ANIM;NOM;MASC;SG
eine	one	ein	one	DET;NOM;INDF;FEM;SG	PROPN
eine	один	ein	один	DET;NOM;INDF;FEM;SG	NUM;NOM;MASC
wurde	был	werden	быть	V;IND;SG;3;PST;FIN;PASS	V;IPFV;MASC;IND;SG;PST;FIN;ACT
wurde	было	werden	быть	V;IND;SG;3;PST;FIN;PASS	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
wurde	была	werden	быть	V;IND;SG;3;PST;FIN;PASS	V;IPFV;FEM;IND;SG;PST;FIN;ACT
wurde	стала	werden	стать	V;IND;SG;3;PST;FIN;PASS	V;PFV;FEM;IND;SG;PST;FIN;ACT
wurde	стал	werden	стать	V;IND;SG;3;PST;FIN;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
auch	даже	auch	даже	ADV	PART
auch	тоже	auch	тоже	ADV	PART
nach	after	nach	after	ADP	PROPN
war	был	sein	быть	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
war	было	sein	быть	V;IND;SG;3;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
aus	aus	aus	aus	ADP	PROPN
aus	from	aus	from	ADP	PROPN
aus	аут	aus	аута	ADP	N;INAN;NOM;MASC;SG
aus	out	aus	out	ADP	PROPN
sie	тебя	sie	ты	PRO;NOM;FEM;SG;3	PRO;ACC;SG;2
sie	you	sie	you	PRO;NOM;FEM;SG;3	PROPN
sie	вы	sie	вы	PRO;NOM;FEM;SG;3	PRO;NOM;PL;2
sie	ты	sie	ты	PRO;NOM;FEM;SG;3	PRO;NOM;SG;2
sie	she	sie	she	PRO;NOM;FEM;SG;3	PROPN
sie	они	sie	они	PRO;NOM;FEM;SG;3	PRO;NOM;PL;3
bis	бис	bis	бис	ADP	
bis	bis	bis	bis	ADP	
ich	ich	ich	ich	PRO;NOM;SG;1	PROPN
einer	одна	ein	один	PRO;NOM;INDF;MASC;SG	DET;NOM;FEM;SG
einer	one	ein	one	PRO;NOM;INDF;MASC;SG	PROPN
einer	одно	ein	один	PRO;NOM;INDF;MASC;SG	DET;NOM;NEUT;SG
einer	один	ein	один	PRO;NOM;INDF;MASC;SG	NUM;NOM;MASC
werden	воля	werden	воля	V;NFIN;PASS	N;INAN;NOM;FEM;SG
werden	будет	werden	быть	V;NFIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
werden	уилл	werden	уилл	V;NFIN;PASS	N;ANIM;NOM;MASC;SG
werden	стать	werden	стать	V;NFIN;PASS	V;PFV;NFIN;MID
werden	стань	werden	стань	V;NFIN;PASS	V;PFV;IMP;SG;2;FIN;ACT
werden	становясь	werden	становиться	V;NFIN;PASS	V;IPFV;PRS;V.CVB;MID
werden	став	werden	стать	V;NFIN;PASS	V;PFV;PST;V.CVB;MID
sind	являются	sein	являться	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;MID
oder	одер	oder	одер	CONJ	N;INAN;NOM;MASC;SG
wird	воля	werden	воля	V;IND;SG;3;PRS;FIN;PASS	N;INAN;NOM;FEM;SG
wird	будет	werden	быть	V;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
wird	уилл	werden	уилл	V;IND;SG;3;PRS;FIN;PASS	N;ANIM;NOM;MASC;SG
wird	становится	werden	становиться	V;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;MID
durch	thru	durch	thru	ADP	PROPN
score	счёт	scoren	счет	PROPN	N;INAN;NOM;MASC;SG
score	счет	scoren	счет	PROPN	N;INAN;NOM;MASC;SG
score	очко	scoren	очко	PROPN	N;INAN;NOM;NEUT;SG
zur	zur	zur	zur		PROPN
einen	одна	ein	один	PRO;ACC;INDF;MASC;SG	DET;NOM;FEM;SG
einen	one	ein	one	PRO;ACC;INDF;MASC;SG	PROPN
einen	одно	ein	один	PRO;ACC;INDF;MASC;SG	DET;NOM;NEUT;SG
einen	один	ein	один	PRO;ACC;INDF;MASC;SG	NUM;NOM;MASC
dass	это	dass	это	CONJ	PRO;INAN;NOM;NEUT;SG
dass	that	dass	that	CONJ	PROPN
über	about	über	about	ADP	PROPN
über	о	über	о	ADP	INTJ
über	виа	über	виа	ADP	N;INAN;NOM;MASC;SG
über	via	über	via	ADP	PROPN
über	over	über	over	ADP	PROPN
über	выше	über	высокий	ADP	ADJ;CMPR
wie	как	wie	как	ADP	CONJ
wie	wie	wie	wie	ADP	
wie	нравится	wie	нравиться	ADP	V;IPFV;IND;SG;3;PRS;FIN;MID
wie	like	wie	like	ADP	PROPN
wie	как	wie	как	ADP	CONJ
nur	только	nur	только	ADV	PART
nur	нур	nur	нура	ADV	PART
nur	просто	nur	просто	ADV	PART
nur	только	nur	только	ADV	PART
unter	unter	unter	unter	ADP	PROPN
hat	шапка	haben	шапка	V;IND;SG;3;PRS;FIN	N;INAN;NOM;FEM;SG
hat	шляпу	haben	шляпать	V;IND;SG;3;PRS;FIN	N;INAN;ACC;FEM;SG
hat	шляпа	haben	шляп	V;IND;SG;3;PRS;FIN	N;INAN;NOM;FEM;SG
artikel	статья	artikel	статья	ADJ	N;INAN;NOM;FEM;SG
artikel	пункты	artikel	пункт	ADJ	N;INAN;NOM;MASC;PL
artikel	предметы	artikel	предмет	ADJ	N;INAN;NOM;MASC;PL
artikel	статьи	artikel	статья	ADJ	N;INAN;NOM;FEM;PL
artikel	статей	artikel	статья	ADJ	N;INAN;GEN;FEM;PL
artikel	изделия	artikel	изделие	ADJ	N;INAN;NOM;NEUT;PL
man	чел	man	человек	PRO;NOM;INDF;SG	
man	мужик	man	мужик	PRO;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
man	человек	man	человек	PRO;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
man	мужчина	man	мужчина	PRO;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
man	man	man	man	PRO;NOM;INDF;SG	PROPN
vor	передние	vor	передний	ADP	ADJ;NOM;PL
vor	передняя	vor	передний	ADP	ADJ;NOM;FEM;SG
vor	фронт	vor	фронт	ADP	N;INAN;NOM;MASC;SG
vor	пре	vor	пре	ADP	
vor	прежде	vor	прежде	ADP	ADV
wurden	стала	werden	стать	V;IND;PL;3;PST;FIN;PASS	V;PFV;FEM;IND;SG;PST;FIN;ACT
wurden	стал	werden	стать	V;IND;PL;3;PST;FIN;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
wurden	были	werden	быть	V;IND;PL;3;PST;FIN;PASS	V;IPFV;IND;PL;PST;FIN;ACT
sein	его	sein	он	DET;NOM;MASC;SG	PRO;ACC;MASC;SG;3
diese	this	dies	this	PRO;NOM;FEM;SG	PROPN
diese	эта	dies	этот	PRO;NOM;FEM;SG	DET;NOM;FEM;SG
diese	этот	dies	этот	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
diese	эти	dies	этот	PRO;NOM;FEM;SG	DET;NOM;PL
vom	от	vom	от		ADP
vom	from	vom	from		PROPN
vom	из	vom	из		ADP
kann	мая	können	май	V;IND;SG;3;PRS;FIN	N;INAN;GEN;MASC;SG
kann	мэй	können	мэй	V;IND;SG;3;PRS;FIN	N;ANIM;NOM;FEM;SG
kann	май	können	май	V;IND;SG;3;PRS;FIN	
kann	майские	können	майский	V;IND;SG;3;PRS;FIN	ADJ;NOM;PL
kann	может	können	мочь	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
kann	могу	können	мочь	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
kann	можно	können	можно	V;IND;SG;3;PRS;FIN	ADV
kann	can	können	can	V;IND;SG;3;PRS;FIN	PROPN
hier	вот	hier	вот	ADV	PART
seine	его	sein	он	DET;NOM;FEM;SG	PRO;ACC;MASC;SG;3
seine	сена	sein	сено	DET;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
seine	сен	sein	сен	DET;NOM;FEM;SG	
dieser	this	dies	this	PRO;NOM;MASC;SG	PROPN
dieser	эта	dies	этот	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
dieser	этот	dies	этот	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
wenn	when	wenn	when	CONJ	PROPN
seiner	его	sein	он	DET;NOM;MASC;SG	PRO;ACC;MASC;SG;3
jahre	год	jahren	год	ADV	N;INAN;NOM;MASC;SG
jahre	годы	jahren	год	ADV	N;INAN;ACC;MASC;PL
jahre	лет	jahren	год	ADV	N;INAN;GEN;MASC;PL
jahre	years	jahren	years	ADV	PROPN
mai	мая	mai	май	PROPN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
mai	мэй	mai	мэй	PROPN;NOM;MASC;SG	N;ANIM;NOM;FEM;SG
mai	май	mai	май	PROPN;NOM;MASC;SG	
mai	майские	mai	майский	PROPN;NOM;MASC;SG	ADJ;NOM;PL
mai	маи	mai	май	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
isbn	isbn	isbn	isbn	;SG	PROPN
was	какие	was	какой	PRO;NOM;NEUT;SG	DET;NOM;PL
was	какая	was	какой	PRO;NOM;NEUT;SG	DET;NOM;FEM;SG
was	какой	was	какой	PRO;NOM;NEUT;SG	DET;NOM;MASC;SG
zwischen	промежуточный	zwischen	промежуточный	ADP	ADJ;NOM;MASC;SG
zwischen	промежуточные	zwischen	промежуточный	ADP	ADJ;NOM;PL
zwischen	промежуточных	zwischen	промежуточный	ADP	ADJ;GEN;PL
team	team	team	team	N;NOM;NEUT;SG	PROPN
gegen	противостоять	gegen	противостоять	ADP	V;IPFV;NFIN;ACT
waren	товары	sein	товар	V;IND;PL;3;PST;FIN	N;INAN;NOM;MASC;PL
waren	товаров	sein	товар	V;IND;PL;3;PST;FIN	N;INAN;GEN;MASC;PL
waren	грузы	sein	груз	V;IND;PL;3;PST;FIN	N;INAN;NOM;MASC;PL
waren	были	sein	быть	V;IND;PL;3;PST;FIN	V;IPFV;IND;PL;PST;FIN;ACT
waren	товары	sein	товар	V;IND;PL;3;PST;FIN	N;INAN;NOM;MASC;PL
waren	товар	sein	товар	V;IND;PL;3;PST;FIN	N;INAN;NOM;MASC;SG
zeit	zeit	zeit	zeit	ADJ	PROPN
zeit	период	zeit	период	ADJ	N;INAN;NOM;MASC;SG
zeit	время	zeit	время	ADJ	N;INAN;NOM;NEUT;SG
zeit	времени	zeit	время	ADJ	N;INAN;GEN;NEUT;SG
zeit	тайм	zeit	тайма	ADJ	N;INAN;NOM;MASC;SG
zeit	time	zeit	time	ADJ	PROPN
stadt	town	staden	town		PROPN
stadt	город	staden	город		N;INAN;NOM;MASC;SG
stadt	городок	staden	городок		N;INAN;NOM;MASC;SG
stadt	city	staden	city		PROPN
stadt	город	staden	город		N;INAN;NOM;MASC;SG
stadt	города	staden	город		N;INAN;NOM;MASC;PL
stadt	города	staden	город		N;INAN;NOM;MASC;PL
stadt	городов	staden	город		N;INAN;GEN;MASC;PL
wieder	back	wieder	back	ADV	PROPN
wieder	спина	wieder	спина	ADV	N;INAN;NOM;FEM;SG
wieder	воссоединение	wieder	воссоединение	ADV	N;INAN;NOM;NEUT;SG
wieder	воссоединились	wieder	воссоединиться	ADV	V;PFV;IND;PL;PST;FIN;MID
gibt	возвращения	geben	возвращение	V;IND;SG;3;PRS;FIN	N;INAN;GEN;NEUT;SG
gibt	возвращение	geben	возвращение	V;IND;SG;3;PRS;FIN	N;INAN;NOM;NEUT;SG
deutscher	немец	deutsch	немец	ADJ	N;ANIM;NOM;MASC;SG
deutscher	германии	deutsch	германия	ADJ	N;INAN;ESS;NEUT;SG
deutscher	deutscher	deutsch	deutscher	ADJ	PROPN
deutscher	немцы	deutsch	немец	ADJ	N;ANIM;NOM;MASC;PL
jahren	годы	jahren	год	ADJ	N;INAN;ACC;MASC;PL
jahren	лет	jahren	год	ADJ	N;INAN;GEN;MASC;PL
jahren	years	jahren	years	ADJ	PROPN
mal	раз	mal	раз	ADV	CONJ
mal	времена	mal	время	ADV	N;INAN;NOM;NEUT;PL
mal	таймс	mal	таймс	ADV	N;INAN;NOM;MASC;SG
mal	times	mal	times	ADV	PROPN
mal	тза	mal	тза	ADV	
mal	мэл	mal	мэл	ADV	N;ANIM;NOM;MASC;SG
mal	мал	mal	маленький	ADV	ADJ;MASC;SG
ersten	первый	erst	первый	ADJ;NOM;PL	ADJ;NOM;MASC;SG
ersten	сначала	erst	сначала	ADJ;NOM;PL	ADV
ersten	первое	erst	первый	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
ersten	первая	erst	первый	ADJ;NOM;PL	ADJ;NOM;FEM;SG
ersten	first	erst	first	ADJ;NOM;PL	PROPN
jedoch	но	jedoch	но	ADV	CONJ
seed	семя	seed	семя		N;INAN;NOM;NEUT;SG
seed	семенной	seed	семенный		ADJ;NOM;MASC;SG
seed	семена	seed	семя		N;INAN;NOM;NEUT;PL
seed	семян	seed	семя		N;INAN;GEN;NEUT;PL
siehe	видишь	sehen	видеть	V;IMP;SG;FIN	V;IPFV;IND;SG;2;PRS;FIN;ACT
siehe	см	sehen	сантиметр	V;IMP;SG;FIN	ADV
drei	тройки	drei	тройка	NUM	N;INAN;NOM;FEM;PL
etwa	about	etwa	about	ADV	PROPN
etwa	о	etwa	о	ADV	INTJ
deutschen	немец	deutsch	немец	ADJ	N;ANIM;NOM;MASC;SG
deutschen	германии	deutsch	германия	ADJ	N;INAN;ESS;NEUT;SG
deutschen	немцы	deutsch	немец	ADJ	N;ANIM;NOM;MASC;PL
teil	часть	teil	часть	ADV	N;INAN;NOM;FEM;SG
