gestapo	الجستابو	gestapo	جِستَابُو	N;INDF;NEUT;SG	
coast	الساحل	coast	سَاحِل		N;NOM;DEF;SG
coast	ساحل	coast	سَاحِل		
coast	كوست	coast	كُوست		
fjernsyn	التلفاز	fjernsyn	تَلَفُّز	N;INDF;NEUT;SG	N;NOM;DEF;SG
fjernsyn	التليفزيون	fjernsyn	التليفزيون	N;INDF;NEUT;SG	
fjernsyn	التلفزيون	fjernsyn	تِلفِزيُون	N;INDF;NEUT;SG	N;NOM;DEF;SG
ture	الجولات	tur	جَولَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
ture	الرحلات	tur	رِحلَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
ture	الرحلات	tur	رِحلَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
leon	ليون	leon	لِيُون		
forstået	مفهوم	forstå	مَفهُوم	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
forstået	افهم	forstå	أَفهَم	V;INDF;SG;PST;V.PTCP	
forstået	فاهم	forstå	فَاهَم	V;INDF;SG;PST;V.PTCP	
leonardo	ليوناردو	leonardo	ليوناردو	N;INDF;MASC+FEM;SG	
tiende	عاشرا	tiende	عَاشِر	ADJ	N;ACC;INDF;SG
logik	المنطق	logik	مَنطِق	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
latinsk	اللاتينية	latinsk	اللاتينية	ADJ;INDF;SG	
miner	الالغام	mine	لَغَم	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
miner	الغام	mine	غَام	N;INDF;MASC+FEM;PL	
miner	المناجم	mine	مَنجَم	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
event	الحدث	event	حَدَث	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
event	المناسبة	event	مُنَاسَبَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
event	حدث	event	حَدَث	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
ruiner	الخراب	ruin	خَرَاب	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
ruiner	خراب	ruin	خراب	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
investeringer	للاستثمارات	investering	للاستثمارات	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
investeringer	الاستثمارات	investering	اِستِثمَار	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
investeringer	للاستثمار	investering	للاستثمار	N;INDF;MASC+FEM;PL	
investeringer	الاستثمارات	investering	اِستِثمَار	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
investeringer	الاستثمار	investering	اِستِثمَار	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
investeringer	استثمار	investering	اِستِثمَار	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
israelsk	الاسرائيلي	israelsk	إِسرَائِيلِيّ	ADJ;INDF;SG	N;NOM;DEF;SG
israelsk	الاسرائيلية	israelsk	إِسرَائِيلِيّ	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;SG
israelsk	اسرائيل	israelsk	إِسرَائِيل	ADJ;INDF;SG	N;NOM;INDF;SG
organer	الاعضاء	organ	عُضو	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
organer	الاجسام	organ	جِسم	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
organer	الهيئات	organ	هَيئَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
organer	الجثث	organ	جُثَّة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
mindesmærke	التذكاري	mindesmærke	تَذَكَّار	N;INDF;NEUT;SG	
producenter	المنتجون	producent	مُنتِج	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
producenter	منتجين	producent	مُنتِج	N;INDF;MASC+FEM;PL	ADJ;NOM;INDF;MASC;PL
producenter	المنتجين	producent	مُنتِج	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
producenter	المصنعين	producent	مُصَنِّع	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
tottenham	توتنهام	tottenham	تُوتِنهَام	N;DEF;MASC+FEM;SG	
fødslen	ميلاد	fødsel	ميلاد	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
fødslen	ولادة	fødsel	وِلَادَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
koncerten	حفل	koncert	حَفل	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
tusindvis	الاف	tusindvis	أَلف	ADV	NUM;NOM;INDF;PL
tusindvis	الالاف	tusindvis	أَلف	ADV	N;NOM;DEF;PL
fjernede	ازيلت	fjerne	أَزَال	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;3;PASS
fjernede	ازال	fjerne	أَزَال	V;IND;PST;FIN;ACT	
ægypten	egy	ægypt	كَثَّم	N;INDF;NEUT;SG	
ulykker	الحوادث	ulykke	حَادِث	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
ulykker	حادث	ulykke	حَادِث	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
ulykker	الحادث	ulykke	حَادِث	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
ulykker	حادثة	ulykke	حَادِث	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
pete	بيت	pete	بيت	PROPN	
privilegier	الامتيازات	privilegi	اِمتِيَاز	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
nicholas	نيكولاس	nicholas	نيكولاس		
mann	مان	mann	مَان	N;INDF;MASC+FEM;SG	
beograd	بلغراد	beograd	بلغراد		
canal	القناة	canal	قَنَاة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ost	تشيز	ost	أَشَاز	N;INDF;MASC+FEM;SG	
ost	الجبن	ost	جَبن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
værre	اسوء	slem	أَسوَء	ADJ;CMPR	
renoveret	تجديد	renovere	تَجدِيد	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
hulk	هالك	hulk	هٰذَا	N;INDF;MASC+FEM;SG	
hulk	هلك	hulk	هٰلَك	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
legenden	اسطورة	legende	أُسطُورَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
interviews	المقابلات	interviews	مُقَابَلَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
troen	ايمانا	tro	إِيمَان	N;DEF;MASC+FEM;SG	N;ACC;INDF;SG
troen	فيث	tro	فَيثُ	N;DEF;MASC+FEM;SG	
troen	ايمان	tro	إِيمَان	N;DEF;MASC+FEM;SG	
