月	moon	月	moon	N	PROPN;NOM;MASC;SG
日	dan	日	dan	PROPN	N;NOM;MASC;SG
日	day	日	day	PROPN	
和	in	和	in	ADP	CONJ
小	asteroidi	小	asteroid	PART	N;NOM;MASC;PL
小	asteroid	小	asteroid	PART	N;NOM;MASC;SG
大	velika	大	velik	PART	ADJ;NOM;FEM;SG
大	veliki	大	velik	PART	ADJ;NOM;DEF;MASC;SG
大	velike	大	velik	PART	ADJ;NOM;FEM;PL
大	velik	大	velik	PART	ADJ;NOM;INDF;MASC;SG
德	tak	德	tak	PROPN	DET;NOM;MASC;SG
重	težka	重	težek	N	ADJ;NOM;FEM;SG
重	težki	重	težek	N	ADJ;NOM;MASC;PL
重	težke	重	težek	N	ADJ;NOM;FEM;PL
重	težko	重	težek	N	ADJ;NOM;NEUT;SG
重	težji	重	težek	N	ADJ;NOM;DEF;CMPR;MASC;SG
重	težja	重	težek	N	ADJ;NOM;CMPR;FEM;SG
重	težje	重	težko	N	ADV;CMPR
一	enga	一	en	NUM	PRO;ACC;MASC;SG
定	usmerjenost	定	usmerjenost	V	N;NOM;FEM;SG
定	usmerjenosti	定	usmerjenost	V	N;GEN;FEM;SG
定	usmeritev	定	usmeritev	V	N;NOM;FEM;SG
但	toda	但	toda	ADV	CONJ
但	ampak	但	ampak	ADV	CONJ
但	vendar	但	vendar	ADV	CONJ
也	tudi	也	tudi	ADV	PART
後	po	後	po	ADV	N;NOM;MASC;SG
市	city	市	city	N	PROPN;NOM;MASC;SG
克	gramih	克	gram	PROPN	N;ESS;MASC;PL
克	gramov	克	gram	PROPN	N;GEN;MASC;PL
克	grama	克	gram	PROPN	N;NOM;MASC;SG
新	novo	新	nov	PART	ADJ;NOM;NEUT;SG
新	nov	新	nov	PART	ADJ;NOM;INDF;MASC;SG
新	novi	新	nov	PART	ADJ;NOM;DEF;MASC;SG
新	nove	新	nov	PART	ADJ;NOM;FEM;PL
新	nova	新	nov	PART	ADJ;NOM;FEM;SG
站	stati	站	stati	N	V;IPFV;NFIN
州	državno	州	državen	N	ADJ;NOM;NEUT;SG
研究	študija	研究	študij	V	N;NOM;FEM;SG
研究	študij	研究	študij	V	N;NOM;MASC;SG
研究	študije	研究	študija	V	N;NOM;FEM;PL
研究	raziskave	研究	raziskava	V	N;NOM;FEM;PL
研究	raziskava	研究	raziskava	V	N;NOM;FEM;SG
研究	raziskovanje	研究	raziskovanje	V	N;NOM;NEUT;SG
日本	japonska	日本	japonski	PROPN	ADJ;NOM;FEM;SG
日本	japonsko	日本	japonski	PROPN	ADJ;NOM;NEUT;SG
三	three	三	three	NUM	
前	pred	前	pred	N	ADP;INS
前	preden	前	preden	N	CONJ
