fundamentala	fundamentales	fundamental	fundamental	ADJ;DEF;FEM;SG	ADJ;PL
democratice	democrática	democratic	democrático	ADJ;INDF;FEM;PL	ADJ;FEM;SG
democratice	demócrata	democratic	demócrata	ADJ;INDF;FEM;PL	ADJ;SG
democratice	democrático	democratic	democrático	ADJ;INDF;FEM;PL	ADJ;MASC;SG
verii	primos	vară	primo	N;DEF;FEM;SG	N;MASC;PL
verii	primas	vară	prima	N;DEF;FEM;SG	N;FEM;PL
aventura	aventuras	aventură	aventura	N;DEF;FEM;SG	N;FEM;PL
aventura	aventuras	aventură	aventura	N;DEF;FEM;SG	N;FEM;PL
ciot	muñón	ciot	muñón	ADJ;INDF;MASC;SG	N;MASC;SG
gri	gray	gri	gray		PROPN
gri	grises	gri	gris		N;PL
gri	canas	gri	cana		N;FEM;PL
gri	grey	gri	grey		N
gri	grises	gri	gris		N;PL
editata	editado	editată	editado	N;DEF;FEM;SG	ADJ;MASC;SG;V.PTCP
editata	editada	editată	editado	N;DEF;FEM;SG	ADJ;FEM;SG;V.PTCP
gratuit	libres	gratuit	libre	ADJ;INDF;MASC;SG	ADJ;PL
gratuit	gratis	gratuit	gratis	ADJ;INDF;MASC;SG	
gratuit	free	gratuit	freer	ADJ;INDF;MASC;SG	N
versailles	versalles	versailles	versalle	N;INDF;MASC;SG	N;MASC;PL
floarea	flores	floare	flor	N;DEF;FEM;SG	N;FEM;PL
terry	rizo	terry	rezo	PROPN	N;MASC;SG
terry	terry	terry	terry	PROPN	PROPN
nordice	nórdica	nordic	nórdico	ADJ;INDF;FEM;PL	ADJ;FEM;SG
nordice	nórdico	nordic	nórdico	ADJ;INDF;FEM;PL	ADJ;MASC;SG
nordice	nórdicos	nordic	nórdico	ADJ;INDF;FEM;PL	N;MASC;PL
desemneaza	designa	desemneaza	designar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
dean	dean	dean	dear	PROPN	PROPN
dean	decano	dean	decano	PROPN	N;MASC;SG
bere	cervezas	bere	cerveza	N;INDF;FEM;SG	N;FEM;PL
solicitat	solicitados	solicita	solicitado	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
expert	expertos	expert	experto	N;INDF;MASC;SG	N;MASC;PL
zahar	sacarosa	zahar	sacaroso	N;INDF;MASC;SG	ADJ;FEM;SG
wagner	wagner	wagner	wagner	PROPN	PROPN
titu	titu	titu	titu	PROPN	N
digitala	digitales	digitală	digital	N;DEF;FEM;SG	ADJ;PL
digitala	digital	digitală	digital	N;DEF;FEM;SG	ADJ;SG
fals	false	fals	false	ADJ;INDF;MASC;SG	N
fals	falsos	fals	falso	ADJ;INDF;MASC;SG	ADJ;MASC;PL
fals	falsas	fals	falso	ADJ;INDF;MASC;SG	ADJ;FEM;PL
fals	farsante	fals	farsante	ADJ;INDF;MASC;SG	N;SG
fals	falsos	fals	falso	ADJ;INDF;MASC;SG	ADJ;MASC;PL
clement	clément	clement	clément	PROPN	PROPN
clement	clemente	clement	clemente	PROPN	PROPN
clement	clement	clement	clement	PROPN	PROPN
liberi	gratis	liber	gratis	ADJ;INDF;MASC;PL	
liberi	free	liber	freer	ADJ;INDF;MASC;PL	N
liberi	libre	liber	libre	ADJ;INDF;MASC;PL	ADJ;SG
liberi	gratuito	liber	gratuito	ADJ;INDF;MASC;PL	ADJ;MASC;SG
amintirea	recuerdos	amintire	recuerdo	N;DEF;FEM;SG	N;MASC;PL
amintirea	recuerdo	amintire	recordar	N;DEF;FEM;SG	V;IND;SG;1;PRS;FIN
medicamente	droga	medicament	droga	N;INDF;FEM;PL	N;FEM;SG
intrebat	pregunté	intreba	preguntar	N;INDF;MASC;SG	V;IND;SG;1;PST;FIN
intrebat	preguntado	intreba	preguntado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
intrebat	preguntó	intreba	preguntar	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
intrebat	pregunté	intreba	preguntar	N;INDF;MASC;SG	V;IND;SG;1;PST;FIN
intrebat	preguntado	intreba	preguntado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
intrebat	preguntó	intreba	preguntar	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
stari	stari	stare	stari	N;INDF;FEM;PL	N;MASC;SG
auf	auf	auf	auf	N;INDF;MASC;SG	PROPN
lunar	mensualmente	lunar	mensualmente	ADJ;INDF;MASC;SG	ADV
lunar	mensuales	lunar	mensual	ADJ;INDF;MASC;SG	ADJ;PL
lunar	lunares	lunar	lunar	ADJ;INDF;MASC;SG	N;MASC;PL
lunar	lunar	lunar	lunar	ADJ;INDF;MASC;SG	N;MASC;SG
short	corta	short	corto	N;INDF;MASC;SG	ADJ;FEM;SG
short	cortos	short	corto	N;INDF;MASC;SG	ADJ;MASC;PL
short	corto	short	corto	N;INDF;MASC;SG	ADJ;MASC;SG
short	breve	short	breve	N;INDF;MASC;SG	ADJ;SG
suficienta	suficientes	suficient	suficiente	ADJ;DEF;FEM;SG	ADJ;PL
atelier	talleres	atelier	taller	N;INDF;MASC;SG	N;MASC;PL
barry	barry	barry	barry	PROPN	PROPN
tun	cañones	tun	cañón	N;INDF;MASC;SG	N;MASC;PL
tun	tun	tun	tun	N;INDF;MASC;SG	
cresc	crece	crește	crecer	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
admis	admitió	admite	admitir	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
admis	admitidos	admite	admitido	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
astronomic	astronómicos	astronomic	astronómico	ADJ;INDF;MASC;SG	ADJ;MASC;PL
astronomic	astronómicas	astronomic	astronómico	ADJ;INDF;MASC;SG	ADJ;FEM;PL
demonstreaza	demuestre	demonstreaza	demostrar	V;IND;SG;3;IPFV;FIN	V;IMP;SG;3;FIN
demonstreaza	demuestre	demonstreaza	demostrar	V;IND;SG;3;IPFV;FIN	V;IMP;SG;3;FIN
ideal	ideales	ideal	ideal	ADJ;INDF;MASC;SG	ADJ;PL
gasita	encontradas	gasita	encontrado	ADJ;DEF;FEM;SG	ADJ;FEM;PL;V.PTCP
gasita	encontrados	gasita	encontrado	ADJ;DEF;FEM;SG	ADJ;MASC;PL;V.PTCP
haine	ropa	haină	ropa	N;INDF;FEM;PL	N;FEM;SG
abdallah	abdallah	abdallah	abdallah	PROPN	N;FEM;SG
repetat	repetidos	repetat	repetido	ADJ;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
