hugh	hugh	hugh	hugh		
orleans	orleans	orleans	orlean	PROPN;NOM;SG;3	
kanıtlar	bevis	kanıt	bevis	N;NOM;PL;3	N;INDF;NEUT;SG
kanıtlar	bevismateriale	kanıt	bevismateriale	N;NOM;PL;3	N;INDF;NEUT;SG
diana	diana	dian	diana		
barok	barok	barok	barok		ADJ;INDF;MASC+FEM;SG
ud	lut	ud	lut		N;INDF;MASC+FEM;SG
gnu	gnu	gn	gnu		
wien	wien	wien	wien	PROPN;NOM;SG;3	PROPN
pete	pete	pete	pete		PROPN
pete	sorteper	pete	sortep		N;INDF;MASC+FEM;SG
tanıtımı	fremme	tanıtım	fremme	N;NOM;SG;3	ADV
tanıtımı	promovere	tanıtım	promovere	N;NOM;SG;3	V;NFIN;ACT
tanıtımı	promoverer	tanıtım	promovere	N;NOM;SG;3	V;IND;PRS;FIN;ACT
tanıtımı	promoveret	tanıtım	promovere	N;NOM;SG;3	V;INDF;SG;PST;V.PTCP
tanıtımı	promoverede	tanıtım	promovere	N;NOM;SG;3	V;PL;PST;V.PTCP
tanıtımı	fremmet	tanıtım	fremme	N;NOM;SG;3	V;INDF;SG;PST;V.PTCP
tanıtımı	fremme	tanıtım	fremme	N;NOM;SG;3	ADV
tanıtımı	fremme	tanıtım	fremme	N;NOM;SG;3	ADV
tanıtımı	promovere	tanıtım	promovere	N;NOM;SG;3	V;NFIN;ACT
glasgow	glasgow	glasgow	glasgow	PROPN;NOM;SG;3	PROPN
duvarları	murer	duvar	mure	N;ACC;PL;3	N;INDF;MASC+FEM;SG
lille	lille	lille	lille	PROPN;NOM;SG;3	ADJ;SG
sevda	kærlighed	sevda	kærlighed		N;INDF;MASC+FEM;SG
sevda	elsker	sevda	elske		V;IND;PRS;FIN;ACT
sevda	love	sevda	love		N;INDF;MASC+FEM;SG
sevda	vild	sevda	vild		ADJ;INDF;MASC+FEM;SG
tören	ceremoni	tör	ceremoni		N;INDF;MASC+FEM;SG
tören	højtidelighed	tör	højtidelighed		N;INDF;MASC+FEM;SG
tören	ceremonien	tör	ceremonie		N;DEF;MASC+FEM;SG
tören	ceremonier	tör	ceremoni		N;INDF;MASC+FEM;PL
tören	ritual	tör	ritual		N;INDF;NEUT;SG
tören	ritualer	tör	ritual		N;INDF;NEUT;PL
çekirdeği	core	çekir	core	N;NOM;SG;3	
bayat	banalt	bayat	banalt		ADJ;INDF;NEUT;SG
memphis	memphis	memphis	memphis	PROPN;NOM;SG;3	
cadı	heksen	cadı	heksen		N;DEF;MASC+FEM;SG
cadı	heks	cadı	heks		N;INDF;MASC+FEM;SG
patlayıcı	sprængstof	patlayıcı	sprængstof		N;INDF;NEUT;SG
patlayıcı	eksplosiv	patlayıcı	eksplosiv		ADJ;INDF;MASC+FEM;SG
patlayıcı	sprængstoffer	patlayıcı	sprængstof		N;INDF;NEUT;PL
patlayıcı	eksplosivt	patlayıcı	eksplosivt		ADJ;INDF;NEUT;SG
patlayıcı	eksplosive	patlayıcı	eksplosiv		ADJ;PL
patlayıcı	sprængstoffer	patlayıcı	sprængstof		N;INDF;NEUT;PL
patlayıcı	sprængstof	patlayıcı	sprængstof		N;INDF;NEUT;SG
ufuk	skyline	ufuk	skylin		N;INDF;MASC+FEM;SG
ufuk	horisont	ufuk	horisont		N;INDF;MASC+FEM;SG
ufuk	tidshorisont	ufuk	tidshorisont		N;INDF;MASC+FEM;SG
ufuk	horizon	ufuk	horizon		
ufuk	horisonten	ufuk	horisont		N;DEF;MASC+FEM;SG
división	división	divi	división		N;INDF;MASC+FEM;SG
kader	skæbne	kader	skæbne		N;INDF;MASC+FEM;SG
kader	destiny	kader	destiny		
kader	skæbnen	kader	skæbne		N;DEF;MASC+FEM;SG
kader	skæbne	kader	skæbne		N;INDF;MASC+FEM;SG
kader	skæbnen	kader	skæbne		N;DEF;MASC+FEM;SG
werner	werner	werner	werner	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
nihai	ultimative	nihai	ultimativ		ADJ;PL
erich	erich	erich	erich		N;INDF;MASC+FEM;SG
nem	vandindhold	nem	vandindhold		N;INDF;NEUT;SG
nem	fugtighed	nem	fugtighed		N;INDF;MASC+FEM;SG
nem	fugt	nem	fugt		N;INDF;MASC+FEM;SG
nem	fugtighed	nem	fugtighed		N;INDF;MASC+FEM;SG
nem	luftfugtighed	nem	luftfugtighed		N;INDF;MASC+FEM;SG
nem	fugt	nem	fugt		N;INDF;MASC+FEM;SG
çılgın	sindssyge	çılgın	sindssyge		N;INDF;MASC+FEM;SG
çılgın	sindssygt	çılgın	sindssygt		ADJ;INDF;NEUT;SG
çılgın	vanvittigt	çılgın	vanvittigt		ADJ;INDF;NEUT;SG
çılgın	sindssyg	çılgın	sindssyg		ADJ;INDF;MASC+FEM;SG
çılgın	sindsyg	çılgın	sindsyg		ADJ;INDF;MASC+FEM;SG
çılgın	vildt	çılgın	vildt		ADJ;INDF;NEUT;SG
çılgın	vilde	çılgın	vild		ADJ;PL
çılgın	vildtlevende	çılgın	vildtlevende		ADJ
çılgın	wild	çılgın	wild		
çılgın	vild	çılgın	vild		ADJ;INDF;MASC+FEM;SG
çılgın	vanvittigt	çılgın	vanvittigt		ADJ;INDF;NEUT;SG
çılgın	skøre	çılgın	skøre		ADJ;PL
çılgın	sindssygt	çılgın	sindssygt		ADJ;INDF;NEUT;SG
çılgın	tosset	çılgın	tos		V;INDF;SG;PST;V.PTCP
çılgın	vildt	çılgın	vildt		ADJ;INDF;NEUT;SG
çılgın	skør	çılgın	skør		ADJ;INDF;MASC+FEM;SG
çılgın	gal	çılgın	gal		ADJ;INDF;MASC+FEM;SG
çılgın	sur	çılgın	sur		ADJ;INDF;MASC+FEM;SG
üstünlük	overlegen	üstünlük	overlege	N;NOM;SG;3	ADJ;INDF;MASC+FEM;SG
yarıda	afbrød	yarı	afbryde	N;ESS;SG;3	V;IND;PST;FIN;ACT
yarıda	afbrudt	yarı	afbryde	N;ESS;SG;3	V;INDF;SG;PST;V.PTCP
radar	sonar	radar	sonar		
radar	radar	radar	radar		N;INDF;MASC+FEM;SG
radar	radaren	radar	radar		N;DEF;MASC+FEM;SG
porno	porno	porno	porno		N;INDF;MASC+FEM;SG
porno	pornofilm	porno	pornofilm		N;INDF;MASC+FEM;SG
porno	porno	porno	porno		N;INDF;MASC+FEM;SG
pol	pol	pol	pol		
hayati	vitale	hayati	vital		ADJ;PL
hayati	vital	hayati	vital		ADJ;INDF;MASC+FEM;SG
hayati	livsvigtig	hayati	livsvigtig		ADJ;INDF;MASC+FEM;SG
madison	madison	madison	madison	PROPN;NOM;SG;3	
patinaj	skøjter	patinaj	skøjter	N;NOM;SG;3	N;INDF;MASC+FEM;PL
tang	tang	tang	tang		N;INDF;MASC+FEM;SG
belgeler	dokumentation	belge	dokumentation	N;NOM;PL;3	N;INDF;MASC+FEM;SG
değişmez	uforanderlige	değişmez	uforanderlig		ADJ;PL
roland	roland	roland	roland		N;INDF;MASC+FEM;SG
uçar	fluerne	uç	flue		N;DEF;MASC+FEM;PL
uçar	flyver	uç	flyve		V;IND;PRS;FIN;ACT
uçar	fluer	uç	flue		N;INDF;MASC+FEM;PL
adın	betegnelse	ad	betegnelse		N;INDF;MASC+FEM;SG
adın	navn	ad	navn		N;INDF;NEUT;SG
kobe	kobe	kobe	kobe	PROPN;NOM;SG;3	
wanderers	wanderers	wanderers	wandere	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
garcía	garcía	garc	garcía	PROPN;NOM;SG;3	
taktik	taktik	taktik	taktik		N;INDF;MASC+FEM;SG
taktik	taktik	taktik	taktik		N;INDF;MASC+FEM;SG
taktik	taktiske	taktik	taktisk		ADJ;PL
taktik	taktisk	taktik	taktisk		ADJ;INDF;SG
dst	dst	dst	dst		N;INDF;NEUT;SG
talat	talat	talat	talat		N;INDF;NEUT;SG
geyik	moose	geyik	moose	N;NOM;SG;3	
geyik	hjort	geyik	hjort	N;NOM;SG;3	
geyik	hjorte	geyik	hjorte	N;NOM;SG;3	N;INDF;MASC+FEM;PL
noktalar	points	nokta	points	N;NOM;PL;3	
noktalar	point	nokta	point	N;NOM;PL;3	N;INDF;NEUT;SG
yuva	hjem	yuva	hjem		ADV
yuva	hjemme	yuva	hjemme		ADV
yuva	startside	yuva	startside		N;INDF;MASC+FEM;SG
yuva	hjemad	yuva	hjemad		ADV
yuva	home	yuva	home		
yuva	nest	yuva	nest		N;INDF;MASC+FEM;SG
yuva	reden	yuva	red		N;DEF;MASC+FEM;SG
yuva	rede	yuva	rede		N
