med	med	med	med	ADP	N;INAN;NOM;MASC;SG;POS
som	like	som	like	CONJ	N;MASC;SG;POS
som	kterou	som	který	CONJ	DET;ACC;FEM;SG
som	který	som	který	CONJ	DET;NOM;MASC;SG
som	což	som	což	CONJ	PRO;NOM
som	která	som	který	CONJ	DET;NOM;FEM;SG
som	které	som	který	CONJ	DET;NOM;NEUT;PL
runt	okolo	runt	okolo	ADV	ADP;GEN
runt	kolem	runt	kolem	ADV	ADP;GEN
runt	kolo	runt	kolo	ADV	N;NOM;NEUT;SG;POS
runt	kulaté	runt	kulatý	ADV	ADJ;NOM;MASC;PL;POS
runt	kulatá	runt	kulatý	ADV	ADJ;NOM;FEM;SG;POS
runt	kulatý	runt	kulatý	ADV	ADJ;INAN;NOM;MASC;SG;POS
månaden	měsíční	månad	měsíční	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG;POS
månaden	měsíčně	månad	měsíčně	N;NOM;DEF;MASC+FEM;SG	ADV;POS
nederbörd	srážek	nederbörd	srážka	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;PL;POS
nederbörd	srážky	nederbörd	srážka	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
nederbörd	srážek	nederbörd	srážka	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;PL;POS
nederbörd	srážky	nederbörd	srážka	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;PL;POS
ligger	lží	ligga	lež	V;IND;PRS;FIN;ACT	N;INS;FEM;SG;POS
ligger	lži	ligga	lež	V;IND;PRS;FIN;ACT	N;NOM;FEM;PL;POS
ligger	umístěné	ligga	umístěný	V;IND;PRS;FIN;ACT	ADJ;NOM;MASC;PL;POS
ligger	umístěno	ligga	umístěný	V;IND;PRS;FIN;ACT	ADJ;NEUT;SG;POS;V.PTCP;PASS
ingår	zahrnut	ingå	zahrnutý	V;IND;PRS;FIN;ACT	ADJ;MASC;SG;POS;V.PTCP;PASS
ingår	zahrnuty	ingå	zahrnutý	V;IND;PRS;FIN;ACT	ADJ;INAN;PL;POS;V.PTCP;PASS
ingår	včetně	ingå	včetně	V;IND;PRS;FIN;ACT	ADP;GEN
ingår	zahrnuto	ingå	zahrnutý	V;IND;PRS;FIN;ACT	ADJ;NEUT;SG;POS;V.PTCP;PASS
ingår	zahrnuté	ingå	zahrnutý	V;IND;PRS;FIN;ACT	ADJ;NOM;NEUT;SG;POS
att	to	att	ten	PART	DET;NOM;NEUT;SG
att	že	att	že	PART	CONJ
ett	jednu	en	jeden	NUM;NOM;INDF;NEUT;SG	NUM;ACC;FEM;SG
över	over	över	over	ADP	N;MASC;SG;POS
över	konec	över	konec	ADP	N;INAN;NOM;MASC;SG;POS
familjen	rodinný	familj	rodinný	N;NOM;DEF;MASC+FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
familjen	rodinná	familj	rodinný	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;FEM;SG;POS
familjen	rodinné	familj	rodinný	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;PL;POS
inga	žádný	ingen	žádný	PRO;INDF;PL	DET;NOM;MASC;SG
inga	žádná	ingen	žádný	PRO;INDF;PL	DET;NOM;FEM;SG
inga	žádné	ingen	žádný	PRO;INDF;PL	DET;NOM;FEM;PL
inga	inga	ingen	inga	PRO;INDF;PL	PROPN;NOM;FEM;SG;POS
släktet	rodu	släkte	rod	N;NOM;DEF;NEUT;SG	N;INAN;GEN;MASC;SG;POS
underarter	poddruh	underart	poddruh	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG;POS
life	life	life	life	N;NOM;INDF;MASC+FEM;SG	PROPN;INAN;NOM;MASC;SG;POS
life	životní	life	životní	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG;POS
listade	uvedených	lisa	uvedený	ADJ;NOM;PL;PST;V.PTCP	ADJ;GEN;MASC;PL;POS
landet	zemi	land	země	N;NOM;DEF;NEUT;SG	N;ACC;FEM;SG;POS
meter	metr	meter	metr	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG;POS
meter	metrů	meter	metr	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL;POS
meter	metrů	meter	metr	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL;POS
meter	metr	meter	metr	N;NOM;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG;POS
meter	yardů	meter	Yard	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL;POS
meter	loděnice	meter	loděnice	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;SG;POS
huvudstaden	kapitolu	huvudstad	kapitola	N;NOM;DEF;MASC+FEM;SG	N;ACC;FEM;SG;POS
huvudstaden	kapitol	huvudstad	kapitola	N;NOM;DEF;MASC+FEM;SG	N;GEN;FEM;PL;POS
havet	mořská	hav	mořský	N;NOM;DEF;NEUT;SG	ADJ;NOM;FEM;SG;POS
havet	ocean	hav	ocean	N;NOM;DEF;NEUT;SG	PROPN;NOM;MASC;SG;POS
invånare	obyvatel	invånare	obyvatel	N;NOM;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG;POS
invånare	občany	invånare	občan	N;NOM;INDF;MASC+FEM;PL	N;ANIM;ACC;MASC;PL;POS
januari	lednu	januari	leden	N;NOM;INDF;MASC+FEM;SG	N;INAN;DAT;MASC;SG;POS
januari	ledna	januari	leden	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
millimeter	milimetrech	millimet	milimetr	N;NOM;INDF;MASC+FEM;PL	N;INAN;DAT;MASC;PL;POS
millimeter	milimetrů	millimet	milimetr	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL;POS
millimeter	milimetrů	millimet	milimetr	N;NOM;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL;POS
genomsnitt	průměrný	genomsnitt	průměrný	N;NOM;INDF;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS
genomsnitt	průměrné	genomsnitt	průměrný	N;NOM;INDF;NEUT;SG	ADJ;NOM;NEUT;SG;POS
genomsnitt	průměrná	genomsnitt	průměrný	N;NOM;INDF;NEUT;SG	ADJ;NOM;FEM;SG;POS
genomsnitt	průměry	genomsnitt	průměr	N;NOM;INDF;NEUT;SG	N;INAN;NOM;MASC;PL;POS
genomsnittlig	průměr	genomsnittlig	průměr	ADJ;NOM;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG;POS
var	var	var	var	PRO;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;POS
var	bylo	var	být	PRO;INDF;MASC+FEM;SG	V;NEUT;SG;POS;PST;V.PTCP;ACT
var	byl	var	být	PRO;INDF;MASC+FEM;SG	V;MASC;SG;POS;PST;V.PTCP;ACT
var	byla	var	být	PRO;INDF;MASC+FEM;SG	V;POS;PST;V.PTCP;ACT
var	byli	var	být	PRO;INDF;MASC+FEM;SG	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
var	byly	var	být	PRO;INDF;MASC+FEM;SG	V;INAN;PL;POS;PST;V.PTCP;ACT
var	kde	var	kde	PRO;INDF;MASC+FEM;SG	ADV
var	kam	var	kam	PRO;INDF;MASC+FEM;SG	ADV
juli	července	juli	červenec	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
juli	juli	juli	juli	N;NOM;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
han	hana	han	hana	PRO;NOM;DEF;MASC+FEM;SG	PROPN;NOM;FEM;SG;POS
han	han	han	han	PRO;NOM;DEF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
per	pere	per	prát	ADP	V;IND;SG;3;POS;PRS;FIN;ACT
per	per	per	per	ADP	PROPN;MASC;SG;POS
vattendrag	řek	vattendrag	řeka	N;NOM;INDF;NEUT;SG	N;GEN;FEM;PL;POS
vattendrag	řeky	vattendrag	řeka	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL;POS
vattendrag	rivers	vattendrag	rivers	N;NOM;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG;POS
kanada	kanada	kanad	kanada	PROPN;NOM	PROPN;NOM;FEM;SG;POS
kanada	kanady	kanad	kanada	PROPN;NOM	PROPN;NOM;FEM;SG;POS
provinsen	provincii	provins	provincie	N;NOM;DEF;MASC+FEM;SG	N;DAT;FEM;SG;POS
högsta	maximálně	hög	maximálně	ADJ;NOM;DEF;RL	ADV;POS
högsta	maximální	hög	maximální	ADJ;NOM;DEF;RL	ADJ;NOM;MASC;SG;POS
högsta	maximum	hög	maximum	ADJ;NOM;DEF;RL	N;NOM;NEUT;SG;POS
augusti	srpna	augusti	srpen	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
augusti	august	augusti	august	N;NOM;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
kan	mohl	kunna	moci	V;IND;PRS;FIN;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
kan	mohla	kunna	moci	V;IND;PRS;FIN;ACT	V;POS;PST;V.PTCP;ACT
kan	může	kunna	moci	V;IND;PRS;FIN;ACT	V;IND;SG;3;POS;PRS;FIN;ACT
kan	mohou	kunna	moci	V;IND;PRS;FIN;ACT	V;IND;PL;3;POS;PRS;FIN;ACT
externa	externí	ext	externí	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;MASC;SG;POS
externa	externích	ext	externí	N;NOM;DEF;MASC+FEM;PL	ADJ;GEN;MASC;PL;POS
externa	vnější	ext	vnější	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;MASC;SG;POS
läge	lokace	läge	lokace	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL;POS
läge	mode	läge	mode	N;NOM;INDF;NEUT;SG	PROPN;NOM;MASC;SG;POS
februari	února	februari	únor	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
under	behem	under	beh	ADP	N;GEN;MASC;SG;POS
lake	lake	lake	lake	N;NOM;INDF;NEUT;SG	PROPN;NOM;MASC;SG;POS
lake	jezera	lake	jezero	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;PL;POS
sjö	lake	sjö	lake	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;POS
sjö	jezera	sjö	jezero	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;PL;POS
sjö	mořská	sjö	mořský	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG;POS
inte	není	inte	být	PART;NEG	V;IND;SG;3;NEG;PRS;FIN;ACT
sig	sig	sig	sig	PRO;ACC;DEF	PROPN;MASC;POS
två	dvojka	två	dvojka	NUM;NOM	N;NOM;FEM;SG;POS
lac	lac	lac	lac	V;IMP;FIN;ACT	PROPN;INAN;NOM;MASC;SG;POS
terrängen	terénní	terräng	terénní	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG;POS
terrängen	terénu	terräng	terén	N;NOM;DEF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
long	dlouho	long	dlouho	N;NOM;INDF;MASC+FEM;SG	ADV;POS
long	dlouhá	long	dlouhý	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG;POS
long	dlouhý	long	dlouhý	N;NOM;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG;POS
long	dlouhé	long	dlouhý	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG;POS
juni	juni	juni	jun	N;NOM;INDF;MASC+FEM;SG	PROPN;MASC;SG;POS
juni	června	juni	červen	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
lat	lat	lat	lata	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG;POS
lat	líná	lat	líný	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG;POS
lat	líní	lat	líný	N;NOM;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;PL;POS
lat	líný	lat	líný	N;NOM;INDF;MASC+FEM;SG	ADJ;ANIM;NOM;MASC;SG;POS
december	prosince	december	prosinec	N;NOM;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG;POS
december	prosinci	december	prosinec	N;NOM;INDF;MASC+FEM;SG	N;INAN;DAT;MASC;SG;POS
växer	rostoucí	växa	rostoucí	V;IND;PRS;FIN;ACT	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
växer	pěstování	växa	pěstování	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG;POS
växer	růst	växa	růst	V;IND;PRS;FIN;ACT	N;INAN;NOM;MASC;SG;POS
många	mnohé	mången	mnohý	PRO;INDF;PL	ADJ;NOM;MASC;PL;POS
många	mnozí	mången	mnohý	PRO;INDF;PL	ADJ;ANIM;NOM;MASC;PL;POS
många	mnoha	mången	mnoho	PRO;INDF;PL	DET;INS
många	mnoho	mången	mnoho	PRO;INDF;PL	DET;NOM
efter	po	efter	po	ADP	
efter	poté	efter	poté	ADP	ADV
nära	uzavřít	nära	uzavřít	ADV	V;POS;NFIN
nära	zavřít	nära	zavřít	ADV	V;POS;NFIN
nära	poblíž	nära	poblíž	ADV	ADP;GEN
väster	west	väster	west	N;NOM;INDF;MASC+FEM;SG	PROPN;INAN;NOM;MASC;SG;POS
väster	západní	väster	západní	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG;POS
provins	provincii	provins	provincie	N;NOM;INDF;MASC+FEM;SG	N;DAT;FEM;SG;POS
öster	východní	öster	východní	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG;POS
först	první	först	první	ADV	ADJ;NOM;MASC;SG
berg	hory	berg	hora	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL;POS
berg	horu	berg	hora	N;NOM;INDF;NEUT;SG	N;ACC;FEM;SG;POS
berg	berg	berg	berg	N;NOM;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG;POS
berg	hory	berg	hora	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL;POS
