que	to	que	ten	CONJ	DET;NOM;NEUT;SG
del	dela	del	dela	ADP;MASC;SG	N;NOM;MASC;SG;POS
del	dele	del	dele	ADP;MASC;SG	PROPN;NOM;MASC;SG;POS
del	del	del	del	ADP;MASC;SG	PROPN;NOM;MASC;SG;POS
una	jedno	uno	jeden	DET;INDF;FEM;SG	NUM;NOM;NEUT;SG
una	jednu	uno	jeden	DET;INDF;FEM;SG	NUM;ACC;FEM;SG
una	jeden	uno	jeden	DET;INDF;FEM;SG	NUM;NOM;MASC;SG
una	jedna	uno	jeden	DET;INDF;FEM;SG	NUM;NOM;FEM;SG
como	jak	como	jak	CONJ	ADV
como	like	como	like	CONJ	N;MASC;SG;POS
fue	bylo	ser	být	V;IND;SG;3;PST;FIN	V;NEUT;SG;POS;PST;V.PTCP;ACT
fue	byl	ser	být	V;IND;SG;3;PST;FIN	V;MASC;SG;POS;PST;V.PTCP;ACT
fue	byla	ser	být	V;IND;SG;3;PST;FIN	V;POS;PST;V.PTCP;ACT
más	další	más	další	ADV	ADJ;NOM;MASC;SG;POS
más	more	más	more	ADV	N;MASC;SG;POS
sus	vaše	su	tvůj	DET;PL;3	DET;NOM;SG;2
sus	váš	su	tvůj	DET;PL;3	DET;NOM;MASC;SG;2
sus	tvůj	su	tvůj	DET;PL;3	DET;NOM;MASC;SG;1
sus	tvoje	su	tvoj	DET;PL;3	ADJ;NOM;FEM;SG;POS
sus	vaši	su	tvůj	DET;PL;3	DET;NOM;FEM;SG;2
sus	její	su	jeho	DET;PL;3	DET;NOM;FEM;SG;3
este	tento	este	tento	PRO;MASC;SG	DET;NOM;MASC;SG
este	toto	este	tento	PRO;MASC;SG	DET;NOM;NEUT;SG
este	tohle	este	tenhle	PRO;MASC;SG	DET;NOM;NEUT;SG
este	východ	este	východ	PRO;MASC;SG	N;INAN;NOM;MASC;SG;POS
este	východní	este	východní	PRO;MASC;SG	ADJ;NOM;FEM;SG;POS
dos	dos	dos	dos	NUM;PL	PROPN;NOM;MASC;SG;POS
dos	dvojka	dos	dvojka	NUM;PL	N;NOM;FEM;SG;POS
son	jsou	ser	být	V;IND;PL;3;PRS;FIN	V;IND;PL;3;POS;PRS;FIN;ACT
sobre	obálku	sobre	obálka	ADP	N;ACC;FEM;SG;POS
sobre	obálka	sobre	obálka	ADP	N;NOM;FEM;SG;POS
desde	ze	desde	z	ADP	ADP;GEN
esta	tento	este	tento	PRO;FEM;SG	DET;NOM;MASC;SG
esta	toto	este	tento	PRO;FEM;SG	DET;NOM;NEUT;SG
esta	tohle	este	tenhle	PRO;FEM;SG	DET;NOM;NEUT;SG
hasta	dokonce	hasta	dokonce	ADP	ADV
hasta	dokud	hasta	dokud	ADP	CONJ
externos	externí	externo	externí	ADJ;MASC;PL	ADJ;NOM;MASC;SG;POS
externos	vnější	externo	vnější	ADJ;MASC;PL	ADJ;NOM;MASC;SG;POS
ciudad	ciudad	ciudad	ciudad	N;FEM;SG	PROPN;NOM;FEM;SG;POS
ser	bytí	ser	bytí	V;NFIN	N;NOM;NEUT;SG;POS
ser	ser	ser	ser	V;NFIN	PROPN;ANIM;NOM;MASC;SG;POS
parte	párty	parte	párt	N;FEM;SG	N;NOM;FEM;PL;POS
parte	party	parte	part	N;FEM;SG	N;INAN;NOM;MASC;PL;POS
durante	behem	durante	beh	ADP	N;GEN;MASC;SG;POS
sin	hříchu	sin	hřích	ADP	N;INAN;GEN;MASC;SG;POS
sin	sin	sin	sin	ADP	PROPN;NOM;MASC;SG;POS
sin	hřích	sin	hřích	ADP	N;INAN;NOM;MASC;SG;POS
donde	kde	donde	kde	PRO	ADV
donde	kam	donde	kam	PRO	ADV
san	san	san	san	N;MASC;SG	ADJ;POS
san	svatý	san	svatý	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
san	svatá	san	svatý	N;MASC;SG	ADJ;NOM;FEM;SG;POS
san	saint	san	saint	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
era	bylo	ser	být	V;IND;SG;3;IPFV;FIN	V;NEUT;SG;POS;PST;V.PTCP;ACT
era	byl	ser	být	V;IND;SG;3;IPFV;FIN	V;MASC;SG;POS;PST;V.PTCP;ACT
era	byla	ser	být	V;IND;SG;3;IPFV;FIN	V;POS;PST;V.PTCP;ACT
nacional	nacional	nacional	nacional	ADJ;SG	PROPN;NOM;NEUT;SG;POS
primera	nejdřív	primero	brzy	ADJ;FEM;SG	ADV;RL;POS
primera	nejprve	primero	nejprve	ADJ;FEM;SG	ADV
primera	nejdříve	primero	brzy	ADJ;FEM;SG	ADV;RL;POS
cuando	kdy	cuando	kdy	CONJ	ADV
siglo	siglo	siglo	siglo	N;MASC;SG	PROPN;NOM;MASC;SG;POS
después	po	después	po	ADV	
españa	španělsko	españa	španělský	N;FEM;SG	PROPN;NOM;NEUT;SG;POS
otros	ostatní	otro	ostatní	PRO;MASC;PL	ADJ;ANIM;NOM;MASC;PL;POS
otros	jiná	otro	jiný	PRO;MASC;PL	ADJ;NOM;FEM;SG;POS
otros	jiné	otro	jiný	PRO;MASC;PL	ADJ;NOM;NEUT;SG;POS
otros	jiný	otro	jiný	PRO;MASC;PL	ADJ;ANIM;NOM;MASC;SG;POS
otros	ostatní	otro	ostatní	PRO;MASC;PL	ADJ;ANIM;NOM;MASC;PL;POS
otros	jiní	otro	jiný	PRO;MASC;PL	ADJ;ANIM;NOM;MASC;PL;POS
otros	jiné	otro	jiný	PRO;MASC;PL	ADJ;NOM;NEUT;SG;POS
gran	velké	gran	velký	ADJ;SG	ADJ;NOM;MASC;PL;POS
gran	super	gran	super	ADJ;SG	N;MASC;SG;POS
gran	gran	gran	gran	ADJ;SG	PROPN;NOM;MASC;SG;POS
puede	mohou	poder	moci	V;IND;SG;3;PRS;FIN	V;IND;PL;3;POS;PRS;FIN;ACT
estado	státní	estado	státní	N;MASC;SG	ADJ;NOM;MASC;SG;POS
uno	uno	uno	uno	PRO;MASC;SG	PROPN;NOM;MASC;SG;POS
