寺廟	temple	寺廟	temple	N	
相交	križišč	相交	križišče	V	N;GEN;NEUT;PL
溫柔	nežna	溫柔	nežen	N	ADJ;NOM;FEM;SG
溫柔	nežen	溫柔	nežen	N	ADJ;NOM;INDF;MASC;SG
溫柔	nežne	溫柔	nežen	N	ADJ;NOM;FEM;PL
溫柔	nežno	溫柔	nežno	N	ADV
抒情	lirično	抒情	liričen	N	ADJ;NOM;NEUT;SG
愛麗絲	alica	愛麗絲	alica	PROPN	N;NOM;FEM;SG
愛麗絲	alice	愛麗絲	alica	PROPN	N;NOM;FEM;SG
蔓延	širjenje	蔓延	širjenje		N;NOM;NEUT;SG
蔓延	razširi	蔓延	razšir		V;PFV;IND;SG;3;PRS;FIN
蔓延	širjenje	蔓延	širjenje		N;NOM;NEUT;SG
漂流	potepanja	漂流	potepanje	V	N;NOM;NEUT;PL
加勒比	karibih	加勒比	karib	PROPN	N;ESS;MASC;PL
陡	strmo	陡	strmo	N	ADV
血腥	krvavi	血腥	krvav	N	ADJ;NOM;DEF;MASC;SG
血腥	krvave	血腥	krvav	N	ADJ;NOM;FEM;PL
堡壘	branik	堡壘	branik		N;NOM;MASC;SG
堡壘	utrdba	堡壘	utrdba		N;NOM;FEM;SG
堡壘	trdnjavo	堡壘	trdnjava		N;ACC;FEM;SG
堡壘	trdnjava	堡壘	trdnjava		N;NOM;FEM;SG
堡壘	utrdba	堡壘	utrdba		N;NOM;FEM;SG
堡壘	trdnjava	堡壘	trdnjava		N;NOM;FEM;SG
堡壘	utrdbo	堡壘	utrdba		N;ACC;FEM;SG
堡壘	fort	堡壘	fort		N;NOM;MASC;SG
乘車	vožnja	乘車	vožnja	V	N;NOM;FEM;SG
乘車	prevoz	乘車	prevoz	V	N;NOM;MASC;SG
乘車	vožnjo	乘車	vožnja	V	N;ACC;FEM;SG
寂寞	osamljeno	寂寞	osamljen	N	ADJ;NOM;NEUT;SG;V.PTCP
寂寞	samotno	寂寞	samoten	N	ADV
寂寞	osamljena	寂寞	osamljen	N	ADJ;NOM;FEM;SG;V.PTCP
寂寞	osamljeni	寂寞	osamljen	N	ADJ;NOM;MASC;PL;V.PTCP
寂寞	osamljen	寂寞	osamljen	N	ADJ;NOM;INDF;MASC;SG;V.PTCP
花卉	cvetni	花卉	cveten	N	ADJ;NOM;DEF;MASC;SG
花卉	cvetlični	花卉	cvetličen	N	ADJ;NOM;MASC;SG
蘇維埃	sovjeti	蘇維埃	sovjeti	PROPN	N;NOM;MASC;PL
蘇維埃	sovjetski	蘇維埃	sovjetski	PROPN	ADJ;NOM;MASC;SG
蘇維埃	sovjetska	蘇維埃	sovjetski	PROPN	ADJ;NOM;FEM;SG
蘇維埃	sovjetske	蘇維埃	sovjetski	PROPN	ADJ;NOM;FEM;PL
蘇維埃	sovjetsko	蘇維埃	sovjetski	PROPN	ADJ;NOM;NEUT;SG
安藤	ando	安藤	ando	PROPN	N;NOM;MASC;SG
和	harmonijo	和	harmonija	ADP	N;ACC;FEM;SG
和	harmoniji	和	harmonija	ADP	N;NOM;FEM;SG
和	harmonija	和	harmonija	ADP	N;NOM;FEM;SG
和	harmony	和	harmony	ADP	N;NOM;MASC;SG
室外	zunaj	室外	zunaj	N	ADV
室外	zunanji	室外	zunanji	N	ADJ;NOM;DEF;MASC;SG
室外	zunanja	室外	zunanji	N	ADJ;NOM;FEM;SG
刺殺	atentat	刺殺	atentat	V	N;NOM;MASC;SG
彈劾	odstavili	彈劾	odstaviti	N	V;PFV;MASC;PL;V.PTCP
永恆	večno	永恆	večen	N	ADV
永恆	večen	永恆	večen	N	ADJ;NOM;INDF;MASC;SG
永恆	večni	永恆	večen	N	ADJ;NOM;MASC;SG
永恆	večna	永恆	večen	N	ADJ;NOM;FEM;SG
津	nadomestila	津	nadomestilo	PROPN	V;PFV;FEM;SG;V.PTCP
破解	crack	破解	crack	V	N;NOM;MASC;SG
破解	krek	破解	krek	V	N;NOM;MASC;SG
破解	razpoka	破解	razpok	V	N;NOM;FEM;SG
麻雀	vrabci	麻雀	vrabec	PROPN	N;NOM;MASC;PL
麻雀	sparrow	麻雀	sparrow	PROPN	N;NOM;MASC;SG
麻雀	vrabec	麻雀	vrabec	PROPN	N;NOM;MASC;SG
阻力	vleči	阻力	vleči	N	V;IPFV;NFIN
關	skrb	關	skrb	PROPN	N;NOM;FEM;SG
關	skrbna	關	skrbno	PROPN	ADJ;NOM;FEM;SG
啟發	navdih	啟發	navdih	V	N;NOM;MASC;SG
盧森堡	luksemburg	盧森堡	luksemburg	PROPN	N;NOM;MASC;SG
佔有	obsedenost	佔有	obsedenost	V	N;NOM;FEM;SG
佔有	posest	佔有	posest	V	N;NOM;FEM;SG
佔有	posedovanje	佔有	posedovanje	V	N;NOM;NEUT;SG
獨家	izključno	獨家	izključno		ADV
獨家	izključna	獨家	izključen		ADJ;NOM;FEM;SG
獨家	ekskluzivno	獨家	ekskluzivno		ADV
停火	premirje	停火	premirje	V	N;NOM;NEUT;SG
復原	obnovitev	復原	obnovitev	V	N;NOM;FEM;SG
復原	obnavljanje	復原	obnavljanje	V	N;NOM;NEUT;SG
復原	obnova	復原	obnova	V	N;NOM;FEM;SG
復原	obnovo	復原	obnova	V	N;ACC;FEM;SG
復原	predelava	復原	predelava	V	N;NOM;FEM;SG
復原	okrevanje	復原	okrevanje	V	N;NOM;NEUT;SG
復原	vračilo	復原	vračilo	V	N;NOM;NEUT;SG
真主	alah	真主	alah	PROPN	N;NOM;MASC;SG
清潔	čistočo	清潔	čistoča	V	N;ACC;FEM;SG
清潔	čiščenje	清潔	čiščenje	V	N;NOM;NEUT;SG
清潔	cist	清潔	cist	V	
清潔	čist	清潔	čist	V	
多	raznolikosti	多	raznolikost	NUM	N;GEN;FEM;SG
多	raznovrstnost	多	raznovrstnost	NUM	N;NOM;FEM;SG
多	raznolikost	多	raznolikost	NUM	N;NOM;FEM;SG
多	pluralizem	多	pluralizem	NUM	N;NOM;MASC;SG
友善	prijateljski	友善	prijateljski	N	ADJ;NOM;MASC;SG
友善	prijazen	友善	prijazen	N	ADJ;NOM;INDF;MASC;SG
友善	prijateljsko	友善	prijateljsko	N	ADV
友善	prijateljska	友善	prijateljski	N	ADJ;NOM;FEM;SG
友善	prijazno	友善	prijazen	N	ADJ;NOM;NEUT;SG
友善	prijazni	友善	prijazen	N	ADJ;NOM;MASC;PL
甜蜜	sladkih	甜蜜	sladek	N	ADJ;GEN;MASC;PL
甜蜜	sladko	甜蜜	sladko	N	ADV
甜蜜	sladki	甜蜜	sladek	N	ADJ;NOM;DEF;MASC;SG
甜蜜	sladka	甜蜜	sladka	N	ADJ;NOM;FEM;SG
瘦	suha	瘦	suh	N	ADJ;NOM;FEM;SG
瘦	suhi	瘦	suh	N	ADJ;NOM;DEF;MASC;SG
瘦	suh	瘦	suh	N	ADJ;NOM;INDF;MASC;SG
瘦	vitka	瘦	vitek	N	ADJ;NOM;FEM;SG
瘦	pusto	瘦	pust	N	ADJ;NOM;NEUT;SG
瘦	tanke	瘦	tanek	N	ADJ;NOM;FEM;PL
瘦	tanka	瘦	tanek	N	ADJ;NOM;FEM;SG
瘦	tanko	瘦	tanko	N	ADV
瘦	tanek	瘦	tanek	N	ADJ;NOM;INDF;MASC;SG
優質	kakovostno	優質	kakovostno	N	ADJ;NOM;NEUT;SG
丟	met	丟	met	V	
雪梨	sydney	雪梨	sydney	PROPN	ADJ;NOM;NEUT;SG
批量	razsuti	批量	razsutiti	N	
消化	prebavil	消化	prebaviti	V	N;GEN;NEUT;PL
消化	prebavo	消化	prebava	V	N;ACC;FEM;SG
消化	prebavni	消化	prebaven	V	ADJ;NOM;DEF;MASC;SG
樹木	jelka	樹木	jelka	N	PROPN;NOM;FEM;SG
陶器	pottery	陶器	pottery	N	
凱撒	cezar	凱撒	cezar	PROPN	N;NOM;MASC;SG
凱撒	cezarja	凱撒	cezar	PROPN	N;ACC;MASC;SG
馬達加斯加	madagaskar	馬達加斯加	madagaskar	PROPN	N;NOM;FEM;SG
胖	debel	胖	debel	N	ADJ;NOM;INDF;MASC;SG
胖	debela	胖	debela	N	ADJ;NOM;FEM;SG
胖	debeli	胖	debela	N	ADJ;NOM;MASC;PL
狹窄	ozko	狹窄	ozko	ADJ	ADV
裁決	razsodba	裁決	razsodba	V	N;NOM;FEM;SG
裁決	sodba	裁決	sodba	V	N;NOM;FEM;SG
裁決	odločanje	裁決	odločanje	V	N;NOM;NEUT;SG
