الليثيوم	litiu	الليثيوم	litiu		N;INDF;MASC;SG
بنين	benin	بِنِين	benin		N;INDF;MASC;SG
هدم	demolarea	هَدم	demolare	N;NOM;INDF;SG	N;DEF;FEM;SG
هدم	demolare	هَدم	demolare	N;NOM;INDF;SG	N;INDF;FEM;SG
هدم	demolări	هَدم	demolare	N;NOM;INDF;SG	N;INDF;FEM;PL
اغنية	melodie	أَغنِيّ	melodie	N;NOM;INDF;SG	N;INDF;FEM;SG
مصرف	bancă	مَصرِف	bancă	N;NOM;INDF;SG	N;INDF;FEM;SG
مصرف	banca	مَصرِف	bancă	N;NOM;INDF;SG	N;DEF;FEM;SG
قياسي	standardul	قِيَاسِيّ	standard	ADJ;NOM;INDF;MASC;SG	N;DEF;MASC;SG
مذكرة	memo	مُذَكِّرَة	memo	N;NOM;INDF;SG	
مذكرة	memorandumul	مُذَكِّرَة	memorandum	N;NOM;INDF;SG	N;DEF;MASC;SG
الكلاسيكي	clasică	كلَاسِيكِيّ	clasic		ADJ;INDF;FEM;SG
الكلاسيكي	clasic	كلَاسِيكِيّ	clasic		ADV
الكلاسيكي	clasica	كلَاسِيكِيّ	clasică		ADJ;DEF;FEM;SG
تلقائي	automată	تلقائي	automat		ADJ;INDF;FEM;SG
تلقائي	automatic	تلقائي	automatic		N;INDF;MASC;SG
تلقائي	automate	تلقائي	automat		ADJ;INDF;FEM;PL
تلقائي	automat	تلقائي	automat		ADV
المنتدى	forum	مُنتَدَى	forum	N;NOM;DEF;SG	N;INDF;MASC;SG
المنتدى	forumul	مُنتَدَى	forum	N;NOM;DEF;SG	N;DEF;MASC;SG
صممت	proiectat	صَمَّم	proiecta	V;PFV;FEM;SG;3;ACT	ADJ;INDF;MASC;SG
صممت	proiectată	صَمَّم	proiecta	V;PFV;FEM;SG;3;ACT	ADJ;INDF;FEM;SG
صممت	conceput	صَمَّم	conceput	V;PFV;FEM;SG;3;ACT	ADJ;INDF;MASC;SG
صممت	proiectate	صَمَّم	proiecta	V;PFV;FEM;SG;3;ACT	ADJ;INDF;FEM;PL
صممت	concepute	صَمَّم	conceput	V;PFV;FEM;SG;3;ACT	ADJ;INDF;FEM;PL
مجلد	dosarul	مُجَلَّد	dosar	N;NOM;INDF;SG	N;DEF;MASC;SG
وليم	william	وليم	william		PROPN
وليم	wilhelm	وليم	wilhelm		PROPN
قبله	pup	قبله	pup	PRO;NOM;MASC;SG;3	V;IND;SG;1;PRS;FIN
السكن	locuințe	سَكَن	locuință	N;NOM;DEF;SG	N;INDF;FEM;PL
السكن	locuinţe	سَكَن	locuingă	N;NOM;DEF;SG	N;INDF;FEM;PL
السكن	cazare	سَكَن	cazare	N;NOM;DEF;SG	N;INDF;FEM;SG
السكن	carcasă	سَكَن	carcasă	N;NOM;DEF;SG	N;INDF;FEM;SG
السكن	cazare	سَكَن	cazare	N;NOM;DEF;SG	N;INDF;FEM;SG
حائز	titularul	حَائِز	titular	N;NOM;INDF;SG	N;DEF;MASC;SG
التنقيب	excavare	تَنقِيب	excavare	N;NOM;DEF;SG	N;INDF;FEM;SG
التنقيب	prospectare	تَنقِيب	prospectare	N;NOM;DEF;SG	N;INDF;FEM;SG
كيان	entitate	كِيَان	entitate	N;NOM;INDF;SG	N;INDF;FEM;SG
كيان	entitatea	كِيَان	entitate	N;NOM;INDF;SG	N;DEF;FEM;SG
البعيد	distant	بَعِيد	distant		ADJ;INDF;MASC;SG
البعيد	telecomanda	بَعِيد	telecomandă		N;DEF;FEM;SG
البعيد	distant	بَعِيد	distant		ADJ;INDF;MASC;SG
البعيد	telecomandă	بَعِيد	telecomandă		N;INDF;FEM;SG
البعيد	distanță	بَعِيد	distanță		N;INDF;FEM;SG
صعوبات	dificultățile	صُعُوبَة	dificultate	N;NOM;INDF;PL	N;DEF;FEM;PL
جدل	controverse	جَدَل	controversă	N;NOM;INDF;SG	N;INDF;FEM;PL
جدل	controversă	جَدَل	controversă	N;NOM;INDF;SG	N;INDF;FEM;SG
جدل	controversa	جَدَل	controversă	N;NOM;INDF;SG	N;DEF;FEM;SG
شون	shawn	شَون	shawn		PROPN
اسطنبول	istanbul	اسطنبول	istanb		PROPN
باتمان	batman	باتمان	batman		N;INDF;MASC;SG
الفلم	film	فَلَّم	film	N;NOM;DEF;SG	N;INDF;MASC;SG
يولد	nascut	وَلَّد	naște	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;INDF;MASC;SG
يولد	născută	وَلَّد	naște	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;INDF;FEM;SG
يولد	născut	وَلَّد	naște	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;INDF;MASC;SG
حرق	ard	حَرق	arde		V;IND;PL;3;PRS;FIN
حرق	arsură	حَرق	arsura		N;INDF;FEM;SG
حرق	burn	حَرق	burn		
حرق	arde	حَرق	arde		V;IND;SG;3;PRS;FIN
حرق	ard	حَرق	arde		V;IND;PL;3;PRS;FIN
حرق	ardere	حَرق	ardere		N;INDF;FEM;SG
حرق	arzând	حَرق	arde		V;V.MSDR
النيجر	niger	النيجر	niger		N;INDF;MASC;SG
نقش	gravură	نَقش	gravură	N;NOM;INDF;SG	N;INDF;FEM;SG
نقش	inscripţie	نَقش	inscripţie	N;NOM;INDF;SG	N;INDF;FEM;SG
فلورنسا	florenţa	فِلُورَنسَا	floreng		PROPN
فلورنسا	florența	فِلُورَنسَا	florență		N;DEF;FEM;SG
فلورنسا	florence	فِلُورَنسَا	florenc		PROPN
فلورنسا	florenta	فِلُورَنسَا	florent		N;DEF;FEM;SG
بورت	burt	بُورت	burt		PROPN
بورت	portul	بُورت	port		N;DEF;MASC;SG
بورت	port	بُورت	port		N;INDF;MASC;SG
مترجم	subtitrate	مُتَرجِم	subtitrate	N;NOM;INDF;SG	N;INDF;FEM;PL
جلسات	sesiunile	جَلسَة	sesiune	N;NOM;INDF;PL	N;DEF;FEM;PL
تام	tam	تَامّ	tăm	ADJ;NOM;INDF;MASC;SG	
القراءات	lecturi	قِرَاء	lectură	N;NOM;DEF;PL	N;INDF;FEM;PL
عال	high	عَالِي	high	N;NOM;INDF;SG	
عال	înaltă	عَالِي	înalt	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
عال	inalta	عَالِي	inalta	N;NOM;INDF;SG	ADJ;DEF;FEM;SG
عال	tare	عَالِي	tare	N;NOM;INDF;SG	ADV
مريض	pacienta	مَرِيض	pacientă	N;NOM;INDF;SG	N;DEF;FEM;SG
مريض	pacientul	مَرِيض	pacient	N;NOM;INDF;SG	N;DEF;MASC;SG
مريض	pacientă	مَرِيض	pacientă	N;NOM;INDF;SG	N;INDF;FEM;SG
مريض	bolnav	مَرِيض	bolnav	N;NOM;INDF;SG	ADJ;INDF;MASC;SG
مريض	bolnava	مَرِيض	bolnavă	N;NOM;INDF;SG	ADJ;DEF;FEM;SG
مريض	bolnavi	مَرِيض	bolnav	N;NOM;INDF;SG	N;INDF;MASC;PL
مريض	bolnavă	مَرِيض	bolnav	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
بطريق	pinguinul	بُطرِيق	pinguin	N;NOM;INDF;SG	N;DEF;MASC;SG
جرعة	doza	جُرعَة	doză	N;NOM;INDF;SG	N;DEF;FEM;SG
جرعة	doză	جُرعَة	doză	N;NOM;INDF;SG	N;INDF;FEM;SG
مثيرة	sexy	مُثِير	sexy	ADJ;NOM;INDF;FEM;SG	
مثيرة	sexi	مُثِير	sexi	ADJ;NOM;INDF;FEM;SG	
مثيرة	interesant	مُثِير	interesant	ADJ;NOM;INDF;FEM;SG	ADV
المقيمين	locuitori	مُقِيم	locuitor	ADJ;ACC;DEF;MASC;PL	N;INDF;MASC;PL
المقيمين	locuitorii	مُقِيم	locuitor	ADJ;ACC;DEF;MASC;PL	N;DEF;MASC;PL
المقيمين	rezidenți	مُقِيم	rezident	ADJ;ACC;DEF;MASC;PL	N;INDF;MASC;PL
المثالية	idealismul	المثالية	idealism	N;NOM;DEF;SG	N;DEF;MASC;SG
الشفاء	vindecare	شِفَاء	vindecare	N;NOM;DEF;SG	N;INDF;FEM;SG
الشفاء	vindecarea	شِفَاء	vindecare	N;NOM;DEF;SG	N;DEF;FEM;SG
شتاء	iarnă	شِتَاء	iarnă	N;NOM;INDF;SG	N;INDF;FEM;SG
شتاء	iarna	شِتَاء	iarnă	N;NOM;INDF;SG	N;DEF;FEM;SG
شرب	bea	شُرب	bea	N;NOM;INDF;SG	
شرب	băutură	شُرب	băutură	N;NOM;INDF;SG	N;INDF;FEM;SG
اكتساب	dobândi	اِكتِسَاب	dobândi	N;NOM;INDF;SG	V;IND;SG;3;PRS;FIN
اكتساب	achiziția	اِكتِسَاب	achiziție	N;NOM;INDF;SG	N;DEF;FEM;SG
اكتساب	achiziție	اِكتِسَاب	achiziție	N;NOM;INDF;SG	N;INDF;FEM;SG
ليوناردو	leonardo	ليوناردو	leonardo		PROPN
المتاحف	muzeele	مُتَاحَف	muzeu	N;NOM;DEF;PL	N;DEF;FEM;PL
المتاحف	muzee	مُتَاحَف	muzeu	N;NOM;DEF;PL	N;INDF;FEM;PL
بورما	burma	بُورمَا	burmă		PROPN
بورما	birmania	بُورمَا	birmanie		PROPN
بورما	birmanez	بُورمَا	birmanez		N;INDF;MASC;SG
سين	sen	سَين	sen		N;INDF;MASC;SG
النزاعات	conflictele	نِزَاع	conflict	N;NOM;DEF;PL	N;DEF;FEM;PL
النزاعات	conflicte	نِزَاع	conflict	N;NOM;DEF;PL	N;INDF;FEM;PL
النزاعات	disputele	نِزَاع	dispută	N;NOM;DEF;PL	N;DEF;FEM;PL
النزاعات	litigii	نِزَاع	litigiu	N;NOM;DEF;PL	N;INDF;FEM;PL
النزاعات	litigiile	نِزَاع	litigiu	N;NOM;DEF;PL	N;DEF;FEM;PL
النزاعات	dispute	نِزَاع	dispută	N;NOM;DEF;PL	N;INDF;FEM;PL
منتظم	regulată	مُنتَظِم	regulat	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
منتظم	regulate	مُنتَظِم	regulat	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;PL
منتظم	regulat	مُنتَظِم	regulat	ADJ;NOM;INDF;MASC;SG	ADV
الزكاة	zakat	زَكَاة	zakat	N;NOM;DEF;SG	N;INDF;MASC;SG
الجيولوجية	geologică	جِيُولُوجِيّ	geologic	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;FEM;SG
الجيولوجية	geologic	جِيُولُوجِيّ	geologic	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;MASC;SG
الجيولوجية	geologice	جِيُولُوجِيّ	geologic	ADJ;NOM;DEF;FEM;SG	ADJ;INDF;FEM;PL
رمزي	ramzi	رَمزِيّ	ramz		
رمزي	simbolic	رَمزِيّ	simbolic		ADV
رمزي	simbolică	رَمزِيّ	simbolic		ADJ;INDF;FEM;SG
استكشاف	explorarea	اِستِكشَاف	explorare	N;NOM;INDF;SG	N;DEF;FEM;SG
استكشاف	explorare	اِستِكشَاف	explorare	N;NOM;INDF;SG	N;INDF;FEM;SG
استكشاف	explorează	اِستِكشَاف	explora	N;NOM;INDF;SG	V;IND;3;PRS;FIN
