hovards	howard	hovards	howard	PROPN;NOM;MASC;SG	N;MASC;SG
normāli	normais	normāli	normal	ADV	ADJ;MASC;PL
normāli	normal	normāli	normal	ADV	ADJ;MASC;SG
omskas	omsk	omska	omsk	PROPN;NOM;FEM;SG	N;MASC;SG
alžīrijas	argelino	alžīrija	argelino	PROPN;NOM;FEM;SG	N;MASC;SG
alžīrijas	argelina	alžīrija	argelino	PROPN;NOM;FEM;SG	N;FEM;SG
alžīrijas	argélia	alžīrija	argélia	PROPN;NOM;FEM;SG	N;FEM;SG
alžīrijas	argelinos	alžīrija	argelino	PROPN;NOM;FEM;SG	N;MASC;PL
pīļu	pato	pīle	pato	N;GEN;FEM;PL	N;MASC;SG
pīļu	duck	pīle	duck	N;GEN;FEM;PL	N;MASC;SG
plūdi	enchente	plūdi	enchente	N;NOM;MASC	N;FEM;SG
plūdi	flood	plūdi	floodo	N;NOM;MASC	N;MASC;SG
plūdi	inundações	plūdi	inundação	N;NOM;MASC	N;FEM;PL
plūdi	dilúvio	plūdi	dilúvio	N;NOM;MASC	N;MASC;SG
plūdi	inundação	plūdi	inundação	N;NOM;MASC	N;FEM;SG
plūdi	enchentes	plūdi	enchente	N;NOM;MASC	N;FEM;PL
plūdi	inundação	plūdi	inundação	N;NOM;MASC	N;FEM;SG
plūdi	inundações	plūdi	inundação	N;NOM;MASC	N;FEM;PL
plūdi	enchentes	plūdi	enchente	N;NOM;MASC	N;FEM;PL
plūdi	cheias	plūdi	cheia	N;NOM;MASC	ADJ;FEM;PL
plūdi	inundações	plūdi	inundação	N;NOM;MASC	N;FEM;PL
anatolijas	anatólia	anatolija	anatólia	N;NOM;FEM;PL	N;FEM;SG
pavēle	ordens	pavēle	ordem	N;NOM;FEM;SG	N;FEM;PL
pavēle	encomendas	pavēle	encomenda	N;NOM;FEM;SG	N;FEM;PL
subtropu	subtropical	subtrops	subtropical	N;ACC;MASC;SG	ADJ;MASC;SG
subtropu	subtropicais	subtrops	subtropical	N;ACC;MASC;SG	N;MASC;PL
vectēvs	vô	vectēvs	vô	N;NOM;MASC;SG	V;IND;SG;1;PRS;FIN
kancelejas	papelaria	kanceleja	papelaria	N;NOM;FEM;PL	N;FEM;SG
bite	morder	bite	morder	N;NOM;FEM;SG	V;NFIN
bite	morde	bite	morde	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
bite	abelhas	bite	abelho	N;NOM;FEM;SG	N;FEM;PL
labot	edit	labot	edit	V;POS;NFIN	N;MASC;SG
zeppelin	zeppelin	zeppelin	zeppelin	PROPN	N;MASC;SG
debesis	heaven	debess	heaven	N;NOM;FEM;PL	N;MASC;SG
debesis	paraíso	debess	paraíso	N;NOM;FEM;PL	N;MASC;SG
debesis	céu	debess	céu	N;NOM;FEM;PL	N;MASC;SG
debesis	ceu	debess	ceu	N;NOM;FEM;PL	N;MASC;SG
debesis	sky	debess	sky	N;NOM;FEM;PL	N;MASC;SG
debesis	céu	debess	céu	N;NOM;FEM;PL	N;MASC;SG
padarīt	make	padarīt	make	V;POS;NFIN	N;FEM;SG
ieslodzīto	prisioneiro	ieslodzīt	prisioneiro	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;MASC;SG
ieslodzīto	prisioneira	ieslodzīt	prisioneira	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;FEM;SG
ieslodzīto	prisioneiras	ieslodzīt	prisioneiro	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;FEM;PL
ieslodzīto	presos	ieslodzīt	preso	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;MASC;PL
ieslodzīto	prisioneiros	ieslodzīt	prisioneiro	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP	N;MASC;PL
riks	rick	rikt	rick	PROPN;NOM;MASC;SG	N;MASC;SG
taisni	straight	taisni	straight	ADV	N;MASC;SG
taisni	hetero	taisni	hetero	ADV	N;MASC;SG
taisni	hétero	taisni	hétero	ADV	ADJ;MASC;SG
taisni	direto	taisni	direto	ADV	N;MASC;SG
saistība	relacionamentos	saistība	relacionamento	N;NOM;FEM;SG	N;MASC;PL
zaudējums	perdas	zaudējums	perda	N;NOM;MASC;SG	N;FEM;PL
patiešām	verdadeiramente	patiešām	verdadeiramente	PART	ADV
patiešām	realmente	patiešām	realmente	PART	ADV
dace	dace	dace	dace	PROPN;NOM;FEM;SG	N;MASC;SG
molekulā	moléculas	molekula	molécula	N;ESS;MASC;SG	N;FEM;PL
gali	gali	gals	gali	N;NOM;MASC;PL	N;MASC;SG
kristālu	cristais	kristāls	cristal	N;ACC;MASC;SG	N;MASC;PL
sarkanie	vermelhos	sarkans	vermelho	ADJ;NOM;MASC;PL	N;MASC;PL
ieslodzīts	encarcerados	ieslodzīt	encarcerar	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
