категория	الفئة	категория	فِئَة	N;INDF;FEM;SG	N;NOM;DEF;SG
като	مثل	като	مِثلَ	CONJ	ADP;NOM
като	لايك	като	لَايك	CONJ	
година	العام	година	عَام	N;INDF;FEM;SG	N;NOM;DEF;SG
година	السنه	година	سَنه	N;INDF;FEM;SG	N;NOM;DEF;SG
година	السنة	година	سَنَة	N;INDF;FEM;SG	N;NOM;DEF;SG
след	بعدما	след	بَعدَمَا	ADP	CONJ
това	هذا	този	هٰذَا	PRO;NOM;NEUT;SG	DET;NOM;MASC;SG
това	هذه	този	هٰذَا	PRO;NOM;NEUT;SG	DET;NOM;FEM;SG
български	البلغارية	български	بُلغَارِيّ	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
българия	بلغاريا	българия	بُلغَارِيَا	PROPN;INDF;FEM;SG	
част	الجزء	част	جُزء	N;INDF;FEM;SG	N;NOM;DEF;SG
години	السنين	година	سَنَة	N;INDF;FEM;PL	N;NOM;DEF;PL
години	السنوات	година	سَنَة	N;INDF;FEM;PL	N;NOM;DEF;PL
време	الزمن	време	زَمَن	N;INDF;NEUT;SG	N;NOM;DEF;SG
време	الوقت	време	وَقت	N;INDF;NEUT;SG	N;NOM;DEF;SG
време	الزمان	време	زَمَان	N;INDF;NEUT;SG	N;NOM;DEF;SG
със	w	със	!	ADP	
която	ايهما	който	ايهما	PRO;NOM;FEM;SG	
която	الذي	който	اَلَّذِي	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
която	والذي	който	والذي	PRO;NOM;FEM;SG	N;NOM;DEF;SG
което	ايهما	който	ايهما	PRO;NOM;NEUT;SG	
което	الذي	който	اَلَّذِي	PRO;NOM;NEUT;SG	DET;NOM;MASC;SG
което	والذي	който	والذي	PRO;NOM;NEUT;SG	N;NOM;DEF;SG
външни	الخارجية	външен	خَارِجِيَّة	ADJ;INDF;PL	N;NOM;DEF;SG
външни	خارجي	външен	خَارِجِيّ	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
външни	خارجية	външен	خَارِجِيَّة	ADJ;INDF;PL	N;NOM;INDF;SG
препратки	المراجع	препратка	المراجع	N;INDF;FEM;PL	N;NOM;DEF;PL
град	تاون	град	تَاون	N;INDF;MASC;SG	
град	المدينة	град	مَدِينَة	N;INDF;MASC;SG	N;NOM;DEF;SG
град	البلدة	град	بَلدَة	N;INDF;MASC;SG	N;NOM;DEF;SG
град	المدينه	град	المدينه	N;INDF;MASC;SG	
град	المدينة	град	مَدِينَة	N;INDF;MASC;SG	N;NOM;DEF;SG
град	سيتي	град	سِيتِي	N;INDF;MASC;SG	
много	جدا	много	جِدّ	ADV;INDF;PL	N;ACC;INDF;SG
много	كثير	много	كَثِير	ADV;INDF;PL	ADJ;NOM;INDF;MASC;SG
много	العديد	много	عَدِيد	ADV;INDF;PL	ADJ;NOM;DEF;MASC;SG
много	الكثيرون	много	كَثِير	ADV;INDF;PL	ADJ;NOM;DEF;MASC;PL
много	كثيرون	много	كَثِير	ADV;INDF;PL	ADJ;NOM;INDF;MASC;PL
много	الكثير	много	كَثِير	ADV;INDF;PL	ADJ;NOM;DEF;MASC;SG
също	كمان	също	كَمَان	ADV	
век	القرن	век	قَرن	N;INDF;MASC;SG	N;NOM;DEF;SG
село	القرية	село	قَريَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
един	احد	един	أَحَد	NUM;INDF;MASC;SG	N;NOM;INDF;SG
един	واحدة	един	وَاحِد	NUM;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
един	واحد	един	وَاحِد	NUM;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
един	واحده	един	واحده	NUM;INDF;MASC;SG	PRO;NOM;MASC;SG;3
около	حو	около	حو	ADP	
около	حولي	около	حَولَى	ADP	
софия	صوفيا	софия	صُوفِيَا	PROPN;INDF;FEM;SG	
други	اخرى	друг	آخَر	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
други	الاخرون	друг	آخَر	ADJ;INDF;PL	ADJ;NOM;DEF;MASC;PL
още	لسه	още	لسه	ADV	
още	المزيد	още	مَزِيد	ADV	N;NOM;DEF;SG
още	اكتر	още	أَكتَر	ADV	
още	اكثر	още	أَكثَر	ADV	ADJ;NOM;INDF;MASC;SG
още	مزيد	още	مَزِيد	ADV	N;NOM;INDF;SG
война	الحرب	война	حَرب	N;INDF;FEM;SG	N;NOM;DEF;SG
само	مجرد	само	مُجَرَّد	ADV	N;NOM;INDF;SG
област	الاقليم	област	إِقلِيم	N;INDF;FEM;SG	
област	اقليم	област	اقليم	N;INDF;FEM;SG	
област	المنطقة	област	مِنطَقَة	N;INDF;FEM;SG	N;NOM;DEF;SG
област	المنطقة	област	مِنطَقَة	N;INDF;FEM;SG	N;NOM;DEF;SG
област	المقاطعة	област	مُقَاطَعَة	N;INDF;FEM;SG	N;NOM;DEF;SG
област	المساحة	област	مِسَاحَة	N;INDF;FEM;SG	N;NOM;DEF;SG
област	المنطقة	област	مِنطَقَة	N;INDF;FEM;SG	N;NOM;DEF;SG
община	البلدية	община	بَلَدِيَّة	N;INDF;FEM;SG	N;NOM;DEF;SG
място	المكان	място	مَكَان	N;INDF;NEUT;SG	N;NOM;DEF;SG
място	الموقع	място	مَوقِع	N;INDF;NEUT;SG	N;NOM;DEF;SG
място	المكان	място	مَكَان	N;INDF;NEUT;SG	N;NOM;DEF;SG
когато	حين	когато	حِينَ	ADV	ADP;ACC
когато	عندما	когато	عِندَمَا	ADV	CONJ
когато	متى	когато	مَتَى	ADV	DET
вид	النوع	вид	نَوع	N;INDF;MASC;SG	N;NOM;DEF;SG
вид	الانواع	вид	نَوع	N;INDF;MASC;SG	N;NOM;DEF;PL
една	احد	един	أَحَد	NUM;INDF;FEM;SG	N;NOM;INDF;SG
една	واحدة	един	وَاحِد	NUM;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
една	واحد	един	وَاحِد	NUM;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
една	واحده	един	واحده	NUM;INDF;FEM;SG	PRO;NOM;MASC;SG;3
всички	كلهم	всеки	كلهم	PRO;NOM;PL	
всички	كله	всеки	كٰلِهَ	PRO;NOM;PL	
всички	جميع	всеки	جَمِيع	PRO;NOM;PL	N;NOM;INDF;SG
всички	كل	всеки	كُلّ	PRO;NOM;PL	N;NOM;INDF;SG
всички	الكل	всеки	كُلّ	PRO;NOM;PL	
всички	الجميع	всеки	جَمِيع	PRO;NOM;PL	N;NOM;DEF;SG
семейство	عائلي	семейство	عَائِلِيّ	N;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
семейство	الاسرة	семейство	أُسرَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
семейство	العائلة	семейство	عَائِلَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
македония	مقدونيا	македония	مَقدُونِيَا	PROPN;INDF;FEM;SG	
сащ	امريكا	сащ	أَمرِيكَا	PROPN;INDF;MASC;PL	
над	اعلاه	над	إِعلَاه	ADP	
него	له	аз	هُوَ	PRO;ACC;MASC;SG;3	
