月	μουν	月	μουν	N	
日	μερα	日	μερα	PROPN	N;NOM;FEM;SG
日	ημερα	日	ημερα	PROPN	N;NOM;FEM;SG
日	ημέρα	日	ημέρα	PROPN	N;NOM;FEM;SG
日	μέρα	日	μέρα	PROPN	N;ACC;FEM;SG
和	και	和	και	ADP	CONJ
人	φίλε	人	φίλομαι	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
人	φιλε	人	φίλομαι	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
小	αστεροειδής	小	αστεροειδής	PART	ADJ;NOM;MASC;SG
小	αστεροειδείς	小	αστεροειδής	PART	N;NOM;MASC;PL
小	αστεροειδής	小	αστεροειδής	PART	ADJ;NOM;MASC;SG
小	αστεροειδή	小	αστεροειδής	PART	N;NOM;MASC;SG
大	μεγάλη	大	μεγάλος	PART	ADJ;NOM;FEM;SG
大	μεγάλα	大	μεγάλος	PART	ADJ;NOM;NEUT;PL
大	μεγάλος	大	μεγάλος	PART	ADJ;NOM;MASC;SG
大	μεγάλο	大	μεγάλος	PART	ADJ;NOM;NEUT;SG
德	τακ	德	τακ	PROPN	N
重	βαρύς	重	βαρύς	N	ADJ;NOM;MASC;SG
重	βαριά	重	βαριός	N	ADV
重	βαρύτερο	重	βαράς	N	ADJ;NOM;CMPR;NEUT;SG
一	ένας	一	ένας	NUM	DET;NOM;INDF;MASC;SG
一	ενα	一	ένας	NUM	N;NOM;NEUT;SG
定	προσανατολισμός	定	προσανατολισμός	V	N;NOM;MASC;SG
定	προσανατολισμό	定	προσανατολισμός	V	N;ACC;MASC;SG
但	αλλά	但	αλλά	ADV	CONJ
拉	τράβα	拉	τράβα		V;IPFV;IND;SG;1;PRS;FIN;ACT
市	city	市	city	N	
克	γραμμάρια	克	γραμμάριο	PROPN	N;NOM;NEUT;PL
新	νεα	新	νέος	PART	N;NOM;FEM;SG
新	νέο	新	νέος	PART	ADJ;ACC;NEUT;SG
新	νέα	新	νέος	PART	ADJ;NOM;NEUT;PL
新	νέος	新	νέος	PART	ADJ;NOM;MASC;SG
站	σταθεί	站	στέκω	N	V;PFV;NFIN;PASS
站	stand	站	stand	N	
州	state	州	state	N	
研究	μελέτη	研究	μελέτη	V	N;NOM;FEM;SG
研究	μελέτες	研究	μελέτα	V	N;NOM;FEM;PL
研究	σπουδές	研究	σπουδός	V	N;NOM;FEM;PL
研究	έρευνα	研究	έρευνα	V	N;NOM;FEM;SG
研究	ερευνα	研究	ερευνα	V	N;NOM;FEM;SG
研究	έρευνες	研究	έρευνα	V	N;NOM;FEM;PL
日本	ιαπωνίας	日本	ιαπωνία	PROPN	PROPN;GEN;FEM;SG
日本	ιαπωνία	日本	ιαπωνία	PROPN	PROPN;ACC;FEM;SG
三	three	三	three	NUM	
前	πριν	前	πριν	N	ADV
近	κοντά	近	κοντά		ADV
近	κοντα	近	κοντα		N;NOM;FEM;SG
米	ράις	米	ράις	N	
多	περισσότερο	多	πολύ		ADV;CMPR
多	περισσότεροι	多	πολύς		ADJ;NOM;CMPR;MASC;PL
多	πιο	多	πιο		ADV
多	περισσότερες	多	πολύς		ADJ;NOM;CMPR;FEM;PL
多	περισσότερα	多	πολύς		ADJ;NOM;CMPR;NEUT;PL
使用	χρήση	使用	χρήση	V	N;ACC;FEM;SG
使用	χρησιμοποίηση	使用	χρησιμοποίηση	V	N;ACC;FEM;SG
使用	χρησιμοποιούμενα	使用	χρησιμοποιούμενος	V	ADV
使用	χρησιμοποιούμενες	使用	χρησιμοποιούμενος	V	ADJ;NOM;FEM;PL
基	kei	基	kei	V	
王	βασιλεύς	王	βασιλής	PROPN	N;NOM;MASC;SG
王	βασιλιάς	王	βασιλιάς	PROPN	N;NOM;MASC;SG
王	κινγκ	王	κινγκ	PROPN	
王	βασιλιά	王	βασιλιάς	PROPN	N;ACC;MASC;SG
王	king	王	king	PROPN	
王	wang	王	wang	PROPN	
王	γουάνγκ	王	γουάνγκ	PROPN	
林	λαμ	林	λαμ	PROPN	
林	λιν	林	λιν	PROPN	
公司	εταιρική	公司	εταιρικός	N	ADJ;NOM;FEM;SG
公司	εταιρικά	公司	εταιρικά	N	ADV
李	λι	李	λι	PROPN	
李	λη	李	λος	PROPN	
一	ένας	一	ένας	NUM	DET;NOM;INDF;MASC;SG
一	ενα	一	ένας	NUM	N;NOM;NEUT;SG
西	δυτικά	西	δυτικά	N	ADV
西	δυτική	西	δυτικός	N	ADJ;NOM;FEM;SG
西	γουέστ	西	γουέστ	N	
卡	τράπουλα	卡	τράπουλα	PROPN	N;NOM;FEM;SG
卡	χαρτιά	卡	χαρτιά	PROPN	ADV
卡	κάρτες	卡	κάρτες	PROPN	N;NOM;FEM;PL
卡	φύλλα	卡	φύλλο	PROPN	N;NOM;NEUT;PL
卡	κάρτα	卡	κάρτα	PROPN	N;NOM;FEM;SG
二	two	二	two	NUM	
小	μικρή	小	μικρός	PART	ADJ;NOM;FEM;SG
小	μικρό	小	μικρός	PART	ADJ;NOM;NEUT;SG
小	μικρές	小	μικρός	PART	ADJ;NOM;FEM;PL
小	μικρός	小	μικρός	PART	ADJ;NOM;MASC;SG
小	μικρά	小	μικρός	PART	ADV
小	μικρή	小	μικρός	PART	ADJ;NOM;FEM;SG
小	little	小	little	PART	
小	μικρό	小	μικρός	PART	ADJ;NOM;NEUT;SG
小	μικροσκοπική	小	μικροσκοπικός	PART	ADJ;NOM;FEM;SG
小	μικροσκοπικό	小	μικροσκοπικός	PART	ADJ;NOM;NEUT;SG
小	μικροσκοπικά	小	μικροσκοπικά	PART	ADV
相似	παρόμοιο	相似	παρόμοιος	V	N;NOM;NEUT;SG
相似	παρόμοιες	相似	παρόμοιος	V	ADJ;NOM;FEM;PL
相似	παρόμοιος	相似	παρόμοιος	V	ADJ;NOM;MASC;SG
相似	παρόμοια	相似	παρόμοιος	V	ADV
相似	ομοιότητα	相似	ομοιότητα	V	N;ACC;FEM;SG
相似	ομοιότητα	相似	ομοιότητα	V	N;ACC;FEM;SG
人口	δημογραφικά	人口	δημογραφικά	N	ADV
人口	δημογραφικές	人口	δημογραφικός	N	ADJ;NOM;FEM;PL
人口	δημογραφική	人口	δημογραφικός	N	ADJ;NOM;FEM;SG
人口	δημογραφικά	人口	δημογραφικά	N	ADV
四	four	四	four	NUM	
四	τεσσερα	四	τέσσερις	NUM	N;NOM;NEUT;PL
將	γουίλ	將	γουίλ	V;CAUS	
將	will	將	will	V;CAUS	
將	θα	將	θα	V;CAUS	PART
高	high	高	high	PROPN	
高	ψηλά	高	ψηλώ	PROPN	ADV
高	υψηλή	高	ψηλός	PROPN	ADJ;NOM;FEM;SG
高	υψηλός	高	υψηλός	PROPN	ADJ;NOM;MASC;SG
高	υψηλό	高	ψηλός	PROPN	ADJ;NOM;NEUT;SG
高	ψηλή	高	ψηλός	PROPN	ADJ;NOM;FEM;SG
高	ψηλό	高	ψηλός	PROPN	ADJ;NOM;NEUT;SG
高	ψηλός	高	ψηλός	PROPN	ADJ;NOM;MASC;SG
高	ψηλοί	高	ψηλός	PROPN	ADJ;NOM;MASC;PL
高	γκάο	高	γκάο	PROPN	N
美國	αμερική	美國	αμερικός	PROPN	PROPN;ACC;FEM;SG
集	σετ	集	σετ	N	
台灣	ταϊβάν	台灣	ταϊβάν	PROPN	
布	πανί	布	πανί		N;NOM;NEUT;SG
布	ύφασμα	布	ύφασμα		N;NOM;NEUT;SG
世界	world	世界	world	N	
南	ναν	南	ναν	N	
南	νότιο	南	νότιος	N	ADJ;NOM;NEUT;SG
南	νότια	南	νότιος	N	ADV
南	ναμ	南	ναμ	N	
路	road	路	road	N	
五	five	五	five	NUM	
本	μπεν	本	μπεν		
本	ben	本	ben		
本	μπέν	本	μπέν		
金	jin	金	jin	PROPN	
金	τζιν	金	τζεν	PROPN	N;NOM;NEUT;SG
金	χρυσός	金	χρυσός	PROPN	N;NOM;MASC;SG
金	χρυσό	金	χρυσός	PROPN	
金	χρυσο	金	χρύσος	PROPN	N;NOM;NEUT;SG
金	χρυσάφι	金	χρυσάφι	PROPN	N;NOM;NEUT;SG
金	χρυσά	金	χρυσάς	PROPN	N;NOM;NEUT;PL
金	κιμ	金	κιμ	PROPN	PROPN;NOM;MASC;SG
金	k	金	k	PROPN	
曾	ζενγκ	曾	ζενγκ	ADV	N
林	λίνκολν	林	λίνκολν	PROPN	N;NOM;NEUT;SG
包括	συμπερίληψη	包括	συμπερίληψη	V	N;ACC;FEM;SG
峰	κορύφωση	峰	κορύφωση	PROPN	N;ACC;FEM;SG
峰	κορυφή	峰	κορυφή	PROPN	N;ACC;FEM;SG
峰	αιχμή	峰	αιχμή	PROPN	N;NOM;FEM;SG
峰	κορυφές	峰	κορυφή	PROPN	N;NOM;FEM;PL
其他	λοιπά	其他	λοιπός	DET	ADV
其他	αλλα	其他	αλλα	DET	ADV
其他	άλλες	其他	άλλος	DET	PRO;NOM;FEM;PL;3
其他	άλλα	其他	άλλος	DET	PRO;NOM;NEUT;PL;3
其他	άλλους	其他	άλλος	DET	PRO;NOM;MASC;PL;3
其他	άλλοι	其他	άλλος	DET	PRO;NOM;MASC;PL;3
其他	λοιποί	其他	λοιπός	DET	ADJ;NOM;MASC;PL
其他	αλλοι	其他	αλλος	DET	PRO;NOM;MASC;PL;3
其他	άλλα	其他	άλλος	DET	PRO;NOM;NEUT;PL;3
縣	νομό	縣	νομός	N	ADV
第一	πρώτο	第一	πρώτος	NUM	NUM;NOM;NEUT;SG
第一	πρώτον	第一	πρώτον	NUM	ADV
第一	πρώτη	第一	πρώτος	NUM	NUM;NOM;FEM;SG
第一	πρώτα	第一	πρώτα	NUM	ADV
第一	πρώτος	第一	πρώτος	NUM	NUM;NOM;MASC;SG
時間	χρονος	時間	χρονος	N	DET;NOM;DEF;MASC;SG
比	αναλογία	比	αναλογία	ADP	N;ACC;FEM;SG
元	μέτα	元	μέτα	PROPN	N
元	meta	元	meta	PROPN	
元	γουάν	元	γουάν	PROPN	
元	γιουάν	元	γιουάν	PROPN	
元	δολλάριο	元	δολλάριο	PROPN	N;NOM;NEUT;SG
元	δολάριο	元	δολάριο	PROPN	N;NOM;NEUT;SG
元	κέρδισα	元	κέρδισα	PROPN	V;PFV;IND;SG;1;PST;FIN;ACT
元	γουόν	元	γουόν	PROPN	
元	κέρδισε	元	κερδίζω	PROPN	V;PFV;IND;SG;3;PST;FIN;ACT
中國	κίνα	中國	κίνα	PROPN	PROPN;ACC;FEM;SG
六	six	六	six	NUM	
主要	ταγματάρχης	主要	ταγματάρχης	ADV	N;NOM;MASC;SG
主要	ταγματάρχη	主要	ταγματάρχης	ADV	N;ACC;MASC;SG
城	city	城	city	N	
城	κάστρο	城	κάστρο	N	PROPN;NOM;NEUT;SG
城	castle	城	castle	N	
法	τροπος	法	τροπος	PROPN	N;NOM;MASC;SG
法	μέθοδος	法	μέθοδος	PROPN	N;NOM;FEM;SG
中心	center	中心	center	N	
線	line	線	line	N	
第二	δεύτερο	第二	δεύτερος	NUM	NUM;NOM;NEUT;SG
第二	δεύτερος	第二	δεύτερος	NUM	NUM;NOM;MASC;SG
第二	δεύτερη	第二	δεύτερος	NUM	NUM;NOM;FEM;SG
山	ορεινή	山	ορεινός	N	ADJ;NOM;FEM;SG
山	μάουντεν	山	μάουντεν	N	
山	χιλ	山	χιλ	N	
山	hill	山	hill	N	
加	προσθήκη	加	προσθήκη	ADP	N
加	προσθέστε	加	προσθέτω	ADP	V;PFV;IMP;PL;2;FIN;ACT
加	συν	加	συν	ADP	N
加	plus	加	plus	ADP	
太空	space	太空	space	N	
張	τσανγκ	張	τσανγκ	PROPN	
張	ζανγκ	張	ζανγκ	PROPN	
主	άρχοντα	主	άρχω	PART	N;ACC;MASC;SG
主	άρχοντας	主	άρχω	PART	V;IPFV;V.CVB;ACT
雷	ρέι	雷	ρέγω	PROPN	
雷	ρει	雷	ρεις	PROPN	
雷	ray	雷	ray	PROPN	
管理	διοίκηση	管理	διοίκηση	V	N;ACC;FEM;SG
管理	διαχείρισης	管理	διαχείριση	V	N;GEN;FEM;SG
管理	διαχείριση	管理	διαχείριση	V	N;NOM;FEM;SG
管理	διαχείριση	管理	διαχείριση	V	N;NOM;FEM;SG
管理	διαχείριση	管理	διαχείριση	V	N;NOM;FEM;SG
成	γίνε	成	γίνομαι	V	V;IPFV;IND;SG;1;PRS;FIN;PASS
性	σεξουαλικά	性	σεξουαλικά	N	ADV
性	σεξουαλική	性	σεξουαλικός	N	ADJ;NOM;FEM;SG
性	σεξουαλικός	性	σεξουαλικός	N	ADJ;NOM;MASC;SG
性	σεξουαλικό	性	σεξουαλικός	N	ADJ;NOM;NEUT;SG
性	σεξ	性	σεξ	N	
性	sex	性	sex	N	
成	σανγκ	成	σανγκ	V	N
成	σουνγκ	成	σουνγκ	V	N
代表	αντιπροσωπευτική	代表	αντιπροσωπευτικός	N	ADJ;NOM;FEM;SG
代表	αντιπροσωπευτικές	代表	αντιπροσωπευτικός	N	ADJ;NOM;FEM;PL
那	τότε	那	τότε	PRO	ADV
那	μετά	那	μετά	PRO	ADV
海	ωκεανός	海	ωκεανός	N	PROPN;NOM;MASC;SG
大學	univers	大學	univers	N	
大學	college	大學	college	N	
羅	λούο	羅	λούος	PROPN	N
原	αυθεντικό	原	αυθεντικός	PART	ADJ;NOM;NEUT;SG
原	αρχική	原	αρχικός	PART	ADJ;NOM;FEM;SG
原	πρωτότυπο	原	πρωτότυπο	PART	N;NOM;NEUT;SG
原	αρχικό	原	αρχικός	PART	ADJ;NOM;NEUT;SG
原	αρχικός	原	αρχικός	PART	ADJ;NOM;MASC;SG
原	χάρα	原	χάρα	PART	
工作	δουλεύοντας	工作	δουλεύω	N	V;IPFV;V.CVB;ACT
北	kita	北	kita	N	
北	βόρεια	北	βόρεια	N	ADV
政治	πολιτικά	政治	πολιτικός	N	ADV
政治	πολιτικό	政治	πολιτικός	N	ADJ;NOM;NEUT;SG
星	star	星	star	N	
星	σταρ	星	σταρ	N	
星	stars	星	stars	N	
陳	chen	陳	chen	PROPN	
陳	τσεν	陳	τσεν	PROPN	NUM;NOM;MASC;SG
陳	τσαν	陳	τσαν	PROPN	
作品	εργάζεται	作品	εργάζομαι	N	V;IPFV;IND;SG;3;PRS;FIN;PASS
作品	δουλεύει	作品	δουλεύω	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
河	ρίβερ	河	ρίβερ	N	
文化	κουλτούρες	文化	κουλτούρα	N	ADJ;NOM;FEM;PL
馬	ίππος	馬	ίππος	N	ADJ;NOM;MASC;SG
更	περισσότεροι	更	πολύς	ADV	ADJ;NOM;CMPR;MASC;PL
更	περισσότερες	更	πολύς	ADV	ADJ;NOM;CMPR;FEM;PL
更	περισσότερα	更	πολύς	ADV	ADJ;NOM;CMPR;NEUT;PL
曼	μαν	曼	μαν	PROPN	
曼	mann	曼	mann	PROPN	
季	σεζον	季	σεζον	N	
正式	επίσημο	正式	επίσημος	ADV	ADJ;NOM;NEUT;SG
正式	επίσημη	正式	επίσημος	ADV	ADJ;NOM;FEM;SG
正式	πανηγυρική	正式	πανηγυρικός	ADV	ADJ;NOM;FEM;SG
外	έξω	外	έξω	N	ADV
外	εξω	外	εξω	N	ADV
明	μινγκ	明	μινγκ	PROPN	
美	πανέμορφη	美	πανέμορφος	PROPN	N;NOM;FEM;SG
美	όμορφη	美	όμορφος	PROPN	ADJ;NOM;FEM;SG
美	ομορφιά	美	ομορφιά	PROPN	N;NOM;FEM;SG
因為	επειδή	因為	επειδή	ADP	CONJ
因為	γιατί	因為	γιατί	ADP	CONJ
北京	πεκίνο	北京	πεκίνο	PROPN	
北京	πεκίνο	北京	πεκίνο	PROPN	
不同	διαφορετικά	不同	διαφορετικά	ADJ	ADV
足球	φούτμπολ	足球	φούτμπολ	N	
足球	football	足球	football	N	
目前	τρέχουσα	目前	τρέχων	N	ADJ;NOM;FEM;SG
目前	τρέχουσες	目前	τρέχων	N	ADJ;NOM;FEM;PL
目前	τρέχον	目前	τρέχον	N	ADJ;NOM;NEUT;SG
所有	ολα	所有	όλος	DET	ADV
所有	όλοι	所有	όλος	DET	ADJ;NOM;MASC;PL
所有	όλες	所有	όλος	DET	ADJ;NOM;FEM;PL
所有	όλα	所有	όλος	DET	ADJ;NOM;NEUT;PL
部分	μερική	部分	μερικοί	N	ADJ;NOM;FEM;SG
部分	μερικώς	部分	μερικώς	N	ADV
中央	κεντρικό	中央	κεντρικός	N	ADJ;NOM;NEUT;SG
中央	κεντρική	中央	κεντρικός	N	ADJ;NOM;FEM;SG
中央	κεντρικός	中央	κεντρικός	N	ADJ;NOM;MASC;SG
中央	central	中央	central	N	
森	σεν	森	σεν	PROPN	
森	mori	森	mori	PROPN	
森	μόρι	森	μόρι	PROPN	
郡	νομό	郡	νομός	N	ADV
國家	state	國家	state	N	
國家	εθνικός	國家	εθνικός	N	ADJ;NOM;MASC;SG
國家	εθνικό	國家	εθνικός	N	ADJ;NOM;NEUT;SG
國家	εθνικη	國家	εθνικη	N	ADJ;NOM;FEM;SG
國家	εθνική	國家	εθνικός	N	ADJ;NOM;FEM;SG
但是	αλλά	但是	αλλά	ADV	CONJ
街	στριτ	街	στριτ	N	
提供	παρεχόμενες	提供	παρεχόμενος	V	ADJ;NOM;FEM;PL
提供	παρεχόμενη	提供	παρεχόμενος	V	ADJ;NOM;FEM;SG
城市	city	城市	city	N	
一些	μερικές	一些	μερικοί	ADJ	PRO;NOM;FEM;PL;3
一些	κάποια	一些	κάποιος	ADJ	PRO;NOM;NEUT;PL;3
一些	κάποιοι	一些	κάποιος	ADJ	PRO;NOM;MASC;PL;3
一些	μερικοί	一些	μερικοί	ADJ	PRO;NOM;MASC;PL;3
一些	μερικά	一些	μερικοί	ADJ	PRO;NOM;NEUT;PL;3
長	μακρύς	長	μακρύς	PART	ADJ;NOM;MASC;SG
長	μακρύ	長	μακρύς	PART	N;NOM;NEUT;SG
長	λονγκ	長	λονγκ	PART	
長	long	長	long	PART	
水	ύδωρ	水	ύδωρ	N	PROPN;NOM;MASC;SG
加入	προσχώρηση	加入	προσχώρηση	V	N;ACC;FEM;SG
加入	ένταξη	加入	ένταξη	V	N;ACC;FEM;SG
加入	προσχώρησης	加入	προσχώρηση	V	N;GEN;FEM;SG
英	γινγκ	英	γινγκ	PROPN	N
上海	σαγκάη	上海	σαγκάλ	PROPN	PROPN;NOM;FEM;SG
第三	τρίτον	第三	τρίτος	NUM	NUM;NOM;NEUT;SG
第三	τρίτο	第三	τρίτος	NUM	NUM;NOM;NEUT;SG
第三	τρίτη	第三	τρίτος	NUM	NUM;NOM;FEM;SG
第三	τρίτος	第三	τρίτος	NUM	NUM;NOM;MASC;SG
