категорія	luokan	категорія	luokka	N;INAN;NOM;FEM;SG	N;GEN;SG
від	alkaen	від	alkaen	ADP;GEN	ADV
від	from	від	from	ADP;GEN	
від	vid	від	vid	ADP;GEN	N;NOM;SG
для	varten	для	varten	ADP;GEN	ADV
про	noin	про	noin	ADP;ACC	ADV
його	hänen	він	hän	PRO;ACC;MASC;SG;3	PRO;GEN;SG;3
його	sen	він	se	PRO;ACC;MASC;SG;3	PRO;GEN;SG
був	oliko	бути	olla	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN;ACT
був	ollut	бути	olla	V;IPFV;MASC;IND;SG;PST;FIN	V;NOM;SG;V.PTCP;ACT
був	ollu	бути	olla	V;IPFV;MASC;IND;SG;PST;FIN	V;NOM;SG;V.PTCP;ACT
був	oltu	бути	olla	V;IPFV;MASC;IND;SG;PST;FIN	V;NOM;SG;V.PTCP;ACT
населення	väestön	населення	väestö	N;INAN;NOM;NEUT;SG	N;GEN;SG
було	oliko	бути	olla	V;IPFV;NEUT;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN;ACT
було	ollut	бути	olla	V;IPFV;NEUT;IND;SG;PST;FIN	V;NOM;SG;V.PTCP;ACT
було	ollu	бути	olla	V;IPFV;NEUT;IND;SG;PST;FIN	V;NOM;SG;V.PTCP;ACT
було	oltu	бути	olla	V;IPFV;NEUT;IND;SG;PST;FIN	V;NOM;SG;V.PTCP;ACT
він	wien	він	wien	PRO;NOM;MASC;SG;3	PROPN;NOM;SG
під	alta	під	alta	ADP;ACC	ADV
під	alle	під	alle	ADP;ACC	ADV
під	alla	під	alla	ADP;ACC	ADV
після	jälkeen	після	jälkeen	ADP;GEN	ADV
після	after	після	after	ADP;GEN	
час	aikoja	час	aika	N;INAN;NOM;MASC;SG	N;PRT;PL
час	ajat	час	aika	N;INAN;NOM;MASC;SG	N;NOM;PL
час	kertaa	час	kerta	N;INAN;NOM;MASC;SG	N;PRT;SG
час	times	час	times	N;INAN;NOM;MASC;SG	
час	ajan	час	aika	N;INAN;NOM;MASC;SG	N;GEN;SG
час	aikaa	час	aika	N;INAN;NOM;MASC;SG	N;PRT;SG
області	alueilla	область	alue	N;INAN;GEN;FEM;SG	N;AT+ESS
;PL
області	alueet	область	alue	N;INAN;GEN;FEM;SG	N;NOM;PL
які	jonka	який	joka	DET;NOM;PL	PRO;GEN;SG
які	joka	який	joka	DET;NOM;PL	PRO;NOM;SG
які	jota	який	joka	DET;NOM;PL	PRO;PRT;SG
які	johon	який	joka	DET;NOM;PL	PRO;IN+ALL;SG
які	jotka	який	joka	DET;NOM;PL	PRO;NOM;PL
при	pri	при	pri	ADP;ESS	N;NOM;SG
який	jonka	який	joka	DET;NOM;MASC;SG	PRO;GEN;SG
який	joka	який	joka	DET;NOM;MASC;SG	PRO;NOM;SG
який	jota	який	joka	DET;NOM;MASC;SG	PRO;PRT;SG
який	johon	який	joka	DET;NOM;MASC;SG	PRO;IN+ALL;SG
який	jotka	який	joka	DET;NOM;MASC;SG	PRO;NOM;PL
була	oliko	бути	olla	V;IPFV;FEM;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN;ACT
були	ollut	бути	olla	V;IPFV;IND;PL;PST;FIN	V;NOM;SG;V.PTCP;ACT
були	ollu	бути	olla	V;IPFV;IND;PL;PST;FIN	V;NOM;SG;V.PTCP;ACT
були	oltu	бути	olla	V;IPFV;IND;PL;PST;FIN	V;NOM;SG;V.PTCP;ACT
були	olivat	бути	olla	V;IPFV;IND;PL;PST;FIN	V;IND;PL;3;PST;FIN;ACT
були	olivatko	бути	olla	V;IPFV;IND;PL;PST;FIN	V;IND;PL;3;PST;FIN;ACT
осіб	henkilöitä	особа	henkilö	N;ANIM;ACC;FEM;PL	N;PRT;PL
осіб	henkilöt	особа	henkilö	N;ANIM;ACC;FEM;PL	N;NOM;PL
осіб	henkilöiden	особа	henkilö	N;ANIM;ACC;FEM;PL	N;GEN;PL
міста	kaupunkeja	місто	kaupunki	N;INAN;NOM;NEUT;SG	N;PRT;PL
міста	kaupunkien	місто	kaupunki	N;INAN;NOM;NEUT;SG	N;GEN;PL
міста	kaupungit	місто	kaupunki	N;INAN;NOM;NEUT;SG	N;NOM;PL
див	nää	див.	tämä		PRO;NOM;PL
див	katso	див.	katsoa		V;IMP;SG;2;FIN;ACT
село	kylän	село	kylä	N;INAN;NOM;NEUT;SG	N;GEN;SG
село	kylässä	село	kylä	N;INAN;NOM;NEUT;SG	N;IN+ESS;SG
село	kyl	село	kyllä	N;INAN;NOM;NEUT;SG	ADV
через	kautta	через	kautta	ADP;ACC	ADV
через	via	через	via	ADP;ACC	N;NOM;SG
через	kautta	через	kautta	ADP;ACC	ADV
через	läpi	через	läpi	ADP;ACC	ADV
села	kylien	село	kylä	N;INAN;NOM;NEUT;SG	N;GEN;PL
села	kyliä	село	kylä	N;INAN;NOM;NEUT;SG	N;PRT;PL
так	kyllä	так	kyllä	INTJ	ADV
рік	rick	рік	rick	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
рік	vuoden	рік	vuosi	N;INAN;NOM;MASC;SG	N;GEN;SG
рік	vuonna	рік	vuosi	N;INAN;NOM;MASC;SG	N;FRML;SG
ради	neuvosto	рада	neuvosto	N;INAN;NOM;FEM;PL	N;NOM;SG
сша	usa	сШа	usa	PROPN;INAN;GEN	N;NOM;SG
сша	yhdysvaltojen	сШа	yhdysvallat	PROPN;INAN;GEN	N;GEN;PL
має	täytyy	мати	täytyä	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
яка	mitä	який	mikä	DET;NOM;FEM;SG	PRO;PRT;SG
яка	mikä	який	mikä	DET;NOM;FEM;SG	PRO;NOM;SG
яка	jonka	який	joka	DET;NOM;FEM;SG	PRO;GEN;SG
яка	joka	який	joka	DET;NOM;FEM;SG	PRO;NOM;SG
яка	jota	який	joka	DET;NOM;FEM;SG	PRO;PRT;SG
яка	johon	який	joka	DET;NOM;FEM;SG	PRO;IN+ALL;SG
яка	jotka	який	joka	DET;NOM;FEM;SG	PRO;NOM;PL
вони	ne	вони	se	PRO;NOM;PL;3	PRO;NOM;PL
сайті	sivuston	сайт	sivusto	N;INAN;DAT;MASC;SG	N;GEN;SG
сайті	sivusto	сайт	sivusto	N;INAN;DAT;MASC;SG	N;NOM;SG
сайті	verkkosivusto	сайт	verkko#sivusto	N;INAN;DAT;MASC;SG	N;NOM;SG
близько	sulje	близько	sulkea	ADV	V;IMP;SG;2;FIN;ACT
війни	sodat	війна	sota	N;INAN;NOM;FEM;SG	N;NOM;PL
війни	sotia	війна	sota	N;INAN;NOM;FEM;SG	N;PRT;PL
