το	els	ο	el	DET;NOM;DEF;NEUT;SG	DET;DEF;MASC;PL
από	from	από	from	ADP	
ήταν	fou	είμαι	ser	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;3;IPFV;FIN
ένα	one	ένας	one	NUM;NOM;NEUT;SG	
ότι	aixo	ότι	aixo	CONJ	
μια	one	ένας	one	NUM;NOM;FEM;SG	
θα	will	θα	will	PART	PROPN
θα	voluntat	θα	voluntat	PART	N;FEM;SG
μετά	after	μετά	after	ADV	
όπως	com	όπως	com	ADV	CONJ
όπως	like	όπως	like	ADV	
είχε	havien	έχω	haver	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
αυτό	aquesta	αυτός	aquest	PRO;NOM;NEUT;SG;3	DET;FEM;SG
αυτό	aquest	αυτός	aquest	PRO;NOM;NEUT;SG;3	DET;MASC;SG
αυτό	aixo	αυτός	aixo	PRO;NOM;NEUT;SG;3	
αυτό	que	αυτός	que	PRO;NOM;NEUT;SG;3	CONJ
αυτή	ella	αυτός	ell	PRO;NOM;FEM;SG;3	PRO;FEM;SG;3
όπου	on	όπου	on	ADV	PRO
μέχρι	fins	μέχρι	fins	ADP	ADV
μία	one	ένας	one	NUM;NOM;FEM;SG	
μπορεί	can	μπορώ	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	
πρώτη	primer	πρώτος	primer	NUM;NOM;FEM;SG	ADJ;MASC;SG
πρώτη	primera	πρώτος	primer	NUM;NOM;FEM;SG	ADJ;FEM;SG
πρώτη	primers	πρώτος	primer	NUM;NOM;FEM;SG	ADJ;MASC;PL
ένας	one	ένας	one	DET;NOM;INDF;MASC;SG	
σύνδεσμοι	enllaços	σύνδεσμος	enllaç	N;ACC;MASC;SG	N;MASC;PL
έγινε	fet	γίνομαι	fet	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ;MASC;SG;V.PTCP
κάθε	cadascú	κάθε	cadascú	PRO;ACC;FEM;SG;3	
αθήνα	atenes	αθήνα	atena	PROPN;ACC;FEM;SG	
όνομα	nom	όνομα	nom	N;NOM;NEUT;SG	
