인피니티	nieskończoność	인피니티	nieskończoność		N;NOM;FEM;SG
호흡	oddychać	호흡	oddychać	N	V;IPFV;NFIN;ACT
호흡	oddechowych	호흡	oddechowy	N	ADJ;GEN;MASC;PL
호흡	oddycha	호흡	oddychać	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
호흡	oddychać	호흡	oddychać	N	V;IPFV;NFIN;ACT
경쟁력	konkurencyjna	경쟁력	konkurencyjny	N	ADJ;NOM;FEM;SG
경쟁력	konkurencyjne	경쟁력	konkurencyjny	N	ADJ;NOM;NEUT;SG
경쟁력	konkurencyjny	경쟁력	konkurencyjny	N	ADJ;NOM;MASC;SG
경쟁력	konkurencyjnych	경쟁력	konkurcyjnyjny	N	ADJ;GEN;MASC;PL
불완전한	niedoskonałe	불완전+하+ㄴ	niedoskonały	V	ADJ;NOM;NEUT;SG
캐럴	carol	캐+아+내+ㄹ	carol		PROPN;NOM;FEM;SG
캐럴	carroll	캐+아+내+ㄹ	carroll		PROPN;NOM;MASC;SG
파이브	pięciu	파이브	pięć		NUM;ACC;MASC;PL
파이브	pięć	파이브	pięć		NUM;ACC;MASC;PL
루피	rupia	루피	rupia		N;NOM;FEM;SG
사라예보	sarajewie	사라예보	sarajewie	PROPN	V;IPFV;IND;SG;1;PRS;FIN;ACT
모닝	rano	모닝	rano		ADV
모닝	poranek	모닝	poranek		N;ACC;MASC;SG
카린	karin	카리+ㄴ	karina		PROPN;NOM;FEM;SG
페루자	perugia	페루+자	perugia	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
악당	łotr	악당	łotr		N;NOM;MASC;SG
인디언스	indian	인디언스	indian	PROPN	
인디언스	indianie	인디언스	indiana	PROPN	N;NOM;MASC;PL
합법적인	legalnie	합법+적+이+ㄴ	legalnie	V	ADV
합법적인	legalny	합법+적+이+ㄴ	legalny	V	ADJ;NOM;MASC;SG
합법적인	legalna	합법+적+이+ㄴ	legalny	V	ADJ;NOM;FEM;SG
합법적인	legalne	합법+적+이+ㄴ	legalny	V	ADJ;NOM;NEUT;SG
합법적인	legalnie	합법+적+이+ㄴ	legalnie	V	ADV
합법적인	prawny	합법+적+이+ㄴ	prawny	V	ADJ;NOM;MASC;SG
합법적인	prawne	합법+적+이+ㄴ	prawny	V	ADJ;NOM;NEUT;SG
합법적인	legalne	합법+적+이+ㄴ	legalny	V	ADJ;NOM;NEUT;SG
나미비아	mołdawia	나미비아	mołdawiać	PROPN	N;NOM;FEM;SG
나미비아	namibii	나미비아	namibia	PROPN	
휴식	break	휴식	break	N	
휴식	przerwa	휴식	przerwa	N	
휴식	złamać	휴식	złamać	N	V;PFV;NFIN;ACT
휴식	odpoczywa	휴식	odpoczywać	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
휴식	relaks	휴식	relaks	N	
북극	arktyce	북극	arktyka		N;GEN;FEM;SG
