של	shel	של	shel	PART;GEN	PROPN;NOM;MASC;SG;POS
את	vy	את	ty	PART;ACC	PRO;NOM;PL;2
את	jsi	את	být	PART;ACC	V;IND;SG;2;POS;PRS;FIN;ACT
את	ty	את	ten	PART;ACC	DET;NOM;MASC;PL
זה	tento	זה	tento	PRO;MASC;SG;3	DET;NOM;MASC;SG
זה	toto	זה	tento	PRO;MASC;SG;3	DET;NOM;NEUT;SG
זה	tohle	זה	tenhle	PRO;MASC;SG;3	DET;NOM;NEUT;SG
זה	to	זה	ten	PRO;MASC;SG;3	DET;NOM;NEUT;SG
זה	že	זה	že	PRO;MASC;SG;3	CONJ
היה	byla	היה	být	V;MASC;SG;3;POS;PST	V;POS;PST;V.PTCP;ACT
שיחה	volejte	שיחה	volat	N;FEM;SG	V;PFV;IMP;PL;2;POS;FIN
שיחה	zavolat	שיחה	zavolat	N;FEM;SG	V;PFV;POS;NFIN
שיחה	volat	שיחה	volat	N;FEM;SG	V;IPFV;POS;NFIN
לאחר	po	לאחר	po	ADP	
לאחר	poté	לאחר	poté	ADP	ADV
בין	fazole	בין	fazole	ADP	N;NOM;FEM;PL;POS
כל	vse	כול	vse	DET;PSSD	N;NOM;FEM;SG;POS
יותר	další	יותר	další	ADV	ADJ;NOM;MASC;SG;POS
יותר	more	יותר	more	ADV	N;MASC;SG;POS
ישראל	izraelský	ישראל	izraelský	PROPN	ADJ;ANIM;NOM;MASC;SG;POS
ישראל	izrael	ישראל	izrael	PROPN	PROPN;INAN;NOM;MASC;SG;POS
ישראל	izraelská	ישראל	izraelský	PROPN	ADJ;NOM;FEM;SG;POS
עד	dokud	עד	dokud	ADP	CONJ
עד	dokud	עד	dokud	ADP	CONJ
יש	jupí	יש	jupý	V	N;NOM;MASC;SG;POS
יש	hurá	יש	hurý	V	N;NOM;MASC;SG;POS
שם	jméno	שם	jméno	ADV	N;NOM;NEUT;SG;POS
שם	jmeno	שם	jmeno	ADV	N;NOM;MASC;SG;POS
שם	name	שם	můj	ADV	N;NOM;MASC;SG;POS
שם	název	שם	název	ADV	N;INAN;NOM;MASC;SG;POS
בית	doma	בית	doma	N;MASC;SG	ADV
בית	domácí	בית	domácí	N;MASC;SG	ADJ;ANIM;NOM;MASC;PL;POS
בית	domů	בית	domů	N;MASC;SG	ADV
בית	house	בית	house	N;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
הייתה	byla	היה	být	V;FEM;SG;3;POS;PST	V;POS;PST;V.PTCP;ACT
אשר	asher	אשר	asher	CONJ	PROPN;ANIM;NOM;MASC;SG;POS
אשר	escher	אשר	escher	CONJ	PROPN;ANIM;NOM;MASC;SG;POS
אשר	usher	אשר	usher	CONJ	PROPN;ANIM;NOM;MASC;SG;POS
אשר	kterou	אשר	který	CONJ	DET;ACC;FEM;SG
אשר	který	אשר	který	CONJ	DET;NOM;MASC;SG
אשר	což	אשר	což	CONJ	PRO;NOM
אשר	která	אשר	který	CONJ	DET;NOM;FEM;SG
אשר	které	אשר	který	CONJ	DET;NOM;NEUT;PL
אשר	potvrzuji	אשר	potvrzovat	CONJ	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
אשר	potvrzení	אשר	potvrzení	CONJ	N;NOM;NEUT;SG;POS
אשר	potvrdit	אשר	potvrdit	CONJ	V;PFV;POS;NFIN
כמו	jako	כמו	jako	ADP	CONJ
כמו	like	כמו	like	ADP	N;MASC;SG;POS
שמאל	levá	שמאל	levý	N;MASC;SG	ADJ;NOM;FEM;SG;POS
שמאל	vlevo	שמאל	vlevo	N;MASC;SG	ADV
שמאל	levý	שמאל	levý	N;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
שמאל	doleva	שמאל	doleva	N;MASC;SG	ADV
חיצוניים	externí	חיצוני	externí	ADJ;MASC;PL	ADJ;NOM;MASC;SG;POS
חיצוניים	vnější	חיצוני	vnější	ADJ;MASC;PL	ADJ;NOM;MASC;SG;POS
הברית	spojenectví	הברית	spojenectví	PROPN	N;NOM;NEUT;SG;POS
הברית	aliance	הברית	aliance	PROPN	N;NOM;FEM;SG;POS
בו	jeho	ב	jeho	ADP	DET;3
בו	nej	ב	nej	ADP	N;NOM;MASC;SG;POS
בו	ho	ב	on	ADP	PRO;ACC;SG;3
בו	boo	ב	boo	ADP	N;NOM;MASC;SG;POS
רק	jen	רק	jen	ADV	PART
רק	jenom	רק	jenom	ADV	PART
רק	jen	רק	jen	ADV	PART
רק	jenom	רק	jenom	ADV	PART
כאשר	kdy	כאשר	kdy	CONJ	ADV
אותו	jeho	None	jeho	PRO;ACC;MASC;SG;3	DET;3
אותו	nej	None	nej	PRO;ACC;MASC;SG;3	N;NOM;MASC;SG;POS
בן	bene	בן	bene	PROPN	N;NOM;MASC;SG;POS
בן	ben	בן	ben	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
בן	synu	בן	syn	PROPN	N;ANIM;DAT;MASC;SG;POS
בן	syn	בן	syn	PROPN	N;ANIM;NOM;MASC;SG;POS
שלו	jeho	של	jeho		DET;3
שלו	jeho	של	jeho		DET;3
שלו	její	של	jeho		DET;NOM;FEM;SG;3
שני	druhé	שני	druhý	NUM;MASC;PL	ADJ;NOM;NEUT;SG
שני	druhá	שני	druhý	NUM;MASC;PL	ADJ;NOM;FEM;SG
שני	druhý	שני	druhý	NUM;MASC;PL	ADJ;ANIM;NOM;MASC;SG
שני	dvojka	שני	dvojka	NUM;MASC;PL	N;NOM;FEM;SG;POS
שני	pondělí	שני	pondělí	NUM;MASC;PL	N;NOM;NEUT;SG;POS
לו	lew	ל	lew		PROPN;ANIM;NOM;MASC;SG;POS
לו	lou	ל	lou		PROPN;ANIM;NOM;MASC;SG;POS
מה	co	מה	co	ADV	PRO;INAN;NOM
העולם	world	העולם	world		ADJ;POS
העולם	svět	העולם	svět		N;INAN;NOM;MASC;SG;POS
העולם	světový	העולם	světový		ADJ;INAN;NOM;MASC;SG;POS
העולם	světová	העולם	světový		ADJ;NOM;FEM;SG;POS
העולם	světové	העולם	světový		ADJ;NOM;FEM;SG;POS
העיר	město	העיר	město	V;MASC;SG;3;PST;ACT	N;NOM;NEUT;SG;POS
העיר	městečko	העיר	městečko	V;MASC;SG;3;PST;ACT	N;NOM;NEUT;SG;POS
העיר	město	העיר	město	V;MASC;SG;3;PST;ACT	N;NOM;NEUT;SG;POS
במהלך	během	במהלך	během	ADV	ADP;GEN
במהלך	behem	במהלך	beh	ADV	N;GEN;MASC;SG;POS
כן	ano	כן	ano	ADV	PART
כן	jo	כן	jo	ADV	PART
אף	nos	אף	nos	CONJ	N;INAN;NOM;MASC;SG;POS
רבים	mnohé	רב	mnohý	V;MASC;PL;V.PTCP;ACT	ADJ;NOM;MASC;PL;POS
רבים	mnozí	רב	mnohý	V;MASC;PL;V.PTCP;ACT	ADJ;ANIM;NOM;MASC;PL;POS
רבים	mnoha	רב	mnoho	V;MASC;PL;V.PTCP;ACT	DET;INS
רבים	mnoho	רב	mnoho	V;MASC;PL;V.PTCP;ACT	DET;NOM
רבים	plurál	רב	plurál	V;MASC;PL;V.PTCP;ACT	N;INAN;NOM;MASC;SG;POS
בה	její	ב	jeho		DET;NOM;FEM;SG;3
בה	jí	ב	on		PRO;DAT;FEM;SG;3
בה	ji	ב	on		PRO;ACC;FEM;SG;3
בה	ní	ב	on		PRO;DAT;FEM;SG;3
אין	žádný	None	žádný	ADV;NEG	DET;NOM;MASC;SG
אין	žádná	None	žádný	ADV;NEG	DET;NOM;FEM;SG
אין	žádné	None	žádný	ADV;NEG	DET;NOM;FEM;PL
אביב	avivu	אביב	aviv	N;MASC;SG	PROPN;INAN;GEN;MASC;SG;POS
אביב	jarní	אביב	jarní	N;MASC;SG	ADJ;NOM;MASC;SG;POS
במאי	májový	במאי	májový	N;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
שנה	léta	שנה	rok	N;FEM;SG	N;NOM;NEUT;PL;POS
שנה	roků	שנה	rok	N;FEM;SG	N;INAN;GEN;MASC;PL;POS
שנה	let	שנה	rok	N;FEM;SG	N;GEN;NEUT;PL;POS
שנה	roky	שנה	rok	N;FEM;SG	N;INAN;NOM;MASC;PL;POS
נולד	narodil	נולד	narodit	V;MASC;SG;3;PST;MID	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
נולד	narozena	נולד	narozený	V;MASC;SG;3;PST;MID	ADJ;POS;V.PTCP;PASS
נולד	narozen	נולד	narozený	V;MASC;SG;3;PST;MID	ADJ;MASC;SG;POS;V.PTCP;PASS
הערות	komentář	הערה	komentář	N;FEM;PL	N;INAN;NOM;MASC;SG;POS
חלק	hladce	חלק	hladce	N;MASC;SG	ADV;POS
חלק	hladká	חלק	hladký	N;MASC;SG	ADJ;NOM;FEM;SG;POS
חלק	hladký	חלק	hladký	N;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
חלק	hladké	חלק	hladký	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
לפני	než	לפני	než	ADP	CONJ
לפני	před	לפני	před	ADP	N;FEM;SG;POS
לפני	předtím	לפני	předtím	ADP	ADV
ביולי	červenec	ביולי	červenec	PROPN	N;INAN;NOM;MASC;SG;POS
ביולי	července	ביולי	červenec	PROPN	N;INAN;GEN;MASC;SG;POS
שוליים	marže	שול	marže	N;MASC;PL	N;NOM;FEM;SG;POS
שוליים	rozpětí	שול	rozpětí	N;MASC;PL	N;NOM;NEUT;SG;POS
שוליים	okrajové	שול	okrajový	N;MASC;PL	ADJ;NOM;NEUT;SG;POS
שוליים	marže	שול	marže	N;MASC;PL	N;NOM;FEM;SG;POS
שוליים	rozpětí	שול	rozpětí	N;MASC;PL	N;NOM;NEUT;SG;POS
להיות	bytí	היה	bytí	V;POS;NFIN	N;NOM;NEUT;SG;POS
להיות	být	היה	být	V;POS;NFIN	V;POS;NFIN
באוקטובר	říjen	באוקטובר	říjen	PROPN	N;INAN;NOM;MASC;SG;POS
באוקטובר	října	באוקטובר	říjen	PROPN	N;INAN;GEN;MASC;SG;POS
באוקטובר	říjen	באוקטובר	říjen	PROPN	N;INAN;NOM;MASC;SG;POS
בשם	pojmenoval	בשם	pojmenovat		V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
אותה	její	None	jeho	PRO;ACC;FEM;SG;3	DET;NOM;FEM;SG;3
אותה	jí	None	on	PRO;ACC;FEM;SG;3	PRO;DAT;FEM;SG;3
אותה	ní	None	on	PRO;ACC;FEM;SG;3	PRO;DAT;FEM;SG;3
החל	začal	None	začít	ADP	V;MASC;SG;POS;PST;V.PTCP;ACT
החל	začalo	None	začít	ADP	V;NEUT;SG;POS;PST;V.PTCP;ACT
החל	začíná	None	začínat	ADP	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
החל	začínám	None	začínat	ADP	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
החל	začínáme	None	začínat	ADP	V;IPFV;IND;PL;1;POS;PRS;FIN;ACT
הרב	herb	הרב	herb		PROPN;ANIM;NOM;MASC;SG;POS
הרב	byliny	הרב	býlina		N;NOM;FEM;PL;POS
ארצות	země	ארץ	země	N;FEM;PL	N;NOM;FEM;SG;POS
מן	manu	מן	man	ADP	N;INAN;NOM;MASC;SG;POS
בינואר	lednu	בינואר	leden		N;INAN;DAT;MASC;SG;POS
בינואר	leden	בינואר	leden		N;INAN;NOM;MASC;SG;POS
בינואר	ledna	בינואר	leden		N;INAN;GEN;MASC;SG;POS
במרץ	březen	במרץ	březen	PROPN	N;INAN;NOM;MASC;SG;POS
במרץ	března	במרץ	březen	PROPN	N;INAN;GEN;MASC;SG;POS
במרץ	pochodovat	במרץ	pochodovat	PROPN	V;IPFV;POS;NFIN
במרץ	pochod	במרץ	pochod	PROPN	N;INAN;NOM;MASC;SG;POS
ראש	rush	ראש	rush	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
חיים	life	חיים	life	PROPN	PROPN;INAN;NOM;MASC;SG;POS
חיים	zivot	חיים	zivot	PROPN	N;NOM;MASC;SG;POS
חיים	životní	חיים	životní	PROPN	ADJ;NOM;MASC;SG;POS
חיים	život	חיים	život	PROPN	N;INAN;NOM;MASC;SG;POS
חיים	chaim	חיים	chaim	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
חיים	chajim	חיים	chajim	PROPN	PROPN;ANIM;NOM;MASC;SG;POS
המאה	století	המאה	století		N;NOM;NEUT;SG;POS
בנובמבר	listopadu	בנובמבר	listopad	ADV	N;INAN;GEN;MASC;SG;POS
בנובמבר	listopad	בנובמבר	listopad	ADV	N;INAN;NOM;MASC;SG;POS
בדצמבר	prosince	בדצמבר	prosinec	PROPN	N;INAN;GEN;MASC;SG;POS
בדצמבר	prosinec	בדצמבר	prosinec	PROPN	N;INAN;NOM;MASC;SG;POS
בדצמבר	prosinci	בדצמבר	prosinec	PROPN	N;INAN;DAT;MASC;SG;POS
לי	leeho	ל	lee		N;ANIM;ACC;MASC;SG;POS
לי	lee	ל	lee		PROPN;ANIM;NOM;MASC;SG;POS
בבית	doma	בבית	doma		ADV
בבית	domov	בבית	domov		N;INAN;NOM;MASC;SG;POS
בבית	domácí	בבית	domácí		ADJ;ANIM;NOM;MASC;PL;POS
בבית	domů	בבית	domů		ADV
בפברואר	února	בפברואר	únor	ADV	N;INAN;GEN;MASC;SG;POS
בפברואר	únor	בפברואר	únor	ADV	N;INAN;NOM;MASC;SG;POS
אלו	tyto	אלו	tento	PRO;PL;3	DET;NOM;MASC;PL
אלו	tyhle	אלו	tenhle	PRO;PL;3	DET;NOM;MASC;PL
זמן	dob	זמן	doba	N;MASC;SG	N;GEN;FEM;PL;POS
אחר	ostatní	אחר	ostatní	ADP	ADJ;ANIM;NOM;MASC;PL;POS
אחר	jiná	אחר	jiný	ADP	ADJ;NOM;FEM;SG;POS
אחר	jiné	אחר	jiný	ADP	ADJ;NOM;NEUT;SG;POS
אחר	jiný	אחר	jiný	ADP	ADJ;ANIM;NOM;MASC;SG;POS
בני	bennyho	בני	benný	PROPN	N;ANIM;ACC;MASC;SG;POS
בני	benny	בני	benna	PROPN	N;ANIM;NOM;MASC;PL;POS
בני	synu	בני	syn	PROPN	N;ANIM;DAT;MASC;SG;POS
בני	syn	בני	syn	PROPN	N;ANIM;NOM;MASC;SG;POS
אתר	stránky	אתר	stránka	N;MASC;SG	N;NOM;FEM;PL;POS
שונים	jiný	שונה	jiný	ADJ;MASC;PL	ADJ;ANIM;NOM;MASC;SG;POS
שונים	jiná	שונה	jiný	ADJ;MASC;PL	ADJ;NOM;FEM;SG;POS
שונים	jiné	שונה	jiný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG;POS
רב	rav	רב	rav		PROPN;INAN;NOM;MASC;SG;POS
אדם	adam	אדם	adam	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
אדם	lidská	אדם	lidský	N;MASC;SG	ADJ;NOM;FEM;SG;POS
אדם	lidské	אדם	lidský	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
אדם	lidský	אדם	lidský	N;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
אדם	man	אדם	man	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
כלל	pravidlo	כלל	pravidlo	ADV	N;NOM;NEUT;SG;POS
עוד	další	עוד	další	ADV	ADJ;NOM;MASC;SG;POS
עוד	more	עוד	more	ADV	N;MASC;SG;POS
דבר	mluv	דבר	mluv	N;MASC;SG	V;IMP;SG;2;POS;FIN
דבר	mluv	דבר	mluv	N;MASC;SG	V;IMP;SG;2;POS;FIN
אחרים	jiná	אחר	jiný	ADJ;MASC;PL	ADJ;NOM;FEM;SG;POS
אחרים	jiné	אחר	jiný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG;POS
אחרים	jiný	אחר	jiný	ADJ;MASC;PL	ADJ;ANIM;NOM;MASC;SG;POS
אחרים	jiné	אחר	jiný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG;POS
ספר	rezervovat	ספר	rezervovat	N;MASC;SG	V;POS;NFIN
לה	její	ל	jeho		DET;NOM;FEM;SG;3
לה	jí	ל	on		PRO;DAT;FEM;SG;3
לה	ji	ל	on		PRO;ACC;FEM;SG;3
לה	ní	ל	on		PRO;DAT;FEM;SG;3
זכה	vyhrála	זכה	vyhrát	V;MASC;SG;3;PST;ACT	V;POS;PST;V.PTCP;ACT
זכה	vyhráli	זכה	vyhrát	V;MASC;SG;3;PST;ACT	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
אחרי	po	אחרי	po	ADP	
אחרי	poté	אחרי	poté	ADP	ADV
יום	hume	יום	hume	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
