algeriet	algeria	algeri	algeria	N;DEF;NEUT;SG	PROPN
mus	soareci	mus	soarec	N;INDF;MASC+FEM;SG	
mus	mouse	mus	mou	N;INDF;MASC+FEM;SG	
virkelighed	realitatea	virkelighed	realitate	N;INDF;MASC+FEM;SG	N;DEF;FEM;SG
über	über	über	über	V;IND;PST;FIN;ACT	N;INDF;MASC;SG
grundloven	constitutie	grundlov	constitutie	N;DEF;MASC+FEM;SG	N;INDF;FEM;SG
grundloven	constitutie	grundlov	constitutie	N;DEF;MASC+FEM;SG	N;INDF;FEM;SG
cleveland	cleveland	cleveland	cleveland		PROPN
beretninger	rapoartele	beretning	raport	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
planerne	planuri	plan	plan	N;DEF;MASC+FEM;PL	N;INDF;FEM;PL
ingrid	ingrid	ingrid	ingrid	N;INDF;MASC+FEM;SG	PROPN
vanskelig	dificil	vanskelig	dificil	ADJ;INDF;MASC+FEM;SG	ADV
vanskelig	dificile	vanskelig	dificil	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;FEM;PL
vanskelig	dificila	vanskelig	dificila	ADJ;INDF;MASC+FEM;SG	ADJ;DEF;FEM;SG
holmes	holmes	holme	holmes	V;NFIN;PASS	PROPN
anbefalede	recomandat	anbefale	recomandat	V;IND;PST;FIN;ACT	ADJ;INDF;MASC;SG
anbefalede	recomandate	anbefale	recomandat	V;IND;PST;FIN;ACT	ADJ;INDF;FEM;PL
anbefalede	recomandata	anbefale	recomandată	V;IND;PST;FIN;ACT	N;DEF;FEM;SG
skyldig	vinovata	skyldig	vinovată	ADJ;INDF;MASC+FEM;SG	ADJ;DEF;FEM;SG
marker	campurile	mark	camp	N;INDF;MASC+FEM;PL	N;DEF;FEM;PL
marker	marcu	mark	marcu	N;INDF;MASC+FEM;PL	
marker	marcheaza	mark	marcheaza	N;INDF;MASC+FEM;PL	V;IND;SG;3;IPFV;FIN
marker	marca	mark	marcă	N;INDF;MASC+FEM;PL	N;DEF;FEM;SG
marker	mark	mark	mark	N;INDF;MASC+FEM;PL	PROPN
fabrikant	producatorul	fabrikant	producator	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
fabrikant	producatorului	fabrikant	producator	N;INDF;MASC+FEM;SG	N;DEF;MASC;SG
boldklubben	boldklubben	boldklub	boldklubben	N;DEF;MASC+FEM;SG	N;INDF;MASC;SG
ted	ted	ted	ted		PROPN
tree	pom	tree	pom		N;INDF;MASC;SG
tree	arbore	tree	arbor		N;INDF;MASC;SG
tree	copac	tree	copac		N;INDF;MASC;SG
tree	copacul	tree	copac		N;DEF;MASC;SG
tree	arborele	tree	arbor		N;DEF;MASC;SG
tree	tre	tree	tre		
porto	timbre	porto	timbru		N;INDF;FEM;PL
porto	porto	porto	porto		PROPN
porto	oporto	porto	oporto		
enkel	simplu	enkel	simplu	ADJ;INDF;MASC+FEM;SG	ADV
enkel	simple	enkel	simplu	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;FEM;PL
enkel	simpla	enkel	simplu	ADJ;INDF;MASC+FEM;SG	ADJ;DEF;FEM;SG
balkan	balcani	balkan	balcan		N;INDF;MASC;SG
balkan	balcanii	balkan	balcan		N;DEF;MASC;PL
balkan	balcani	balkan	balcan		N;INDF;MASC;SG
balkan	balcanic	balkan	balcanic		ADJ;INDF;MASC;SG
balkan	balcanica	balkan	balcanică		N;DEF;FEM;SG
balkan	balcanice	balkan	balcanic		ADJ;INDF;FEM;PL
tilbagevendende	recurente	tilbagevendende	recurent	V;PRS;V.PTCP	ADJ;INDF;FEM;PL
tilbagevendende	recurente	tilbagevendende	recurent	V;PRS;V.PTCP	ADJ;INDF;FEM;PL
svaret	raspuns	svar	raspuns	N;DEF;NEUT;SG	N;INDF;MASC;SG
svaret	raspunde	svar	raspunde	N;DEF;NEUT;SG	
svaret	raspunde	svar	raspunde	N;DEF;NEUT;SG	
edgar	edgar	edgar	edgar		PROPN
