van	soyadın	van	soya		N;NOM;SG;3
wat	ne	wat	ne	PRO	
wat	bu	wat	bu	PRO	
wat	bunu	wat	bu	PRO	PRO;ACC;SG;3
word	haline	word	hal	V;PRS	N;DAT;SG;3
met	with	met	with	ADP	
met	ile	met	ile	ADP	
vir	icin	vir	icin	ADP	
vir	için	vir	için	ADP	
nie	olmaz	nie	ol	PART	V;IPFV;IND;SG;3;NEG
nie	değil	nie	değil	PART	
dit	bu	dit	bu	PRO;NOM;SG;3	
dit	bunu	dit	bu	PRO;NOM;SG;3	PRO;ACC;SG;3
deur	kapı	deur	kapı	ADP	N;NOM;SG;3
deur	kapi	deur	kapi	ADP	
ook	ayrica	ook	ayrica	ADV	
ook	ayrıca	ook	ayrıca	ADV	
dat	bu	dat	bu	CONJ	
dat	bunu	dat	bu	CONJ	PRO;ACC;SG;3
hulle	onlar	hulle	o	PRO;PL;3	PRO;NOM;PL;3
hulle	onları	hulle	o	PRO;PL;3	PRO;ACC;PL;3
suid	güneye	suid	güne		N;DAT;SG;3
uit	dışarı	uit	dışarı	ADP	
jaar	yıl	jaar	yıl	N;SG	
jaar	yılı	jaar	yıl	N;SG	
jaar	sene	jaar	sene	N;SG	
eerste	öncelikle	eerste	öncelik	ADJ;NOM	N;INS;SG;3
eerste	önce	eerste	önce	ADJ;NOM	
eerste	ilk	eerste	ilk	ADJ;NOM	
eerste	once	eerste	once	ADJ;NOM	
maar	fakat	maar	fakat	CONJ	
kan	can	kan	can	V;PRS	
hierdie	bu	hierdie	bu	DET	
hierdie	bunu	hierdie	bu	DET	PRO;ACC;SG;3
ander	diğer	ander	diğer	PRO	ADJ
ander	diğeri	ander	diğer	PRO	N;NOM;SG;3
ander	öteki	ander	öteki	PRO	
ander	diger	ander	diger	PRO	
soos	like	soos	like	CONJ	
soos	beğen	soos	beğen	CONJ	
soos	gibi	soos	gibi	CONJ	
afrika	afrika	afrika	afrika	PROPN;SG	
afrika	afrika	afrika	afrika	PROPN;SG	
