австралийский	australiska	австралийский	australisk	ADJ;NOM;MASC;SG	ADJ;NOM;PL
супер	super	супер	sup		N;NOM;INDF;MASC+FEM;SG
рада	rada	рад	rad	ADJ;FEM;SG	V;IMP;FIN;ACT
пишу	skrivande	писать	skrivande	V;IPFV;IND;SG;1;PRS;FIN;ACT	ADJ;NOM;PRS;V.PTCP
пишу	skrift	писать	skrift	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
пишу	skrivning	писать	skrivning	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
пишу	skriva	писать	skriva	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IMP;FIN;ACT
дальнейшая	vidare	дальнейший	vidare	ADJ;NOM;FEM;SG	ADV;CMPR
дальнейшая	ytterligare	дальнейший	ytterlig	ADJ;NOM;FEM;SG	ADV;CMPR
королей	kings	король	kinga	N;ANIM;GEN;MASC;PL	PROPN;NOM
королей	kungar	король	kung	N;ANIM;GEN;MASC;PL	N;NOM;INDF;MASC+FEM;PL
королей	konungar	король	konung	N;ANIM;GEN;MASC;PL	N;NOM;INDF;MASC+FEM;PL
королей	kungarna	король	kung	N;ANIM;GEN;MASC;PL	N;NOM;DEF;MASC+FEM;PL
полицейский	polis	полицейский	polis	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
полицейский	cop	полицейский	cop	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
полицейский	polis	полицейский	polis	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
полицейский	poliser	полицейский	polis	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
полицейский	polisen	полицейский	polis	ADJ;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
полицейский	polisman	полицейский	polisman	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
описано	beskriver	описать	beskriva	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;PRS;FIN;ACT
описано	beskrivs	описать	beskriva	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;PRS;FIN;PASS
описано	beskrev	описать	beskrev	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IMP;PST;FIN;ACT
описано	beskrivet	описать	beskriva	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
описано	beskrivna	описать	beskriva	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
описано	beskrivs	описать	beskriva	V;PFV;NEUT;SG;PST;V.PTCP;PASS	V;IND;PRS;FIN;PASS
кан	kang	кан	kang	PART	N;NOM;INDF;MASC+FEM;SG
кан	kahn	кан	kahn	PART	PROPN;NOM
фифа	fifa	фиф	fifa	N;INAN;NOM;MASC;SG	PROPN;NOM
косово	kosovo	косово	kosovo	N;INAN;NOM;NEUT;SG	PROPN;NOM
атаковать	angrepp	атаковать	angrepp	V;IPFV;NFIN;ACT	N;NOM;INDF;NEUT;PL
атаковать	attack	атаковать	attack	V;IPFV;NFIN;ACT	N;NOM;INDF;MASC+FEM;SG
атаковать	anfall	атаковать	anfall	V;IPFV;NFIN;ACT	N;NOM;INDF;NEUT;SG
атаковать	attentat	атаковать	attentad	V;IPFV;NFIN;ACT	N;NOM;INDF;NEUT;SG
присоединились	anslöt	присоединиться	anslöta	V;PFV;IND;PL;PST;FIN;MID	V;IND;PST;FIN;ACT
абдул	abdul	абдул	abdul	N;ANIM;NOM;MASC;SG	PROPN;NOM
розыгрыш	upptåg	розыгрыш	upptåg	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
древняя	antikens	древний	antik	ADJ;NOM;FEM;SG	N;GEN;DEF;MASC+FEM;SG
ссылаться	åberopa	ссылаться	åberopa	V;IPFV;NFIN;MID	V;IMP;FIN;ACT
ископаемых	fossila	ископаемое	fossil	N;INAN;GEN;NEUT;PL	ADJ;NOM;PL
ископаемых	fossil	ископаемое	fossil	N;INAN;GEN;NEUT;PL	N;NOM;INDF;MASC+FEM;SG
кислорода	syrgas	кислород	syrga	N;INAN;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;SG
кислорода	syre	кислород	syre	N;INAN;GEN;MASC;SG	N;NOM;INDF;NEUT;SG
объединяет	enar	объединять	ena	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;PL
позади	bakom	позади	bakom	ADV	ADP
николас	nicolás	николас	nicol	N;ANIM;NOM;MASC;SG	PROPN;NOM
николас	nikolaj	николас	nikolaj	N;ANIM;NOM;MASC;SG	PROPN;NOM
николас	nicholas	николас	nichola	N;ANIM;NOM;MASC;SG	PROPN;NOM
формировании	formar	формирование	form	N;INAN;ESS;NEUT;SG	V;IND;PRS;FIN;ACT
формировании	forma	формирование	forma	N;INAN;ESS;NEUT;SG	V;IMP;FIN;ACT
формировании	utforma	формирование	utforma	N;INAN;ESS;NEUT;SG	V;IMP;FIN;ACT
формировании	utformningen	формирование	utformning	N;INAN;ESS;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
поправки	ändringsförslag	поправка	ändringsförslag	N;INAN;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
поправки	ändring	поправка	ändring	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
поправки	ändringsförslag	поправка	ändringsförslag	N;INAN;NOM;FEM;PL	N;NOM;INDF;NEUT;SG
альберта	alberta	альберт	albert	N;ANIM;NOM;MASC;SG	PROPN;NOM
жозеф	joseph	жозеф	joseph	N;ANIM;NOM;MASC;SG	PROPN;NOM
жозеф	josef	жозеф	jos	N;ANIM;NOM;MASC;SG	PROPN;NOM
простое	enkla	простой	enkel	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
тихий	tysta	тихий	tyst	ADJ;NOM;MASC;SG	ADJ;NOM;PL
