در	dveře	در	dveře	ADP	N;NOM;FEM;PL;POS
رده	třídy	رده	třída	N;SG	N;NOM;FEM;PL;POS
که	ktery	که	kter	CONJ	PROPN;ANIM;GEN;MASC;SG;POS
که	kdo	که	kdo	CONJ	PRO;ANIM;NOM;MASC
که	který	که	který	CONJ	DET;NOM;MASC;SG
که	koho	که	kdo	CONJ	PRO;ANIM;ACC;MASC
که	who	که	who	CONJ	PROPN;FEM;POS
که	to	که	ten	CONJ	DET;NOM;NEUT;SG
را	učinit	را	učinit	PART	V;PFV;POS;NFIN
را	udělat	را	udělat	PART	V;PFV;POS;NFIN
را	vyrobit	را	vyrobit	PART	V;PFV;POS;NFIN
میلادی	desetiletí	میلادی	desetiletí	ADJ	N;NOM;NEUT;PL;POS
میلادی	dekády	میلادی	dekáda	ADJ	N;NOM;FEM;PL;POS
سال	léta	سال	rok	N;SG	N;NOM;NEUT;PL;POS
سال	roků	سال	rok	N;SG	N;INAN;GEN;MASC;PL;POS
سال	let	سال	rok	N;SG	N;GEN;NEUT;PL;POS
سال	roky	سال	rok	N;SG	N;INAN;NOM;MASC;PL;POS
سال	sale	سال	sale	N;SG	PROPN;MASC;SG;POS
سال	sal	سال	sál	N;SG	PROPN;ANIM;NOM;MASC;SG;POS
آن	anne	آن	anne	DET	PROPN;FEM;SG;POS
آن	anna	آن	anna	DET	PROPN;NOM;FEM;SG;POS
ایران	írán	ایران	írán	N;SG	PROPN;INAN;NOM;MASC;SG;POS
اهل	ahl	اهل	ahl	N;SG	PROPN;MASC;SG;POS
آمریکا	ameriky	آمریکا	amerika	N;SG	PROPN;NOM;FEM;SG;POS
بود	byla	بود#باش	být	V;SG;3;PST	V;POS;PST;V.PTCP;ACT
او	jeho	او	jeho	PRO;SG;3	DET;3
او	jeho	او	jeho	PRO;SG;3	DET;3
او	nej	او	nej	PRO;SG;3	N;NOM;MASC;SG;POS
او	její	او	jeho	PRO;SG;3	DET;NOM;FEM;SG;3
