right	prawo	righta	prawo		N;NOM;NEUT;SG
leta	lat	leto	rok	N;GEN;NEUT;SG	N;GEN;MASC;PL
leta	lata	leto	rok	N;GEN;NEUT;SG	N;NOM;MASC;PL
kot	jak	kot	jak	CONJ	ADV
kot	like	kot	lik	CONJ	
team	team	teama	team	N;NOM;MASC;SG	
team	drużyny	teama	drużyna	N;NOM;MASC;SG	N;ACC;FEM;PL
med	pomiędzy	med	pomiędzy	ADP;INS	
seznam	listy	seznam	list	N;NOM;MASC;SG	
seznam	listę	seznam	lista	N;NOM;MASC;SG	N;ACC;FEM;SG
glej	zobacz	gledati	zobaczyć	V;IPFV;IMP;SG;2;FIN	V;PFV;IMP;SG;2;FIN;ACT
glej	zegarek	gledati	zegarek	V;IPFV;IMP;SG;2;FIN	N;ACC;MASC;SG
glej	obserwuj	gledati	obserwować	V;IPFV;IMP;SG;2;FIN	V;PFV;IMP;SG;2;FIN;ACT
lahko	mógł	lahko	móc	ADV	V;IPFV;MASC;IND;SG;PST;FIN;ACT
lahko	można	lahko	można	ADV	V;IND;PRS;FIN
lahko	can	lahko	can	ADV	
nova	nowości	nov	nowość	ADJ;NOM;FEM;SG	N;ACC;FEM;PL
nova	nowość	nov	nowość	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
nova	nowa	nov	nowy	ADJ;NOM;FEM;SG	
nova	nova	nov	nova	ADJ;NOM;FEM;SG	
mehika	meksyk	mehika	meksyk	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
socorro	socorro	socorra	socorro	N;NOM;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
bgcolor	bgcolor	bgcolor	bgcolor	N;NOM;MASC;SG	
ter	ter	ter	ter	CONJ	
povezave	znajomości	povezava	znajomość	N;NOM;FEM;PL	N;GEN;FEM;SG
povezave	powiązania	povezava	powiązanie	N;NOM;FEM;PL	N;NOM;NEUT;SG
povezave	linków	povezava	link	N;NOM;FEM;PL	N;GEN;MASC;PL
povezave	łącza	povezava	łączyć	N;NOM;FEM;PL	
povezave	odnośniki	povezava	odnośnik	N;NOM;FEM;PL	N;ACC;MASC;PL
več	more	več	more	DET	
več	bardziej	več	bardzo	DET	ADV;CMPR
več	więcej	več	dużo	DET	ADV;CMPR
zunanje	zewnętrzne	zunanji	zewnętrzny	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
pod	pod	pod	pod		ADP
