maurice	maurice	maurizar	maurice	PROPN	
financieros	finansiel	financiero	finansiel	ADJ;MASC;PL	N;INDF;MASC+FEM;SG
financieros	finansielt	financiero	finansielt	ADJ;MASC;PL	ADV
financieros	økonomisk	financiero	økonomisk	ADJ;MASC;PL	ADV
cecilia	cecile	cecilia	cecile	N;FEM;SG	
cecilia	cecilia	cecilia	cecilia	N;FEM;SG	
marte	mars	marte	mars	PROPN	N;INDF;MASC+FEM;SG
loco	sindssyge	loco	sindssyge	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
loco	skøre	loco	skøre	ADJ;MASC;SG	ADJ;PL
loco	tosset	loco	tos	ADJ;MASC;SG	V;INDF;SG;PST;V.PTCP
loco	loco	loco	loco	ADJ;MASC;SG	
exitoso	succes	exitoso	succes	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
harrison	harrison	harrison	harrison	N;MASC;SG	
stewart	stewart	stewart	stewart	PROPN	N;INDF;MASC+FEM;SG
argelia	algier	argelia	algie	N;FEM;SG	N;INDF;MASC+FEM;PL
argelia	alger	argelia	alge	N;FEM;SG	N;INDF;MASC+FEM;PL
argelia	algeriske	argelia	algerisk	N;FEM;SG	ADJ;PL
sound	lyde	sound	lyde	N	V;NFIN;ACT
sound	sound	sound	sound	N	
novio	nette	novio	nette	N;MASC;SG	ADJ;PL
novio	kæreste	novio	kær	N;MASC;SG	ADJ;DEF;RL
rechazo	afslå	rechazo	afslå	N;MASC;SG	V;NFIN;ACT
rechazo	afvise	rechazo	afvise	N;MASC;SG	V;NFIN;ACT
parker	parker	parker	park	N;MASC;SG	N;INDF;MASC+FEM;PL
firmar	underskrift	firmar	underskrift	V;NFIN	N;INDF;MASC+FEM;SG
firmar	undertegnelse	firmar	undertegnelse	V;NFIN	N;INDF;MASC+FEM;SG
firmar	underskrivelse	firmar	underskrivelse	V;NFIN	N;INDF;MASC+FEM;SG
firmar	tegn	firmar	tegn	V;NFIN	N;INDF;NEUT;SG
xavier	xavier	xavier	xavie	PROPN	N;INDF;MASC+FEM;SG
guy	fyr	guy	fyr	PROPN	N;INDF;MASC+FEM;SG
guy	guy	guy	guy	PROPN	
guy	gut	guy	gut	PROPN	N;INDF;MASC+FEM;SG
expresiones	udtryk	expresión	udtryk	N;FEM;PL	N;INDF;NEUT;SG
previsto	planlagte	previsto	planlægge	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
previsto	planlagt	previsto	planlægge	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
previsto	påtænkt	previsto	påtænke	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
thys	thys	thys	thys	PROPN	PROPN
adolescente	teen	adolescente	te	N;SG	
adolescente	teenage	adolescente	teenage	N;SG	
inés	inez	inés	inez	N;FEM;SG	
inés	inés	inés	iné	N;FEM;SG	
actualizado	ajourført	actualizado	ajourført	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
actualizado	opdaterede	actualizado	opdatere	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
actualizado	opdateret	actualizado	opdatere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
dinámica	dynamisk	dinámica	dynamisk	N;FEM;SG	ADJ;INDF;SG
dinámica	dynamic	dinámica	dynamic	N;FEM;SG	
dinámica	dynamiske	dinámica	dynamisk	N;FEM;SG	ADJ;PL
mencionada	nævnt	mencionado	nævnt	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mencionada	omtalt	mencionado	omtale	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mencionada	nævnte	mencionado	nævne	ADJ;FEM;SG;V.PTCP	V;DEF;SG;PST;V.PTCP
variación	variationer	variación	variation	N;FEM;SG	N;INDF;MASC+FEM;PL
variación	varianter	variación	variant	N;FEM;SG	N;INDF;MASC+FEM;PL
variación	ændr	variación	ændr	N;FEM;SG	V;IMP
variación	variationer	variación	variation	N;FEM;SG	N;INDF;MASC+FEM;PL
sabía	vidste	saber	vide	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
sabía	kendte	saber	kende	V;IND;SG;3;IPFV;FIN	V;IND;PST;FIN;ACT
alfa	alpha	alfa	alpha	N;FEM;SG	
alfa	alfa	alfa	alfa	N;FEM;SG	
alfa	alfa	alfa	alfa	N;FEM;SG	
ann	ann	ann	ann	PROPN	
antecedentes	baggrund	antecedente	baggrund	N;MASC;PL	N;INDF;MASC+FEM;SG
antecedentes	baggrunden	antecedente	baggrund	N;MASC;PL	N;DEF;MASC+FEM;SG
grabada	graveret	grabado	gravere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
grabada	indgraveret	grabado	indgravere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
irlandés	irere	irlandés	irer	N;MASC;SG	N;INDF;MASC+FEM;PL
irlandés	irske	irlandés	irsk	N;MASC;SG	ADJ;PL
irlandés	irish	irlandés	irish	N;MASC;SG	
irlandés	irerne	irlandés	ire	N;MASC;SG	N;DEF;MASC+FEM;PL
asiático	asiatiske	asiático	asiatisk	ADJ;MASC;SG	ADJ;PL
asiático	asiater	asiático	asiater	ADJ;MASC;SG	N;INDF;MASC+FEM;PL
guarda	vagt	guardar	vagt	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
guarda	guard	guardar	guard	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
guarda	vagten	guardar	vagt	V;IND;SG;3;PRS;FIN	N;DEF;MASC+FEM;SG
edgar	edgar	edgar	edgar	PROPN	
marciales	martial	marciales	martial	N;PL	
marciales	krigsret	marciales	krigsret	N;PL	N;INDF;MASC+FEM;SG
barry	barry	barry	barry	PROPN	
utilidad	nyttig	utilidad	nyttig	N;FEM;SG	ADJ;INDF;MASC+FEM;SG
utilidad	brugbar	utilidad	brugbar	N;FEM;SG	ADJ;INDF;MASC+FEM;SG
utilidad	nyttigt	utilidad	nyttigt	N;FEM;SG	ADJ;INDF;NEUT;SG
utilidad	nyttige	utilidad	nyttig	N;FEM;SG	ADJ;PL
utilidad	nytte	utilidad	nytte	N;FEM;SG	V;NFIN;ACT
utilidad	nytte	utilidad	nytte	N;FEM;SG	V;NFIN;ACT
