château	σατό	châti	σατός	V;IND;PL;3;IPFV;FIN	N
adăugarea	πρόσθεση	adăugare	πρόσθεση	N;DEF;FEM;SG	N;NOM;FEM;SG
adăugarea	πρόσθεση	adăugare	πρόσθεση	N;DEF;FEM;SG	N;NOM;FEM;SG
adăugarea	προσθέτοντας	adăugare	προσθέτω	N;DEF;FEM;SG	V;IPFV;V.CVB;ACT
bois	bois	bois	bois	PROPN	
formularul	μορφη	formular	μορφη	N;DEF;MASC;SG	N;NOM;FEM;SG
formularul	μορφή	formular	μορφή	N;DEF;MASC;SG	N;NOM;FEM;SG
formularul	έντυπο	formular	έντυπο	N;DEF;MASC;SG	N;NOM;NEUT;SG
formularul	φόρμα	formular	φόρμα	N;DEF;MASC;SG	N;ACC;FEM;SG
crimă	δολοφονία	crimă	δολοφονία	N;INDF;FEM;SG	N;NOM;FEM;SG
crimă	φόνος	crimă	φόνος	N;INDF;FEM;SG	N;NOM;MASC;SG
crimă	φόνο	crimă	φόνο	N;INDF;FEM;SG	N;ACC;MASC;SG
crimă	εγκλημα	crimă	εγκλημα	N;INDF;FEM;SG	N;NOM;NEUT;SG
crimă	έγκλημα	crimă	έγκλημα	N;INDF;FEM;SG	N;NOM;NEUT;SG
crimă	εγκληματικότητα	crimă	εγκληματικότητα	N;INDF;FEM;SG	N;ACC;FEM;SG
gotic	γοτθικό	gotic	γοτθικός	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
tre	tre	tre	tre		
roz	ροζ	roz	ροζ		N;NOM;FEM;SG
ahmed	αχμέντ	ahmed	αχμέντ	PROPN	
ahmed	αχμέτ	ahmed	αχμέτ	PROPN	
latine	λατινικά	latin	λατινικός	ADJ;INDF;FEM;PL	ADV
latine	λατινική	latin	λατινικός	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
frunzele	φύλλα	frunză	φύλλο	N;DEF;FEM;PL	N;NOM;NEUT;PL
exprima	εξπρές	exprima	εξπρός	V;IND;SG;3;IPFV;FIN	N
exprima	express	exprima	express	V;IND;SG;3;IPFV;FIN	
exprima	εκφράσω	exprima	εκφράζω	V;IND;SG;3;IPFV;FIN	V;PFV;IND;SG;1;FIN;ACT
moscovei	μόσχα	moscovă	μόσχα	PROPN;DEF;FEM;SG	PROPN;NOM;FEM;SG
kashmir	κασμίρ	kashmir	κασμίρ	PROPN	
belgian	βελγική	belgian	βελγικός	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
belgian	βελγικά	belgian	βελγικός	N;INDF;MASC;SG	ADV
belgian	βελγικό	belgian	βελγικός	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
wikimapia	wikimapia	wikimapia	wikimapia	PROPN	
pierderile	απώλειες	pierdere	απώλεια	N;DEF;FEM;PL	N;NOM;FEM;PL
pierderile	ήττες	pierdere	ήττα	N;DEF;FEM;PL	N;NOM;FEM;PL
pierderile	ζημίες	pierdere	ζημία	N;DEF;FEM;PL	N;NOM;FEM;PL
naviga	πανί	naviga	πανί	V;IND;SG;3;IPFV;FIN	N;NOM;NEUT;SG
includerea	συμπερίληψη	includere	συμπερίληψη	N;DEF;FEM;SG	N;ACC;FEM;SG
joachim	joa	joachim	joa	PROPN	
formal	επίσημο	formal	επίσημος	ADV	ADJ;NOM;NEUT;SG
formal	επίσημη	formal	επίσημος	ADV	ADJ;NOM;FEM;SG
formal	πανηγυρική	formal	πανηγυρικός	ADV	ADJ;NOM;FEM;SG
austin	ώστιν	austin	ώστιν	PROPN	
austin	όστιν	austin	όστιν	PROPN	
filozofia	φιλοσοφία	filozofie	φιλοσοφία	N;DEF;FEM;SG	N;NOM;FEM;SG
aedes	aedes	aedes	aedes	PROPN	
implicarea	συμμετοχή	implicare	συμμετοχή	N;DEF;FEM;SG	N;NOM;FEM;SG
implicarea	συμμετοχη	implicare	συμμετοχή	N;DEF;FEM;SG	N;NOM;FEM;SG
implicarea	εμπλοκή	implicare	εμπλοκή	N;DEF;FEM;SG	N;ACC;FEM;SG
explica	εξηγήσω	explica	εξηγώ	V;IND;SG;3;IPFV;FIN	V;PFV;IND;SG;1;FIN;ACT
explica	εξηγήστε	explica	εξηγώ	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;PL;2;PRS;FIN;ACT
explica	εξήγησε	explica	εξηγώ	V;IND;SG;3;IPFV;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
wall	wall	wall	wall	PROPN	
wall	τοίχος	wall	τοίχος	PROPN	N;NOM;MASC;SG
wall	τοίχο	wall	τοίχος	PROPN	N;ACC;MASC;SG
wall	τείχος	wall	τείχος	PROPN	N;NOM;NEUT;SG
wall	γουόλ	wall	γουόλ	PROPN	
harald	harald	harald	harald	PROPN	
autonome	αυτόνομη	autonom	αυτόνομος	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
autonome	αυτόνομο	autonom	αυτόνομος	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
autonome	αυτόνομα	autonom	αυτόνομα	ADJ;INDF;FEM;PL	ADV
village	χωριο	villag	χωριο	PROPN	N;NOM;NEUT;SG
village	χωριό	villag	χωριό	PROPN	N;NOM;NEUT;SG
răspândirea	εξάπλωση	răspândire	εξάπλωση	N;DEF;FEM;SG	N;ACC;FEM;SG
intensă	έντονη	intens	έντονος	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
intensă	έντονες	intens	έντονος	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;PL
intensă	έντονος	intens	έντονος	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
intensă	έντονο	intens	έντονος	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
mutată	μετακόμισε	muta	μετακομίζω	ADJ;INDF;FEM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
mutată	μεταφέρθηκε	muta	μεταφέρω	ADJ;INDF;FEM;SG	V;PFV;IND;SG;3;PST;FIN;PASS
mutată	κινήθηκε	muta	κινώ	ADJ;INDF;FEM;SG	V;PFV;IND;SG;3;PST;FIN;PASS
mutată	μετακινήθηκε	muta	μετακινώ	ADJ;INDF;FEM;SG	V;PFV;IND;SG;3;PST;FIN;PASS
mutată	συγκινημένος	muta	συγκινημένος	ADJ;INDF;FEM;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
refugiat	πρόσφυγας	refugiat	πρόσφυγας	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
refugiat	πρόσφυγα	refugiat	πρόσφυγα	ADJ;INDF;MASC;SG	N;ACC;MASC;SG
ungară	ούγγροι	unga	ούγγρος	ADJ;INDF;FEM;SG	N;NOM;MASC;PL
ungară	ουγγρική	unga	ουγγρικός	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
ungară	ουγγρικό	unga	ουγγρικός	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
scăzută	χαμηλά	scăzut	χαμηλός	ADJ;INDF;FEM;SG	ADV
scăzută	χαμηλό	scăzut	χαμηλός	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
scăzută	χαμηλή	scăzut	χαμηλός	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;SG
scăzută	χαμηλός	scăzut	χαμηλός	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
compune	συνθέτουν	compune	συνθέτω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
ofensivă	προσβλητικό	ofensiv	προσβλητικός	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
ofensivă	προσβλητική	ofensiv	προσβλητικός	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
intervenție	παρεμβάσεις	intervenție	παρέμβαση	N;INDF;FEM;SG	N;NOM;FEM;PL
intervenție	παρέμβασης	intervenție	παρέμβαση	N;INDF;FEM;SG	N;GEN;FEM;SG
intervenție	παρέμβαση	intervenție	παρέμβαση	N;INDF;FEM;SG	N;ACC;FEM;SG
galilor	γαλάτες	gal	γαλάτης	N;DEF;MASC;PL	N;NOM;MASC;PL
austrieci	αυστριακοί	austriac	αυστριακός	N;INDF;MASC;PL	ADJ;NOM;MASC;PL
austrieci	αυστριακός	austriac	αυστριακός	N;INDF;MASC;PL	ADJ;NOM;MASC;SG
austrieci	αυστριακό	austriac	αυστριακός	N;INDF;MASC;PL	ADJ;NOM;NEUT;SG
austrieci	αυστριακές	austriac	αυστριακός	N;INDF;MASC;PL	ADJ;NOM;FEM;PL
austrieci	αυστριακή	austriac	αυστριακός	N;INDF;MASC;PL	ADJ;NOM;FEM;SG
cânta	τραγουδήστε	cânta	τραγουδώ	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;PL;2;PRS;FIN;ACT
cânta	τραγούδα	cânta	τραγούδα	V;IND;SG;3;IPFV;FIN	N;NOM;SG
cânta	τραγουδούν	cânta	τραγούδαι	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
grija	φροντίδα	grijă	φροντίδα	N;DEF;FEM;SG	N;NOM;FEM;SG
grija	φροντίδα	grijă	φροντίδα	N;DEF;FEM;SG	N;NOM;FEM;SG
corul	χορωδία	cor	χορωδία	N;DEF;MASC;SG	N;NOM;FEM;SG
corul	χορωδία	cor	χορωδία	N;DEF;MASC;SG	N;NOM;FEM;SG
modelele	μοντέλα	model	μοντέλα	N;DEF;FEM;PL	N;NOM;NEUT;PL
modelele	υποδείγματα	model	υπόδειγμα	N;DEF;FEM;PL	N;NOM;NEUT;PL
îndeplini	εκπλήρωσε	îndeplini	εκπληρώνω	V;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
reich	ράιχ	reich	ράιχ	N;INDF;MASC;SG	
originile	προέλευση	origine	προέλευση	N;DEF;FEM;PL	N;ACC;FEM;SG
originile	καταγωγή	origine	καταγωγή	N;DEF;FEM;PL	N;NOM;FEM;SG
khan	χαν	khan	χαν	PROPN	N
khan	καν	khan	καν	PROPN	ADV
khan	khan	khan	khan	PROPN	
mutarea	μετακόμιση	mutare	μετακόμιση	N;DEF;FEM;SG	N;ACC;FEM;SG
mutarea	μετακίνηση	mutare	μετακίνηση	N;DEF;FEM;SG	N;ACC;FEM;SG
mutarea	κινείται	mutare	κινώ	N;DEF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
moscheea	τζαμί	moschee	τζαμί	N;DEF;FEM;SG	N;NOM;NEUT;SG
moscheea	τέμενος	moschee	τέμενος	N;DEF;FEM;SG	N;NOM;NEUT;SG
lățimea	πλάτος	lățime	πλάτος	N;DEF;FEM;SG	N;ACC;NEUT;SG
cooper	cooper	cooper	cooper	N;INDF;MASC;SG	
cooper	κούπερ	cooper	κούπερ	N;INDF;MASC;SG	
invazie	εισβολή	invazie	εισβολή	N;INDF;FEM;SG	N;ACC;FEM;SG
ehf	ehf	ehf	ehf	N	
brabant	brabant	brabant	brabant	N;INDF;MASC;SG	
dealuri	χιλς	deal	χιλς	N;INDF;FEM;PL	
dealuri	hills	deal	hills	N;INDF;FEM;PL	
danny	ντάνι	danny	ντάνι	PROPN	
determinată	καθορίζεται	determinat	καθορίζω	ADJ;INDF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
determinată	αποφασισμένος	determinat	αποφασισμένος	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
determinată	αποφασισμένοι	determinat	αποφασίζω	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;PL
determinată	αποφασισμένη	determinat	αποφασίζω	ADJ;INDF;FEM;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
tag	ετικέτα	tag	ετικέτα		N;NOM;FEM;SG
tag	ταγκ	tag	ταγκ		N
tag	tag	tag	tag		
perete	wall	perete	wall	N;INDF;MASC;SG	
perete	γουόλ	perete	γουόλ	N;INDF;MASC;SG	
nicholas	νίκολας	nicholas	νίκολα	PROPN	PROPN;NOM;MASC;SG
