que	das	que	der	CONJ	PRO;NOM;NEUT;SG
del	del	del	del	ADP;MASC;SG	PROPN;SG
los	die	él	der	PRO;ACC;MASC;PL;3	DET;NOM;DEF;FEM;SG
los	der	él	der	PRO;ACC;MASC;PL;3	DET;NOM;DEF;MASC;SG
los	dem	él	der	PRO;ACC;MASC;PL;3	PRO;DAT;NEUT;SG
los	den	él	der	PRO;ACC;MASC;PL;3	DET;ACC;DEF;MASC;SG
los	das	él	der	PRO;ACC;MASC;PL;3	PRO;NOM;NEUT;SG
las	die	él	der	PRO;ACC;FEM;PL;3	DET;NOM;DEF;FEM;SG
las	der	él	der	PRO;ACC;FEM;PL;3	DET;NOM;DEF;MASC;SG
las	dem	él	der	PRO;ACC;FEM;PL;3	PRO;DAT;NEUT;SG
las	den	él	der	PRO;ACC;FEM;PL;3	DET;ACC;DEF;MASC;SG
las	das	él	der	PRO;ACC;FEM;PL;3	PRO;NOM;NEUT;SG
una	einen	uno	ein	DET;INDF;FEM;SG	PRO;ACC;INDF;MASC;SG
una	eins	uno	ein	DET;INDF;FEM;SG	
una	einer	uno	ein	DET;INDF;FEM;SG	PRO;NOM;INDF;MASC;SG
una	ein	uno	ein	DET;INDF;FEM;SG	ADV
categoría	kategorien	categoría	kategorien	N;FEM;SG	N;NOM;FEM;PL
como	wie	como	wie	CONJ	ADP
como	inwiefern	como	inwiefern	CONJ	ADV
como	woher	como	woher	CONJ	ADV
como	mögen	como	mögen	CONJ	V;FIN
como	gefällt	como	gefallen	CONJ	V;IND;SG;3;PRS;FIN
como	wie	como	wie	CONJ	ADP
como	like	como	like	CONJ	PROPN;NOM;SG
más	weiteres	más	weit	ADV	ADJ;NOM;NEUT;SG
más	weitere	más	weit	ADV	ADJ;NOM;FEM;PL
sus	ihre	su	ihr	DET;PL;3	DET;NOM;FEM;SG
sus	ihrer	su	ihr	DET;PL;3	DET;NOM;MASC;SG
sus	ihren	su	ihr	DET;PL;3	DET;ACC;MASC;SG
sus	seinem	su	sein	DET;PL;3	DET;DAT;MASC;SG
sus	seinen	su	sein	DET;PL;3	DET;ACC;MASC;SG
sus	seine	su	sein	DET;PL;3	DET;NOM;FEM;SG
sus	sein	su	sein	DET;PL;3	DET;NOM;MASC;SG
