del	del	di	del	ADJ;SG	ADP;MASC;SG
che	cuáles	che	cuál	DET	PRO;PL
che	cuál	che	cuál	DET	PRO;SG
che	cual	che	cual	DET	PRO;SG
che	eso	che	ese	DET	PRO;SG
che	que	che	que	DET	CONJ
una	one	uno	one	DET;INDF;FEM;SG	N
una	uno	uno	uno	DET;INDF;FEM;SG	PRO;MASC;SG
non	not	non	not	ADV	INTJ
dell	dell	di	dell	ADJ;SG	N
come	how	come	how	ADV	PROPN
come	cómo	come	cómo	ADV	PRO
come	como	come	como	ADV	CONJ
come	gustar	come	gustar	ADV	V;NFIN
come	like	come	like	ADV	N
come	como	come	como	ADV	CONJ
sono	están	essere	estar	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
sono	are	essere	are	V;IND;PL;3;PRS;FIN	N
dal	dal	dal	dal	ADJ;SG	N
dal	from	dal	from	ADJ;SG	N
dal	de	dal	de	ADJ;SG	ADP
dal	desde	dal	desde	ADJ;SG	ADP
più	more	più	more	ADV	
anche	hasta	anche	hasta	ADV	ADP
anche	tambien	anche	tambien	ADV	
due	two	due	two	NUM	PROPN
era	fue	essere	ser	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
era	estaba	essere	estar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
dalla	from	dalla	from	ADJ;SG	N
dalla	de	dalla	de	ADJ;SG	ADP
dalla	desde	dalla	desde	ADJ;SG	ADP
suo	sus	suo	su	DET;MASC;SG	DET;PL;3
dopo	despues	dopo	despue	ADV	
dopo	after	dopo	after	ADV	N
dopo	tras	dopo	tras	ADV	ADP
prima	prima	prima	prima	ADV	N;FEM;SG
prima	primera	prima	primero	ADV	ADJ;FEM;SG
prima	primeras	prima	primero	ADV	ADJ;FEM;PL
prima	primer	prima	primero	ADV	ADJ;MASC;SG
prima	primeros	prima	primero	ADV	ADJ;MASC;PL
stato	status	essere	status	V;MASC;SG;PST;V.PTCP	N
stato	estatus	essere	estatus	V;MASC;SG;PST;V.PTCP	N;MASC
