for	varten	for	varten	ADP	ADV
med	with	med	with	ADV	N;NOM;SG
var	oliko	være	olla	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
var	olivat	være	olla	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN;ACT
var	olivatko	være	olla	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN;ACT
blev	oliko	blive	olla	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
han	han	han	han	PRO;NOM;MASC+FEM;SG;3	N;NOM;SG
fra	from	fra	from	ADV	
har	sai	have	saada	V;IND;PRS;FIN;ACT	V;IND;SG;0;PST;FIN;ACT
har	sain	have	saada	V;IND;PRS;FIN;ACT	V;IND;SG;1;PST;FIN;ACT
ved	tiedä	vide	tietää	V;IND;PRS;FIN;ACT	V;IMP;SG;2;FIN;ACT
ikke	ei	ikke	ei	ADV	V;SG;3;NEG;FIN;ACT
også	too	også	too	ADV	
efter	after	efter	after	ADV	
sig	sano	sig	sanoa	PRO;ACC;3;REFL	V;IMP;SG;2;FIN;ACT
kan	touko	kunne	touko	V;IND;PRS;FIN;ACT	N;NOM;SG
kan	toukokuu	kunne	toukokuu	V;IND;PRS;FIN;ACT	N;NOM;SG
kan	voi	kunne	voi	V;IND;PRS;FIN;ACT	INTJ
kan	toukokuun	kunne	toukokuu	V;IND;PRS;FIN;ACT	N;GEN;SG
kan	toukokuuta	kunne	toukokuu	V;IND;PRS;FIN;ACT	N;PRT;SG
kan	voi	kunne	voi	V;IND;PRS;FIN;ACT	INTJ
score	pisteet	score	piste	V;NFIN;ACT	N;NOM;PL
score	pisteet	score	piste	V;NFIN;ACT	N;NOM;PL
hvor	missä	hvor	mikä	ADV	PRO;IN+ESS;SG
hvor	jossa	hvor	joka	ADV	PRO;IN+ESS;SG
hans	hans	hans	hans	DET;3	PROPN;NOM;SG
hans	hänen	hans	hän	DET;3	PRO;GEN;SG;3
første	ensin	første	ensin	ADJ	ADV
første	eka	første	ensin	ADJ	N;NOM;SG
første	ensiksi	første	ensiksi	ADJ	ADV
dansk	tanskan	dansk	tanska	ADJ;INDF;SG	N;GEN;SG
dansk	tanska	dansk	tanska	ADJ;INDF;SG	PROPN;NOM;SG
dansk	dansk	dansk	dansk	ADJ;INDF;SG	
mod	kohti	mod	kohti	N;INDF;NEUT;SG	ADV
mod	vastoin	mod	vastoin	N;INDF;NEUT;SG	ADV
mod	vastaan	mod	vastaan	N;INDF;NEUT;SG	ADV
andre	muu	anden	muu	PRO;PL	PRO;NOM;SG
andre	toiset	anden	toinen	PRO;PL	PRO;NOM;PL
del	del	del	del	N;INDF;MASC+FEM;SG	
del	osaa	del	osata	N;INDF;MASC+FEM;SG	V;IMP;SG;2;FIN;ACT
del	osittain	del	osittain	N;INDF;MASC+FEM;SG	ADV
del	jakaa	del	jakaa	N;INDF;MASC+FEM;SG	V;SG;NFIN;ACT
del	jaa	del	jaa	N;INDF;MASC+FEM;SG	V;IMP;SG;2;FIN;ACT
født	syntyneet	føde	syntyä	V;INDF;SG;PST;V.PTCP	V;NOM;PL;V.PTCP;ACT
mellem	väliin	mellem	väliin	ADP	ADV
mellem	välillä	mellem	välillä	ADP	ADV
mellem	välissä	mellem	välissä	ADP	ADV
flere	useita	mange	usea	ADJ;CMPR;PL	ADJ;PRT;PL
flere	useat	mange	usea	ADJ;CMPR;PL	ADJ;NOM;PL
flere	useita	mange	usea	ADJ;CMPR;PL	ADJ;PRT;PL
flere	useat	mange	usea	ADJ;CMPR;PL	ADJ;NOM;PL
flere	lisää	mange	lisää	ADJ;CMPR;PL	ADV
flere	enemmän	mange	enemmän	ADJ;CMPR;PL	ADV
deres	heidän	deres	hän	DET;3	PRO;GEN;PL;3
deres	niiden	deres	se	DET;3	PRO;GEN;PL
alle	kaikille	al	kaikki	ADJ;PL	PRO;AT+ALL;PL
