और	és	और	és		CONJ
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	
एक	egy	एक	egy	NUM	DET;INDF
श्रेणी	kategória	श्रेणी	kategória	N;NOM;FEM;SG;3	
श्रेणी	kategória	श्रेणी	kategória	N;NOM;FEM;SG;3	
श्रेणी	kategóriák	श्रेणी	kategória	N;NOM;FEM;SG;3	N;NOM;PL
भी	még	भी	még	PART	ADV
भी	szintén	भी	szintén	PART	
भी	egyben	भी	egyben	PART	ADV
भी	úgyszintén	भी	úgyszintén	PART	
भी	is	भी	is	PART	CONJ
भी	túl	भी	túl	PART	
यह	ezt	यह	ez	PRO;NOM;SG;3	PRO;ACC;SG;3
यह	ez	यह	ez	PRO;NOM;SG;3	PRO;NOM;SG;3
किया	kész	कर	kész	V;PFV;MASC;SG;V.PTCP;ACT	
इस	ezt	यह	ez	DET;ACC;SG;3	PRO;ACC;SG;3
इस	ez	यह	ez	DET;ACC;SG;3	PRO;NOM;SG;3
कि	ez	कि	ez		PRO;NOM;SG;3
भारत	india	भारत	india	PROPN;NOM;MASC;SG;3	
जो	joe	जो	joe	PRO;NOM;SG;3	
जो	ki	जो	ki	PRO;NOM;SG;3	PRO;NOM;SG;3
जो	aki	जो	aki	PRO;NOM;SG;3	PRO;NOM;SG;3
ही	hee	ही	hee	PART	
रूप	formájában	रूप	forma	N;NOM;MASC;SG;3	N;IN+ESS;SG
कर	adó	कर	adó	V;ACT	
कर	adózás	कर	adózás	V;ACT	N;NOM;SG
कर	adók	कर	adó	V;ACT	N;NOM;PL
कर	adók	कर	adó	V;ACT	N;NOM;PL
कर	adó	कर	adó	V;ACT	
नहीं	nem	नहीं	nem	PART;NEG	ADV
उत्तराखण्ड	uttarakhand	उत्तराखण्ड	uttarakhand	PROPN;NOM;MASC;SG;3	
साथ	mentén	साथ	mentén	ADV;NOM;MASC;SG;3	
साथ	with	साथ	with	ADV;NOM;MASC;SG;3	
साथ	együtt	साथ	együtt	ADV;NOM;MASC;SG;3	
पूर्व	keletre	पूर्व	keletr	ADV;NOM;MASC;SG;3	N;ON+ALL;SG
पूर्व	keleti	पूर्व	keleti	ADV;NOM;MASC;SG;3	
पूर्व	kelet	पूर्व	kelet	ADV;NOM;MASC;SG;3	
पूर्व	korábbi	पूर्व	korábbi	ADV;NOM;MASC;SG;3	ADJ;NOM;CMPR;SG
होता	volna	हो	volna	V;IPFV;MASC;SG;V.PTCP;ACT	V;INDF;COND;SG;3;PRS;ACT
बाद	után	बाद	után	ADV;NOM;MASC;SG;3	ADP
बाद	after	बाद	after	ADV;NOM;MASC;SG;3	
बाद	miután	बाद	miután	ADV;NOM;MASC;SG;3	CONJ
बाद	utána	बाद	utána	ADV;NOM;MASC;SG;3	
तक	tak	तक	tak	CONJ	
जिले	körzetek	जिला	körzet	N;NOM;MASC;SG;3	N;NOM;PL
था	volt	था	van	V;MASC;IND;SG;PST;FIN;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
था	volt	था	van	V;MASC;IND;SG;PST;FIN;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
राज्य	államok	राज्य	állam	N;NOM;MASC;SG;3	N;NOM;PL
राज्य	államokat	राज्य	állam	N;NOM;MASC;SG;3	N;ACC;PL
राज्य	állami	राज्य	állami	N;NOM;MASC;SG;3	
बाहरी	szabadtéri	बाहरी	szabadtéri	ADJ;NOM	N;NOM;SG
बाहरी	kültéri	बाहरी	kültéri	ADJ;NOM	N;NOM;SG
