oli	avea	olla	avea	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
hän	ea	hän	el	PRO;NOM;SG;3	PRO;FEM;SG;3
vuonna	anul	vuosi	an	N;FRML;SG	N;DEF;MASC;SG
joka	cine	joka	cine	PRO;NOM;SG	PRO;3
joka	care	joka	care	PRO;NOM;SG	PRO;3
joka	care	joka	care	PRO;NOM;SG	PRO;3
että	asta	että	acesta	CONJ	PRO;FEM;SG;3
että	aia	että	acela	CONJ	PRO;FEM;SG;3
kanssa	cu	kanssa	cu	ADV	ADP;ACC
hänen	lui	hän	el	PRO;GEN;SG;3	PRO;3
hänen	ea	hän	el	PRO;GEN;SG;3	PRO;FEM;SG;3
jälkeen	dupa	jälkeen	dupa	ADV	N;DEF;FEM;SG
jälkeen	după	jälkeen	după	ADV	ADP;ACC
suomen	finlandez	suomi	finlandez	N;GEN;SG	ADJ;INDF;MASC;SG
suomen	finlandeză	suomi	finlandez	N;GEN;SG	ADJ;INDF;FEM;SG
vuoden	anul	vuosi	an	N;GEN;SG	N;DEF;MASC;SG
kun	cand	kun	cand	CONJ	
kun	când	kun	când	CONJ	ADV
kuin	ca	kuin	ca	CONJ	ADV
kuin	like	kuin	like	CONJ	
ole	ole	olla	olă	V;IMP;SG;2;FIN;ACT	PROPN
mukaan	cu	mukaan	cu	ADV	ADP;ACC
jonka	care	joka	care	PRO;GEN;SG	PRO;3
jossa	unde	joka	unde	PRO;IN+ESS;SG	ADV
voi	may	voi	may	INTJ	
voi	pot	voi	putea	INTJ	V;IND;PL;3;PRS;FIN
voi	can	voi	can	INTJ	
noin	despre	noin	despre	ADV	ADP;ACC
eli	eli	eli	eli	CONJ	PROPN
olivat	erau	olla	fi	V;IND;PL;3;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
jotka	care	joka	care	PRO;NOM;PL	PRO;3
tavua	silabe	tavuta	silabă	N;PRT;SG	N;INDF;FEM;PL
kaksi	doua	kaksi	doi	NUM;NOM;SG	NUM;FEM;SG
kaksi	doi	kaksi	doi	NUM;NOM;SG	NUM;MASC;PL
kaksi	două	kaksi	doi	NUM;NOM;SG	NUM;FEM;PL
hänet	el	hän	el	PRO;ACC;SG;3	PRO;MASC;SG;3
tuli	focul	tulla	foc	V;IND;SG;0;PST;FIN;ACT	N;DEF;MASC;SG
tuli	incendiu	tulla	incendiu	V;IND;SG;0;PST;FIN;ACT	N;INDF;MASC;SG
tuli	foc	tulla	foc	V;IND;SG;0;PST;FIN;ACT	N;INDF;MASC;SG
yksi	una	yksi	unul	NUM;NOM;SG	PRO;FEM;SG;3
yksi	unul	yksi	unul	NUM;NOM;SG	PRO;MASC;SG;3
yksi	unu	yksi	unu	NUM;NOM;SG	NUM;MASC;SG
voitti	învinsă	voittaa	învinge	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;FEM;SG
voitti	învins	voittaa	învins	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
voitti	invins	voittaa	invinge	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
voitti	înfrânt	voittaa	înfrânt	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
voitti	won	voittaa	won	V;IND;SG;3;PST;FIN;ACT	PROPN
voitti	câștigat	voittaa	câștiga	V;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
tulos	rezultate	tulos	rezultat	N;NOM;SG	N;INDF;FEM;PL
tulos	rezultatele	tulos	rezultat	N;NOM;SG	N;DEF;FEM;PL
tulos	rezultatul	tulos	rezultat	N;NOM;SG	N;DEF;MASC;SG
suomalainen	finlandeză	suomalainen	finlandez	ADJ;NOM;SG	ADJ;INDF;FEM;SG
suomalainen	finn	suomalainen	finn	ADJ;NOM;SG	
kuten	ca	kuten	ca	CONJ	ADV
kuten	like	kuten	like	CONJ	
toimi	acţiune	toimia	acţiune	V;IMP;SG;2;FIN;ACT	N;INDF;FEM;SG
