усвояване	الاستيعاب	усвояване	اِستِيعَاب	N;INDF;NEUT;SG	N;NOM;DEF;SG
шапка	القبعة	шапка	قِبعَة	N;INDF;FEM;SG	N;NOM;DEF;SG
татяна	تاتيانا	татяна	تاتيانا	PROPN;INDF;FEM;SG	
карат	يقود	карам	قَاد	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
парламентарна	البرلماني	парламентарен	بَرلَمَانِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
сократ	سقراط	сократ	سقراط	N;INDF;MASC;SG	
сянка	الظل	сянка	ظِلّ	N;INDF;FEM;SG	N;NOM;DEF;SG
сянка	ظل	сянка	ظَلّ	N;INDF;FEM;SG	V;PFV;MASC;SG;3;ACT
сянка	الظل	сянка	ظِلّ	N;INDF;FEM;SG	N;NOM;DEF;SG
сребърна	فضي	сребърна-(се)	فضي	N;INDF;FEM;SG	
сребърна	الفضة	сребърна-(се)	فِضَّة	N;INDF;FEM;SG	N;NOM;DEF;SG
сребърна	سيلفر	сребърна-(се)	سيلفر	N;INDF;FEM;SG	
сребърна	فضية	сребърна-(се)	فَضِيَّة	N;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
честта	شرف	чест	شَرَف	N;DEF;FEM;SG	
светло	خفيف	светло	خفيف	ADV	ADJ;NOM;INDF;MASC;SG
светло	الخفيفة	светло	خَفِيف	ADV	N;NOM;DEF;SG
светло	ضوء	светло	ضَوء	ADV	N;NOM;INDF;SG
светло	النور	светло	النور	ADV	N;NOM;DEF;SG
светло	فاتح	светло	فاتح	ADV	
светло	نور	светло	نور	ADV	
светло	لامع	светло	لَامِع	ADV	ADJ;NOM;INDF;MASC;SG
светло	ساطع	светло	سَاطَع	ADV	
светло	المشرق	светло	مَشرِق	ADV	N;NOM;DEF;SG
светло	مشرق	светло	مَشرِق	ADV	N;NOM;INDF;SG
минск	مينسك	минск	مينسك	PROPN;INDF;MASC;SG	
героиня	البطلة	героиня	بَطلَة	N;INDF;FEM;SG	N;NOM;DEF;SG
лисица	ثعلب	лисица	ثَعلَب	N;INDF;FEM;SG	
лисица	فوكس	лисица	فُوكس	N;INDF;FEM;SG	
лисица	الثعلب	лисица	ثَعلَب	N;INDF;FEM;SG	N;NOM;DEF;SG
синя	بلو	син	بِلُو	ADJ;INDF;FEM;SG	
синя	ازرق	син	أَزرَق	ADJ;INDF;FEM;SG	
синя	الزرقاء	син	أَزرَق	ADJ;INDF;FEM;SG	
синя	الازرق	син	أَزرَق	ADJ;INDF;FEM;SG	N;NOM;DEF;SG
синя	زرقاء	син	زَرِيق	ADJ;INDF;FEM;SG	N;NOM;INDF;PL
кръгла	مستديرة	кръгъл	مُستَدِير	N;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
кръгла	الجولة	кръгъл	جَولَة	N;INDF;FEM;SG	N;NOM;DEF;SG
ритуали	الطقوس	ритуал	طَقوَس	N;INDF;MASC;PL	N;NOM;DEF;PL
паунда	جنيه	паунда	جُنَيه	N;DEF;MASC;SG	N;NOM;INDF;SG
титан	التيتانيوم	титан	التيتانيوم	N;INDF;MASC;SG	
титан	تيتانيوم	титан	تيتانيوم	N;INDF;MASC;SG	
титан	تيتان	титан	تِيتَان	N;INDF;MASC;SG	
гугъл	جوجل	гугъл	جُوجل	N;INDF;MASC;SG	
гугъл	غوغل	гугъл	غُوغل	N;INDF;MASC;SG	
гугъл	g	гугъл	!	N;INDF;MASC;SG	
вдовицата	الارملة	вдовица	أَرمَلَة	N;DEF;FEM;SG	
вдовицата	ارملة	вдовица	أَرمَلَة	N;DEF;FEM;SG	
магия	السحر	магия	سِحر	N;INDF;FEM;SG	N;NOM;DEF;SG
мусолини	موسوليني	мусолин	موسوليني	N;INDF;FEM;PL	
ранд	راند	ранд	راند	N;INDF;FEM;SG	
уравнение	المعادلة	уравнение	مُعَادَلَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
включване	تشمل	включване	شَمِل	N;INDF;NEUT;SG	V;IPFV;FEM;IND;SG;3;FIN;ACT
включване	مكن	включване	مَكَّن	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
включване	الشمول	включване	شُمُول	N;INDF;NEUT;SG	N;NOM;DEF;SG
остри	حادة	остър	حَادّ	ADJ;INDF;PL	ADJ;NOM;INDF;FEM;SG
остри	شارب	остър	شَارِب	ADJ;INDF;PL	
остри	حاد	остър	حَادّ	ADJ;INDF;PL	ADJ;NOM;INDF;MASC;SG
експерт	الخبير	експерт	خَبِير	N;INDF;MASC;SG	N;NOM;DEF;SG
експерт	خبيرة	експерт	خَبِيرَة	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
експерт	الخبيرة	експерт	خَبِيرَة	N;INDF;MASC;SG	N;NOM;DEF;SG
регионално	اقليمية	регионален	إِقلِيمِيّ	ADV	ADJ;NOM;INDF;FEM;SG
регионално	اقليمي	регионален	إِقلِيمِيّ	ADV	ADJ;NOM;INDF;MASC;SG
регионално	الاقليمي	регионален	إِقلِيمِيّ	ADV	ADJ;NOM;DEF;MASC;SG
влакове	القطارات	влак	قِطَار	N;INDF;MASC;PL	N;NOM;DEF;PL
алесандро	اليساندرو	алесандро	اليساندرو	PROPN;INDF;MASC;SG	
алесандро	al	алесандро	شَشّ	PROPN;INDF;MASC;SG	
продаден	تباع	продам	أَبَاع	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;IPFV;FEM;IND;SG;3;FIN;PASS
продаден	بيع	продам	بَيع	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;NOM;INDF;SG
продаден	بعت	продам	بَعَى	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
продаден	باع	продам	بَاع	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
равновесие	الرصيد	равновесие	رَصِيد	N;INDF;NEUT;SG	N;NOM;DEF;SG
равновесие	التوازن	равновесие	تَوَازُن	N;INDF;NEUT;SG	N;NOM;DEF;SG
равновесие	الميزان	равновесие	مِيزَان	N;INDF;NEUT;SG	N;NOM;DEF;SG
подробна	مفصلة	подробен	مُفَصَّل	ADJ;INDF;FEM;SG	N;NOM;INDF;SG
подробна	المفصل	подробен	مُفَصَّل	ADJ;INDF;FEM;SG	N;NOM;DEF;SG
процедури	الاجراءات	процедура	إِجرَاء	N;INDF;FEM;PL	N;NOM;DEF;PL
служителите	موظفين	служител	مُوَظَّف	N;DEF;MASC;PL	N;NOM;INDF;PL
съюзи	الاتحادات	съюз	اِتِّحَاد	N;INDF;MASC;PL	N;NOM;DEF;PL
съюзи	النقابات	съюз	نِقَابَة	N;INDF;MASC;PL	N;NOM;DEF;PL
съюзи	التحالفات	съюз	تَحَالُف	N;INDF;MASC;PL	N;NOM;DEF;PL
