szczegółowe	podrobně	szczegółowy	podrobně	ADJ;NOM;NEUT;SG	ADV;POS
wierzchołek	apex	wierzchołek	apex	N;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG;POS
artystka	umělce	artystka	umělec	N;NOM;FEM;SG	N;ANIM;ACC;MASC;PL;POS
hills	hills	hills	hills		PROPN;INAN;NOM;MASC;SG;POS
hills	kopců	hills	kopec		N;INAN;GEN;MASC;PL;POS
hills	kopce	hills	kopec		N;INAN;NOM;MASC;PL;POS
miedzi	měď	miedzieć	měď		N;NOM;FEM;SG;POS
miedzi	mědi	miedzieć	měď		N;NOM;FEM;SG;POS
nicole	nicol	nicole	nicola	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG;POS
nicole	nicole	nicole	nicole	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG;POS
polana	poljana	polany	poljan	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	N;NOM;FEM;SG;POS
klucz	klíče	klucz	klíč	N;NOM;MASC;SG	N;INAN;NOM;MASC;PL;POS
klucz	klíčové	klucz	klíčový	N;NOM;MASC;SG	ADJ;NOM;MASC;PL;POS
klucz	klíčová	klucz	klíčový	N;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
polsat	polsat	polsat	polsat		N;INAN;NOM;MASC;SG;POS
podwodne	ponorky	podwodny	ponorka	ADJ;NOM;NEUT;SG	N;NOM;FEM;PL;POS
podwodne	ponorku	podwodny	ponorek	ADJ;NOM;NEUT;SG	N;ACC;FEM;SG;POS
podwodne	ponorka	podwodny	ponorka	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG;POS
wprowadzone	zadali	wprowadzić	zadat	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP;ACT
wprowadzone	vstoupil	wprowadzić	vstoupit	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
wprowadzone	vstoupila	wprowadzić	vstoupit	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;POS;PST;V.PTCP;ACT
