một	enga	một	en	NUM	PRO;ACC;MASC;SG
năm	pet	năm	pet	N	NUM;NOM;PL
năm	five	năm	fiv	N	
của	tvoje	của	tvoj	ADP	DET;NOM;NEUT;SG;1
của	tvoji	của	tvoj	ADP	DET;NOM;MASC;SG;1
của	vaš	của	vaš	ADP	DET;NOM;MASC;SG;2
của	tvoj	của	tvoj	ADP	DET;NOM;MASC;SG;1
của	tvoja	của	tvoj	ADP	DET;NOM;FEM;SG;1
của	vaša	của	vaš	ADP	DET;NOM;FEM;SG;2
các	si	các	biti	DET	V;IND;SG;2;POS;PRS;FIN
các	ti	các	ti	DET	PRO;NOM;MASC;PL;2
này	to	này	ta	PROPN	DET;NOM;NEUT;SG
này	ta	này	ta	PROPN	DET;NOM;MASC;SG
này	tole	này	tale	PROPN	
này	tega	này	ta	PROPN	DET;GEN;NEUT;SG
vật	živalsko	vật	živalski	N	ADJ;NOM;NEUT;SG
vật	živalska	vật	živalski	N	ADJ;NOM;FEM;SG
thích	všeč	thích	všeč	V	ADV
thích	kot	thích	kot	V	CONJ
thích	všeč	thích	všeč	V	ADV
học	preučevanje	học	preučevanje	V	N;NOM;NEUT;SG
học	učenje	học	učenje	V	N;NOM;NEUT;SG
học	študija	học	študij	V	N;NOM;FEM;SG
học	šole	học	šola	V	N;NOM;FEM;PL
học	šolo	học	šola	V	N;ACC;FEM;SG
học	šola	học	šola	V	N;NOM;FEM;SG
học	učenje	học	učenje	V	N;NOM;NEUT;SG
thực	resničen	thực	resničen	V	ADJ;NOM;INDF;MASC;SG
thực	resnično	thực	resnično	V	ADV
thực	resnična	thực	resničen	V	ADJ;NOM;FEM;SG
thực	prava	thực	pravi	V	ADJ;NOM;FEM;SG
thực	realno	thực	realen	V	ADJ;NOM;NEUT;SG
thực	pravzaprav	thực	pravzaprav	V	PART
thực	dejansko	thực	dejansko	V	ADV
thực	verodostojna	thực	verodostojen	V	ADJ;NOM;FEM;SG
thực	pristen	thực	pristen	V	ADJ;NOM;INDF;MASC;SG
thực	pristno	thực	pristen	V	ADV
thực	verodostojno	thực	verodostojen	V	ADJ;NOM;NEUT;SG
thực	res	thực	res	V	ADV
thực	resnično	thực	resnično	V	ADV
thực	zares	thực	zares	V	ADV
liên	lien	liên	lien		N;NOM;MASC;SG
tham	joint	tham	joint	V	N;NOM;MASC;SG
tham	skupno	tham	skupen	V	ADJ;NOM;NEUT;SG
đầu	head	đầu	heada	N	
