और	in	और	in		CONJ
से	iz	से	iz		ADP;GEN
से	od	से	od		ADP;GEN
है	hai	है	haša	V;IND;SG;3;PRS;FIN;ACT	
एक	enga	एक	en	NUM	PRO;ACC;MASC;SG
श्रेणी	kategorijo	श्रेणी	kategorija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
श्रेणी	serijo	श्रेणी	serija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
श्रेणी	serije	श्रेणी	serija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
श्रेणी	kategorije	श्रेणी	kategorija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
भी	preveč	भी	preveč	PART	DET
यह	to	यह	ta	PRO;NOM;SG;3	DET;NOM;NEUT;SG
यह	ta	यह	ta	PRO;NOM;SG;3	DET;NOM;MASC;SG
यह	tole	यह	tale	PRO;NOM;SG;3	
यह	tega	यह	ta	PRO;NOM;SG;3	DET;GEN;NEUT;SG
किया	storjeno	कर	storjen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG;V.PTCP
किया	končano	कर	končan	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG;V.PTCP
किया	opravljeno	कर	opravljen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG;V.PTCP
किया	narejeno	कर	narejen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG;V.PTCP
इस	to	यह	ta	DET;ACC;SG;3	DET;NOM;NEUT;SG
इस	ta	यह	ta	DET;ACC;SG;3	DET;NOM;MASC;SG
इस	tole	यह	tale	DET;ACC;SG;3	
इस	tega	यह	ta	DET;ACC;SG;3	DET;GEN;NEUT;SG
हैं	so	है	biti	V;IND;PL;3;PRS;FIN;ACT	V;IND;PL;3;POS;PRS;FIN
कि	to	कि	ta		DET;NOM;NEUT;SG
कि	tisto	कि	tisti		DET;NOM;NEUT;SG
भारत	indija	भारत	indija	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
भारत	indijo	भारत	indeti	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
जो	joe	जो	joe	PRO;NOM;SG;3	PROPN;NOM;MASC;SG
जो	ki	जो	ki	PRO;NOM;SG;3	CONJ
जो	kdo	जो	kdo	PRO;NOM;SG;3	PRO;NOM;MASC;SG
ही	hee	ही	he	PART	N;NOM;MASC;SG
रूप	obliko	रूप	oblika	N;NOM;MASC;SG;3	N;ACC;FEM;SG
कर	davki	कर	davek	V;ACT	N;NOM;MASC;PL
कर	davčna	कर	davčen	V;ACT	ADJ;NOM;FEM;SG
कर	davek	कर	davek	V;ACT	N;NOM;MASC;SG
कर	davke	कर	davek	V;ACT	N;ACC;MASC;PL
कर	davki	कर	davek	V;ACT	N;NOM;MASC;PL
नहीं	ni	नहीं	biti	PART;NEG	V;IND;SG;3;NEG;PRS;FIN
पूर्व	vzhodni	पूर्व	vzhoden	ADV;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
पूर्व	vzhod	पूर्व	vzhod	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
पूर्व	vzhodna	पूर्व	vzhoden	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
पूर्व	nekdanje	पूर्व	nekdanji	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
पूर्व	nekdanja	पूर्व	nekdanji	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
पूर्व	nekdanji	पूर्व	nekdanji	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
होता	bi	हो	bi	V;IPFV;MASC;SG;V.PTCP;ACT	
बाद	po	बाद	po	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
तक	do	तक	do	CONJ	ADP;GEN
तक	dokler	तक	dokler	CONJ	CONJ
तक	tak	तक	tak	CONJ	DET;NOM;MASC;SG
