категория	kategori	категория	kategori	N;INAN;NOM;FEM;SG	PROPN;SG
что	what	что	what	PRO;NOM	PROPN
как	bagaimana	как	bagaimana	CONJ	ADV
как	how	как	how	CONJ	PROPN
как	suka	как	suka	CONJ	V;SG
как	sukai	как	sukai	CONJ	ADJ;SG
как	seperti	как	seperti	CONJ	ADP
как	like	как	like	CONJ	PROPN
был	euy	быть	euy	V;IPFV;MASC;IND;SG;PST;FIN;ACT	PROPN
был	was	быть	was	V;IPFV;MASC;IND;SG;PST;FIN;ACT	PROPN
его	his	он	his	PRO;ACC;MASC;SG;3	PROPN
его	him	он	him	PRO;ACC;MASC;SG;3	PROPN
это	ini	это	ini	PRO;INAN;NOM;NEUT;SG	DET
это	that	это	that	PRO;INAN;NOM;NEUT;SG	PROPN
это	itu	это	itu	PRO;INAN;NOM;NEUT;SG	DET
это	bahwa	это	bahwa	PRO;INAN;NOM;NEUT;SG	CONJ
после	sesudah	после	sesudah	ADP	CONJ
после	after	после	after	ADP	PROPN
области	area	область	area	N;INAN;NOM;FEM;PL	N;SG
год	year	год	year	N;INAN;NOM;MASC;SG	PROPN
было	euy	быть	euy	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	PROPN
было	was	быть	was	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	PROPN
время	time	время	time	N;INAN;NOM;NEUT;SG	PROPN
была	euy	быть	euy	V;IPFV;FEM;IND;SG;PST;FIN;ACT	PROPN
была	was	быть	was	V;IPFV;FEM;IND;SG;PST;FIN;ACT	PROPN
место	spot	место	spot	N;INAN;NOM;NEUT;SG	PROPN
место	tempatkan	место	tempatkan	N;INAN;NOM;NEUT;SG	V;SG;ACT
место	place	место	place	N;INAN;NOM;NEUT;SG	PROPN
были	were	быть	were	V;IPFV;IND;PL;PST;FIN;ACT	PROPN
вид	melihat	вид	menlihat	N;INAN;NOM;MASC;SG	V;SG;ACT
вид	lihat	вид	lihat	N;INAN;NOM;MASC;SG	V;SG;ACT
под	under	под	under	ADP	PROPN
только	only	только	only	PART	PROPN
только	saja	только	saja	PART	ADV
только	hanya	только	hanya	PART	ADV
только	cuma	только	cuma	PART	
только	hanya	только	hanya	PART	ADV
есть	got	быть	got	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
ссср	soviet	ссср	soviet	PROPN;INAN;NOM;MASC;SG	PROPN
код	code	код	code	N;INAN;NOM;MASC;SG	PROPN
более	selengkapnya	более	selengkap	ADV;CMPR	N;SG
более	lainnya	более	lainnya	ADV;CMPR	N
мая	may	май	may	N;INAN;GEN;MASC;SG	PROPN
мая	mei	май	mei	N;INAN;GEN;MASC;SG	PROPN;SG
